Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
mRNA surveillance pathway_Homo sapiens_hsa03015	3/91	0.000985768244211202189497544878804546897299587726593017578125	0.0207011331284352451120867044664919376373291015625	0.000759266288373756600450781295563729145214892923831939697265625	0.0159445920558488885010461899582878686487674713134765625	-1.7270028039671377	11.954467591429577	FIP1L1;SSU72;PPP2R5A
Taste transduction_Homo sapiens_hsa04742	2/83	0.01376221697297397295045584542094729840755462646484375	0.144503278216226715979786376919946633279323577880859375	0.01198412292779385372731848491412165458314120769500732421875	0.12583329074183546847365278154029510915279388427734375	-1.8897555823129681	8.099168034569907	PKD2L1;SCN3A
Glycosaminoglycan degradation_Homo sapiens_hsa00531	1/19	0.040086795208157111058966393102309666574001312255859375	0.280607566457099777412764751716167666018009185791015625	0.039169466113366656345728955557206063531339168548583984375	0.274186262793566559725633169364300556480884552001953125	-1.5313507750952648	4.925908741499334	IDS
Cocaine addiction_Homo sapiens_hsa05030	1/49	0.10020679262595559577686543661911855451762676239013671875	0.336157276527650206165986901396536268293857574462890625	0.0952600436182393373041321638083900325000286102294921875	0.318602443256137013438689109534607268869876861572265625	-1.7076834281497193	3.928558688080039	GPSM1
Other types of O-glycan biosynthesis_Homo sapiens_hsa00514	1/31	0.06459145430628208950363244866821332834661006927490234375	0.336157276527650206165986901396536268293857574462890625	0.061982263444621314707472237159890937618911266326904296875	0.318602443256137013438689109534607268869876861572265625	-1.4076132521469544	3.8564002511063773	OGT
N-Glycan biosynthesis_Homo sapiens_hsa00510	1/49	0.10020679262595559577686543661911855451762676239013671875	0.336157276527650206165986901396536268293857574462890625	0.0952600436182393373041321638083900325000286102294921875	0.318602443256137013438689109534607268869876861572265625	-1.5557478180289461	3.57902788434352	MAN1B1
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	1/78	0.1548193550480783386991134875643183477222919464111328125	0.336157276527650206165986901396536268293857574462890625	0.1465769362264975061993510507818427868187427520751953125	0.318602443256137013438689109534607268869876861572265625	-1.6048857086928905	2.9939083403067985	SEPT8
TGF-beta signaling pathway_Homo sapiens_hsa04350	1/84	0.1657073391248309601753163633475196547806262969970703125	0.336157276527650206165986901396536268293857574462890625	0.1568509161403441598547914281880366615951061248779296875	0.318602443256137013438689109534607268869876861572265625	-1.6624041366790243	2.988224738823862	SMAD6
Insulin resistance_Homo sapiens_hsa04931	1/109	0.2096178382573833098856397327836020849645137786865234375	0.336157276527650206165986901396536268293857574462890625	0.198435306208456341270363054718472994863986968994140625	0.318602443256137013438689109534607268869876861572265625	-1.649439683495811	2.577198742251695	OGT
Oocyte meiosis_Homo sapiens_hsa04114	1/123	0.2332130767758310574411240168046788312494754791259765625	0.336157276527650206165986901396536268293857574462890625	0.22088245519908966674194061852176673710346221923828125	0.318602443256137013438689109534607268869876861572265625	-1.6188143384157343	2.356674366754264	PPP2R5A
Sphingolipid signaling pathway_Homo sapiens_hsa04071	1/120	0.22821559267127666803531838013441301882266998291015625	0.336157276527650206165986901396536268293857574462890625	0.2161220759293230597730683939516893588006496429443359375	0.318602443256137013438689109534607268869876861572265625	-1.5439830539853856	2.2811801738966873	PPP2R5A
Dopaminergic synapse_Homo sapiens_hsa04728	1/129	0.243113403997552435242823776206932961940765380859375	0.336157276527650206165986901396536268293857574462890625	0.2303227861829646172520114077997277490794658660888671875	0.318602443256137013438689109534607268869876861572265625	-1.5474423222231635	2.188435117511674	PPP2R5A
Lysosome_Homo sapiens_hsa04142	1/123	0.2332130767758310574411240168046788312494754791259765625	0.336157276527650206165986901396536268293857574462890625	0.22088245519908966674194061852176673710346221923828125	0.318602443256137013438689109534607268869876861572265625	-1.4982742671473734	2.1811917994310157	IDS
AMPK signaling pathway_Homo sapiens_hsa04152	1/124	0.2348718702488175880116472171721397899091243743896484375	0.336157276527650206165986901396536268293857574462890625	0.22246327340924054727366865336080081760883331298828125	0.318602443256137013438689109534607268869876861572265625	-1.4851514633539515	2.1515614198302133	PPP2R5A
