Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Endocytosis_Homo sapiens_hsa04144	9/259	0.005738102799565484267441117793850935413502156734466552734375	0.403769850342899749851000024136737920343875885009765625	0.007624691338615117996990733217899105511605739593505859375	0.52106902273466848551919383680797182023525238037109375	-1.9615024471637073	10.122581795045123	EPN3;ACAP2;ERBB4;SNX32;ASAP2;VPS36;FGFR2;RAB11FIP5;PLD2
RNA polymerase_Homo sapiens_hsa03020	3/32	0.00748684853200874168843714784316034638322889804840087890625	0.403769850342899749851000024136737920343875885009765625	0.01020537808460257774012536202690171194262802600860595703125	0.52106902273466848551919383680797182023525238037109375	-1.892248363714596	9.261812705043788	ZNRD1;POLR3B;POLR2I
Wnt signaling pathway_Homo sapiens_hsa04310	6/142	0.00930664868395095733200061971501781954430043697357177734375	0.403769850342899749851000024136737920343875885009765625	0.01214483189472487754956286920560160069726407527923583984375	0.52106902273466848551919383680797182023525238037109375	-1.8287199991451353	8.552971388694267	APC;FZD5;FZD7;PSEN1;PRICKLE1;MAP3K7
MicroRNAs in cancer_Homo sapiens_hsa05206	9/297	0.0133390088748956171793569325245698564685881137847900390625	0.405505869796826790008026364375837147235870361328125	0.0171404283794298860355009850309215835295617580413818359375	0.52106902273466848551919383680797182023525238037109375	-1.8120345563653777	7.822666501732591	BCL2L11;APC;GLS2;MIR23A;MIR363;BCL2;MIR27A;VIM;CDC25A
Pyrimidine metabolism_Homo sapiens_hsa00240	5/105	0.0106255223774447300766343715849870932288467884063720703125	0.403769850342899749851000024136737920343875885009765625	0.013775816393377500468364615926475380547344684600830078125	0.52106902273466848551919383680797182023525238037109375	-1.7074979708594482	7.759718382336602	ZNRD1;POLR3B;NME5;POLR2I;DCK
Purine metabolism_Homo sapiens_hsa00230	6/176	0.0243180172452595773358030584176958655007183551788330078125	0.52804837446849373083779255466652102768421173095703125	0.0302697843621565730598543808582689962349832057952880859375	0.65198589329236467104777830172679387032985687255859375	-1.6332681398474955	6.070102702436902	ZNRD1;POLR3B;NME5;POLR2I;DCK;ADSS
Apoptosis_Homo sapiens_hsa04210	5/140	0.032348813607021777161154574287138530053198337554931640625	0.53890944683631725187211714001023210585117340087890625	0.039536275048034773271776742831207229755818843841552734375	0.65198589329236467104777830172679387032985687255859375	-1.7556329993160622	6.023889204594021	DFFB;CTSO;BCL2L11;PARP1;BCL2
Notch signaling pathway_Homo sapiens_hsa04330	3/48	0.022544153301272608358463145350469858385622501373291015625	0.52804837446849373083779255466652102768421173095703125	0.0280091239313375005293149655472006998024880886077880859375	0.65198589329236467104777830172679387032985687255859375	-1.5445591006881318	5.857399850772124	JAG2;NUMB;PSEN1
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	4/98	0.03545456887081034624831232804353930987417697906494140625	0.53890944683631725187211714001023210585117340087890625	0.042893808769234521849345043165158131159842014312744140625	0.65198589329236467104777830172679387032985687255859375	-1.6885098817294988	5.638784072553607	MAD2L2;HSP90AA1;CDC23;CDC25A
Basal cell carcinoma_Homo sapiens_hsa05217	3/55	0.03208493881666855951362293808415415696799755096435546875	0.53890944683631725187211714001023210585117340087890625	0.03891900884375089353373056155760423280298709869384765625	0.65198589329236467104777830172679387032985687255859375	-1.6112830981471897	5.541796420479536	APC;FZD5;FZD7
Metabolic pathways_Homo sapiens_hsa01100	22/1239	0.0660311072871441473441933567301020957529544830322265625	0.6196155226525965620254510213271714746952056884765625	0.08158726937554094948978899992653168737888336181640625	0.71648534492697901754354461445473134517669677734375	-1.688760425318366	4.5894248555228465	MOCS2;AOC2;GLS2;OXSM;DCXR;ATP5J;UQCR10;CMBL;NME5;AGPAT2;DCK;PLD2;RPIA;ATP5B;ZNRD1;POLR3B;PIGM;POLR2I;HADH;GAPDH;ADSS;PFKP
Central carbon metabolism in cancer_Homo sapiens_hsa05230	3/67	0.052562975557356360345462320537990308366715908050537109375	0.6196155226525965620254510213271714746952056884765625	0.06188710578849292154313133096366073004901409149169921875	0.71648534492697901754354461445473134517669677734375	-1.510731659501767	4.450227654746942	GLS2;FGFR2;PFKP
Alzheimer's disease_Homo sapiens_hsa05010	5/168	0.0618042834204858004820692940484150312840938568115234375	0.6196155226525965620254510213271714746952056884765625	0.07329718666335129084732358251130790449678897857666015625	0.71648534492697901754354461445473134517669677734375	-1.5415074332563568	4.291221579578925	ATP5B;ATP5J;UQCR10;PSEN1;GAPDH
Biosynthesis of amino acids_Homo sapiens_hsa01230	3/74	0.06679313651879957569601486966348602436482906341552734375	0.6196155226525965620254510213271714746952056884765625	0.07761724646153521367519800833179033361375331878662109375	0.71648534492697901754354461445473134517669677734375	-1.3207597706305632	3.5741805916377283	RPIA;GAPDH;PFKP
Cell cycle_Homo sapiens_hsa04110	4/124	0.07190217022727669882176115834226948209106922149658203125	0.6196155226525965620254510213271714746952056884765625	0.0839752257933616685914302024684729985892772674560546875	0.71648534492697901754354461445473134517669677734375	-1.3287212427167743	3.497790681773126	MAD2L2;CDC23;CDC6;CDC25A
RNA degradation_Homo sapiens_hsa03018	3/77	0.07337552241938642694218941642247955314815044403076171875	0.6196155226525965620254510213271714746952056884765625	0.08484694874135277620208483995156711898744106292724609375	0.71648534492697901754354461445473134517669677734375	-1.3241640939242592	3.458934942835261	HSPA9;DHX36;PFKP
Huntington's disease_Homo sapiens_hsa05016	5/193	0.09764268767970464557581777853556559421122074127197265625	0.6649168047761875310897039526025764644145965576171875	0.1135049964657188770189577553537674248218536376953125	0.7416348726735366714279962252476252615451812744140625	-1.4050414404253233	3.268745321603106	ATP5B;ATP5J;UQCR10;POLR2I;RCOR1
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	3/83	0.0873617016600790885494376425413065589964389801025390625	0.6649168047761875310897039526025764644145965576171875	0.1001284341235290920035794215436908416450023651123046875	0.7416348726735366714279962252476252615451812744140625	-1.2611246205772504	3.0742413291229336	CACNB1;ITGA3;PRKAG2
Prostate cancer_Homo sapiens_hsa05215	3/89	0.1023759486999492318570759152862592600286006927490234375	0.6649168047761875310897039526025764644145965576171875	0.116430434560266971022457482831669040024280548095703125	0.7416348726735366714279962252476252615451812744140625	-1.3465175182960512	3.0688527482855075	HSP90AA1;BCL2;FGFR2
Ribosome_Homo sapiens_hsa03010	4/137	0.0952380543091528586341354412070359103381633758544921875	0.6649168047761875310897039526025764644145965576171875	0.109799322552777411932112272552330978214740753173828125	0.7416348726735366714279962252476252615451812744140625	-1.2855725595694065	3.022864060339757	RPS27;RPS5;MRPL12;RPL19
Epstein-Barr virus infection_Homo sapiens_hsa05169	5/202	0.112650741593001979534705014884821139276027679443359375	0.6649168047761875310897039526025764644145965576171875	0.13015083997919474345650314717204309999942779541015625	0.7416348726735366714279962252476252615451812744140625	-1.379923662931239	3.0130123008047405	POLR3B;BCL2;VIM;POLR2I;MAP3K7
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	4/142	0.10505527119280917702770494770447839982807636260986328125	0.6649168047761875310897039526025764644145965576171875	0.12058489428542473742567153749405406415462493896484375	0.7416348726735366714279962252476252615451812744140625	-1.2800329329243427	2.8842581107370107	APC;FZD5;FZD7;FGFR2
Pentose phosphate pathway_Homo sapiens_hsa00030	2/29	0.051374151617457793073118210713801090605556964874267578125	0.6196155226525965620254510213271714746952056884765625	0.060557872456233403923864244688957114703953266143798828125	0.71648534492697901754354461445473134517669677734375	-0.961186700623414	2.8533981783845372	RPIA;PFKP
Pathways in cancer_Homo sapiens_hsa05200	8/397	0.1301621081364555954085204803050146438181400299072265625	0.68222898057728442733349538684706203639507293701171875	0.153013829585654737019950744070229120552539825439453125	0.747307764995931211871038613026030361652374267578125	-1.3623638564466327	2.7778253260945633	HSP90AA1;FZD5;APC;ITGA3;FZD7;TPR;BCL2;FGFR2
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	7/341	0.1407546978282413763228220204837271012365818023681640625	0.711226112692390888270210780319757759571075439453125	0.1637916903224294340457589669313165359199047088623046875	0.747307764995931211871038613026030361652374267578125	-1.3151649192339578	2.578692038747105	HSP90AA1;BCL2L11;ITGA3;OSM;BCL2;PIK3AP1;FGFR2
NF-kappa B signaling pathway_Homo sapiens_hsa04064	3/93	0.1129147861817535181128135945982648991048336029052734375	0.6649168047761875310897039526025764644145965576171875	0.1278189511148913604099419671911164186894893646240234375	0.7416348726735366714279962252476252615451812744140625	-1.0850826305830732	2.3666974338996587	PARP1;BCL2;MAP3K7
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	2/35	0.07171327069394022035719871155379223637282848358154296875	0.6196155226525965620254510213271714746952056884765625	0.08256073600911016663328467757310136221349239349365234375	0.71648534492697901754354461445473134517669677734375	-0.8643967486984747	2.2777541196152318	GLS2;ADSS
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	4/169	0.1651654426380451123890225062496028840541839599609375	0.711226112692390888270210780319757759571075439453125	0.18586017208869332062448620490613393485546112060546875	0.747307764995931211871038613026030361652374267578125	-1.0264959134496459	1.8485216677427796	HSP90AA1;DNAJB11;BCL2;RAD23B
RNA transport_Homo sapiens_hsa03013	4/172	0.1724917297180781627918833009971422143280506134033203125	0.711226112692390888270210780319757759571075439453125	0.193740903806407571696723834975273348391056060791015625	0.747307764995931211871038613026030361652374267578125	-1.018255717491963	1.7894886945466317	DDX39B;TPR;EIF2B1;RAE1
Neurotrophin signaling pathway_Homo sapiens_hsa04722	3/120	0.1930024974346057631269246712690801359713077545166015625	0.711226112692390888270210780319757759571075439453125	0.21327304336419461439078304465510882437229156494140625	0.747307764995931211871038613026030361652374267578125	-0.9027193160852226	1.4850203518495233	MAP3K1;BCL2;PSEN1
Carbon metabolism_Homo sapiens_hsa01200	3/113	0.1709745371005871594771718946503824554383754730224609375	0.711226112692390888270210780319757759571075439453125	0.1899326533693459773122214073737268336117267608642578125	0.747307764995931211871038613026030361652374267578125	-0.832566612081317	1.470512985275232	RPIA;GAPDH;PFKP
Nucleotide excision repair_Homo sapiens_hsa03420	2/47	0.1183204861729207635345773041990469209849834442138671875	0.6649168047761875310897039526025764644145965576171875	0.13221647685581572329027721934835426509380340576171875	0.7416348726735366714279962252476252615451812744140625	-0.6661572798524745	1.4218183537465876	GTF2H3;RAD23B
Fatty acid metabolism_Homo sapiens_hsa01212	2/48	0.12248467456403454300950528477187617681920528411865234375	0.6649168047761875310897039526025764644145965576171875	0.1366169502293357040922927581050316803157329559326171875	0.7416348726735366714279962252476252615451812744140625	-0.5941497696900043	1.2475774830860091	OXSM;HADH
HTLV-I infection_Homo sapiens_hsa05166	5/258	0.2267284428991054034963070762387360446155071258544921875	0.711226112692390888270210780319757759571075439453125	0.254199897880714786868594501356710679829120635986328125	0.747307764995931211871038613026030361652374267578125	-0.8189006557273694	1.2152504274271	CDC23;MAP3K1;APC;FZD5;FZD7
AMPK signaling pathway_Homo sapiens_hsa04152	3/124	0.205894385116244527100803907160297967493534088134765625	0.711226112692390888270210780319757759571075439453125	0.2268844199744054213052635304848081432282924652099609375	0.747307764995931211871038613026030361652374267578125	-0.768571260670979	1.2146438220488065	PRKAG2;MAP3K7;PFKP
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	2/57	0.161373218026461040519592415876104496419429779052734375	0.711226112692390888270210780319757759571075439453125	0.177504129136332011729138002920080907642841339111328125	0.747307764995931211871038613026030361652374267578125	-0.5766277030852434	1.0517893847469824	HSP90AA1;MAP3K7
Colorectal cancer_Homo sapiens_hsa05210	2/62	0.1838330197864377069105756845601717941462993621826171875	0.711226112692390888270210780319757759571075439453125	0.2009733678904042364354864957931567914783954620361328125	0.747307764995931211871038613026030361652374267578125	-0.5867029105132785	0.9937148154738845	APC;BCL2
Oxidative phosphorylation_Homo sapiens_hsa00190	3/133	0.2355581967619937155955511798310908488929271697998046875	0.711226112692390888270210780319757759571075439453125	0.25807860456555931083499899614253081381320953369140625	0.747307764995931211871038613026030361652374267578125	-0.6364972841469451	0.9202460396305328	ATP5B;ATP5J;UQCR10
Proteoglycans in cancer_Homo sapiens_hsa05205	4/203	0.25372963258583036694204793093376792967319488525390625	0.711226112692390888270210780319757759571075439453125	0.2802612524723848697050243572448380291461944580078125	0.747307764995931211871038613026030361652374267578125	-0.667413113844705	0.9153477535469668	TIAM1;FZD5;ERBB4;FZD7
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	2/67	0.206707352470232252894533075959770940244197845458984375	0.711226112692390888270210780319757759571075439453125	0.2247844812517739987445253291298286058008670806884765625	0.747307764995931211871038613026030361652374267578125	-0.4370330893158235	0.6889613565324174	GAPDH;PFKP
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	4/214	0.28430529567258522316564040011144243180751800537109375	0.711226112692390888270210780319757759571075439453125	0.31246080222578276330835933549678884446620941162109375	0.747307764995931211871038613026030361652374267578125	-0.511167088926682	0.6428982385396494	TIAM1;APC;ITGA3;FGFR2
Parkinson's disease_Homo sapiens_hsa05012	3/142	0.26591036314857963152036290921387262642383575439453125	0.711226112692390888270210780319757759571075439453125	0.289829595466735201458874371382989920675754547119140625	0.747307764995931211871038613026030361652374267578125	-0.4766495041630549	0.6313680302558763	ATP5B;ATP5J;UQCR10
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	3/151	0.296695776575502112581972369298455305397510528564453125	0.711226112692390888270210780319757759571075439453125	0.321873971405447989457826452053268440067768096923828125	0.747307764995931211871038613026030361652374267578125	-0.4390124063933306	0.5334211404146216	BCL2L11;PRKAG2;UQCR10
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	2/70	0.2205741224941411282589598386039142496883869171142578125	0.711226112692390888270210780319757759571075439453125	0.2391784844069018978185425794436014257371425628662109375	0.747307764995931211871038613026030361652374267578125	-0.3110247066462367	0.470120526196348	MAP3K1;MAP3K7
Hippo signaling pathway_Homo sapiens_hsa04390	3/153	0.303571848999757587517223100803676061332225799560546875	0.711226112692390888270210780319757759571075439453125	0.32901022521557543587533700701897032558917999267578125	0.747307764995931211871038613026030361652374267578125	-0.2691394420064695	0.3208510766778608	APC;FZD5;FZD7
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412	2/74	0.239173620421341548425431255964213050901889801025390625	0.711226112692390888270210780319757759571075439453125	0.258440527565455990810505682020448148250579833984375	0.747307764995931211871038613026030361652374267578125	-0.19695226834768187	0.2817531292075834	CACNB1;ITGA3
Antigen processing and presentation_Homo sapiens_hsa04612	2/77	0.253174437144585262604579156686668284237384796142578125	0.711226112692390888270210780319757759571075439453125	0.272908141717520480451497633112012408673763275146484375	0.747307764995931211871038613026030361652374267578125	-0.12453682349937732	0.17107331442039578	HSP90AA1;PSME3
Cardiac muscle contraction_Homo sapiens_hsa04260	2/78	0.257846614571276278038425289196311496198177337646484375	0.711226112692390888270210780319757759571075439453125	0.27773022359201260389482968093943782150745391845703125	0.747307764995931211871038613026030361652374267578125	-0.08878067254625538	0.12033247021128067	CACNB1;UQCR10
Small cell lung cancer_Homo sapiens_hsa05222	2/86	0.29520790049365885909793405517120845615863800048828125	0.711226112692390888270210780319757759571075439453125	0.316189638991841437398733205554890446364879608154296875	0.747307764995931211871038613026030361652374267578125	-0.07836380023199978	0.09560974674917448	ITGA3;BCL2
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	2/89	0.309164943152997973019324717824929393827915191650390625	0.711226112692390888270210780319757759571075439453125	0.33051289436624264883590740282670594751834869384765625	0.747307764995931211871038613026030361652374267578125	0	-0	RRP7A;MDN1
Influenza A_Homo sapiens_hsa05164	3/175	0.3791998902847435459761982201598584651947021484375	0.73895363234975663946357826716848649084568023681640625	0.407018728373629457006899201587657444179058074951171875	0.785077977215121070031500494224019348621368408203125	0.024127436309454634	-0.023396177094472306	DDX39B;FURIN;RAE1
