Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Alcoholism_Homo sapiens_hsa05034	12/179	0.00012450811219851375274102200929604578050202690064907073974609375	0.0256486711128938345283234667704164166934788227081298828125	0.0000537158924517098940458643963058449344316613860428333282470703125	0.01106547384505223753647928930377020151354372501373291015625	-1.9029766147618754	17.109928562441638	PPP1CB;HIST3H2A;HIST1H4K;HIST1H2AK;H2AFX;HIST1H4H;HIST1H3B;HIST1H2BB;HIST1H3C;CAMKK1;HIST1H2AB;ATF4
Apoptosis_Homo sapiens_hsa04210	9/140	0.00115951521292833995870064089928064277046360075473785400390625	0.07962004462107934166237299677959526889026165008544921875	0.00064095612234784543094490150139108664006926119327545166015625	0.04401232040121871857962787544238381087779998779296875	-1.90985279947837	12.910133727703547	DDIT3;IL3RA;CTSZ;PIK3R2;CTSD;ATF4;CTSB;LMNB1;MCL1
Systemic lupus erythematosus_Homo sapiens_hsa05322	9/135	0.000896396057867754141555705071908732861629687249660491943359375	0.07962004462107934166237299677959526889026165008544921875	0.000499787013959693770213943420088753555319271981716156005859375	0.04401232040121871857962787544238381087779998779296875	-1.7221752367056056	12.084724442568875	HIST3H2A;HIST1H4K;HIST1H2AK;H2AFX;HIST1H4H;HIST1H3B;HIST1H2BB;HIST1H3C;HIST1H2AB
Spliceosome_Homo sapiens_hsa03040	7/134	0.01209663251981974059490188011523059685714542865753173828125	0.52374656887523995951738697840482927858829498291015625	0.007596396781442775990311755407446980825625360012054443359375	0.391214434244302966536821486442931927740573883056640625	-1.722670084734299	7.605292416427107	HNRNPA3;HNRNPU;SNRPF;SRSF6;USP39;HSPA1B;LSM2
Lysine degradation_Homo sapiens_hsa00310	4/52	0.015254754433259416768198235558884334750473499298095703125	0.52374656887523995951738697840482927858829498291015625	0.01241470604746207871682539547464330098591744899749755859375	0.51148588915543757860149298721808008849620819091796875	-1.7242711325669704	7.21239174735501	NSD1;OGDH;OGDHL;COLGALT1
Lysosome_Homo sapiens_hsa04142	6/123	0.0263178253309324615416553427849066792987287044525146484375	0.77449600259601247831398040943895466625690460205078125	0.0177166943510635999103897120221517980098724365234375	0.52137700518844309893751187701127491891384124755859375	-1.6238835351645482	5.906890649568827	ATP6V0B;CTSZ;HEXA;AP3S1;CTSD;CTSB
Chronic myeloid leukemia_Homo sapiens_hsa05220	4/73	0.045588447476895221921466827552649192512035369873046875	0.92256004514947831385285326177836395800113677978515625	0.035414693926202271689884781835644389502704143524169921875	0.77252692125421795754647291687433607876300811767578125	-1.6756882482267768	5.174694453430228	MECOM;CDK4;CBLC;PIK3R2
Insulin signaling pathway_Homo sapiens_hsa04910	6/139	0.04378824556733855455359361030787113122642040252685546875	0.92256004514947831385285326177836395800113677978515625	0.0294837403850566649732289903340642922557890415191650390625	0.7592063149152090684168570078327320516109466552734375	-1.6003265588143483	5.006445385138848	PPP1CB;SOCS1;MKNK2;CBLC;PIK3R2;ACACA
RNA degradation_Homo sapiens_hsa03018	4/77	0.053595772033913503806790146200000890530645847320556640625	0.92256004514947831385285326177836395800113677978515625	0.04148209789133074087974506483078585006296634674072265625	0.77252692125421795754647291687433607876300811767578125	-1.549493346083681	4.534259281867215	TOB2;PATL1;SKIV2L2;LSM2
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	4/78	0.05570929501644360237744280084370984695851802825927734375	0.92256004514947831385285326177836395800113677978515625	0.04308557735211317185619606107138679362833499908447265625	0.77252692125421795754647291687433607876300811767578125	-1.4481319016523637	4.181637654616209	CBLC;PIK3R2;SEPT2;SEPT3
