Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Lysosome_Homo sapiens_hsa04142	15/123	0.00236091517259322432320534090877117705531418323516845703125	0.6398080117727638072011586700682528316974639892578125	0.00114441944926578129636263181367894503637216985225677490234375	0.31013767075102671721964497919543646275997161865234375	-1.7746146567851577	10.734122233660617	SORT1;CLTC;AP4B1;LITAF;GALNS;AP3M2;GNPTG;GNPTAB;GM2A;LAMP2;PPT1;ACP5;TPP1;ACP2;ATP6V0A1
Alzheimer's disease_Homo sapiens_hsa05010	15/168	0.0358457271472072680484899365183082409203052520751953125	0.9906188087348135606902133076800964772701263427734375	0.0159571698892869325014931547457308624871075153350830078125	0.9244866377816765012909172583022154867649078369140625	-1.7918169263368373	5.964118017219631	NDUFB9;MME;COX4I1;ATP5C1;CALML3;CACNA1F;ATP5O;PPP3CA;NCSTN;COX7A2L;PLCB4;CDK5;FAS;CYCS;NDUFS1
Protein export_Homo sapiens_hsa03060	4/23	0.031893355069792905798209403656073845922946929931640625	0.9906188087348135606902133076800964772701263427734375	0.0299478087095916591098276882121353992260992527008056640625	0.9244866377816765012909172583022154867649078369140625	-1.5578083201178337	5.367206728692904	OXA1L;SEC61A1;HSPA5;SEC11A
Carbon metabolism_Homo sapiens_hsa01200	11/113	0.0392988211962007893962578464197576977312564849853515625	0.9906188087348135606902133076800964772701263427734375	0.02167175704976652406141823803409351967275142669677734375	0.9244866377816765012909172583022154867649078369140625	-1.6346203116779785	5.290547951025383	PFKL;GPT2;CAT;OGDH;PGK1;AMT;ACO1;PHGDH;ACADM;TKT;GCK
Insulin resistance_Homo sapiens_hsa04931	10/109	0.0664763236257937817352825504713109694421291351318359375	0.9906188087348135606902133076800964772701263427734375	0.038470442527683869349264256243259296752512454986572265625	0.9244866377816765012909172583022154867649078369140625	-1.7289617358167795	4.687058674458337	PPP1CB;NFKBIA;RPS6KA3;CRTC2;INSR;GFPT1;NR1H3;PRKCZ;CPT1B;PCK2
Fanconi anemia pathway_Homo sapiens_hsa03460	6/53	0.062427533240530956593072886562367784790694713592529296875	0.9906188087348135606902133076800964772701263427734375	0.045925817334861722407435280501886154524981975555419921875	0.9244866377816765012909172583022154867649078369140625	-1.6200833580287635	4.493704372450633	MUS81;BRIP1;ERCC1;HES1;BRCA1;PALB2
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	9/98	0.0785829431258131816395717805789900012314319610595703125	0.9906188087348135606902133076800964772701263427734375	0.047894995376654335428323605583500466309487819671630859375	0.9244866377816765012909172583022154867649078369140625	-1.6396004204153487	4.170488632269732	INPP4A;PLCB4;PPIP5K1;INPPL1;PLCG2;PIP5K1A;CALML3;DGKZ;MTMR6
Thyroid cancer_Homo sapiens_hsa05216	4/29	0.06663751377972869371912878477814956568181514739990234375	0.9906188087348135606902133076800964772701263427734375	0.056834124498871353703410846947008394636213779449462890625	0.9244866377816765012909172583022154867649078369140625	-1.4793551146211723	4.006814969223824	TCF7L2;TFG;NCOA4;TPR
Insulin secretion_Homo sapiens_hsa04911	8/85	0.08404279449130079571173013164298026822507381439208984375	0.9906188087348135606902133076800964772701263427734375	0.054018001552724591307619306235210387967526912689208984375	0.9244866377816765012909172583022154867649078369140625	-1.5946149986155915	3.948951068212174	CAMK2D;PLCB4;RAB3A;ATP1A1;CACNA1F;KCNN4;GCK;GIP
Choline metabolism in cancer_Homo sapiens_hsa05231	9/101	0.09088915718207335459055684623308479785919189453125	0.9906188087348135606902133076800964772701263427734375	0.055361203807932468645702783760498277842998504638671875	0.9244866377816765012909172583022154867649078369140625	-1.6326493968250424	3.915280302699631	SLC22A4;CHKB;CHKA;PDGFC;EIF4EBP1;PIP5K1A;FOS;DGKZ;RALGDS
Glucagon signaling pathway_Homo sapiens_hsa04922	9/101	0.09088915718207335459055684623308479785919189453125	0.9906188087348135606902133076800964772701263427734375	0.055361203807932468645702783760498277842998504638671875	0.9244866377816765012909172583022154867649078369140625	-1.5802830308697684	3.789699757637502	PPP3CA;CRTC2;PFKL;CAMK2D;PLCB4;CALML3;CPT1B;GCK;PCK2
beta-Alanine metabolism_Homo sapiens_hsa00410	4/31	0.0812926509693052412597324973830836825072765350341796875	0.9906188087348135606902133076800964772701263427734375	0.06793449755553171431898817900219000875949859619140625	0.9244866377816765012909172583022154867649078369140625	-1.2847253665423826	3.224274816241554	ALDH3A1;ACADM;UPB1;SRM
Rheumatoid arthritis_Homo sapiens_hsa05323	8/90	0.10802396407388890897660616019493318162858486175537109375	0.9906188087348135606902133076800964772701263427734375	0.06924515689388288652850178550579585134983062744140625	0.9244866377816765012909172583022154867649078369140625	-1.4024687412542731	3.1210570038443577	ATP6V1G2;IL15;TNFSF13;ACP5;TNFRSF11A;FOS;TLR2;ATP6V0A1
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	4/30	0.073779896250609711128021217518835328519344329833984375	0.9906188087348135606902133076800964772701263427734375	0.062253145824119483775493932853350997902452945709228515625	0.9244866377816765012909172583022154867649078369140625	-1.1886123318786197	3.0983189102220363	ACLY;OGDH;ACO1;PCK2
Hippo signaling pathway_Homo sapiens_hsa04390	12/153	0.11834571980862489126717917997666518203914165496826171875	0.9906188087348135606902133076800964772701263427734375	0.06313621431015255247576334340919856913387775421142578125	0.9244866377816765012909172583022154867649078369140625	-1.3756548833578102	2.9358471412840608	PPP1CB;TCF7L2;RASSF1;FZD7;SNAI2;FZD10;GDF5;PRKCZ;TEAD1;YWHAG;BMPR1A;LLGL2
Ras signaling pathway_Homo sapiens_hsa04014	16/227	0.1581899750754340860936508761369623243808746337890625	0.9906188087348135606902133076800964772701263427734375	0.07410464401148851576461851209387532435357570648193359375	0.9244866377816765012909172583022154867649078369140625	-1.465401281245706	2.7021392866990324	NGFR;RALBP1;RALB;INSR;VEGFB;CALML3;RASAL3;ETS2;FGF16;RASSF1;FGF8;RASSF5;PDGFC;PLCG2;IKBKG;RALGDS
Long-term potentiation_Homo sapiens_hsa04720	6/66	0.140238818115419328069748416965012438595294952392578125	0.9906188087348135606902133076800964772701263427734375	0.09963324583961342961746510127341025508940219879150390625	0.9244866377816765012909172583022154867649078369140625	-1.3260151034479197	2.6048352952438316	PPP1CB;PPP3CA;RPS6KA3;CAMK2D;PLCB4;CALML3
Amphetamine addiction_Homo sapiens_hsa05031	6/67	0.14754289166038125902247202247963286936283111572265625	0.9906188087348135606902133076800964772701263427734375	0.10474218798431565724538216954897507093846797943115234375	0.9244866377816765012909172583022154867649078369140625	-1.3526542905924626	2.5884884256237677	PPP1CB;PPP3CA;CAMK2D;PPP1R1B;CALML3;FOS
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	13/180	0.167230325195272311322725045101833529770374298095703125	0.9906188087348135606902133076800964772701263427734375	0.08794292359908585654526547159548499621450901031494140625	0.9244866377816765012909172583022154867649078369140625	-1.2315194166099526	2.2024286646857854	NGFR;DDX5;CEBPB;CCNT2;JUP;H3F3A;JMJD1C;PLAT;DUSP6;TLX3;TSPAN7;PROM1;CDK14
Glutathione metabolism_Homo sapiens_hsa00480	5/52	0.1436003770791312861287991609060554765164852142333984375	0.9906188087348135606902133076800964772701263427734375	0.10788091298758227531973119539543404243886470794677734375	0.9244866377816765012909172583022154867649078369140625	-1.105402010034917	2.1452768904173567	GPX1;GSTA4;TXNDC12;GSTT1;SRM
Peroxisome_Homo sapiens_hsa04146	7/83	0.154991946783587908331725202515372075140476226806640625	0.9906188087348135606902133076800964772701263427734375	0.10454571694123594716163694329225108958780765533447265625	0.9244866377816765012909172583022154867649078369140625	-1.1084557696726596	2.066585117397902	MVK;PMVK;CAT;ACSL6;MPV17L2;PEX13;ABCD1
Oxidative phosphorylation_Homo sapiens_hsa00190	10/133	0.1745245482105449996712565052803256548941135406494140625	0.9906188087348135606902133076800964772701263427734375	0.1034910022968923704045351996683166362345218658447265625	0.9244866377816765012909172583022154867649078369140625	-1.1802764599732722	2.0603966597499235	NDUFB9;COX7A2L;ATP6V1G2;PPA2;COX4I1;COX17;ATP5C1;NDUFS1;ATP5O;ATP6V0A1
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	4/35	0.11485011981455095497750562572036869823932647705078125	0.9906188087348135606902133076800964772701263427734375	0.0931986414278080099737877617371850647032260894775390625	0.9244866377816765012909172583022154867649078369140625	-0.9271037672607729	2.006370578800409	ALDH4A1;IL4I1;GPT2;GFPT1
Inositol phosphate metabolism_Homo sapiens_hsa00562	6/71	0.1783870912353676396744361909441067837178707122802734375	0.9906188087348135606902133076800964772701263427734375	0.1264986678629094474235472489453968591988086700439453125	0.9244866377816765012909172583022154867649078369140625	-1.0458072441166364	1.802761920840453	INPP4A;PLCB4;INPPL1;PLCG2;PIP5K1A;MTMR6
Adipocytokine signaling pathway_Homo sapiens_hsa04920	6/70	0.1704427117218801635001312888562097214162349700927734375	0.9906188087348135606902133076800964772701263427734375	0.12086548342119472765343601849963306449353694915771484375	0.9244866377816765012909172583022154867649078369140625	-1.0165446539839553	1.7986294238129907	NFKBIA;ACSL6;IKBKG;JAK2;CPT1B;PCK2
Prolactin signaling pathway_Homo sapiens_hsa04917	6/72	0.1864774674819147382009987268247641623020172119140625	0.9906188087348135606902133076800964772701263427734375	0.1322574717747186101579615069567807950079441070556640625	0.9244866377816765012909172583022154867649078369140625	-1.0617244137701183	1.7831076147393268	SOCS1;CISH;TNFRSF11A;FOS;JAK2;GCK
Legionellosis_Homo sapiens_hsa05134	5/55	0.169565524967385028443089822758338414132595062255859375	0.9906188087348135606902133076800964772701263427734375	0.126792780800037030441984597928239963948726654052734375	0.9244866377816765012909172583022154867649078369140625	-0.9515712265986265	1.6885782229421782	NFKBIA;BCL2L13;CYCS;CXCL2;TLR2
B cell receptor signaling pathway_Homo sapiens_hsa04662	6/73	0.194707840292513256752471306754159741103649139404296875	0.9906188087348135606902133076800964772701263427734375	0.1381394222720537801052387294475920498371124267578125	0.9244866377816765012909172583022154867649078369140625	-1.0210200928832436	1.6706493329929943	NFKBIA;PPP3CA;INPPL1;PLCG2;FOS;IKBKG
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	4/39	0.153431305248200866575558620752417482435703277587890625	0.9906188087348135606902133076800964772701263427734375	0.12225472943311678497568806278650299645960330963134765625	0.9244866377816765012909172583022154867649078369140625	-0.8821090448930108	1.6535154643202274	INSR;NEDD4L;SFN;ATP1A1
AMPK signaling pathway_Homo sapiens_hsa04152	9/124	0.2185879104133057193593003830756060779094696044921875	0.9906188087348135606902133076800964772701263427734375	0.1368868767997167001926328566696611233055591583251953125	0.9244866377816765012909172583022154867649078369140625	-0.9733084614375426	1.4799807364067306	CRTC2;PFKL;CAB39;INSR;AKT1S1;EIF4EBP1;CPT1B;RAB8A;PCK2
Biosynthesis of amino acids_Homo sapiens_hsa01230	6/74	0.2030720578825524758048715057157096453011035919189453125	0.9906188087348135606902133076800964772701263427734375	0.1441419103794457090561564882591483183205127716064453125	0.9244866377816765012909172583022154867649078369140625	-0.8055945226695354	1.2842742750886371	PFKL;GPT2;PGK1;ACO1;PHGDH;TKT
Tuberculosis_Homo sapiens_hsa05152	12/178	0.24432322150308338759572279741405509412288665771484375	0.9906188087348135606902133076800964772701263427734375	0.13876626816408388354062708458513952791690826416015625	0.9244866377816765012909172583022154867649078369140625	-0.8785622625258526	1.2381255111802971	PPP3CA;IFNA13;CAMK2D;CEBPB;IL10RB;RFX5;LAMP2;CYCS;CALML3;JAK2;ATP6V0A1;TLR2
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412	6/74	0.2030720578825524758048715057157096453011035919189453125	0.9906188087348135606902133076800964772701263427734375	0.1441419103794457090561564882591483183205127716064453125	0.9244866377816765012909172583022154867649078369140625	-0.7496228331077097	1.1950445211433174	CACNB1;TCF7L2;JUP;ITGA3;CACNA1F;DSC2
Cardiac muscle contraction_Homo sapiens_hsa04260	6/78	0.2377400444307562199508510047962772659957408905029296875	0.9906188087348135606902133076800964772701263427734375	0.1693006968448266535975932356450357474386692047119140625	0.9244866377816765012909172583022154867649078369140625	-0.6692259479493121	0.9613949074798025	CACNB1;COX7A2L;TPM4;COX4I1;ATP1A1;CACNA1F
Glycerophospholipid metabolism_Homo sapiens_hsa00564	7/95	0.24507023203567623870213765258085913956165313720703125	0.9906188087348135606902133076800964772701263427734375	0.1674031447558342600157033075447543524205684661865234375	0.9244866377816765012909172583022154867649078369140625	-0.655813269789115	0.9222114720107849	CHKB;CHKA;GPD2;MBOAT7;ETNK1;LPIN1;DGKZ
Toxoplasmosis_Homo sapiens_hsa05145	8/118	0.296135951582219558719799579193932004272937774658203125	0.9906188087348135606902133076800964772701263427734375	0.1972254812077604835263144877899321727454662322998046875	0.9244866377816765012909172583022154867649078369140625	-0.5663813010859503	0.6892501542265681	NFKBIA;SOCS1;IL10RB;CYCS;LY96;IKBKG;JAK2;TLR2
Oxytocin signaling pathway_Homo sapiens_hsa04921	10/158	0.337553030616402016672594754709280095994472503662109375	0.9906188087348135606902133076800964772701263427734375	0.2135395321689937675468939914935617707669734954833984375	0.9244866377816765012909172583022154867649078369140625	-0.48127858499901593	0.5226842586239513	PPP1CB;CACNB1;RCAN1;PPP3CA;CAMK2D;PLCB4;CALML3;FOS;CACNA1F;PPP1R12B
Jak-STAT signaling pathway_Homo sapiens_hsa04630	10/158	0.337553030616402016672594754709280095994472503662109375	0.9906188087348135606902133076800964772701263427734375	0.2135395321689937675468939914935617707669734954833984375	0.9244866377816765012909172583022154867649078369140625	-0.4562692046278651	0.49552325490306864	IFNA13;SOCS1;CISH;IL15;IL10RB;LIFR;STAT6;IFNLR1;IL17D;JAK2
Rap1 signaling pathway_Homo sapiens_hsa04015	13/211	0.339317297021044794735900040905107744038105010986328125	0.9906188087348135606902133076800964772701263427734375	0.1966140671918729376788093077266239561140537261962890625	0.9244866377816765012909172583022154867649078369140625	-0.4537082998504603	0.4903768367469748	NGFR;RALB;INSR;VEGFB;CALML3;PRKCZ;FGF16;PLCB4;FGF8;RASSF5;PDGFC;RALGDS;BCAR1
HIF-1 signaling pathway_Homo sapiens_hsa04066	7/103	0.31236849897630902805900632301927544176578521728515625	0.9906188087348135606902133076800964772701263427734375	0.2167217488852390683273796412322553806006908416748046875	0.9244866377816765012909172583022154867649078369140625	-0.41750504368679486	0.48579705412761165	PFKL;CAMK2D;TFRC;INSR;EIF4EBP1;PLCG2;PGK1
Insulin signaling pathway_Homo sapiens_hsa04910	9/139	0.32586939259920910672008176334202289581298828125	0.9906188087348135606902133076800964772701263427734375	0.2118344374761635673376503063991549424827098846435546875	0.9244866377816765012909172583022154867649078369140625	-0.41980155268629765	0.4707061071579933	PPP1CB;SOCS1;INSR;INPPL1;EIF4EBP1;CALML3;PRKCZ;GCK;PCK2
Renin secretion_Homo sapiens_hsa04924	5/64	0.256436211626731136448142933659255504608154296875	0.9906188087348135606902133076800964772701263427734375	0.1914708614886150017664334654909907840192317962646484375	0.9244866377816765012909172583022154867649078369140625	-0.2937441685255087	0.39974919313378265	PPP3CA;PLCB4;PDE1C;CALML3;CACNA1F
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	5/67	0.2875269316619790682665325221023522317409515380859375	0.9906188087348135606902133076800964772701263427734375	0.2152449459513798568632836349934223107993602752685546875	0.9244866377816765012909172583022154867649078369140625	-0.2806278676177643	0.3497854479073357	ALDH3A1;PFKL;PGK1;GCK;PCK2
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	7/106	0.33847997798519979806286528400960378348827362060546875	0.9906188087348135606902133076800964772701263427734375	0.2364550740297891862073953461731434799730777740478515625	0.9244866377816765012909172583022154867649078369140625	-0.2981905209347891	0.3230269100957008	NFKBIA;CXCL11;IFNA13;LY96;FOS;IKBKG;TLR2
Parkinson's disease_Homo sapiens_hsa05012	9/142	0.3485652529100493612901345841237343847751617431640625	0.9906188087348135606902133076800964772701263427734375	0.2285241378913289711505285595194436609745025634765625	0.9244866377816765012909172583022154867649078369140625	-0.261404236164429	0.27550172138960577	NDUFB9;COX7A2L;COX4I1;ATP5C1;CYCS;VDAC2;NDUFS1;ATP5O;SEPT5
Metabolic pathways_Homo sapiens_hsa01100	69/1239	0.377452168861587222803422037031850777566432952880859375	0.9906188087348135606902133076800964772701263427734375	0.06450861802118872112554726072630728594958782196044921875	0.9244866377816765012909172583022154867649078369140625	-0.22362014013663523	0.2178756570202658	GALNT11;COX4I1;ATP5C1;IL4I1;SMPD2;NSDHL;NNT;PHGDH;ACADM;CERS5;ATP6V1G2;GPT2;SORD;AMT;ACSL6;UPB1;DGKZ;NME1;INPP4A;ACLY;ALDH3A1;PLCB4;BDH1;POLG2;ACOT1;NDUFS1;TKT;PON3;NDUFB9;MVK;PRIM1;COX17;GMPS;HSD17B3;ATP5O;MTMR6;SRM;PMVK;RDH16;PGK1;MAN1C1;PLCG2;PIP5K1A;PCK2;ATP6V0A1;CHKB;CHKA;MMAB;GFPT1;B3GALT4;PRDX6;GCK;TRIT1;COQ6;ALDH4A1;GALNS;EXT2;PFKL;NAGK;CYP24A1;NMNAT1;IMPDH1;ETNK1;TBXAS1;PPT1;OGDH;CYCS;ACO1;LPIN1
Pathways in cancer_Homo sapiens_hsa05200	23/397	0.375253187370907903552819107062532566487789154052734375	0.9906188087348135606902133076800964772701263427734375	0.173416698674735358931542350546806119382381439208984375	0.9244866377816765012909172583022154867649078369140625	-0.2145475145344956	0.21028967203871474	TCF7L2;RALBP1;RALB;JUP;ITGA3;FZD7;NCOA4;VEGFB;FZD10;FOS;NFKBIA;FGF16;RASSF1;PLCB4;FGF8;TFG;RASSF5;TPR;PLCG2;FAS;CYCS;IKBKG;RALGDS
Phospholipase D signaling pathway_Homo sapiens_hsa04072	9/144	0.3638201563795337989404288236983120441436767578125	0.9906188087348135606902133076800964772701263427734375	0.2399160782610233189071635706568486057221889495849609375	0.9244866377816765012909172583022154867649078369140625	-0.1381242297030243	0.1396568021936427	RALB;PLCB4;INSR;PDGFC;PLCG2;PIP5K1A;FCER1A;DGKZ;RALGDS
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	5/68	0.29804374573122383029755155803286470472812652587890625	0.9906188087348135606902133076800964772701263427734375	0.223370148744781282790228260637377388775348663330078125	0.9244866377816765012909172583022154867649078369140625	-0.1037661289094265	0.1256104561069565	NFKBIA;ATP6V1G2;PLCG2;IKBKG;ATP6V0A1
Type II diabetes mellitus_Homo sapiens_hsa04930	4/48	0.25372420680794238734279133495874702930450439453125	0.9906188087348135606902133076800964772701263427734375	0.199038188860604481345006888659554533660411834716796875	0.9244866377816765012909172583022154867649078369140625	-0.05972935414233889	0.08191925131335064	SOCS1;INSR;PRKCZ;GCK
