Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Chemokine signaling pathway_Homo sapiens_hsa04062	4/187	0.0126162702214545445478233176572757656686007976531982421875	0.5050819256233511911347022760310210287570953369140625	0.0031131717779155948684632893019852417637594044208526611328125	0.257466994450747221900854810883174650371074676513671875	-1.928166914262193	8.43142660178739	LYN;GSK3A;GNB1;NFKB1
Cocaine addiction_Homo sapiens_hsa05030	2/49	0.0231649552836582610371163326590249198488891124725341796875	0.5050819256233511911347022760310210287570953369140625	0.01183517124900539292664536361598948133178055286407470703125	0.257466994450747221900854810883174650371074676513671875	-1.846969339049082	6.954051391275625	NFKB1;ATF4
Dopaminergic synapse_Homo sapiens_hsa04728	3/129	0.024253533853465895908652072421318734996020793914794921875	0.5050819256233511911347022760310210287570953369140625	0.00869691686983375088215719728168551228009164333343505859375	0.257466994450747221900854810883174650371074676513671875	-1.8411929944341785	6.8477519976756795	GSK3A;GNB1;ATF4
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	3/151	0.0362238725760609947545987097328179515898227691650390625	0.5050819256233511911347022760310210287570953369140625	0.01322304142940552811047449921488805557601153850555419921875	0.257466994450747221900854810883174650371074676513671875	-1.885690608397406	6.256791047184814	GSK3A;NFKB1;ATF4
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	2/67	0.041207302303359720496711560144831310026347637176513671875	0.5050819256233511911347022760310210287570953369140625	0.021015729281535479311404657210005098022520542144775390625	0.257466994450747221900854810883174650371074676513671875	-1.8837813900228713	6.00764220157659	ADPGK;ACSS1
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	2/68	0.04232612590670596641739820142902317456901073455810546875	0.5050819256233511911347022760310210287570953369140625	0.0215911936591105003968582565221367985941469669342041015625	0.257466994450747221900854810883174650371074676513671875	-1.774661724984816	5.612102836751519	LYN;NFKB1
B cell receptor signaling pathway_Homo sapiens_hsa04662	2/73	0.048087771085565604589628918574817362241446971893310546875	0.5050819256233511911347022760310210287570953369140625	0.0245663052123952542482587801941917859949171543121337890625	0.257466994450747221900854810883174650371074676513671875	-1.7618728551180365	5.346803782194367	LYN;NFKB1
Thyroid hormone synthesis_Homo sapiens_hsa04918	2/71	0.045750131277172034760525320962187834084033966064453125	0.5050819256233511911347022760310210287570953369140625	0.02335688235008552549043514545701327733695507049560546875	0.257466994450747221900854810883174650371074676513671875	-1.6768814691825913	5.17244254058998	ATP1B1;ATF4
Prostate cancer_Homo sapiens_hsa05215	2/89	0.0682453389848141356299748849778552539646625518798828125	0.5050819256233511911347022760310210287570953369140625	0.0351276651916094528882439362860168330371379852294921875	0.257466994450747221900854810883174650371074676513671875	-1.7129425408089338	4.598644581101447	NFKB1;ATF4
Insulin secretion_Homo sapiens_hsa04911	2/85	0.06297683586117884535493516295900917612016201019287109375	0.5050819256233511911347022760310210287570953369140625	0.03234447753622615717716826111427508294582366943359375	0.257466994450747221900854810883174650371074676513671875	-1.6567496797544972	4.580893488744889	ATP1B1;ATF4
