Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
RNA degradation_Homo sapiens_hsa03018	3/77	0.004180009601732872885626601799913260038010776042938232421875	0.418000462776179915191931968365679495036602020263671875	0.006552444208904014029404283547819431987591087818145751953125	0.56526273623720679761817109465482644736766815185546875	-1.8713922777399978	10.2504421653662	EDC4;TTC37;DCP2
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	2/30	0.0070252178617845363606253528132583596743643283843994140625	0.418000462776179915191931968365679495036602020263671875	0.0102453457336314675274469010446409811265766620635986328125	0.56526273623720679761817109465482644736766815185546875	-1.6012759604536895	7.939525012733003	MDH2;OGDH
Apoptosis_Homo sapiens_hsa04210	3/140	0.0211884058223235187401467527479326236061751842498779296875	0.49434636354382022194187129571218974888324737548828125	0.030983799154790943319870422101303120143711566925048828125	0.56526273623720679761817109465482644736766815185546875	-1.8841494994513188	7.262079567583362	DAB2IP;PIK3R1;TUBA4A
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	2/48	0.0173509436625123823760841190733117400668561458587646484375	0.49434636354382022194187129571218974888324737548828125	0.02397287404397975552061694770600297488272190093994140625	0.56526273623720679761817109465482644736766815185546875	-1.7639747395925531	7.151344781472354	GFPT2;AMDHD2
Acute myeloid leukemia_Homo sapiens_hsa05221	2/57	0.023961512682303474919276453647398739121854305267333984375	0.49434636354382022194187129571218974888324737548828125	0.032594942917294082718182579583299229852855205535888671875	0.56526273623720679761817109465482644736766815185546875	-1.8767452970563414	7.002711689422861	STAT5A;PIK3R1
Metabolic pathways_Homo sapiens_hsa01100	10/1239	0.034481913971598783519301179012472857721149921417236328125	0.49434636354382022194187129571218974888324737548828125	0.06529383353211377916114344088782672770321369171142578125	0.56526273623720679761817109465482644736766815185546875	-1.8874235148345326	6.35555956359309	DPAGT1;SPTLC2;MDH2;GFPT2;HSD17B1;OGDH;GCNT2;ATP6V0C;GANC;COASY
Prolactin signaling pathway_Homo sapiens_hsa04917	2/72	0.0368600617230196714313450456756982021033763885498046875	0.49434636354382022194187129571218974888324737548828125	0.0492064746560330334990140954687376506626605987548828125	0.56526273623720679761817109465482644736766815185546875	-1.7729766909559255	5.851934119927031	STAT5A;PIK3R1
Chronic myeloid leukemia_Homo sapiens_hsa05220	2/73	0.037797047892748146524777297372565953992307186126708984375	0.49434636354382022194187129571218974888324737548828125	0.050404616832452849017887075433463905937969684600830078125	0.56526273623720679761817109465482644736766815185546875	-1.708435993611003	5.596023573596674	STAT5A;PIK3R1
ErbB signaling pathway_Homo sapiens_hsa04012	2/87	0.05183020924358679171195518620152142830193042755126953125	0.49434636354382022194187129571218974888324737548828125	0.06823817325789534316005102709823404438793659210205078125	0.56526273623720679761817109465482644736766815185546875	-1.6622641803019222	4.9199397824116815	STAT5A;PIK3R1
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	2/101	0.06741014358331330613705034693339257501065731048583984375	0.49434636354382022194187129571218974888324737548828125	0.0878312485833747935703996745360200293362140655517578125	0.56526273623720679761817109465482644736766815185546875	-1.8047286825810176	4.867280660119531	STAT5A;PIK3R1
