Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	18/142	0.000239399068455254326014125521027153808972798287868499755859375	0.057934574566171549714344024550882750190794467926025390625	0.0000566686187288477249859690310085369446824188344180583953857421875	0.01371380573238114956857724990868518943898379802703857421875	-1.828800790509056	15.247404676888667	FZD3;ZFHX3;FZD5;FZD4;PIK3CD;LIFR;BMI1;SMAD5;MEIS1;REST;WNT11;APC;MYC;ID2;GRB2;OTX1;RAF1;JAK2
Pathways in cancer_Homo sapiens_hsa05200	32/397	0.004994085293755540395921332930129210581071674823760986328125	0.6042843205444203835696725946036167442798614501953125	0.0003630152208599848212035310357492789989919401705265045166015625	0.0439248417240581667808640986550017260015010833740234375	-2.0830857455542535	11.03931500836561	EPAS1;PTGER1;PTEN;PDGFA;PIK3CD;ADCY7;CRKL;WNT11;CDH1;MYC;RASSF5;SUFU;TPR;ABL1;ITGAV;SKP2;PDGFRA;FZD3;FZD5;FZD4;F2R;MITF;GNG11;RUNX1;ADCY9;PLCB4;TRAF4;APC;COL4A6;COL4A5;GRB2;RAF1
Endometrial cancer_Homo sapiens_hsa05213	7/52	0.01385933818333434132397119498136817128397524356842041015625	0.77228113270820519797865699729300104081630706787109375	0.00828945690763548126422932682544342242181301116943359375	0.401209714329557265433123802722548134624958038330078125	-1.8765980617364586	8.029580348625194	APC;CDH1;MYC;PTEN;PIK3CD;GRB2;RAF1
Spliceosome_Homo sapiens_hsa03040	13/134	0.01595622175016953026016608419013209640979766845703125	0.77228113270820519797865699729300104081630706787109375	0.005367669009390692476391127030410643783397972583770751953125	0.401209714329557265433123802722548134624958038330078125	-1.6980203719263425	7.026249444864115	SF3B5;CDC5L;HSPA2;MAGOHB;PQBP1;SNRNP40;SNW1;SRSF2;ACIN1;SNRPA1;RP9;SRSF9;RBM22
Dorso-ventral axis formation_Homo sapiens_hsa04320	5/27	0.0096857382102175197668980644039038452319800853729248046875	0.77228113270820519797865699729300104081630706787109375	0.0078613453113264390725856145536454278044402599334716796875	0.401209714329557265433123802722548134624958038330078125	-1.5036866386500036	6.972746459415927	NOTCH1;SPIRE2;GRB2;CPEB3;ETV6
Melanogenesis_Homo sapiens_hsa04916	10/100	0.02670429023586527728095774136818363331258296966552734375	0.8453750046217012314997418798157013952732086181640625	0.0115404716166853348047194316450259066186845302581787109375	0.422822538275653914130458588260808028280735015869140625	-1.7960762271444006	6.507060319800971	FZD3;ADCY9;MC1R;WNT11;PLCB4;FZD5;FZD4;MITF;RAF1;ADCY7
Gap junction_Homo sapiens_hsa04540	9/88	0.0304053981301272598092300114558383938856422901153564453125	0.8453750046217012314997418798157013952732086181640625	0.01429359519987682437813791835878873826004564762115478515625	0.422822538275653914130458588260808028280735015869140625	-1.6233720161235567	5.670657796280972	PDGFRA;ADCY9;PLCB4;CDK1;PDGFA;GRB2;RAF1;ADCY7;MAP2K5
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	9/98	0.054468577827718245298882493443670682609081268310546875	0.8453750046217012314997418798157013952732086181640625	0.02552497312849517918653674541928921826183795928955078125	0.422822538275653914130458588260808028280735015869140625	-1.660530847509253	4.832362789308926	ANAPC13;RPS6KA3;ADCY9;PDE3B;CDK1;PIK3CD;CPEB3;RAF1;ADCY7
Cell cycle_Homo sapiens_hsa04110	11/124	0.04449069188184971712640702889984822832047939300537109375	0.8453750046217012314997418798157013952732086181640625	0.0178201735307077537007192091778051690198481082916259765625	0.422822538275653914130458588260808028280735015869140625	-1.530959788678669	4.765074501351173	ANAPC13;WEE1;GADD45A;MYC;ORC3;ORC2;ABL1;CDK1;CDC6;SKP2;YWHAH
Phospholipase D signaling pathway_Homo sapiens_hsa04072	12/144	0.0549665994386570044838435933343134820461273193359375	0.8453750046217012314997418798157013952732086181640625	0.0206529651083496579300202711237943731248378753662109375	0.422822538275653914130458588260808028280735015869140625	-1.6163678825854082	4.689131009080399	PDGFRA;ADCY9;PLCB4;INSR;F2R;PDGFA;PIK3CD;GRB2;PIP5K1C;RAF1;ADCY7;RAPGEF3
