Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ribosome_Homo sapiens_hsa03010	9/137	0.00422504146019037248038774379210735787637531757354736328125	0.576921867315891123695337228127755224704742431640625	0.0040921808422487472578499279052266501821577548980712890625	0.5931050110327797941778271706425584852695465087890625	-1.7461380490451637	9.54565863053925	RPS25;RPL3;RPS19;RPLP1;RPLP2;MRPL34;RSL24D1;RPL39;UBA52
Glycerophospholipid metabolism_Homo sapiens_hsa00564	7/95	0.00604106667346482849312305773992193280719220638275146484375	0.576921867315891123695337228127755224704742431640625	0.006210523675735914184148356298464932478964328765869140625	0.5931050110327797941778271706425584852695465087890625	-1.6998665832974702	8.684915308564442	PTDSS2;PTDSS1;GPD2;GPD1;PNPLA6;AGPAT2;LPIN3
Purine metabolism_Homo sapiens_hsa00230	9/176	0.0198719554366993990390799496026374981738626956939697265625	0.96854539890464241835843495209701359272003173828125	0.01798137425278649448312506820002454333007335662841796875	0.95531736527691624161207073484547436237335205078125	-1.7279443151413476	6.770856171515862	CANT1;POLR3B;PDE4D;POLR3E;PDE4B;ENPP4;PDE7B;POLR2J;NME1
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	4/51	0.0287147460463778904371512368243202217854559421539306640625	0.96854539890464241835843495209701359272003173828125	0.0300138950804460791221828230845858342945575714111328125	0.95531736527691624161207073484547436237335205078125	-1.7302725201861502	6.143063505889838	GPX1;ALS2;CASP3;MAP2K6
Pyrimidine metabolism_Homo sapiens_hsa00240	6/105	0.033126217562083636047898238530251546762883663177490234375	0.96854539890464241835843495209701359272003173828125	0.03199199082120039727694660314227803610265254974365234375	0.95531736527691624161207073484547436237335205078125	-1.6802031985001824	5.725175185830882	CANT1;POLR3B;TXNRD1;POLR3E;POLR2J;NME1
RNA polymerase_Homo sapiens_hsa03020	3/32	0.035824877041553293555153913985122926533222198486328125	0.96854539890464241835843495209701359272003173828125	0.03860232862044832291559259829227812588214874267578125	0.95531736527691624161207073484547436237335205078125	-1.6010183471997212	5.329970572586542	POLR3B;POLR3E;POLR2J
mRNA surveillance pathway_Homo sapiens_hsa03015	5/91	0.057077127010213668523164187718066386878490447998046875	0.96854539890464241835843495209701359272003173828125	0.0553153597574158328864513123335200361907482147216796875	0.95531736527691624161207073484547436237335205078125	-1.559555764038765	4.465556835862565	RNGTT;CPSF2;CSTF1;PPP2R5D;SRRM1
AMPK signaling pathway_Homo sapiens_hsa04152	6/124	0.064676640231586535190189124477910809218883514404296875	0.96854539890464241835843495209701359272003173828125	0.06081257079263484299769260132961790077388286590576171875	0.95531736527691624161207073484547436237335205078125	-1.6131122138330536	4.417274202953511	RAB2A;PFKFB2;STK11;INSR;PPP2R5D;ADIPOR1
Adipocytokine signaling pathway_Homo sapiens_hsa04920	4/70	0.07568815715459652204710749856531037949025630950927734375	0.96854539890464241835843495209701359272003173828125	0.07443276597170493669164414995975675992667675018310546875	0.95531736527691624161207073484547436237335205078125	-1.5220630028978241	3.928647920401908	STK11;ACSL5;PTPN11;ADIPOR1
Fat digestion and absorption_Homo sapiens_hsa04975	3/41	0.06639361492051011615078692784663871861994266510009765625	0.96854539890464241835843495209701359272003173828125	0.06803926397913097334768650625846930779516696929931640625	0.95531736527691624161207073484547436237335205078125	-1.4317878114640263	3.8832295954886438	ABCG8;ABCG5;AGPAT2
Adherens junction_Homo sapiens_hsa04520	4/74	0.088663622650387463597354553712648339569568634033203125	0.96854539890464241835843495209701359272003173828125	0.0865386881774145300116884982344345189630985260009765625	0.95531736527691624161207073484547436237335205078125	-1.5345839710338558	3.7181520824613385	TCF7L2;CSNK2A1;INSR;ACTN4
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	7/169	0.09267202544333340286097921989494352601468563079833984375	0.96854539890464241835843495209701359272003173828125	0.084549871256209441217066569151938892900943756103515625	0.95531736527691624161207073484547436237335205078125	-1.5516973426826992	3.6910048217506115	ERN1;BAG2;SSR4;EIF2AK3;YOD1;HSP90B1;SEC63
