Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Viral carcinogenesis_Homo sapiens_hsa05203	9/205	0.002783586369079024507022790402288592304103076457977294921875	0.2042489278206560954220805115255643613636493682861328125	0.002304728839527057059066716959705445333383977413177490234375	0.1863726070809452739496236972627229988574981689453125	-1.9569049474870803	11.514458303082629	KAT2B;HIST1H4A;SP100;HIST1H4B;HIST1H2BJ;HIST1H4I;GTF2H4;YWHAG;HDAC6
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	4/39	0.0022428870407896774573364151450505232787691056728363037109375	0.2042489278206560954220805115255643613636493682861328125	0.00257932102886992802026622229050190071575343608856201171875	0.1863726070809452739496236972627229988574981689453125	-1.8804263683088835	11.470584647720484	IRS1;SFN;ATP1B1;SGK1
Systemic lupus erythematosus_Homo sapiens_hsa05322	7/135	0.0032592914013934485249757155855832024826668202877044677734375	0.2042489278206560954220805115255643613636493682861328125	0.002974030964057637442532477933809786918573081493377685546875	0.1863726070809452739496236972627229988574981689453125	-1.6971959991452406	9.718560899712733	HIST1H4A;HIST1H4B;HIST1H3A;C7;HIST1H2BJ;HIST1H4I;HIST1H2AG
Alcoholism_Homo sapiens_hsa05034	7/179	0.01447419756954605729593055229997844435274600982666015625	0.68028728576866470678652376591344363987445831298828125	0.01263888161770752339985168788416558527387678623199462890625	0.59402743603225360846664671043981797993183135986328125	-1.827771127094095	7.741319336711234	HIST1H4A;HIST1H4B;HIST1H3A;HIST1H2BJ;HIST1H4I;HIST1H2AG;HDAC6
Neurotrophin signaling pathway_Homo sapiens_hsa04722	5/120	0.0287645231599662869192979286481204326264560222625732421875	0.790316188064616564901143647148273885250091552734375	0.026668430457990853488237092960844165645539760589599609375	0.7697083392039398841433239795151166617870330810546875	-1.7788011597904259	6.312276005558	NGFR;MAPK9;IRS1;IRAK2;MAPK14
Nucleotide excision repair_Homo sapiens_hsa03420	3/47	0.0292903506950721280455152140120844705961644649505615234375	0.790316188064616564901143647148273885250091552734375	0.0296440586964999176766699662266546511091291904449462890625	0.7697083392039398841433239795151166617870330810546875	-1.662043400860523	5.86783948162522	ERCC1;XPA;GTF2H4
Choline metabolism in cancer_Homo sapiens_hsa05231	4/101	0.0564647045876610909065362875480786897242069244384765625	0.790316188064616564901143647148273885250091552734375	0.0532438946531131052086749377849628217518329620361328125	0.7697083392039398841433239795151166617870330810546875	-1.746097839966144	5.018528831376917	SLC22A4;MAPK9;SLC44A3;DGKA
Herpes simplex infection_Homo sapiens_hsa05168	6/185	0.049632954100584263101847426469248603098094463348388671875	0.790316188064616564901143647148273885250091552734375	0.044070497881535213025028241418112884275615215301513671875	0.7697083392039398841433239795151166617870330810546875	-1.634324461690906	4.908040230007976	MAPK9;SP100;PER3;MED8;SRSF4;TAF3
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	3/66	0.06806508262124515151736403595350566320121288299560546875	0.790316188064616564901143647148273885250091552734375	0.0661119978252620033032371793524362146854400634765625	0.7697083392039398841433239795151166617870330810546875	-1.7942030003594773	4.821545456909469	DARS2;EPRS;VARS2
Insulin resistance_Homo sapiens_hsa04931	4/109	0.07060368867377807278185031236716895364224910736083984375	0.790316188064616564901143647148273885250091552734375	0.06620576050673947221536508322969893924891948699951171875	0.7697083392039398841433239795151166617870330810546875	-1.5699176311748424	4.1613381018881626	MAPK9;SLC27A1;TBC1D4;IRS1
Shigellosis_Homo sapiens_hsa05131	3/65	0.06563404294411522010843640373423113487660884857177734375	0.790316188064616564901143647148273885250091552734375	0.06383971280092652633708638632015208713710308074951171875	0.7697083392039398841433239795151166617870330810546875	-1.4541093000052825	3.9605004561816557	MAD2L2;MAPK9;MAPK14
