Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Alcoholism_Homo sapiens_hsa05034	2/179	0.08966583693848879932364326350580086000263690948486328125	0.449170282801582942955320731925894506275653839111328125	0.07707084100837835460851010793703608214855194091796875	0.422177550396671874555210024482221342623233795166015625	-1.8528396229833552	4.468429287511882	PPP1R1B;H2AFV
Purine metabolism_Homo sapiens_hsa00230	2/176	0.0871306140521289351763556396690546534955501556396484375	0.449170282801582942955320731925894506275653839111328125	0.07486493210444107593293239233389613218605518341064453125	0.422177550396671874555210024482221342623233795166015625	-1.7516133589648106	4.274544362311961	PKM;APRT
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563	1/25	0.06773701907455763338017362684695399366319179534912109375	0.449170282801582942955320731925894506275653839111328125	0.06461328108962784144697621968589373864233493804931640625	0.422177550396671874555210024482221342623233795166015625	-1.5709318579295426	4.2291409032313325	PIGP
Epstein-Barr virus infection_Homo sapiens_hsa05169	2/202	0.10979359740271728285154750892615993507206439971923828125	0.449170282801582942955320731925894506275653839111328125	0.0946599191399386252765424387689563445746898651123046875	0.422177550396671874555210024482221342623233795166015625	-1.8492378021007467	4.085249354832672	NCOR2;NEDD4
Pyruvate metabolism_Homo sapiens_hsa00620	1/40	0.106194192109895058084845231860526837408542633056640625	0.449170282801582942955320731925894506275653839111328125	0.10007512762261712435662985853923601098358631134033203125	0.422177550396671874555210024482221342623233795166015625	-1.78260962986074	3.9974768886851693	PKM
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	1/44	0.11618349169288288980084189461194910109043121337890625	0.449170282801582942955320731925894506275653839111328125	0.10931492171366720411729289708091528154909610748291015625	0.422177550396671874555210024482221342623233795166015625	-1.7425584154613114	3.7510042576047846	DYNLL2
Type II diabetes mellitus_Homo sapiens_hsa04930	1/48	0.1260631211490661207630381568378652445971965789794921875	0.449170282801582942955320731925894506275653839111328125	0.1184650673635357642776710918042226694524288177490234375	0.422177550396671874555210024482221342623233795166015625	-1.7133791873973792	3.548361240801634	PKM
Cocaine addiction_Homo sapiens_hsa05030	1/49	0.12851603140089984389504706996376626193523406982421875	0.449170282801582942955320731925894506275653839111328125	0.12073869235205057781623594337361282669007778167724609375	0.422177550396671874555210024482221342623233795166015625	-1.5219688802839026	3.1226260240329715	PPP1R1B
Notch signaling pathway_Homo sapiens_hsa04330	1/48	0.1260631211490661207630381568378652445971965789794921875	0.449170282801582942955320731925894506275653839111328125	0.1184650673635357642776710918042226694524288177490234375	0.422177550396671874555210024482221342623233795166015625	-1.454030684508492	3.011257614073954	NCOR2
Amphetamine addiction_Homo sapiens_hsa05031	1/67	0.1715296507297171257899748297859332524240016937255859375	0.449170282801582942955320731925894506275653839111328125	0.160728964755293135535652027101605199277400970458984375	0.422177550396671874555210024482221342623233795166015625	-1.6856953311656462	2.9718794136983853	PPP1R1B
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	1/67	0.1715296507297171257899748297859332524240016937255859375	0.449170282801582942955320731925894506275653839111328125	0.160728964755293135535652027101605199277400970458984375	0.422177550396671874555210024482221342623233795166015625	-1.6100722520512676	2.8385559905000197	PKM
Central carbon metabolism in cancer_Homo sapiens_hsa05230	1/67	0.1715296507297171257899748297859332524240016937255859375	0.449170282801582942955320731925894506275653839111328125	0.160728964755293135535652027101605199277400970458984375	0.422177550396671874555210024482221342623233795166015625	-1.5452352419421322	2.724248397647015	PKM
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412	1/74	0.187687984657093409612826917509664781391620635986328125	0.449170282801582942955320731925894506275653839111328125	0.1758117412178926419752400533980107866227626800537109375	0.422177550396671874555210024482221342623233795166015625	-1.4059191287602428	2.3520666419769567	ITGAV
RNA degradation_Homo sapiens_hsa03018	1/77	0.1945178581092036063093786424360587261617183685302734375	0.449170282801582942955320731925894506275653839111328125	0.1821971024698380847706147278586286120116710662841796875	0.422177550396671874555210024482221342623233795166015625	-1.4207337734211543	2.3260698094426937	PAN2
Biosynthesis of amino acids_Homo sapiens_hsa01230	1/74	0.187687984657093409612826917509664781391620635986328125	0.449170282801582942955320731925894506275653839111328125	0.1758117412178926419752400533980107866227626800537109375	0.422177550396671874555210024482221342623233795166015625	-1.3529575986281275	2.263463360476937	PKM
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	1/89	0.221277826296911062087247046292759478092193603515625	0.449170282801582942955320731925894506275653839111328125	0.207274338025147386588287190534174442291259765625	0.422177550396671874555210024482221342623233795166015625	-1.4242889901576317	2.1483066921526075	WDR36
Small cell lung cancer_Homo sapiens_hsa05222	1/86	0.214670855411146110913733764391508884727954864501953125	0.449170282801582942955320731925894506275653839111328125	0.20107402036569099745833000270067714154720306396484375	0.422177550396671874555210024482221342623233795166015625	-1.354689770992566	2.0843925070750684	ITGAV
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	1/83	0.20800883781344225997855801324476487934589385986328125	0.449170282801582942955320731925894506275653839111328125	0.19482792091676326418081544034066610038280487060546875	0.422177550396671874555210024482221342623233795166015625	-1.3266052461316737	2.0830020085522896	ITGAV
ECM-receptor interaction_Homo sapiens_hsa04512	1/82	0.20577585497027495176070033267023973166942596435546875	0.449170282801582942955320731925894506275653839111328125	0.192735659122675706544924878471647389233112335205078125	0.422177550396671874555210024482221342623233795166015625	-1.2567930122332178	1.9869492650715759	ITGAV
