Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Acute myeloid leukemia_Homo sapiens_hsa05221	2/57	0.0026757929446087230264395007139910376281477510929107666015625	0.1504711910787479289819401628847117535769939422607421875	0.004339630911286780114155536836051396676339209079742431640625	0.2324231506170001682054504499319591559469699859619140625	-2.041649609237026	12.09373088593602	JUP;PIK3R1
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	2/98	0.007702241803097129892174965704043643199838697910308837890625	0.1504711910787479289819401628847117535769939422607421875	0.01207560242606644899943102444694886798970401287078857421875	0.2324231506170001682054504499319591559469699859619140625	-1.912342155491464	9.305923251797164	CDC26;PIK3R1
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	2/104	0.008636384113880395119178245977309416048228740692138671875	0.1504711910787479289819401628847117535769939422607421875	0.0134988485797022349232943128072292893193662166595458984375	0.2324231506170001682054504499319591559469699859619140625	-1.778937377700561	8.453103556467731	PPP2R1B;PIK3R1
Oocyte meiosis_Homo sapiens_hsa04114	2/123	0.01190964610889541468174979144123426522128283977508544921875	0.1504711910787479289819401628847117535769939422607421875	0.0184631977179220453655350553390235290862619876861572265625	0.2324231506170001682054504499319591559469699859619140625	-1.77777606703772	7.876270838210587	PPP2R1B;CDC26
Sphingolipid signaling pathway_Homo sapiens_hsa04071	2/120	0.0113616009280127390479453453053793055005371570587158203125	0.1504711910787479289819401628847117535769939422607421875	0.0176342085507931768673106631695191026665270328521728515625	0.2324231506170001682054504499319591559469699859619140625	-1.6979232041750265	7.602478226627536	PPP2R1B;PIK3R1
AMPK signaling pathway_Homo sapiens_hsa04152	2/124	0.01209488173727360331433100526510315830819308757781982421875	0.1504711910787479289819401628847117535769939422607421875	0.0187432089470636574490836068207499920390546321868896484375	0.2324231506170001682054504499319591559469699859619140625	-1.6642965140246946	7.347824028265541	PPP2R1B;PIK3R1
Osteoclast differentiation_Homo sapiens_hsa04380	2/132	0.01362223289128440713302570230780474958010017871856689453125	0.1504711910787479289819401628847117535769939422607421875	0.0210487083418937591383635066222268505953252315521240234375	0.2324231506170001682054504499319591559469699859619140625	-1.7088581327631254	7.3413434837436595	CYLD;PIK3R1
Hepatitis C_Homo sapiens_hsa05160	2/133	0.013818782854170728879861229643211117945611476898193359375	0.1504711910787479289819401628847117535769939422607421875	0.0213449832199285871592309149491484276950359344482421875	0.2324231506170001682054504499319591559469699859619140625	-1.6581422731519209	7.099711771176916	PPP2R1B;PIK3R1
FoxO signaling pathway_Homo sapiens_hsa04068	2/133	0.013818782854170728879861229643211117945611476898193359375	0.1504711910787479289819401628847117535769939422607421875	0.0213449832199285871592309149491484276950359344482421875	0.2324231506170001682054504499319591559469699859619140625	-1.6229423691409464	6.94899540811359	HOMER2;PIK3R1
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	2/151	0.01756537698476996756102863628257182426750659942626953125	0.156491540409768814523516766712418757379055023193359375	0.0269762781099031866138826529777361429296433925628662109375	0.2403341140700465672352947876788675785064697265625	-1.7048558331468966	6.890729833470663	PIK3R1;COX6A1
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	2/148	0.0169138923271631817779603323970150086097419261932373046875	0.156491540409768814523516766712418757379055023193359375	0.0259991641283488957026026611174529534764587879180908203125	0.2403341140700465672352947876788675785064697265625	-1.634382280393359	6.6676585791530565	PPP2R1B;PIK3R1
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	2/180	0.0243968013386861304336861167030292563140392303466796875	0.19924054426593673650103255567955784499645233154296875	0.037176140454039774407846152826095931231975555419921875	0.271458802688112899037520264755585230886936187744140625	-1.4906305954367685	5.535163431533727	JUP;PBX1
HTLV-I infection_Homo sapiens_hsa05166	2/258	0.04709199305077928221496819105595932342112064361572265625	0.2172293057785205372400838541580014862120151519775390625	0.07058856159516359307648514231914305128157138824462890625	0.271458802688112899037520264755585230886936187744140625	-1.643239533717834	5.02116864641404	CDC26;PIK3R1
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	2/341	0.07695091975337152445657551425028941594064235687255859375	0.2172293057785205372400838541580014862120151519775390625	0.11369776468837251848231773010411416180431842803955078125	0.271458802688112899037520264755585230886936187744140625	-1.5225784940791791	3.904785722157588	PPP2R1B;PIK3R1
Regulation of autophagy_Homo sapiens_hsa04140	1/39	0.051369316802412356981477614681352861225605010986328125	0.2172293057785205372400838541580014862120151519775390625	0.06630545607341510605525769506130018271505832672119140625	0.271458802688112899037520264755585230886936187744140625	-1.16891872165392	3.47018564752163	ATG14
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	1/39	0.051369316802412356981477614681352861225605010986328125	0.2172293057785205372400838541580014862120151519775390625	0.06630545607341510605525769506130018271505832672119140625	0.271458802688112899037520264755585230886936187744140625	-1.1448241300024509	3.3986556903202274	PIK3R1
Endometrial cancer_Homo sapiens_hsa05213	1/52	0.067920537691687210557489606799208559095859527587890625	0.2172293057785205372400838541580014862120151519775390625	0.08697095169414979787259056820403202436864376068115234375	0.271458802688112899037520264755585230886936187744140625	-1.2328947710913816	3.3157679352378695	PIK3R1
Non-small cell lung cancer_Homo sapiens_hsa05223	1/56	0.072957029017394592340650660844403319060802459716796875	0.2172293057785205372400838541580014862120151519775390625	0.0932446949088244492198640500646433793008327484130859375	0.271458802688112899037520264755585230886936187744140625	-1.255763826988206	3.2874448526622335	PIK3R1
Type II diabetes mellitus_Homo sapiens_hsa04930	1/48	0.06285770256860560845080243552729371003806591033935546875	0.2172293057785205372400838541580014862120151519775390625	0.08065744131435755026604539352774736471474170684814453125	0.271458802688112899037520264755585230886936187744140625	-1.178374829579572	3.260423865611049	PIK3R1
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	1/56	0.072957029017394592340650660844403319060802459716796875	0.2172293057785205372400838541580014862120151519775390625	0.0932446949088244492198640500646433793008327484130859375	0.271458802688112899037520264755585230886936187744140625	-1.2037767071673315	3.15134856943853	PIK3R1
Carbohydrate digestion and absorption_Homo sapiens_hsa04973	1/45	0.05904320842775435951299556336380192078649997711181640625	0.2172293057785205372400838541580014862120151519775390625	0.07589607360087378962187898423508158884942531585693359375	0.271458802688112899037520264755585230886936187744140625	-1.0893511308517878	3.0823035089840114	PIK3R1
ABC transporters_Homo sapiens_hsa02010	1/44	0.05776839116217981351386612232090556062757968902587890625	0.2172293057785205372400838541580014862120151519775390625	0.0743039347476549816295943173827254213392734527587890625	0.271458802688112899037520264755585230886936187744140625	-1.0298718579641601	2.9364875510344035	ABCG1
Long-term depression_Homo sapiens_hsa04730	1/60	0.0779673083549985712625840506007079966366291046142578125	0.2172293057785205372400838541580014862120151519775390625	0.0994788988031145848811576115622301585972309112548828125	0.271458802688112899037520264755585230886936187744140625	-1.1092105530995642	2.8301126401617807	PPP2R1B
mTOR signaling pathway_Homo sapiens_hsa04150	1/60	0.0779673083549985712625840506007079966366291046142578125	0.2172293057785205372400838541580014862120151519775390625	0.0994788988031145848811576115622301585972309112548828125	0.271458802688112899037520264755585230886936187744140625	-1.1058149021725217	2.82144875341517	PIK3R1
VEGF signaling pathway_Homo sapiens_hsa04370	1/61	0.07921579795288523351270981720517738722264766693115234375	0.2172293057785205372400838541580014862120151519775390625	0.10103129834355269178747249725347501225769519805908203125	0.271458802688112899037520264755585230886936187744140625	-1.0988991661339853	2.7863462322284414	PIK3R1
Glioma_Homo sapiens_hsa05214	1/65	0.08419349675365615792710372033980092965066432952880859375	0.2172293057785205372400838541580014862120151519775390625	0.10721639669574982434152587984499405138194561004638671875	0.271458802688112899037520264755585230886936187744140625	-1.0858969519500972	2.687201423135203	PIK3R1
Colorectal cancer_Homo sapiens_hsa05210	1/62	0.08046265956159319443496968915496836416423320770263671875	0.2172293057785205372400838541580014862120151519775390625	0.10258124438169795300535014348497497849166393280029296875	0.271458802688112899037520264755585230886936187744140625	-1.020102310027999	2.570619117109759	PIK3R1
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	1/64	0.08295150691937690223820567325674346648156642913818359375	0.2172293057785205372400838541580014862120151519775390625	0.1056737900394543461235485892757424153387546539306640625	0.271458802688112899037520264755585230886936187744140625	-1.0313640675392455	2.5675799136948854	PIK3R1
Pathways in cancer_Homo sapiens_hsa05200	2/397	0.099708084813684372260667032605852000415325164794921875	0.2172293057785205372400838541580014862120151519775390625	0.146009630381440824731242855705204419791698455810546875	0.271458802688112899037520264755585230886936187744140625	-1.0687364201435279	2.4639809157462906	JUP;PIK3R1
