Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
p53 signaling pathway_Homo sapiens_hsa04115	7/69	0.000792368612431652700502093811252279920154251158237457275390625	0.1679821458355103824811038748521241359412670135498046875	0.0001964319538873936644811368790186634214478544890880584716796875	0.04164357422412745535211797687225043773651123046875	-1.772030088595649	12.653152237636958	CASP9;PIDD1;STEAP3;CCNE1;SESN1;TSC2;IGF1
Pyruvate metabolism_Homo sapiens_hsa00620	4/40	0.011303416418053983949487673044131952337920665740966796875	0.53637348859648759091811598409549333155155181884765625	0.00515822082250653492219161222465118044055998325347900390625	0.16906420498151930598140779693494550883769989013671875	-1.903752997012186	8.533858869084408	LDHB;PDHB;ACSS1;ALDH9A1
Glioma_Homo sapiens_hsa05214	5/65	0.01412934824031568566138350462324524414725601673126220703125	0.53637348859648759091811598409549333155155181884765625	0.005087496110075420512053323562895457143895328044891357421875	0.16906420498151930598140779693494550883769989013671875	-1.98341029389646	8.448338545390635	E2F2;IGF1;CALM1;CALM2;HRAS
Prostate cancer_Homo sapiens_hsa05215	6/89	0.0137499962853010228303052286946694948710501194000244140625	0.53637348859648759091811598409549333155155181884765625	0.004026973927843534306614259321577264927327632904052734375	0.16906420498151930598140779693494550883769989013671875	-1.896155052065375	8.128279574937862	CASP9;CREB1;CCNE1;E2F2;IGF1;HRAS
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	5/67	0.015946339531072530049105040461654425598680973052978515625	0.53637348859648759091811598409549333155155181884765625	0.005735014923500799353950352355013819760642945766448974609375	0.16906420498151930598140779693494550883769989013671875	-1.8446800845983564	7.634256441200509	LDHB;PDHB;ALDOA;ACSS1;ALDH9A1
Carbon metabolism_Homo sapiens_hsa01200	7/113	0.01249708813787160817387889011342849698849022388458251953125	0.53637348859648759091811598409549333155155181884765625	0.003003265338610844846500835814140373258851468563079833984375	0.16906420498151930598140779693494550883769989013671875	-1.6604930116649677	7.276711459003457	GLUD1;PRPS1;H6PD;SUCLG1;PDHB;ACSS1;ALDOA
Melanogenesis_Homo sapiens_hsa04916	6/100	0.023119794836831297768497961442335508763790130615234375	0.53637348859648759091811598409549333155155181884765625	0.00686228322250741207266599985814536921679973602294921875	0.16906420498151930598140779693494550883769989013671875	-1.7396212533218292	6.5532682659835935	CREB1;MC1R;PLCB4;CALM1;CALM2;HRAS
Glucagon signaling pathway_Homo sapiens_hsa04922	6/101	0.0241410374048614158326575562796278973110020160675048828125	0.53637348859648759091811598409549333155155181884765625	0.007177253985064499346158140014040327514521777629852294921875	0.16906420498151930598140779693494550883769989013671875	-1.6923267317290724	6.30195751316806	LDHB;CREB1;PLCB4;PDHB;CALM1;CALM2
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	5/81	0.03307154303317584587151856112541281618177890777587890625	0.539320547925636883945799127104692161083221435546875	0.011972839445588918938501166167043265886604785919189453125	0.22296457405018799136087181977927684783935546875	-1.6398132162257386	5.590257872071922	PLCB4;CREB1;GNA11;CALM1;CALM2
Long-term depression_Homo sapiens_hsa04730	4/60	0.042947506528087257826609146604823763482272624969482421875	0.6083992870378891471005999846966005861759185791015625	0.0189309544004876602329989765394202549941837787628173828125	0.22296457405018799136087181977927684783935546875	-1.4550683344505246	4.580230181847695	PLCB4;GNA11;IGF1;HRAS
GnRH signaling pathway_Homo sapiens_hsa04912	5/91	0.050417838708109848078198211851486121304333209991455078125	0.6083992870378891471005999846966005861759185791015625	0.0185430517293714534898807499985196045599877834320068359375	0.22296457405018799136087181977927684783935546875	-1.4836644439129345	4.432314328592053	PLCB4;GNA11;CALM1;CALM2;HRAS
Vascular smooth muscle contraction_Homo sapiens_hsa04270	6/120	0.049500757883741967890767199378387886099517345428466796875	0.6083992870378891471005999846966005861759185791015625	0.015337494093499971781202617648887098766863346099853515625	0.22296457405018799136087181977927684783935546875	-1.4637402776717283	4.399662660477268	PLA2G2F;PLCB4;GNA11;CALM1;CALM2;MYL9
Gap junction_Homo sapiens_hsa04540	5/88	0.0447484659074322277394486491175484843552112579345703125	0.6083992870378891471005999846966005861759185791015625	0.016368446518066591399698239683857536874711513519287109375	0.22296457405018799136087181977927684783935546875	-1.385823485450801	4.305335211700932	PLCB4;TUBB3;GNA11;HRAS;TUBA4A
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	5/94	0.056489651883983867108884879826291580684483051300048828125	0.6083992870378891471005999846966005861759185791015625	0.020900613600726196394941069911510567180812358856201171875	0.2332068464923133799260313026024959981441497802734375	-1.3997521690394228	4.022464742851411	CREB1;SESN1;TSC2;IGF1;HRAS
