Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Lysosome_Homo sapiens_hsa04142	3/123	0.031156758874461398800548295184853486716747283935546875	0.63004451143349571307084033833234570920467376708984375	0.02233637669882097831486333916473085992038249969482421875	0.5602631218199345397579236305318772792816162109375	-1.7746146567851577	6.155648590886771	AP3M1;AP1B1;IGF2R
Purine metabolism_Homo sapiens_hsa00230	3/176	0.07475439259616538378860894908939371816813945770263671875	0.63004451143349571307084033833234570920467376708984375	0.0543094594997022006577225283763254992663860321044921875	0.5602631218199345397579236305318772792816162109375	-1.7279443151413476	4.4815053210502676	POLD1;ADK;NME1
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	2/83	0.07774677534552709712301066247164271771907806396484375	0.63004451143349571307084033833234570920467376708984375	0.06294977591027405006141037802080973051488399505615234375	0.5602631218199345397579236305318772792816162109375	-1.7522293122354256	4.47571618425521	TGFB1;MYL2
Dilated cardiomyopathy_Homo sapiens_hsa05414	2/90	0.0892814524809097120883194520502001978456974029541015625	0.63004451143349571307084033833234570920467376708984375	0.0722989926787410974728942392175667919218540191650390625	0.5602631218199345397579236305318772792816162109375	-1.7756971120669895	4.290015879109146	TGFB1;MYL2
Pyrimidine metabolism_Homo sapiens_hsa00240	2/105	0.115510994795631927178902742525679059326648712158203125	0.63004451143349571307084033833234570920467376708984375	0.09371077491121600211432252081067417748272418975830078125	0.5602631218199345397579236305318772792816162109375	-1.5983188814223854	3.4497947880362236	POLD1;NME1
Selenocompound metabolism_Homo sapiens_hsa00450	1/17	0.09030942576176857750080984033047570846974849700927734375	0.63004451143349571307084033833234570920467376708984375	0.0835046977189236871996769195902743376791477203369140625	0.5602631218199345397579236305318772792816162109375	-1.2812776516555677	3.0808493353955235	CTH
Ubiquinone and other terpenoid-quinone biosynthesis_Homo sapiens_hsa00130	1/11	0.059398200439566679886826960910184425301849842071533203125	0.63004451143349571307084033833234570920467376708984375	0.056451366466555567835694517953015747480094432830810546875	0.5602631218199345397579236305318772792816162109375	-0.9817937048180678	2.772086031764538	COQ5
HTLV-I infection_Homo sapiens_hsa05166	3/258	0.1729542267133332977824267118194256909191608428955078125	0.63004451143349571307084033833234570920467376708984375	0.130096163596090885761213939986191689968109130859375	0.5602631218199345397579236305318772792816162109375	-1.568299635718701	2.7519397614624226	RANBP1;TGFB1;POLD1
Cell cycle_Homo sapiens_hsa04110	2/124	0.151068204914473092070892334959353320300579071044921875	0.63004451143349571307084033833234570920467376708984375	0.12308094021972933174158271185660851188004016876220703125	0.5602631218199345397579236305318772792816162109375	-1.4551203339429584	2.750212144462557	STAG1;TGFB1
Endocytosis_Homo sapiens_hsa04144	3/259	0.17432092158994583197539895991212688386440277099609375	0.63004451143349571307084033833234570920467376708984375	0.13118454659509548587692506771418265998363494873046875	0.5602631218199345397579236305318772792816162109375	-1.5688794627467524	2.74060854481157	TGFB1;SNX32;IGF2R
Ribosome_Homo sapiens_hsa03010	2/137	0.1764904881697141048046972855445346795022487640380859375	0.63004451143349571307084033833234570920467376708984375	0.14432497780954112176488024488207884132862091064453125	0.5602631218199345397579236305318772792816162109375	-1.33405313740896	2.3138995523451262	RPL34;MRPS6
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.1764904881697141048046972855445346795022487640380859375	0.63004451143349571307084033833234570920467376708984375	0.14432497780954112176488024488207884132862091064453125	0.5602631218199345397579236305318772792816162109375	-1.2169498285348106	2.110785233744366	CDC34;UBE2Q1
Mismatch repair_Homo sapiens_hsa03430	1/23	0.1202136607815929292275569650882971473038196563720703125	0.63004451143349571307084033833234570920467376708984375	0.10980453548676420705287881673939409665763378143310546875	0.5602631218199345397579236305318772792816162109375	-0.9777189290553353	2.071282506954107	POLD1
Circadian rhythm_Homo sapiens_hsa04710	1/30	0.153872532731062772182184517077985219657421112060546875	0.63004451143349571307084033833234570920467376708984375	0.1395624903456022802838987217910471372306346893310546875	0.5602631218199345397579236305318772792816162109375	-1.028588132666663	1.9251371564270434	NPAS2
Homologous recombination_Homo sapiens_hsa03440	1/29	0.149143421512562268649304542122990824282169342041015625	0.63004451143349571307084033833234570920467376708984375	0.1353712474603218918201008591495337896049022674560546875	0.5602631218199345397579236305318772792816162109375	-0.929762352163872	1.7691953867855383	POLD1
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate_Homo sapiens_hsa00532	1/20	0.10538536002592469031924338196404278278350830078125	0.63004451143349571307084033833234570920467376708984375	0.096747517635368762700665001830202527344226837158203125	0.5602631218199345397579236305318772792816162109375	-0.7572552884362375	1.7039240172073895	B3GAT3
Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534	1/24	0.12510209666697591490702734517981298267841339111328125	0.63004451143349571307084033833234570920467376708984375	0.11411602349167031256182980314406449906527996063232421875	0.5602631218199345397579236305318772792816162109375	-0.8188648767609767	1.7021130877537374	B3GAT3
SNARE interactions in vesicular transport_Homo sapiens_hsa04130	1/34	0.1725299038057993283867830314193270169198513031005859375	0.63004451143349571307084033833234570920467376708984375	0.1561311390299071344411885320369037799537181854248046875	0.5602631218199345397579236305318772792816162109375	-0.93810727235025	1.6484277479392928	VTI1A
Base excision repair_Homo sapiens_hsa03410	1/33	0.167904139263487406363850595880649052560329437255859375	0.63004451143349571307084033833234570920467376708984375	0.1520182460725218176467166131260455586016178131103515625	0.5602631218199345397579236305318772792816162109375	-0.8577761876697493	1.5305832870119795	POLD1
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	1/39	0.195279222530085394549104194084065966308116912841796875	0.63004451143349571307084033833234570920467376708984375	0.176406899574281850195944798542768694460391998291015625	0.5602631218199345397579236305318772792816162109375	-0.8295660278711228	1.3549507949420108	SCNN1G
DNA replication_Homo sapiens_hsa03030	1/36	0.181705116940063582386954976755077950656414031982421875	0.63004451143349571307084033833234570920467376708984375	0.1642989200021678086738319279902498237788677215576171875	0.5602631218199345397579236305318772792816162109375	-0.7494597865784655	1.278106343036259	POLD1
Proteoglycans in cancer_Homo sapiens_hsa05205	2/203	0.311068138117231607342461074949824251234531402587890625	0.63004451143349571307084033833234570920467376708984375	0.2602554507738024103247198581811971962451934814453125	0.5602631218199345397579236305318772792816162109375	-1.0038940519591735	1.1722905502500465	TGFB1;ARHGEF1
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	1/40	0.1997541489475997134039886304890387691557407379150390625	0.63004451143349571307084033833234570920467376708984375	0.1804049243355337617256139992605312727391719818115234375	0.5602631218199345397579236305318772792816162109375	-0.6970115197222279	1.1226540973705939	CTH
Fat digestion and absorption_Homo sapiens_hsa04975	1/41	0.2042044139420497728121262070999364368617534637451171875	0.63004451143349571307084033833234570920467376708984375	0.1843841093365931882441799416483263485133647918701171875	0.5602631218199345397579236305318772792816162109375	-0.6575294254784415	1.0445734420002792	AGPAT1
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	2/214	0.333465141173377499494989706363412551581859588623046875	0.63004451143349571307084033833234570920467376708984375	0.28013156090996726987896181526593863964080810546875	0.5602631218199345397579236305318772792816162109375	-0.9316178439804198	1.0231185009466708	MYL2;ARHGEF1
Malaria_Homo sapiens_hsa05144	1/49	0.238934732537953886666315383990877307951450347900390625	0.63004451143349571307084033833234570920467376708984375	0.2155496104530480738770137350002187304198741912841796875	0.5602631218199345397579236305318772792816162109375	-0.6588980541106284	0.9432552939721792	TGFB1
Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860	1/42	0.208630152201653817911619626102037727832794189453125	0.63004451143349571307084033833234570920467376708984375	0.1883445406836407876038919084749068133533000946044921875	0.5602631218199345397579236305318772792816162109375	-0.6008714091301288	0.9416809863798085	CP
Long-term depression_Homo sapiens_hsa04730	1/60	0.284248621551446423172393451750394888222217559814453125	0.63004451143349571307084033833234570920467376708984375	0.25652133471295213151819325503311119973659515380859375	0.5602631218199345397579236305318772792816162109375	-0.7249241293762747	0.9118864088327112	CRH
Nucleotide excision repair_Homo sapiens_hsa03420	1/47	0.2303956054971156575117419151865760795772075653076171875	0.63004451143349571307084033833234570920467376708984375	0.2078683794568017828563455395851633511483669281005859375	0.5602631218199345397579236305318772792816162109375	-0.6163629738020721	0.9047946030899583	POLD1
Cysteine and methionine metabolism_Homo sapiens_hsa00270	1/45	0.221761542477927064975773419064353220164775848388671875	0.63004451143349571307084033833234570920467376708984375	0.2001141680691152779925090499091311357915401458740234375	0.5602631218199345397579236305318772792816162109375	-0.5898530366691896	0.888408689154104	CTH
Legionellosis_Homo sapiens_hsa05134	1/55	0.26399278682365501236262161910417489707469940185546875	0.63004451143349571307084033833234570920467376708984375	0.238162054116689170246701223732088692486286163330078125	0.5602631218199345397579236305318772792816162109375	-0.6568147944440239	0.8747679457787007	EEF1A1
Glycerolipid metabolism_Homo sapiens_hsa00561	1/59	0.280242146374174272427381993111339397728443145751953125	0.63004451143349571307084033833234570920467376708984375	0.25288417289723319480998497965629212558269500732421875	0.5602631218199345397579236305318772792816162109375	-0.6859519249604935	0.8726002950532321	AGPAT1
Colorectal cancer_Homo sapiens_hsa05210	1/62	0.29219538699070801701651589610264636576175689697265625	0.63004451143349571307084033833234570920467376708984375	0.263744172033926582709995045661344192922115325927734375	0.5602631218199345397579236305318772792816162109375	-0.7049027467445659	0.8672648058552079	TGFB1
