Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GnRH signaling pathway_Homo sapiens_hsa04912	17/91	0.0000358279804685368051596176808271110303394380025565624237060546875	0.00942275886322518040072448997079845867119729518890380859375	0.00002220761336541697894618289932378019102543476037681102752685546875	0.005840602315104665744061041010581902810372412204742431640625	-1.957988117631924	20.04349632930412	MAP3K1;CAMK2A;CALML3;MAPK12;ADCY6;MAPK11;MAPK9;MMP14;ADCY9;PLCB4;GNAQ;GNAS;PTK2B;CALM3;CALM1;RAF1;PRKACA
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	15/81	0.000112591961127016197533913521855453154785209335386753082275390625	0.014805842888202629115124153713622945360839366912841796875	0.000073570661510023057619474251556113131300662644207477569580078125	0.0096745419885680312976905526056725648231804370880126953125	-2.0022384466941063	18.20383185187028	CAMK2A;CALML3;ADCY6;NR4A2;NR4A1;ADCY9;PLCB4;PRKD3;GNAQ;GNAS;ORAI1;CALM3;PRKD2;CALM1;PRKACA
Salivary secretion_Homo sapiens_hsa04970	15/89	0.00033238237807653339510316481408835898037068545818328857421875	0.0291388551447094266977355658809756278060376644134521484375	0.00018618580601382559553368112315041571491747163236141204833984375	0.012241716745409032818248107332692597992718219757080078125	-1.7947424095029074	14.374494896401245	GUCY1A2;ATP2B3;CALML3;ATP1A1;ATP1B1;ADCY6;ADCY9;PLCB4;GNAQ;GNAS;CALM3;NOS1;CALM1;KCNN4;PRKACA
Rap1 signaling pathway_Homo sapiens_hsa04015	26/211	0.000591473794032945318112359789353149608359672129154205322265625	0.038889401957666151765646844751245225779712200164794921875	0.0001229633401048911035824406923211427056230604648590087890625	0.010779786149195454136862082350489799864590167999267578125	-1.8859798467896234	14.018286740410158	DOCK4;RALB;CALML3;PIK3R2;THBS1;ADCY6;ACTG1;RASGRP3;KRIT1;PRKCI;MAPK12;VEGFA;MAPK11;TIAM1;ADCY9;PLCB4;ADORA2A;PRKD3;ADORA2B;GNAQ;GNAS;CALM3;PRKD2;CALM1;RAF1;RAPGEF3
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	15/98	0.000947761697149556163639882999660812856745906174182891845703125	0.041543554391722213592341717003364465199410915374755859375	0.000468550179234204279034303741724443170824088156223297119140625	0.020538116189765955044155276709716417826712131500244140625	-1.8684200415494832	13.006833218690181	PTGER2;CAMK2A;CALML3;PIK3R2;MAPK12;ADCY6;MAPK11;MAPK9;ADCY9;PLCB4;GNAQ;GNAS;CALM3;CALM1;PRKACA
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	20/148	0.000773483646472550886823149607351979284430854022502899169921875	0.040685239804456173329239021541070542298257350921630859375	0.0002533293110963454075092171624561387943685986101627349853515625	0.01332512176366776844582684447004794492386281490325927734375	-1.7592926763017989	12.604638917907142	TPM4;TPM1;CAMK2A;ATP2B3;CALML3;PIK3R2;ATP1A1;ATP1B1;MAPK12;ADCY6;MAPK11;ADCY9;PLCB4;GNAQ;GNAS;CALM3;TNNI3;CALM1;PRKACA;RAPGEF3
Melanogenesis_Homo sapiens_hsa04916	15/100	0.00117146297385761267474679758748834501602686941623687744140625	0.04401353744636458953376489944275817833840847015380859375	0.000566440876834638511357067347518068345380015671253204345703125	0.0212819929439299893036974253845983184874057769775390625	-1.767848740233115	11.932098442202621	GSK3B;CREBBP;FZD6;CAMK2A;CALML3;ADCY6;ADCY9;PLCB4;GNAQ;DVL1;GNAS;CALM3;CALM1;RAF1;PRKACA
Gastric acid secretion_Homo sapiens_hsa04971	12/74	0.0017948748097764851382185380401779184467159211635589599609375	0.0524502305523572853740432719860109500586986541748046875	0.00109272175776576317175747821153208860778249800205230712890625	0.030275659177303702873640389725551358424127101898193359375	-1.747397042306569	11.04847697285779	ADCY9;PLCB4;GNAQ;CAMK2A;GNAS;CALM3;CALML3;ATP1A1;ATP1B1;CALM1;PRKACA;ADCY6
Renin secretion_Homo sapiens_hsa04924	11/64	0.0016993518693662417427814315118439481011591851711273193359375	0.0524502305523572853740432719860109500586986541748046875	0.00115116574818645268050987251484684747993014752864837646484375	0.030275659177303702873640389725551358424127101898193359375	-1.63473782361589	10.42555412659481	GUCY1A2;PLCB4;GNAQ;PTGER2;GNAS;ORAI1;CALM3;CALML3;CALM1;PRKACA;ADCY6
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	14/98	0.0026923967887618020788931261222387547604739665985107421875	0.060584191513148040464376009595071082003414630889892578125	0.001310669098831475538891044863021306809969246387481689453125	0.03133690663569800582965996227358118630945682525634765625	-1.660530847509253	9.825898177437178	PIK3R2;MAPK12;ADCY6;CDC25B;MAD2L2;MAPK11;MAPK9;FZR1;ADCY9;CDC23;ANAPC5;RAF1;PRKACA;CPEB4
cAMP signaling pathway_Homo sapiens_hsa04024	23/199	0.002764297711626526564410166741936336620710790157318115234375	0.060584191513148040464376009595071082003414630889892578125	0.0006844498129712473476204959155211327015422284603118896484375	0.022501287601429754980930653118775808252394199371337890625	-1.660230677142568	9.78036690144272	CREBBP;PTGER2;PDE4D;CAMK2A;ATP2B3;CALML3;PIK3R2;ATP1A1;ATP1B1;ADCY6;TIAM1;MAPK9;ADCY9;ADORA2A;GNAS;ORAI1;CALM3;TNNI3;SOX9;CALM1;PRKACA;RAF1;RAPGEF3
Glucagon signaling pathway_Homo sapiens_hsa04922	14/101	0.0035681955363885283459557395957517655915580689907073974609375	0.072187340466937144345394017364014871418476104736328125	0.0016951600948881587714589525006658732309006154537200927734375	0.036697190871848549276190709633738151751458644866943359375	-1.5802830308697684	8.905993591219124	CREBBP;GCGR;CAMK2A;CALML3;PHKA1;CPT1B;PLCB4;GNAQ;PHKG2;GNAS;CALM3;SIK1;CALM1;PRKACA
Notch signaling pathway_Homo sapiens_hsa04330	9/48	0.0023632719199042713682790139984035704401321709156036376953125	0.060584191513148040464376009595071082003414630889892578125	0.001890434775607792265705864309666139888577163219451904296875	0.036697190871848549276190709633738151751458644866943359375	-1.363502268328852	8.246063867134637	NCOR2;DLL4;CREBBP;MFNG;NOTCH4;DVL1;HES1;MAML3;PSEN1
Insulin signaling pathway_Homo sapiens_hsa04910	17/139	0.005296884935493788304494700014402042143046855926513671875	0.09950576700249046113722073414464830420911312103271484375	0.001953462631961520000467569246893617673777043819427490234375	0.036697190871848549276190709633738151751458644866943359375	-1.452760933048342	7.613391796065507	GSK3B;PRKCI;TSC2;CALML3;PHKA1;IRS2;PIK3R2;MAPK9;PRKAR1B;PHKG2;EIF4EBP1;TRIP10;CALM3;CALM1;RAF1;PRKACA;RHOQ
Calcium signaling pathway_Homo sapiens_hsa04020	20/180	0.007753270957360947068792711434070952236652374267578125	0.1073215927255752044633396735662245191633701324462890625	0.0023123135648263726076023782951551766018383204936981201171875	0.04054256450328906635771630817544064484536647796630859375	-1.5041304429247222	7.309533166044643	CAMK2A;ATP2B3;CALML3;PHKA1;P2RX7;ADCY9;PLCB4;ADORA2A;STIM2;ADORA2B;ERBB4;GNAQ;PHKG2;GNAS;ORAI1;PTK2B;CALM3;NOS1;CALM1;PRKACA
Vascular smooth muscle contraction_Homo sapiens_hsa04270	15/120	0.00696890056498537628637546248455691966228187084197998046875	0.1073215927255752044633396735662245191633701324462890625	0.0029290717735339396980698278838417536462657153606414794921875	0.045314463319966240273384272541079553775489330291748046875	-1.4637402776717283	7.2693701278238185	GUCY1A2;CALML3;ADCY6;ADCY9;PLCB4;ADORA2A;ADORA2B;GNAQ;GNAS;CALM3;ARHGEF1;CALM1;RAF1;PRKACA;PPP1R12B
Neurotrophin signaling pathway_Homo sapiens_hsa04722	15/120	0.00696890056498537628637546248455691966228187084197998046875	0.1073215927255752044633396735662245191633701324462890625	0.0029290717735339396980698278838417536462657153606414794921875	0.045314463319966240273384272541079553775489330291748046875	-1.4602259438976246	7.251916899716092	GSK3B;MAP3K1;CAMK2A;GAB1;ARHGDIG;CALML3;PIK3R2;PSEN1;MAPK12;MAPK11;MAPK9;CALM3;CALM1;RAF1;MAP3K5
Long-term potentiation_Homo sapiens_hsa04720	10/66	0.006882665617556039776292475806940274196676909923553466796875	0.1073215927255752044633396735662245191633701324462890625	0.004315515944781344974401360303772889892570674419403076171875	0.056749034673874688972095015060403966344892978668212890625	-1.3970311729098586	6.955467915055456	CREBBP;PLCB4;GNAQ;CAMK2A;CALM3;CALML3;CALM1;RAF1;PRKACA;RAPGEF3
Oocyte meiosis_Homo sapiens_hsa04114	15/123	0.0087090777735431557093903620625496841967105865478515625	0.1145243727220925100684922881555394269526004791259765625	0.003620547828341973140009457665655645541846752166748046875	0.052900226602996612557117117603411315940320491790771484375	-1.3803717454827553	6.547640671158522	YWHAB;CAMK2A;CALML3;SMC3;MAPK12;ADCY6;MAD2L2;ADCY9;CDC23;CALM3;ANAPC5;CALM1;PRKACA;CPEB4;YWHAH
Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961	8/47	0.00747054654283384016177915754042260232381522655487060546875	0.1073215927255752044633396735662245191633701324462890625	0.0056077264956323931432979890132628497667610645294189453125	0.0702300984929199734185800707564339973032474517822265625	-1.1733580738798204	5.745684700360975	PLCB4;ADCY9;GNAQ;GNAS;ATP1A1;ATP1B1;PRKACA;ADCY6
Cell cycle_Homo sapiens_hsa04110	15/124	0.0093601242351109524564289898762581287883222103118896484375	0.11722441303972287729440182602047570981085300445556640625	0.00387879086991125589245488214373835944570600986480712890625	0.053690631515087385017270804610234335996210575103759765625	-1.2276019697358267	5.734493049289562	GSK3B;CREBBP;MCM7;CCNH;GADD45A;YWHAB;CDC7;SMC3;CDC25B;MAD2L2;RBL2;FZR1;CDC23;ANAPC5;YWHAH
Circadian entrainment_Homo sapiens_hsa04713	12/95	0.01373687791490424241203083255413730512373149394989013671875	0.158353924801519829745899414774612523615360260009765625	0.00691434475721834640449259268280002288520336151123046875	0.07311787829383060988153175685511087067425251007080078125	-1.3307846321291898	5.7059669991336825	GUCY1A2;ADCY9;PLCB4;GNAQ;CAMK2A;GNAS;CALM3;CALML3;NOS1;CALM1;PRKACA;ADCY6
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	14/118	0.013848442092908579137411351211994769982993602752685546875	0.158353924801519829745899414774612523615360260009765625	0.00605117723683988584237880559157929383218288421630859375	0.07233907333131318895258488055333145894110202789306640625	-1.271261044569129	5.440466566232878	NCOA1;GSK3B;CREBBP;NOTCH4;TSC2;PIK3R2;ATP1A1;ATP1B1;ACTG1;MED17;MED14;PLCB4;RAF1;PRKACA
Oxytocin signaling pathway_Homo sapiens_hsa04921	17/158	0.0179114831561124308867416488055823720060288906097412109375	0.1764702111367848769152288923578453250229358673095703125	0.006420686485895945976032361812713133986108005046844482421875	0.07311787829383060988153175685511087067425251007080078125	-1.317600014807204	5.299800003976056	GUCY1A2;CAMK2A;CALML3;PIK3R2;EEF2;ADCY6;ACTG1;ADCY9;EEF2K;PLCB4;GNAQ;GNAS;CALM3;CALM1;RAF1;PRKACA;PPP1R12B
Insulin secretion_Homo sapiens_hsa04911	11/85	0.01509945180581563455024518560776414233259856700897216796875	0.1654648260387296676565682673754054121673107147216796875	0.00813520410230178341037809985891726682893931865692138671875	0.079242914033532174666873970636515878140926361083984375	-1.1907395712127053	4.992886333399365	ADCY9;PLCB4;GNAQ;CAMK2A;GNAS;KCNN2;ATP1A1;ATP1B1;KCNN4;PRKACA;ADCY6
FoxO signaling pathway_Homo sapiens_hsa04068	15/133	0.0171021752171719686186346365275312564335763454437255859375	0.1764702111367848769152288923578453250229358673095703125	0.0069503686591093731539370281780065852217376232147216796875	0.07311787829383060988153175685511087067425251007080078125	-1.2163150502792588	4.948638133036476	CREBBP;HOMER2;GADD45A;IRS2;PIK3R2;CSNK1E;MAPK12;GABARAP;RBL2;MAPK11;MAPK9;STK11;BCL2L11;SGK3;RAF1
Platelet activation_Homo sapiens_hsa04611	14/122	0.0181167136908486382795846481030821450985968112945556640625	0.1764702111367848769152288923578453250229358673095703125	0.00784500027592282579702587241854416788555681705474853515625	0.079242914033532174666873970636515878140926361083984375	-1.2301474644902932	4.93402350922638	GUCY1A2;PRKCI;PIK3R2;MAPK12;ADCY6;ACTG1;MAPK11;ADCY9;PLCB4;GNAQ;GNAS;ORAI1;ARHGEF1;PRKACA
Dilated cardiomyopathy_Homo sapiens_hsa05414	11/90	0.022332186382658388013044969966358621604740619659423828125	0.2097630363799698471893862006254494190216064453125	0.01175067571931531773543611052446067333221435546875	0.11037241836356888324832681291809421963989734649658203125	-1.0797172250859262	4.104789377195297	ADCY9;TPM4;ITGB4;TPM1;GNAS;TNNI3;DMD;PRKACA;TNF;ADCY6;ACTG1
Sphingolipid signaling pathway_Homo sapiens_hsa04071	13/120	0.033693160622406535809059135999632417224347591400146484375	0.276915663865403727239566933349124155938625335693359375	0.0153483512705027726197304360766793251968920230865478515625	0.139193668418697569233444255587528459727764129638671875	-0.9795358366233693	3.321077475335779	ASAH1;SGMS1;PIK3R2;GAB2;TNF;MAPK12;MAPK11;MAPK9;PLCB4;GNAQ;RAF1;NSMAF;MAP3K5
Apoptosis_Homo sapiens_hsa04210	14/140	0.05035220736666150276317210909837740473449230194091796875	0.37738379768263408120532176326378248631954193115234375	0.0216771563806798413243104306502573308534920215606689453125	0.167679180238788194667876041421550326049327850341796875	-1.0873471986127279	3.2497685126420857	PARP4;GADD45A;DAB2IP;PIK3R2;TNF;ACTG1;LMNB1;PIDD1;MAPK9;BCL2L11;BIRC5;CAPN1;RAF1;MAP3K5
Thyroid hormone synthesis_Homo sapiens_hsa04918	9/71	0.0298587436828122686216513415047302260063588619232177734375	0.256204770597624420513938048316049389541149139404296875	0.017832214468576308707969957367822644300758838653564453125	0.1512862066205022115727985010380507446825504302978515625	-0.9030345669282299	3.170805011968746	ADCY9;PLCB4;GNAQ;GNAS;ATP1A1;ATP1B1;PRKACA;ADCY6;DUOX2
Estrogen signaling pathway_Homo sapiens_hsa04915	11/99	0.04124924356163857386281534900263068266212940216064453125	0.319075031079733673067266863654367625713348388671875	0.0211921714251393743244644696233081049285829067230224609375	0.167679180238788194667876041421550326049327850341796875	-0.9944906673766258	3.1705580769491752	ADCY9;PLCB4;GNAQ;GNAS;CALM3;CALML3;PIK3R2;CALM1;RAF1;PRKACA;ADCY6
mTOR signaling pathway_Homo sapiens_hsa04150	8/60	0.03019904140124089753083325149418669752776622772216796875	0.256204770597624420513938048316049389541149139404296875	0.0194394702124649938757006140122030046768486499786376953125	0.1597681458086966654885685557019314728677272796630859375	-0.8379439796569317	2.932757922981505	STK11;RRAGC;EIF4EBP1;TSC2;ULK1;PIK3R2;TNF;VEGFA
Bile secretion_Homo sapiens_hsa04976	9/71	0.0298587436828122686216513415047302260063588619232177734375	0.256204770597624420513938048316049389541149139404296875	0.017832214468576308707969957367822644300758838653564453125	0.1512862066205022115727985010380507446825504302978515625	-0.7900626358909892	2.7741292054565245	ADCY9;EPHX1;GNAS;KCNN2;ATP1A1;ATP1B1;PRKACA;ADCY6;ABCG2
Dopaminergic synapse_Homo sapiens_hsa04728	13/129	0.05497896354786939443481941225400078110396862030029296875	0.390796416569990590073047087571467272937297821044921875	0.025054390010915229825005923203207203187048435211181640625	0.1830362381352973744075285367216565646231174468994140625	-0.933236371236496	2.707136403236685	GSK3B;CAMK2A;CALML3;MAPK12;MAPK11;MAPK9;PLCB4;GNAQ;KIF5A;GNAS;CALM3;CALM1;PRKACA
Phospholipase D signaling pathway_Homo sapiens_hsa04072	14/144	0.060972856426371298266264631138255936093628406524658203125	0.42199634842462241390848021183046512305736541748046875	0.0263768636077172276277469364913486060686409473419189453125	0.1874895980764764991111093195286230184137821197509765625	-0.9537069347415809	2.6678296726853254	DGKG;RALB;GAB1;TSC2;PIK3R2;GAB2;ADCY6;AGPAT3;ADCY9;PLCB4;GNAS;PTK2B;RAF1;RAPGEF3
Pertussis_Homo sapiens_hsa05133	9/75	0.0405841304540281999635453757946379482746124267578125	0.319075031079733673067266863654367625713348388671875	0.02380459640238348495433484686145675368607044219970703125	0.1788745386807673309892408042287570424377918243408203125	-0.7071237140422987	2.2658917887377994	MAPK11;MAPK9;CFL1;CALM3;CALML3;CALM1;TNF;MAPK12;C2
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	10/94	0.06381648129216778431160861373427906073629856109619140625	0.430352168713849458914211254523252137005329132080078125	0.0345781687311438601373225765200913883745670318603515625	0.239317325691864091208316267511690966784954071044921875	-0.8182710686534922	2.251672335409649	STK11;ADCY9;EHMT2;EIF4EBP1;TSC2;ULK1;PIK3R2;IRS2;PRKACA;ADCY6
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	13/137	0.0803164086607227878378267860171035863459110260009765625	0.498714725263612324024364852448343299329280853271484375	0.036956817670631629535460405122648808173835277557373046875	0.2449672090747360420071032649502740241587162017822265625	-0.6699638937755283	1.6895024437385908	MAP3K1;UBE2D3;UBE2D1;UBE2G1;UBE4B;KLHL13;UBE2G2;PRPF19;MID1;CUL4A;FZR1;CDC23;ANAPC5
Choline metabolism in cancer_Homo sapiens_hsa05231	10/101	0.09308752574477406616093588809235370717942714691162109375	0.52368344950928735759276833050535060465335845947265625	0.050406604524290542224118638614527299068868160247802734375	0.293710364257838474344453061348758637905120849609375	-0.6683376301256789	1.5867772875815938	DGKG;MAPK9;SLC22A5;CHKB;SLC44A2;EIF4EBP1;TSC2;PIK3R2;RAF1;WASF2
Alzheimer's disease_Homo sapiens_hsa05010	15/168	0.09557720751500302369674244573616306297481060028076171875	0.52368344950928735759276833050535060465335845947265625	0.040244439245891987233516573496672208420932292938232421875	0.252006845754037922535673033053171820938587188720703125	-0.6654242074746747	1.5622968633153906	GSK3B;NDUFB10;NDUFA1;CALML3;PSEN1;TNF;ATP5B;PLCB4;GNAQ;UQCRFS1;CALM3;CAPN1;NAE1;NOS1;CALM1
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	13/142	0.09940536782256363668164311775399255566298961639404296875	0.5335430966802905405899082325049676001071929931640625	0.0461846048078824455984658925444819033145904541015625	0.282477931731932196957046699026250280439853668212890625	-0.631489101233318	1.4578236370674118	GSK3B;ZFHX3;SETDB1;FZD6;LIFR;INHBB;PIK3R2;MAPK12;MAPK11;MEIS1;KAT6A;DVL1;RAF1
Proteoglycans in cancer_Homo sapiens_hsa05205	17/203	0.123416641678689931183043881901539862155914306640625	0.60705009409582755264267461825511418282985687255859375	0.0486785332371427459374757518162368796765804290771484375	0.290964869122012304014646133509813807904720306396484375	-0.667413113844705	1.3963545867920901	FZD6;CAMK2A;GAB1;PIK3R2;TNF;THBS1;MAPK12;VEGFA;ACTG1;MAPK11;TIAM1;ERBB4;PDCD4;ARHGEF1;PRKACA;RAF1;PPP1R12B
Gap junction_Homo sapiens_hsa04540	9/88	0.09219278837988480190812623504825751297175884246826171875	0.52368344950928735759276833050535060465335845947265625	0.05280951983617042377883166182073182426393032073974609375	0.295508589721549419504498246169532649219036102294921875	-0.5247100617620611	1.2508423424797581	GUCY1A2;ADCY9;PLCB4;GNAQ;GNAS;RAF1;PRKACA;TUBB4A;ADCY6
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	8/70	0.0655314200380267275480861144387745298445224761962890625	0.430869086750025775955919016269035637378692626953125	0.0402307373470600915243977624413673765957355499267578125	0.252006845754037922535673033053171820938587188720703125	-0.41260485058407587	1.124441283391153	MAPK11;MAPK9;IFNA13;MAP3K1;TBK1;TRIM25;TNF;MAPK12
TNF signaling pathway_Homo sapiens_hsa04668	10/110	0.140685158567220025549460160618764348328113555908203125	0.6267241941414682937505631343810819089412689208984375	0.07701106807740887294499998461105860769748687744140625	0.36825292553379151971881810823106206953525543212890625	-0.35304011195623525	0.6923931423498226	MAPK11;MAPK9;MMP14;CEBPB;DAB2IP;LTA;PIK3R2;TNF;MAPK12;MAP3K5
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	14/167	0.150215551421524817765629222776624374091625213623046875	0.627090317839063882132677463232539594173431396484375	0.06879638372538832147284892926109023392200469970703125	0.354773508230924072837098037780378945171833038330078125	-0.33067751298973297	0.6268600728224173	GUCY1A2;ATP2B3;CALML3;IRS2;PIK3R2;ATP1A1;ATP1B1;ADCY6;ADCY9;PLCB4;GNAQ;CALM3;CALM1;RAF1
AMPK signaling pathway_Homo sapiens_hsa04152	11/124	0.1429789036064186280583498955820687115192413330078125	0.6267241941414682937505631343810819089412689208984375	0.07463941255253793427559827478035003878176212310791015625	0.363521583357731048469219103935756720602512359619140625	-0.2823204088503906	0.5491296225445721	TBC1D1;STK11;EEF2K;EIF4EBP1;TSC2;ULK1;IRS2;PIK3R2;MLYCD;EEF2;CPT1B
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	14/169	0.160235475700722884706550530609092675149440765380859375	0.63752604083740960216886151101789437234401702880859375	0.073883514534918648397621154799708165228366851806640625	0.363521583357731048469219103935756720602512359619140625	-0.2864393540757978	0.5245022012500988	UBE2D3;EDEM2;UBE2D1;MOGS;UBE2G1;UBE4B;UBE2G2;SEC61A2;DNAJB1;MAPK9;CAPN1;RNF185;UGGT1;MAP3K5
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	6/44	0.051657097781653338319785007115569896996021270751953125	0.37738379768263408120532176326378248631954193115234375	0.037257370201480767557544737655916833318769931793212890625	0.2449672090747360420071032649502740241587162017822265625	-0.1702819559892236	0.5045671758525979	ADCY9;DCTN2;GNAS;ARHGDIG;PRKACA;ADCY6
Pancreatic secretion_Homo sapiens_hsa04972	9/96	0.1372014676527879284417821281749638728797435760498046875	0.6267241941414682937505631343810819089412689208984375	0.0789241223625094523441703131538815796375274658203125	0.369246023333402451083173900769907049834728240966796875	-0.1840483090927731	0.36557605203492016	ADCY9;PLCB4;GNAQ;GNAS;ATP2B3;ATP1A1;ATP1B1;SLC26A3;ADCY6
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	7/68	0.1246414641869759976078313457037438638508319854736328125	0.60705009409582755264267461825511418282985687255859375	0.08002670467682106159035271275570266880095005035400390625	0.369246023333402451083173900769907049834728240966796875	-0.17320740841770332	0.36067220272234946	MAPK11;MAPK9;PIK3R2;GAB2;RAF1;TNF;MAPK12
Wnt signaling pathway_Homo sapiens_hsa04310	12/142	0.1664414348338218996303794483537785708904266357421875	0.63752604083740960216886151101789437234401702880859375	0.08393538858297412696973793799770646728575229644775390625	0.37228996574865880209159740843460895121097564697265625	-0.17808333971572932	0.31932333322911416	VANGL1;GSK3B;MAPK9;CREBBP;PLCB4;TBL1XR1;FZD6;DVL1;CAMK2A;CSNK1E;PSEN1;PRKACA
Renal cell carcinoma_Homo sapiens_hsa05211	7/66	0.110929197163289361416360634393640793859958648681640625	0.57204664419500195204904002821422182023525238037109375	0.0713739963639572483344863940146751701831817626953125	0.3609877123792453179618178182863630354404449462890625	-0.12912327260329096	0.2839244052355782	CREBBP;EGLN3;EPAS1;GAB1;PIK3R2;RAF1;VEGFA
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	9/98	0.1499615182990653716732509792564087547361850738525390625	0.627090317839063882132677463232539594173431396484375	0.0864954855181696569133009688812308013439178466796875	0.37228996574865880209159740843460895121097564697265625	-0.12706393643500621	0.24108813492721187	DGKG;IPPK;PLCB4;INPP5E;CALM3;CALML3;PIK3R2;PI4KB;CALM1
Influenza A_Homo sapiens_hsa05164	14/175	0.1922856737077593136664432904581190086901187896728515625	0.69674795768705133358622560990625061094760894775390625	0.0905952768361755200743345994851551949977874755859375	0.37228996574865880209159740843460895121097564697265625	-0.13120394197477134	0.21632553392880918	GSK3B;IL33;IFNA13;CREBBP;PIK3R2;TNF;MAPK12;ACTG1;MAPK11;DNAJB1;MAPK9;TBK1;TRIM25;RAF1
TGF-beta signaling pathway_Homo sapiens_hsa04350	8/84	0.1456656599215752356801800715402350760996341705322265625	0.627090317839063882132677463232539594173431396484375	0.088424239291925832429086540287244133651256561279296875	0.37228996574865880209159740843460895121097564697265625	-0.05642123817422723	0.10869220250601035	TGIF1;CREBBP;INHBB;SMAD6;TNF;THBS1;LTBP1;SMAD7
Olfactory transduction_Homo sapiens_hsa04740	5/415	0.99999992654545033499147166367038153111934661865234375	0.99999992654545033499147166367038153111934661865234375	0.99999662376145204145672096274211071431636810302734375	0.99999662376145204145672096274211071431636810302734375	4.211811047551277	-0.00000030937669513454987	CAMK2A;CALM3;CALML3;PRKACA;CALM1
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	5/277	0.999884054738578331722465009079314768314361572265625	0.99999992654545033499147166367038153111934661865234375	0.99881713781463876689059588898089714348316192626953125	0.99999662376145204145672096274211071431636810302734375	4.412009183309739	-0.0005115812164357329	P2RX7;ADORA2A;ADORA2B;GCGR;PTGER2
Systemic lupus erythematosus_Homo sapiens_hsa05322	2/135	0.9982077973492373690334034108673222362995147705078125	0.99999992654545033499147166367038153111934661865234375	0.9930755754928790590696507933898828923702239990234375	0.99999662376145204145672096274211071431636810302734375	4.7474472914289105	-0.00851602111935987	TNF;C2
Endocytosis_Homo sapiens_hsa04144	7/259	0.9968316297226802458197880696388892829418182373046875	0.99999992654545033499147166367038153111934661865234375	0.982197553397546219144942369894124567508697509765625	0.99736662758129213113278410673956386744976043701171875	4.39408211308575	-0.013944181011018358	PRKCI;ARPC2;ERBB4;CAPZA1;MVB12B;KIF5A;AGAP1
Small cell lung cancer_Homo sapiens_hsa05222	1/86	0.995849045575077251868378880317322909832000732421875	0.99999992654545033499147166367038153111934661865234375	0.98877980580563240575742156579508446156978607177734375	0.99999662376145204145672096274211071431636810302734375	6.147616544941493	-0.02557158613811286	PIK3R2
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	5/180	0.9881639291177055639536774833686649799346923828125	0.99999992654545033499147166367038153111934661865234375	0.9586144632615389848950826490181498229503631591796875	0.97719226293715022446662032962194643914699554443359375	4.304037585599298	-0.051246776021725705	MEIS1;CEBPB;CCNT2;EWSR1;ETV5
