Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
AMPK signaling pathway_Homo sapiens_hsa04152	5/124	0.000911975842966926170292396580663307759095914661884307861328125	0.1087527828524486039896146394312381744384765625	0.000663814699481547754178478726316825486719608306884765625	0.0828078639233844338018997177641722373664379119873046875	-1.7922572645037969	12.545616349781183	GYS1;PRKAA2;CREB3L2;CAMKK1;PIK3CG
Prostate cancer_Homo sapiens_hsa05215	4/89	0.00203197039686030776761693772414218983612954616546630859375	0.1087527828524486039896146394312381744384765625	0.00164058161660533071042611386047838095691986382007598876953125	0.0828078639233844338018997177641722373664379119873046875	-1.9572258891508554	12.132352645244946	PDGFRA;CREB3L2;FGFR2;PIK3CG
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	4/94	0.0024803293759629711258407613883036901825107634067535400390625	0.1087527828524486039896146394312381744384765625	0.0019899126818407365802077180205742479301989078521728515625	0.0828078639233844338018997177641722373664379119873046875	-1.8649370493481672	11.188436037113256	PRKAA2;CREB3L2;CAMKK1;PIK3CG
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	7/341	0.004531365952185358210446697313500408199615776538848876953125	0.1087527828524486039896146394312381744384765625	0.002633064945797057056220413784330958151258528232574462890625	0.0828078639233844338018997177641722373664379119873046875	-1.9374056437696217	10.455658744567973	GYS1;PDGFRA;PRKAA2;CREB3L2;GNB1;FGFR2;PIK3CG
TNF signaling pathway_Homo sapiens_hsa04668	4/110	0.004364063426086916240576041303711463115178048610687255859375	0.1087527828524486039896146394312381744384765625	0.0034503276634743514084124882401738432236015796661376953125	0.0828078639233844338018997177641722373664379119873046875	-1.8069505280771239	9.819604632842937	CASP8;CREB3L2;CX3CL1;PIK3CG
Insulin resistance_Homo sapiens_hsa04931	4/109	0.004224636669296948088270227117391186766326427459716796875	0.1087527828524486039896146394312381744384765625	0.00334246081911824220733731038990299566648900508880615234375	0.0828078639233844338018997177641722373664379119873046875	-1.7819764373640918	9.741748022098058	GYS1;PRKAA2;CREB3L2;PIK3CG
Central carbon metabolism in cancer_Homo sapiens_hsa05230	3/67	0.00763373018153824800524631655207485891878604888916015625	0.157036735163072538323802973536658100783824920654296875	0.006637388041217231159085709890632642782293260097503662109375	0.1365405539907544596456290264541166834533214569091796875	-1.6832495717035934	8.206142407571956	PDGFRA;FGFR2;PIK3CG
Insulin signaling pathway_Homo sapiens_hsa04910	4/139	0.009862971878571151485015633397779311053454875946044921875	0.1775334938142807406080692089744843542575836181640625	0.00770083847943482148468152814757559099234640598297119140625	0.138615092629826797132608362517203204333782196044921875	-1.6003265588143483	7.391856761781339	GYS1;PRKAA2;MKNK2;PIK3CG
Glucagon signaling pathway_Homo sapiens_hsa04922	3/101	0.0229417309050660885028083413317290251143276691436767578125	0.367067694481057416044933461307664401829242706298828125	0.0194118693128017272275798177361139096319675445556640625	0.310589909004827635641277083777822554111480712890625	-1.6923267317290724	6.388191082587372	GYS1;PRKAA2;CREB3L2
Cholinergic synapse_Homo sapiens_hsa04725	3/111	0.0292580168652595042078079501379761495627462863922119140625	0.42131544285973687724577985136420466005802154541015625	0.0246835758506846365822884337148934719152748584747314453125	0.355443492249858772336068568620248697698116302490234375	-1.8040899275186393	6.371326986411456	CREB3L2;GNB1;PIK3CG
