Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	4/89	0.013960728799350223539033066799674998037517070770263671875	0.7782233484846126092548956876271404325962066650390625	0.012598342475894162839633594330734922550618648529052734375	0.744575275466479613584169783280231058597564697265625	-1.9940045862206843	8.51740450171999	IMP3;BMS1;HEATR1;NAT10
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	5/169	0.031974624666007610274132133554303436540067195892333984375	0.7782233484846126092548956876271404325962066650390625	0.026872851342344412917118035011299070902168750762939453125	0.744575275466479613584169783280231058597564697265625	-1.79042526506136	6.164098787141058	EIF2AK1;LMAN2;BAG1;MOGS;UGGT1
RNA degradation_Homo sapiens_hsa03018	3/77	0.046300655087487097016918369263294152915477752685546875	0.7782233484846126092548956876271404325962066650390625	0.0427583657312011755635694498778320848941802978515625	0.744575275466479613584169783280231058597564697265625	-1.7748225982431027	5.453318440896329	EXOSC7;PAN2;CNOT3
Propanoate metabolism_Homo sapiens_hsa00640	2/32	0.04353024866991657415571381761765223927795886993408203125	0.7782233484846126092548956876271404325962066650390625	0.0429939044909926904036723271929076872766017913818359375	0.744575275466479613584169783280231058597564697265625	-1.7032910069508953	5.338623658890102	ECHS1;SUCLG2
Cardiac muscle contraction_Homo sapiens_hsa04260	3/78	0.0477965023921581855237405989100807346403598785400390625	0.7782233484846126092548956876271404325962066650390625	0.0441017343053816956999213516610325314104557037353515625	0.744575275466479613584169783280231058597564697265625	-1.6688817000323541	5.074740169481339	COX8A;CACNB1;TPM3
Epstein-Barr virus infection_Homo sapiens_hsa05169	5/202	0.060264383038671355541371355002411291934549808502197265625	0.7782233484846126092548956876271404325962066650390625	0.05068148619098040985608832897924003191292285919189453125	0.744575275466479613584169783280231058597564697265625	-1.7751355696002982	4.986380689036781	YWHAE;PSMD14;POLR3D;EIF2AK1;JAK3
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	3/83	0.05562630276419198993576031853081076405942440032958984375	0.7782233484846126092548956876271404325962066650390625	0.051131787017734076083996797024155966937541961669921875	0.744575275466479613584169783280231058597564697265625	-1.6540083739037905	4.778594134689936	CACNB1;TPM3;ITGA6
Ribosome_Homo sapiens_hsa03010	4/137	0.05497933894986987979347503596727619878947734832763671875	0.7782233484846126092548956876271404325962066650390625	0.048217898207777720731570525458664633333683013916015625	0.744575275466479613584169783280231058597564697265625	-1.6249366044462803	4.713612559462978	RPLP1;RPL22L1;FAU;RPL19
Dilated cardiomyopathy_Homo sapiens_hsa05414	3/90	0.0675406712880290138745209560511284507811069488525390625	0.7782233484846126092548956876271404325962066650390625	0.061830103362239853537207778799711377359926700592041015625	0.744575275466479613584169783280231058597564697265625	-1.6546571317224568	4.4593428741112735	CACNB1;TPM3;ITGA6
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	2/48	0.08897500314583252356559484042008989490568637847900390625	0.7782233484846126092548956876271404325962066650390625	0.085080529289914996748933617709553800523281097412109375	0.744575275466479613584169783280231058597564697265625	-1.3852741762120226	3.351532081813766	NAGK;PMM2
Proteasome_Homo sapiens_hsa03050	2/44	0.07662572087257206454591340616389061324298381805419921875	0.7782233484846126092548956876271404325962066650390625	0.073666965952630503178255594320944510400295257568359375	0.744575275466479613584169783280231058597564697265625	-1.2734726916831003	3.2713252742047643	PSMD14;PSME4
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	4/180	0.1186871167889535227946140594212920404970645904541015625	0.7782233484846126092548956876271404325962066650390625	0.1041364576555550425229768052304279990494251251220703125	0.744575275466479613584169783280231058597564697265625	-1.4670750337252398	3.126724966316102	HOXA10;HOXA9;FUT8;SPINT1
N-Glycan biosynthesis_Homo sapiens_hsa00510	2/49	0.09214923374788376586597138384604477323591709136962890625	0.7782233484846126092548956876271404325962066650390625	0.08801361590383825761474412274765199981629848480224609375	0.744575275466479613584169783280231058597564697265625	-1.2763806408997442	3.0433329609503903	FUT8;MOGS
Renal cell carcinoma_Homo sapiens_hsa05211	2/66	0.1503330477870435666343240654896362684667110443115234375	0.7782233484846126092548956876271404325962066650390625	0.14183669816048116718576466155354864895343780517578125	0.744575275466479613584169783280231058597564697265625	-1.4181297353154547	2.687217052620059	ARAF;VHL
