Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	9/98	0.000436047505327766889322849142018867496517486870288848876953125	0.07068156794559453393045345137579715810716152191162109375	0.0004006195700241245894086816736745504385908134281635284423828125	0.07416339350077034986430390972600434906780719757080078125	-1.8679078142237022	14.453421179434264	CDS1;PLCB4;PPIP5K2;PTEN;CALM3;PIP5K1B;PIK3C3;MTMR4;IP6K2
Renin secretion_Homo sapiens_hsa04924	7/64	0.000660575401360696573722919300308831225265748798847198486328125	0.07068156794559453393045345137579715810716152191162109375	0.00069311582711000332447659477708157282904721796512603759765625	0.07416339350077034986430390972600434906780719757080078125	-1.8582367661309536	13.606751563060017	GUCY1A2;PLCB4;ADORA1;GNAS;CALM3;ADRB1;AGT
Thyroid hormone synthesis_Homo sapiens_hsa04918	7/71	0.00123210734891949949369738259719042616779915988445281982421875	0.08789032422292429591603735161697841249406337738037109375	0.00121789095651580656608226060910737942322157323360443115234375	0.08687622156479420099106647512599010951817035675048828125	-1.8175809059561117	12.176027714682112	CREB3;PLCB4;ATF6B;CANX;GNAS;HSP90B1;ATF4
Estrogen signaling pathway_Homo sapiens_hsa04915	8/99	0.002058920816834811269580018944225230370648205280303955078125	0.11015226370066240335621188251025159843266010284423828125	0.00181531094394979711746651585002609863295219838619232177734375	0.0971191355013141521812514156408724375069141387939453125	-1.8397238821452926	11.379746940912328	CREB3;PLCB4;ATF6B;PRKCD;GNAS;CALM3;HSP90B1;ATF4
Amphetamine addiction_Homo sapiens_hsa05031	6/67	0.0044239750058978899449613209071685560047626495361328125	0.1672455508889967579211344173018005676567554473876953125	0.004237812046400145533919801010824812692590057849884033203125	0.151148629654938526645224783351295627653598785400390625	-1.8707181314840817	10.140632949804848	CREB3;ATF6B;GNAS;FOSB;CALM3;ATF4
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	10/167	0.00547064886085503465640300646555260755121707916259765625	0.1672455508889967579211344173018005676567554473876953125	0.004093831892218313152354003392474623979069292545318603515625	0.151148629654938526645224783351295627653598785400390625	-1.7866388091826013	9.30545462041578	GUCY1A2;CREB3;TRPC6;PLCB4;ATF6B;ADORA1;CALM3;ADRB1;MEF2D;ATF4
Cocaine addiction_Homo sapiens_hsa05030	5/49	0.00527367469674332352280732294502740842290222644805908203125	0.1672455508889967579211344173018005676567554473876953125	0.00537375565179462090503736959590241895057260990142822265625	0.1642833870691498276972453140842844732105731964111328125	-1.6612547911832651	8.713327684758571	CREB3;ATF6B;GNAS;FOSB;ATF4
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	6/81	0.01100785700902755237517993691653828136622905731201171875	0.2944601749914870225666163605637848377227783203125	0.00989068902939281048569686305427239858545362949371337890625	0.26457593153625769133441281155683100223541259765625	-1.804551957347724	8.136988217904205	CREB3;PLCB4;ATF6B;GNAS;CALM3;ATF4
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	5/66	0.0180122814119425787848793873990871361456811428070068359375	0.42829202468396798675343006834737025201320648193359375	0.01664983186482882349110923314583487808704376220703125	0.375794158532210931245032270453521050512790679931640625	-1.836763900456188	7.3777322279341835	QARS;LARS;HARS;IARS;HARS2
Vascular smooth muscle contraction_Homo sapiens_hsa04270	7/120	0.021230436808632686951359147542461869306862354278564453125	0.4543313477047394854935191688127815723419189453125	0.0175604746977668646490400305992807261645793914794921875	0.375794158532210931245032270453521050512790679931640625	-1.626547346412372	6.265979943818816	GUCY1A2;MYL6;PLCB4;PRKCD;GNAS;CALM3;MYL6B
Inositol phosphate metabolism_Homo sapiens_hsa00562	5/71	0.0239262180795934246979594917092981631867587566375732421875	0.458631414735227227463809640539693646132946014404296875	0.0217412987947028478463717959812129265628755092620849609375	0.3849968092700901678426816943101584911346435546875	-1.6054184554445787	5.992674593281438	PLCB4;PTEN;PIK3C3;PIP5K1B;MTMR4
Melanogenesis_Homo sapiens_hsa04916	6/100	0.028204658932339317367610220799178932793438434600830078125	0.458631414735227227463809640539693646132946014404296875	0.024180738889779014588743422109473613090813159942626953125	0.3849968092700901678426816943101584911346435546875	-1.6267113056766862	5.804542066978236	CREB3;WNT10A;PLCB4;GNAS;CALM3;WNT1
Glucagon signaling pathway_Homo sapiens_hsa04922	6/101	0.0294260994383789935280315575027998420409858226776123046875	0.458631414735227227463809640539693646132946014404296875	0.0251867071485105710471064099920113221742212772369384765625	0.3849968092700901678426816943101584911346435546875	-1.5802830308697684	5.571877685635743	CREB3;PLCB4;GNAS;CALM3;PHKA2;ATF4
Dopaminergic synapse_Homo sapiens_hsa04728	7/129	0.0300039243284728092409086031011611339636147022247314453125	0.458631414735227227463809640539693646132946014404296875	0.02455752392951683626964864970432245172560214996337890625	0.3849968092700901678426816943101584911346435546875	-1.5474423222231635	5.425993686478346	CREB3;PLCB4;ATF6B;GNAS;CALM3;COMT;ATF4
