Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	6/169	0.00420667164902345687427231979427233454771339893341064453125	0.6688607921947296031106588998227380216121673583984375	0.00168089459768035426150134536982250210712663829326629638671875	0.26726224103117635078064040499157272279262542724609375	-1.814298057299226	9.926176212802043	DNAJA1;EIF2AK1;DERL3;UBE2E1;TRAF2;STUB1
Pancreatic cancer_Homo sapiens_hsa05212	3/66	0.0213726559152041632738683318848416092805564403533935546875	0.71373378641687590384634631845983676612377166748046875	0.01402236748191597152934928516287982347421348094940185546875	0.58865089503029432993486125269555486738681793212890625	-1.9738643324793137	7.5907774247660535	RALBP1;CDK4;PLD1
Lysosome_Homo sapiens_hsa04142	4/123	0.024747592039884795667159522736255894415080547332763671875	0.71373378641687590384634631845983676612377166748046875	0.0138839607117413367520786238173968740738928318023681640625	0.58865089503029432993486125269555486738681793212890625	-1.699249095974853	6.285568431903144	CLN3;ATP6V0B;CLTC;GUSB
Dorso-ventral axis formation_Homo sapiens_hsa04320	2/27	0.0241456008606815326900107976371145923621952533721923828125	0.71373378641687590384634631845983676612377166748046875	0.01901815487657641801089170030536479316651821136474609375	0.58865089503029432993486125269555486738681793212890625	-1.5036866386500036	5.59920737502525	SPIRE1;CPEB4
GnRH signaling pathway_Homo sapiens_hsa04912	3/91	0.04834136930933737030802177514487993903458118438720703125	0.71373378641687590384634631845983676612377166748046875	0.031568996153666907533708041455611237324774265289306640625	0.58865089503029432993486125269555486738681793212890625	-1.8097619695947398	5.482615209838359	PRKCD;PLD1;PRKACA
Pentose and glucuronate interconversions_Homo sapiens_hsa00040	2/36	0.041136105729373144412885920928601990453898906707763671875	0.71373378641687590384634631845983676612377166748046875	0.031578148836971971225029420793362078256905078887939453125	0.58865089503029432993486125269555486738681793212890625	-1.6956800379661245	5.410692965791458	ALDH3A2;GUSB
Pathways in cancer_Homo sapiens_hsa05200	7/397	0.06662611812393993970804473292446346022188663482666015625	0.71373378641687590384634631845983676612377166748046875	0.027457250805888296085743860430739005096256732940673828125	0.58865089503029432993486125269555486738681793212890625	-1.896231922452278	5.136244931439934	RALBP1;CDK4;RARA;TRAF2;PRKACA;PLD1;HIF1A
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	2/44	0.05898899835483152609416634959416114725172519683837890625	0.71373378641687590384634631845983676612377166748046875	0.044797767580809499943228502161218784749507904052734375	0.58865089503029432993486125269555486738681793212890625	-1.6901492001455751	4.783805599270705	AVP;PRKACA
Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961	2/47	0.0662576656096145466534608203801326453685760498046875	0.71373378641687590384634631845983676612377166748046875	0.0501993174139849507309207865546341054141521453857421875	0.58865089503029432993486125269555486738681793212890625	-1.664353689594724	4.517395630607655	CLTC;PRKACA
Vibrio cholerae infection_Homo sapiens_hsa05110	2/51	0.07638152341277493206916915369220077991485595703125	0.71373378641687590384634631845983676612377166748046875	0.05774585418864146280082394468990969471633434295654296875	0.58865089503029432993486125269555486738681793212890625	-1.5665780701745349	4.0292614369957445	ATP6V0B;PRKACA
Vascular smooth muscle contraction_Homo sapiens_hsa04270	3/120	0.0930262905905973880305026568748871795833110809326171875	0.71373378641687590384634631845983676612377166748046875	0.06152026696228331259508337325314641930162906646728515625	0.58865089503029432993486125269555486738681793212890625	-1.5451438120420502	3.6695205231465207	PRKCD;PRKACA;PRKG1
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	2/56	0.08966583693848879932364326350580086000263690948486328125	0.71373378641687590384634631845983676612377166748046875	0.06769324184663362553582288683173828758299350738525390625	0.58865089503029432993486125269555486738681793212890625	-1.5174187035904745	3.659506247834003	PRKACA;PRKG1
Epstein-Barr virus infection_Homo sapiens_hsa05169	4/202	0.1081270249235861402592462354732560925185680389404296875	0.71373378641687590384634631845983676612377166748046875	0.06425977112334833873941164483767352066934108734130859375	0.58865089503029432993486125269555486738681793212890625	-1.5775296162657686	3.509133524730584	EIF2AK1;TNFAIP3;TRAF2;PRKACA
Fanconi anemia pathway_Homo sapiens_hsa03460	2/53	0.08161552749564171538310120013193227350711822509765625	0.71373378641687590384634631845983676612377166748046875	0.061658807019906176904999739463164587505161762237548828125	0.58865089503029432993486125269555486738681793212890625	-1.3518140628189055	3.3872888207429104	REV1;RPA1
mTOR signaling pathway_Homo sapiens_hsa04150	2/60	0.100743511344814351549104003424872644245624542236328125	0.71373378641687590384634631845983676612377166748046875	0.07602989695759909682948318732087500393390655517578125	0.58865089503029432993486125269555486738681793212890625	-1.4502203739782804	3.3285131488373514	RRAGC;HIF1A
Glycerolipid metabolism_Homo sapiens_hsa00561	2/59	0.0979391921960045819250950671630562283098697662353515625	0.71373378641687590384634631845983676612377166748046875	0.07391578771753844201430894145232741720974445343017578125	0.58865089503029432993486125269555486738681793212890625	-1.4301821994583883	3.3228974511530054	ALDH3A2;LPIN1
Measles_Homo sapiens_hsa05162	3/136	0.12289465907249963461111974538653157651424407958984375	0.71373378641687590384634631845983676612377166748046875	0.08214469022678093368394769413498579524457454681396484375	0.58865089503029432993486125269555486738681793212890625	-1.429258513867518	2.996337168747829	CDK4;EIF2AK1;TNFAIP3
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	3/137	0.12486650866839892060067285228797118179500102996826171875	0.71373378641687590384634631845983676612377166748046875	0.0835228589485784989054906191086047329008579254150390625	0.58865089503029432993486125269555486738681793212890625	-1.2169498285348106	2.531876340065681	UBE2E1;KEAP1;STUB1
Tight junction_Homo sapiens_hsa04530	3/139	0.12884450502979039043793818564154207706451416015625	0.71373378641687590384634631845983676612377166748046875	0.08630935344456480695640721023664809763431549072265625	0.58865089503029432993486125269555486738681793212890625	-1.1971431354462134	2.4531246457478786	PARD6A;CDK4;PRKCD
Synaptic vesicle cycle_Homo sapiens_hsa04721	2/63	0.10928730743891749976892668883010628633201122283935546875	0.71373378641687590384634631845983676612377166748046875	0.0824865406050291627426673812806257046759128570556640625	0.58865089503029432993486125269555486738681793212890625	-1.0964257109049802	2.4272398461890896	ATP6V0B;CLTC
Gastric acid secretion_Homo sapiens_hsa04971	2/74	0.1420682366820835984544402208484825678169727325439453125	0.71373378641687590384634631845983676612377166748046875	0.10748523105255976262117911801396985538303852081298828125	0.58865089503029432993486125269555486738681793212890625	-1.2311607061301075	2.4025458474702717	EZR;PRKACA
p53 signaling pathway_Homo sapiens_hsa04115	2/69	0.1269099987915199012622480267964419908821582794189453125	0.71373378641687590384634631845983676612377166748046875	0.0958804048906729544654581331997178494930267333984375	0.58865089503029432993486125269555486738681793212890625	-1.079169552649943	2.2277050103973246	CD82;CDK4
Bile secretion_Homo sapiens_hsa04976	2/71	0.132926054903793666728262223841738887131214141845703125	0.71373378641687590384634631845983676612377166748046875	0.100476766756598279162204789827228523790836334228515625	0.58865089503029432993486125269555486738681793212890625	-1.0258345559273248	2.070095443013879	PRKACA;SLC4A4
Small cell lung cancer_Homo sapiens_hsa05222	2/86	0.1798016966279175343768059747162624262273311614990234375	0.71373378641687590384634631845983676612377166748046875	0.13672002870161226173451041177031584084033966064453125	0.58865089503029432993486125269555486738681793212890625	-1.0745206554597588	1.8437707672112515	CDK4;TRAF2
Endocytosis_Homo sapiens_hsa04144	4/259	0.2027741463760852347331109513106639496982097625732421875	0.71373378641687590384634631845983676612377166748046875	0.12733051042454579526719271598267368972301483154296875	0.58865089503029432993486125269555486738681793212890625	-1.0781007322255587	1.7202849082812446	PARD6A;CLTC;PLD1;SPG21
RNA transport_Homo sapiens_hsa03013	3/172	0.2000569903580401709408675969825708307325839996337890625	0.71373378641687590384634631845983676612377166748046875	0.13757049777829732928324801832786761224269866943359375	0.58865089503029432993486125269555486738681793212890625	-1.0667642590575257	1.7165869090725951	STRAP;RAE1;EIF1
Gap junction_Homo sapiens_hsa04540	2/88	0.1862353208765752388131886618793942034244537353515625	0.71373378641687590384634631845983676612377166748046875	0.14175489277045727476433967240154743194580078125	0.58865089503029432993486125269555486738681793212890625	-0.9998071231075727	1.6804200621881966	PRKACA;PRKG1
Salivary secretion_Homo sapiens_hsa04970	2/89	0.1894644291540547864638455166641506366431713104248046875	0.71373378641687590384634631845983676612377166748046875	0.144287539178306112308547426437144167721271514892578125	0.58865089503029432993486125269555486738681793212890625	-0.9612538031588052	1.599097591023871	PRKACA;PRKG1
Influenza A_Homo sapiens_hsa05164	3/175	0.2069521077518055307553623833882738836109638214111328125	0.71373378641687590384634631845983676612377166748046875	0.142671086361045695856120119060506112873554229736328125	0.58865089503029432993486125269555486738681793212890625	-1.0114150855853852	1.5932496936277687	EIF2AK1;TMPRSS2;RAE1
Dilated cardiomyopathy_Homo sapiens_hsa05414	2/90	0.192701200321599264153604735838598571717739105224609375	0.71373378641687590384634631845983676612377166748046875	0.14682995866969295040149745545932091772556304931640625	0.58865089503029432993486125269555486738681793212890625	-0.9586772447413934	1.5785718276761536	TNNC1;PRKACA
