Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Viral carcinogenesis_Homo sapiens_hsa05203	10/205	0.00001495358730257115279405240315657721339448471553623676300048828125	0.0017426702725931663383318603877114583156071603298187255859375	0.00002589846056156373840079730486163356317774741910398006439208984375	0.0028889711957404452802311567438664496876299381256103515625	-1.9823431339928443	22.02494100970781	EGR2;CREB1;PKM;CCND1;CHEK1;TRAF2;HIST1H2BB;HIST1H4D;PRKACB;HDAC7
HTLV-I infection_Homo sapiens_hsa05166	11/258	0.000019691189520826737750260060355600444381707347929477691650390625	0.0017426702725931663383318603877114583156071603298187255859375	0.0000326437423247507942417576509708254661745741032063961029052734375	0.0028889711957404452802311567438664496876299381256103515625	-1.9180191597146554	20.782388292530456	EGR1;IL15RA;EGR2;CREB1;RRAS;CCND1;CHEK1;E2F2;VDAC2;FOS;PRKACB
Apoptosis_Homo sapiens_hsa04210	8/140	0.0000355393116005078539706117657370754159273928962647914886474609375	0.0020968193844299633232797219761778251267969608306884765625	0.000062387366030782300842238985438825693563558161258697509765625	0.00368085459581615585811231738944115932099521160125732421875	-1.90985279947837	19.566195760437772	TUBA1C;LMNA;TRAF2;FOS;EIF2S1;ACTB;GADD45G;ACTG1
Vibrio cholerae infection_Homo sapiens_hsa05110	4/51	0.00107131920680937999836024321353988852933980524539947509765625	0.0330087223175846988798554093591519631445407867431640625	0.0016476226227908762241025630856938732904382050037384033203125	0.04877413288040120808997102130888379178941249847412109375	-1.7930712851395278	12.262571533434015	ATP6V1D;PRKACB;ACTB;ACTG1
Dilated cardiomyopathy_Homo sapiens_hsa05414	5/90	0.001228852490036571980247526170160199399106204509735107421875	0.0330087223175846988798554093591519631445407867431640625	0.00183761623788778372286245588185238375444896519184112548828125	0.04877413288040120808997102130888379178941249847412109375	-1.7454371169808562	11.697351383284088	TPM4;LMNA;PRKACB;ACTB;ACTG1
Salmonella infection_Homo sapiens_hsa05132	5/86	0.00100177259656794343141428260679504091967828571796417236328125	0.0330087223175846988798554093591519631445407867431640625	0.00151770041691408276614272399029914595303125679492950439453125	0.04877413288040120808997102130888379178941249847412109375	-1.6355858866406618	11.295330375295002	MYH9;ARPC4;FOS;ACTB;ACTG1
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	5/94	0.00149191965277218978845608088334984131506644189357757568359375	0.0330087223175846988798554093591519631445407867431640625	0.002204480582165026236740601461860933341085910797119140625	0.04877413288040120808997102130888379178941249847412109375	-1.7195667742516845	11.190410305193097	STK11;CREB1;ADIPOR1;PRKACB;FOXO1
Proteoglycans in cancer_Homo sapiens_hsa05205	7/203	0.00224514472404375824143851758663004147820174694061279296875	0.044154512906193911503383020544788450933992862701416015625	0.0032360034315528636399139639223676567780785262584686279296875	0.063641400820539650862173175482894293963909149169921875	-1.806271673616752	11.01642437582548	SDC4;RRAS;CCND1;PTCH1;PRKACB;ACTB;ACTG1
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	4/55	0.00142254051270204414682274407510931268916465342044830322265625	0.0330087223175846988798554093591519631445407867431640625	0.002138268041369487289238282556880221818573772907257080078125	0.04877413288040120808997102130888379178941249847412109375	-1.613434172678493	10.576562638660018	TUBA1C;ARPC4;ACTB;ACTG1
Oxytocin signaling pathway_Homo sapiens_hsa04921	6/158	0.002860915605992044204175517307930931565351784229278564453125	0.05063820622605917642911066423039301298558712005615234375	0.004076081188603250700375202342229385976679623126983642578125	0.0721466370382775334935132605096441693603992462158203125	-1.735760729711298	10.165679832495677	MYL6;CCND1;FOS;PRKACB;ACTB;ACTG1
