Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neurotrophin signaling pathway_Homo sapiens_hsa04722	5/120	0.01176686502310449015940019279469197499565780162811279296875	0.451767022539675711101381239132024347782135009765625	0.005274701687348643842911943835360943921841681003570556640625	0.27039371074039575404412971693091094493865966796875	-1.8849928984213598	8.37402015336481	ABL1;MAPK1;MAPK14;MAP2K7;NFKBIE
GnRH signaling pathway_Homo sapiens_hsa04912	4/91	0.019764264192558826660484072590406867675483226776123046875	0.451767022539675711101381239132024347782135009765625	0.0104922999880958968399458086651065968908369541168212890625	0.27039371074039575404412971693091094493865966796875	-1.8986976584170503	7.450261408533787	PLCB4;MAPK1;MAPK14;MAP2K7
Retrograde endocannabinoid signaling_Homo sapiens_hsa04723	4/101	0.0276997141892939106877502553061276557855308055877685546875	0.451767022539675711101381239132024347782135009765625	0.01473585343249174395285905347918742336332798004150390625	0.27039371074039575404412971693091094493865966796875	-1.82631616463333	6.549778265550557	PLCB4;MAPK1;MAPK14;GNG12
Glycosaminoglycan degradation_Homo sapiens_hsa00531	2/19	0.0191564355290241399021322621365470695309340953826904296875	0.451767022539675711101381239132024347782135009765625	0.01514884819287415536337437771408076514489948749542236328125	0.27039371074039575404412971693091094493865966796875	-1.6498542373441312	6.525365817114542	GALNS;NAGLU
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	3/57	0.026647797467428381568144146740451105870306491851806640625	0.451767022539675711101381239132024347782135009765625	0.0167577594615204404637776036679497337900102138519287109375	0.27039371074039575404412971693091094493865966796875	-1.689552972755327	6.124711939947845	CCL5;MAPK1;MAPK14
T cell receptor signaling pathway_Homo sapiens_hsa04660	4/104	0.0304009002592096379269381856147447251714766025543212890625	0.451767022539675711101381239132024347782135009765625	0.0161927673188567398943060737792620784603059291839599609375	0.27039371074039575404412971693091094493865966796875	-1.7426846898553081	6.087690901145885	MAPK1;MAPK14;MAP2K7;NFKBIE
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	4/106	0.03228513362499162153707032985039404593408107757568359375	0.451767022539675711101381239132024347782135009765625	0.0172127624685101641988094200996783911250531673431396484375	0.27039371074039575404412971693091094493865966796875	-1.7122427279692305	5.878383405899517	CCL5;MAPK1;MAPK14;MAP2K7
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	4/104	0.0304009002592096379269381856147447251714766025543212890625	0.451767022539675711101381239132024347782135009765625	0.0161927673188567398943060737792620784603059291839599609375	0.27039371074039575404412971693091094493865966796875	-1.6701494143845868	5.834304652293326	PLCB4;CCL5;MAPK1;MAPK14
TNF signaling pathway_Homo sapiens_hsa04668	4/110	0.036255016131261787182271660867627360858023166656494140625	0.451767022539675711101381239132024347782135009765625	0.01937168295027143216646692280846764333546161651611328125	0.27039371074039575404412971693091094493865966796875	-1.6992534602163174	5.63672539807694	CCL5;MAPK1;MAPK14;MAP2K7
Glutamatergic synapse_Homo sapiens_hsa04724	4/114	0.0404945297746162058416530271642841398715972900390625	0.451767022539675711101381239132024347782135009765625	0.0216918719866184030176103902931572520174086093902587890625	0.27039371074039575404412971693091094493865966796875	-1.664742944449056	5.33814538349732	PLCB4;SLC1A3;MAPK1;GNG12
