Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Fatty acid biosynthesis_Homo sapiens_hsa00061	2/13	0.00144665383968642564417594886805318310507573187351226806640625	0.10560573029710906833855688091716729104518890380859375	0.00114027232590249347730926299249176736338995397090911865234375	0.08323987979088202926458706087942118756473064422607421875	-1.6281928063803912	10.64594206117822	ACSL5;ACSL4
Fatty acid degradation_Homo sapiens_hsa00071	2/44	0.0160633208230535722005338783446859451942145824432373046875	0.347742240162043414475334657254279591143131256103515625	0.01053839996581655558127721405980992130935192108154296875	0.1808932954603232612367236242789658717811107635498046875	-1.8720591362837193	7.7338821840023115	ACSL5;ACSL4
Fatty acid metabolism_Homo sapiens_hsa01212	2/48	0.0189381219709278299234700426723065902478992938995361328125	0.347742240162043414475334657254279591143131256103515625	0.012370001641440371564772959800393437035381793975830078125	0.1808932954603232612367236242789658717811107635498046875	-1.787253754647021	7.08928205432669	ACSL5;ACSL4
Vibrio cholerae infection_Homo sapiens_hsa05110	2/51	0.02122536070297699473119479307570145465433597564697265625	0.347742240162043414475334657254279591143131256103515625	0.01382878306820176268765454352660526637919247150421142578125	0.1808932954603232612367236242789658717811107635498046875	-1.8383699281325265	7.08242778961328	SEC61A1;ATP6V1D
Endocytosis_Homo sapiens_hsa04144	4/259	0.0274933528575037888774801331237540580332279205322265625	0.347742240162043414475334657254279591143131256103515625	0.0112450019290150256268123740710507263429462909698486328125	0.1808932954603232612367236242789658717811107635498046875	-1.8633467010594684	6.696515904248435	ERBB3;CAV1;ARPC5L;SPG20
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	3/151	0.029047015125037385641082465781437349505722522735595703125	0.347742240162043414475334657254279591143131256103515625	0.014867942092629309047691066325569408945739269256591796875	0.1808932954603232612367236242789658717811107635498046875	-1.8340235297544034	6.4903150037007	SREBF1;NDUFB8;EIF2S1
Adipocytokine signaling pathway_Homo sapiens_hsa04920	2/70	0.03810873864789517118101258574824896641075611114501953125	0.347742240162043414475334657254279591143131256103515625	0.024662328354211761338721231595627614296972751617431640625	0.225043746232182317879022548368084244430065155029296875	-1.5894654494196732	5.19327899973011	ACSL5;ACSL4
PPAR signaling pathway_Homo sapiens_hsa03320	2/69	0.037123992433129103518663072236449806950986385345458984375	0.347742240162043414475334657254279591143131256103515625	0.0240268157649758222482727632041132892481982707977294921875	0.225043746232182317879022548368084244430065155029296875	-1.524911470658815	5.022283458004602	ACSL5;ACSL4
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	2/78	0.04633660704278509678832875806619995273649692535400390625	0.375841368235923567464595862475107423961162567138671875	0.0299911476080087814610752872113152989186346530914306640625	0.2432615305982934461592748220937210135161876678466796875	-1.5421841858766798	4.737316823752103	CAV1;ARPC5L
Peroxisome_Homo sapiens_hsa04146	2/83	0.051779530137873473749632324825142859481275081634521484375	0.37799057000647640069956878505763597786426544189453125	0.03353511186886581896260395296849310398101806640625	0.2448063166427204839781239797957823611795902252197265625	-1.4451802993334968	4.278832570634749	ACSL5;ACSL4
