Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Non-small cell lung cancer_Homo sapiens_hsa05223	11/56	0.002664382981242466481852648740868971799500286579132080078125	0.306944727189301491687700718102860264480113983154296875	0.00257955079727430203195837066232343204319477081298828125	0.275181596954962248702258875709958374500274658203125	-2.1157717812286143	12.541835520405659	RXRB;CDK6;CCND1;EGF;ERBB2;E2F1;PIK3R2;E2F3;STK4;SOS2;RXRG
Pancreatic cancer_Homo sapiens_hsa05212	12/66	0.0034231753961632134346249056733313409495167434215545654296875	0.306944727189301491687700718102860264480113983154296875	0.0029466152906659185024829117338640571688301861286163330078125	0.275181596954962248702258875709958374500274658203125	-1.9369164065066835	10.996236023809953	MAPK9;CDK6;CCND1;CHUK;TGFB3;EGF;ERBB2;E2F1;RAC3;PIK3R2;E2F3;VEGFA
Apoptosis_Homo sapiens_hsa04210	19/140	0.00867143301298589110059911178041147650219500064849853515625	0.583153870123301221184419773635454475879669189453125	0.004452148667681098299919728589202350121922791004180908203125	0.275181596954962248702258875709958374500274658203125	-1.8841494994513188	8.94541655598855	CHUK;TRADD;ITPR1;DAB2IP;PIK3R2;CFLAR;SEPT4;GADD45G;TNFRSF1A;MAPK9;DDIT3;LMNA;CASP2;FADD;CTSF;SPTAN1;ATF4;BIRC3;CTSB
Pathways in cancer_Homo sapiens_hsa05200	42/397	0.01561163080702240683883541549903384293429553508758544921875	0.59993266958414681599975892822840251028537750244140625	0.0031329879240304925845650441118550588726066052913665771484375	0.275181596954962248702258875709958374500274658203125	-1.9496187290528424	8.10990521438158	HSP90AB1;HDAC1;EPAS1;CBLC;PIK3R2;STK4;ADCY5;RXRB;MAPK9;GNG10;CCND1;SUFU;ERBB2;E2F1;CTNNA1;RAC3;E2F3;CTNNA3;FADD;RXRG;WNT4;EGLN2;FZD5;CHUK;EGF;TGFB3;WNT5A;MLH1;MTOR;RBX1;VEGFA;CCNA1;CXCL12;CDK6;COL4A2;TRAF4;COL4A1;TRAF3;GNAQ;KIT;SOS2;BIRC3
Small cell lung cancer_Homo sapiens_hsa05222	13/86	0.01170134746274336702553942046733936876989901065826416015625	0.59993266958414681599975892822840251028537750244140625	0.0080305700615364399019835417448121006600558757781982421875	0.360037224425550361761594331255764700472354888916015625	-1.759378493428843	7.825805752757917	CHUK;PIK3R2;RXRB;CDK6;CCND1;COL4A2;TRAF4;TRAF3;COL4A1;E2F1;E2F3;RXRG;BIRC3
Folate biosynthesis_Homo sapiens_hsa00790	5/14	0.00268198290489514261369929926104305195622146129608154296875	0.306944727189301491687700718102860264480113983154296875	0.005114899571653573444318663376861877623014152050018310546875	0.275181596954962248702258875709958374500274658203125	-1.2537982112596835	7.423988549407742	QDPR;SPR;FPGS;MOCS1;PTS
Adipocytokine signaling pathway_Homo sapiens_hsa04920	11/70	0.01483577086057730025359102654647358576767146587371826171875	0.59993266958414681599975892822840251028537750244140625	0.011139278470282502897514831374792265705764293670654296875	0.389399694969938592326030857293517328798770904541015625	-1.6568678959415224	6.976596952126457	RXRB;MAPK9;STK11;PRKAA2;CHUK;TRADD;NFKBIE;PRKAB1;RXRG;MTOR;TNFRSF1A
FoxO signaling pathway_Homo sapiens_hsa04068	17/133	0.0217030189913334815854373260890497476793825626373291015625	0.70161616537907189883327419011038728058338165283203125	0.01158066007345542360040813179011820466257631778717041015625	0.389399694969938592326030857293517328798770904541015625	-1.6483565765698018	6.313706630564423	PRKAA2;CHUK;TGFB3;EGF;INSR;PLK2;AGAP2;PIK3R2;MAPK14;STK4;PRKAB1;GADD45G;RBL2;MAPK9;STK11;CCND1;SOS2
Cell cycle_Homo sapiens_hsa04110	16/124	0.0234741467970693180877805872341923532076179981231689453125	0.70161616537907189883327419011038728058338165283203125	0.01305392288300656448984948809766137856058776378631591796875	0.390167250614307292710947194791515357792377471923828125	-1.530959788678669	5.743940056101863	TGFB3;HDAC1;BUB1B;TTK;SMC1A;RBX1;GADD45G;RBL2;CCNA1;RBL1;CDK6;CCND1;ORC3;E2F1;E2F3;MCM5
Glycerolipid metabolism_Homo sapiens_hsa00561	9/59	0.031097104286733172340273512190833571366965770721435546875	0.76046555028465678827132023798185400664806365966796875	0.02410534426025801035819995377096347510814666748046875	0.5804895177143440943012819843715988099575042724609375	-1.5542205785413707	5.39414100065002	ALDH3A2;DGAT2;DGKA;AKR1A1;AGPAT1;LPIN2;LCLAT1;DGKZ;PNPLA2
Endometrial cancer_Homo sapiens_hsa05213	8/52	0.039041940685830611723616812014370225369930267333984375	0.87316335708285830463637466891668736934661865234375	0.03126366916468260870320960975732305087149143218994140625	0.5804895177143440943012819843715988099575042724609375	-1.533289640059084	4.972640470526859	CCND1;EGF;ERBB2;CTNNA1;PIK3R2;CTNNA3;MLH1;SOS2
Chronic myeloid leukemia_Homo sapiens_hsa05220	10/73	0.045795709512556827258666913849083357490599155426025390625	0.87316335708285830463637466891668736934661865234375	0.032369303961766397736976585974844056181609630584716796875	0.5804895177143440943012819843715988099575042724609375	-1.5119495213056457	4.662194430646431	CDK6;CCND1;CHUK;TGFB3;HDAC1;E2F1;CBLC;PIK3R2;E2F3;SOS2
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	9/64	0.048964013763249984723113783502412843517959117889404296875	0.87316335708285830463637466891668736934661865234375	0.03621897556827256836609052470521419309079647064208984375	0.59965913800431369651278146193362772464752197265625	-1.486717297742133	4.484934970566617	PRKAA2;HDAC1;INSR;EIF4EBP2;PIK3R2;PRKAB1;MTOR;ADCY5;SOD1
ECM-receptor interaction_Homo sapiens_hsa04512	11/82	0.042610429355137986739965327842583064921200275421142578125	0.87316335708285830463637466891668736934661865234375	0.0288280895125267548617653545761640998534858226776123046875	0.5804895177143440943012819843715988099575042724609375	-1.3479391808192318	4.253632680524629	SDC4;VWF;COL4A2;GP1BB;COL4A1;ITGA1;COL6A1;CHAD;HMMR;GP5;CD44
Ribosome_Homo sapiens_hsa03010	16/137	0.05193536696403618091455456351468455977737903594970703125	0.87316335708285830463637466891668736934661865234375	0.0279837558165493792416977925086030154488980770111083984375	0.5804895177143440943012819843715988099575042724609375	-1.3825337152485133	4.0891963912076115	RPL34;MRPL16;MRPS2;RPS27L;MRPL36;RPL8;MRPL34;MRPS5;RPL7;MRPL11;MRPL20;MRPL2;RPL22L1;RPL27;RPL15;RPL28
Prostate cancer_Homo sapiens_hsa05215	11/89	0.06952140212169378996609481191626400686800479888916015625	0.99662175190829227489075492485426366329193115234375	0.04558473175968547064229596799123100936412811279296875	0.613114642167769563485535400104708969593048095703125	-1.468659192467012	3.915622570916528	HSP90AB1;CCND1;CHUK;EGF;ERBB2;E2F1;PIK3R2;E2F3;SOS2;MTOR;ATF4
Fructose and mannose metabolism_Homo sapiens_hsa00051	6/32	0.029835090060870740613641061145244748331606388092041015625	0.76046555028465678827132023798185400664806365966796875	0.0283743823367830043380433124866613070480525493621826171875	0.5804895177143440943012819843715988099575042724609375	-1.101868684225347	3.8698400152375436	GMPPB;PFKFB1;TPI1;PMM2;PFKM;FUK
