Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Alzheimer's disease_Homo sapiens_hsa05010	4/168	0.004837614341149495435223659711709842667914927005767822265625	0.419269300692718449585782991562155075371265411376953125	0.004459239904129612581951125349633002770133316516876220703125	0.401995368992846824340858802315779030323028564453125	-1.8418788249529334	9.819670438036677	UQCRQ;FAS;ATP5G1;MAPK3
Proteoglycans in cancer_Homo sapiens_hsa05205	4/203	0.0093328855070787149206257282685328391380608081817626953125	0.419269300692718449585782991562155075371265411376953125	0.0085530929572946133576660798780721961520612239837646484375	0.401995368992846824340858802315779030323028564453125	-1.961570568131122	9.168794805318374	DDX5;FAS;IGF1R;MAPK3
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	3/104	0.0086900917688849978193221801348045119084417819976806640625	0.419269300692718449585782991562155075371265411376953125	0.00849100958012970370714089796138068777509033679962158203125	0.401995368992846824340858802315779030323028564453125	-1.8061343685295546	8.571140289233094	ACE;FAS;MAPK3
Oocyte meiosis_Homo sapiens_hsa04114	3/123	0.01367311583433199022319382009982291492633521556854248046875	0.419269300692718449585782991562155075371265411376953125	0.01324181474709214267893031546918791718780994415283203125	0.41905055077449560041458198611508123576641082763671875	-1.8042696884747178	7.744509584606833	AURKA;IGF1R;MAPK3
Ovarian steroidogenesis_Homo sapiens_hsa04913	2/50	0.0175018167329886627225921102990469080395996570587158203125	0.419269300692718449585782991562155075371265411376953125	0.01790356569310629086810848775712656788527965545654296875	0.41905055077449560041458198611508123576641082763671875	-1.8463645098765378	7.469376396070069	GDF9;IGF1R
Glioma_Homo sapiens_hsa05214	2/65	0.028583413193753369474503500669015920720994472503662109375	0.419269300692718449585782991562155075371265411376953125	0.0287812322565696131204671104342196485958993434906005859375	0.41905055077449560041458198611508123576641082763671875	-1.866343336251282	6.6347174670581754	IGF1R;MAPK3
Long-term depression_Homo sapiens_hsa04730	2/60	0.02464037810684692464402445466475910507142543792724609375	0.419269300692718449585782991562155075371265411376953125	0.0249171345508716370054091981955934897996485233306884765625	0.41905055077449560041458198611508123576641082763671875	-1.7624974734291563	6.527178144697245	IGF1R;MAPK3
Melanoma_Homo sapiens_hsa05218	2/71	0.033623330734965296839877879619962186552584171295166015625	0.419269300692718449585782991562155075371265411376953125	0.03371403238084709486077628071143408305943012237548828125	0.41905055077449560041458198611508123576641082763671875	-1.651525328915594	5.602857623536299	IGF1R;MAPK3
p53 signaling pathway_Homo sapiens_hsa04115	2/69	0.031907032040261518179846689236001111567020416259765625	0.419269300692718449585782991562155075371265411376953125	0.032034839252895179473323850061206030659377574920654296875	0.41905055077449560041458198611508123576641082763671875	-1.4948858742173667	5.149775480558397	FAS;RCHY1
Adherens junction_Homo sapiens_hsa04520	2/74	0.0362639812067511169146882821223698556423187255859375	0.419269300692718449585782991562155075371265411376953125	0.036296584625885384978172254477613023482263088226318359375	0.41905055077449560041458198611508123576641082763671875	-1.5345839710338558	5.090108046215626	IGF1R;MAPK3
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	3/180	0.036698076618476738186558350207633338868618011474609375	0.419269300692718449585782991562155075371265411376953125	0.035169606298389159693140726403726148419082164764404296875	0.41905055077449560041458198611508123576641082763671875	-1.4906305954367685	4.926580228356237	DDX5;IL1R2;IGF1R
Prostate cancer_Homo sapiens_hsa05215	2/89	0.050585293691653647474293364894037949852645397186279296875	0.419269300692718449585782991562155075371265411376953125	0.05029040050597148592270713152174721471965312957763671875	0.41905055077449560041458198611508123576641082763671875	-1.6213362851807132	4.838220502270605	IGF1R;MAPK3
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	2/89	0.050585293691653647474293364894037949852645397186279296875	0.419269300692718449585782991562155075371265411376953125	0.05029040050597148592270713152174721471965312957763671875	0.41905055077449560041458198611508123576641082763671875	-1.5825433223973684	4.72245863991194	FBL;UTP18
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	2/98	0.05999656611951686979722353498800657689571380615234375	0.419269300692718449585782991562155075371265411376953125	0.05948244829866113081440204268801608122885227203369140625	0.41905055077449560041458198611508123576641082763671875	-1.5486147106282706	4.3569778548472815	IGF1R;MAPK3
HIF-1 signaling pathway_Homo sapiens_hsa04066	2/103	0.0654651585437878991147186980015248991549015045166015625	0.419269300692718449585782991562155075371265411376953125	0.06482406467273595096489913203186006285250186920166015625	0.41905055077449560041458198611508123576641082763671875	-1.439834775930115	3.925331140226332	IGF1R;MAPK3
TNF signaling pathway_Homo sapiens_hsa04668	2/110	0.07338868790939385988725263132437248714268207550048828125	0.419269300692718449585782991562155075371265411376953125	0.07256530529739056711857614345717593096196651458740234375	0.41905055077449560041458198611508123576641082763671875	-1.4569350575295026	3.805493202333102	FAS;MAPK3
MAPK signaling pathway_Homo sapiens_hsa04010	3/255	0.08486205825447377948389515722737996838986873626708984375	0.419269300692718449585782991562155075371265411376953125	0.0813659323993161931465323277734569273889064788818359375	0.41905055077449560041458198611508123576641082763671875	-1.5140528322966627	3.7347567946943516	IL1R2;FAS;MAPK3
Neurotrophin signaling pathway_Homo sapiens_hsa04722	2/120	0.08520776347690130203549330190071486867964267730712890625	0.419269300692718449585782991562155075371265411376953125	0.0841180884383893878730731330506387166678905487060546875	0.41905055077449560041458198611508123576641082763671875	-1.354034205266691	3.3345295706643214	PRDM4;MAPK3
Oxidative phosphorylation_Homo sapiens_hsa00190	2/133	0.101357173239832232258805788660538382828235626220703125	0.419269300692718449585782991562155075371265411376953125	0.09991799431027457989440421215476817451417446136474609375	0.41905055077449560041458198611508123576641082763671875	-1.1802764599732722	2.701776311186108	UQCRQ;ATP5G1
FoxO signaling pathway_Homo sapiens_hsa04068	2/133	0.101357173239832232258805788660538382828235626220703125	0.419269300692718449585782991562155075371265411376953125	0.09991799431027457989440421215476817451417446136474609375	0.41905055077449560041458198611508123576641082763671875	-1.1654866354215478	2.667920855303041	IGF1R;MAPK3
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	2/135	0.10391293354114548852518140620304620824754238128662109375	0.419269300692718449585782991562155075371265411376953125	0.10242017856102587913813550812847097404301166534423828125	0.41905055077449560041458198611508123576641082763671875	-1.1351469759799904	2.57020194882725	FAS;MAPK3
Measles_Homo sapiens_hsa05162	2/136	0.1051974781920698986947826369942049495875835418701171875	0.419269300692718449585782991562155075371265411376953125	0.1036779853801062245555186791534652002155780792236328125	0.41905055077449560041458198611508123576641082763671875	-1.1265606669184771	2.5369199350668103	FAS;RCHY1
Apoptosis_Homo sapiens_hsa04210	2/140	0.11037879146407324204570699066607630811631679534912109375	0.419269300692718449585782991562155075371265411376953125	0.10875276572668353403106067389671807177364826202392578125	0.41905055077449560041458198611508123576641082763671875	-1.1130504986397793	2.4529821721804606	FAS;MAPK3
Insulin signaling pathway_Homo sapiens_hsa04910	2/139	0.10907710286111253761287542829450103454291820526123046875	0.419269300692718449585782991562155075371265411376953125	0.107477640580598221564656569171347655355930328369140625	0.41905055077449560041458198611508123576641082763671875	-0.9854697847893219	2.183505679192878	PPP1R3C;MAPK3
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.10648639144822315272254087403780431486666202545166015625	0.419269300692718449585782991562155075371265411376953125	0.1049401991143421586372141973697580397129058837890625	0.41905055077449560041458198611508123576641082763671875	-0.931565862573446	2.086463538134913	UBE2Q1;RCHY1
Hepatitis B_Homo sapiens_hsa05161	2/146	0.11827418955065825689754177574286586605012416839599609375	0.4259606549065957370459045705501921474933624267578125	0.11648999586967978547846769288298673927783966064453125	0.4211561389134577115811453040805645287036895751953125	-0.967784920738889	2.065978578632233	FAS;MAPK3
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	2/151	0.12495955700126894216683837157688685692846775054931640625	0.4259606549065957370459045705501921474933624267578125	0.123045495597659926279021647133049555122852325439453125	0.425552512780441427597821757444762624800205230712890625	-0.9556831928233576	1.987596587426939	UQCRQ;FAS
Parkinson's disease_Homo sapiens_hsa05012	2/142	0.11299456330725744790388631599853397347033023834228515625	0.419269300692718449585782991562155075371265411376953125	0.11131557071234617073418604604739812202751636505126953125	0.41905055077449560041458198611508123576641082763671875	-0.9071400401603067	1.9779422711398984	UQCRQ;ATP5G1
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	2/142	0.11299456330725744790388631599853397347033023834228515625	0.419269300692718449585782991562155075371265411376953125	0.11131557071234617073418604604739812202751636505126953125	0.41905055077449560041458198611508123576641082763671875	-0.9058730300256747	1.9751796625102447	IGF1R;MAPK3
Influenza A_Homo sapiens_hsa05164	2/175	0.1581878176718226336472383763975813053548336029052734375	0.4259606549065957370459045705501921474933624267578125	0.1556862070769157446736841166057274676859378814697265625	0.425552512780441427597821757444762624800205230712890625	-0.7266408920643043	1.3399056279516561	FAS;MAPK3
Huntington's disease_Homo sapiens_hsa05016	2/193	0.1840773510458198203298962880580802448093891143798828125	0.4259606549065957370459045705501921474933624267578125	0.181187200112161883591710420660092495381832122802734375	0.425552512780441427597821757444762624800205230712890625	-0.5867721324749724	0.9930527014260968	UQCRQ;ATP5G1
cAMP signaling pathway_Homo sapiens_hsa04024	2/199	0.192844041065783511346154455168289132416248321533203125	0.4259606549065957370459045705501921474933624267578125	0.189836313317386373711315172840841114521026611328125	0.425552512780441427597821757444762624800205230712890625	-0.4712328233844678	0.7755896135711878	ACOX1;MAPK3
Focal adhesion_Homo sapiens_hsa04510	2/202	0.1972484621045155483987088018693611957132816314697265625	0.4259606549065957370459045705501921474933624267578125	0.1941843447766607722027032423284254036843776702880859375	0.425552512780441427597821757444762624800205230712890625	-0.43842215509618554	0.7116867894113338	IGF1R;MAPK3
Rap1 signaling pathway_Homo sapiens_hsa04015	2/211	0.2105345790816583184668076000889413990080356597900390625	0.4259606549065957370459045705501921474933624267578125	0.2073112317009882243912244348393869586288928985595703125	0.425552512780441427597821757444762624800205230712890625	-0.37832558685366224	0.5894711277961461	IGF1R;MAPK3
Pathways in cancer_Homo sapiens_hsa05200	3/397	0.2174198520401054712802846324848360382020473480224609375	0.4259606549065957370459045705501921474933624267578125	0.2109467753894642971790318597413715906441211700439453125	0.425552512780441427597821757444762624800205230712890625	-0.37470793433618915	0.5717762019786471	FAS;IGF1R;MAPK3
Cyanoamino acid metabolism_Homo sapiens_hsa00460	1/7	0.028012014259810570637743154520649113692343235015869140625	0.419269300692718449585782991562155075371265411376953125	0.0314029600770767414186224186778417788445949554443359375	0.41905055077449560041458198611508123576641082763671875	-0.10354539818135843	0.370187408270223	SHMT1
