Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pathways in cancer_Homo sapiens_hsa05200	28/397	0.002730645483740304184372416074211287195794284343719482421875	0.6526242706139326887893048478872515261173248291015625	0.0004502880874000703310955362468348539550788700580596923828125	0.1076188528886168060960670800341176800429821014404296875	-2.109779148854536	12.4544846795602	RB1;LAMA2;LAMC3;TCF7;PTEN;SLC2A1;FGF1;FGF2;FGF4;MYC;SUFU;DVL1;ABL1;RAC3;MMP2;VEGFC;FOS;PGF;PML;VEGFA;NFKBIA;PLCB4;RAD51;LPAR6;RARA;RARB;ITGA6;SOS2
Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961	6/47	0.010611756864006151312995740454425686039030551910400390625	0.6851126151850224221817597936023958027362823486328125	0.00832519110796387136474994150603379239328205585479736328125	0.47217239508506281264743620340595953166484832763671875	-1.958951059023666	8.904985530313551	PLCB4;KLK1;AP2S1;ATP1B3;ATP1B1;DNM1
Renin-angiotensin system_Homo sapiens_hsa04614	4/23	0.01221174252752024909363104399062649463303387165069580078125	0.6851126151850224221817597936023958027362823486328125	0.0119194959783239969042245576247296412475407123565673828125	0.47217239508506281264743620340595953166484832763671875	-1.7093265785626424	7.530194300264339	CTSA;NLN;KLK1;MME
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	5/39	0.018798655826959435877210324861152912490069866180419921875	0.6851126151850224221817597936023958027362823486328125	0.01540167493231510940920880869953180081211030483245849609375	0.47217239508506281264743620340595953166484832763671875	-1.7227973172432194	6.846344700215617	SLC9A3R2;NEDD4L;ATP1B3;ATP1B1;SGK1
Small cell lung cancer_Homo sapiens_hsa05222	8/86	0.021511663463162029874542469087828067131340503692626953125	0.6851126151850224221817597936023958027362823486328125	0.01348555794338250103658882750323755317367613315582275390625	0.47217239508506281264743620340595953166484832763671875	-1.7282485917029755	6.635022870723644	NFKBIA;RB1;LAMA2;LAMC3;MYC;PTEN;RARB;ITGA6
Sphingolipid signaling pathway_Homo sapiens_hsa04071	10/120	0.0220384271824328771549605932023041532374918460845947265625	0.6851126151850224221817597936023958027362823486328125	0.01199294699310215518706090875866721034981310367584228515625	0.47217239508506281264743620340595953166484832763671875	-1.620953129080206	6.183883764523903	ASAH1;SGPL1;PLCB4;SGMS1;PPP2R3C;SPHK1;ADORA1;PTEN;RAC3;PRKCZ
Bladder cancer_Homo sapiens_hsa05219	5/41	0.0229326398388292017338496719958129688166081905364990234375	0.6851126151850224221817597936023958027362823486328125	0.0184188880588685710559815333908773027360439300537109375	0.47217239508506281264743620340595953166484832763671875	-1.5595416411352925	5.887572344231757	RB1;MMP2;MYC;THBS1;VEGFA
Dorso-ventral axis formation_Homo sapiens_hsa04320	4/27	0.0213492324956071170827254235291547956876456737518310546875	0.6851126151850224221817597936023958027362823486328125	0.0192514558368800069165782673508147126995027065277099609375	0.47217239508506281264743620340595953166484832763671875	-1.3818136995605446	5.31547732403938	NOTCH1;SPIRE1;SOS2;ETS2
Rap1 signaling pathway_Homo sapiens_hsa04015	14/211	0.04428366137715265826724220232790685258805751800537109375	0.7149278324885302016156174431671388447284698486328125	0.0192713441484529159064553738289760076440870761871337890625	0.47217239508506281264743620340595953166484832763671875	-1.6598317077992293	5.173926959205484	VEGFC;FGF1;PRKCZ;FGF2;THBS1;PGF;VEGFA;FGF4;GNAO1;PLCB4;RAC3;CALM3;PRKD1;RAPGEF6
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	8/98	0.04235292382832796242997375202321563847362995147705078125	0.7149278324885302016156174431671388447284698486328125	0.02598205336768899531563192795147188007831573486328125	0.47217239508506281264743620340595953166484832763671875	-1.553985147737216	4.913262534606379	IPPK;ITPKC;DGKD;INPP5A;PLCB4;ITPR1;PTEN;CALM3
