Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pantothenate and CoA biosynthesis_Homo sapiens_hsa00770	1/18	0.0249128113826534054731087763912000809796154499053955078125	0.235464794844629510262024041367112658917903900146484375	0.0241139104410000339184794171387693495489656925201416015625	0.2202291808599015354719341530653764493763446807861328125	-1.3515057095071838	4.9902633188049075	PANK4
Notch signaling pathway_Homo sapiens_hsa04330	1/48	0.0651098845207480902974594982879352755844593048095703125	0.235464794844629510262024041367112658917903900146484375	0.061137162224625986317594339425340876914560794830322265625	0.2202291808599015354719341530653764493763446807861328125	-1.7256159330474117	4.713828643019615	HES5
Adipocytokine signaling pathway_Homo sapiens_hsa04920	1/70	0.0935671653427092298027645256297546438872814178466796875	0.235464794844629510262024041367112658917903900146484375	0.08748854328242371136692412392221740446984767913818359375	0.2202291808599015354719341530653764493763446807861328125	-1.7579715657242962	4.164767813744554	ADIPOR2
RNA degradation_Homo sapiens_hsa03018	1/77	0.1024452543610508137295056485527311451733112335205078125	0.235464794844629510262024041367112658917903900146484375	0.0957340742047622372812298863209434784948825836181640625	0.2202291808599015354719341530653764493763446807861328125	-1.7748225982431027	4.0438032433121975	LSM7
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	1/94	0.1236586228296332468090668044169433414936065673828125	0.235464794844629510262024041367112658917903900146484375	0.115483854890412296345658660357003100216388702392578125	0.2202291808599015354719341530653764493763446807861328125	-1.8067889393095742	3.7766054413509536	ADIPOR2
Serotonergic synapse_Homo sapiens_hsa04726	1/112	0.14559265997835246775338191582704894244670867919921875	0.235464794844629510262024041367112658917903900146484375	0.135976593793894207085060088502359576523303985595703125	0.2202291808599015354719341530653764493763446807861328125	-1.7461756133442505	3.3647801008717	DUSP1
Oocyte meiosis_Homo sapiens_hsa04114	1/123	0.158735160185017154521602833483484573662281036376953125	0.235464794844629510262024041367112658917903900146484375	0.1482911473072956731744653779969667084515094757080078125	0.2202291808599015354719341530653764493763446807861328125	-1.7247888241637248	3.174505092202118	ESPL1
AMPK signaling pathway_Homo sapiens_hsa04152	1/124	0.15992021906580278223231061929254792630672454833984375	0.235464794844629510262024041367112658917903900146484375	0.149402877501003283899905227372073568403720855712890625	0.2202291808599015354719341530653764493763446807861328125	-1.5875200637372333	2.9100516260146154	ADIPOR2
Apoptosis_Homo sapiens_hsa04210	1/140	0.1786636528125708778258484699108521454036235809326171875	0.235464794844629510262024041367112658917903900146484375	0.167015997270495042403837260280852206051349639892578125	0.2202291808599015354719341530653764493763446807861328125	-1.6785230992349083	2.890836869768289	LMNB2
Cell cycle_Homo sapiens_hsa04110	1/124	0.15992021906580278223231061929254792630672454833984375	0.235464794844629510262024041367112658917903900146484375	0.149402877501003283899905227372073568403720855712890625	0.2202291808599015354719341530653764493763446807861328125	-1.5562396069239057	2.8527120393905494	ESPL1
Spliceosome_Homo sapiens_hsa03040	1/134	0.1716826150002363771118751856192830018699169158935546875	0.235464794844629510262024041367112658917903900146484375	0.1604494405776093757243216941787977702915668487548828125	0.2202291808599015354719341530653764493763446807861328125	-1.5747718078865591	2.774917636114881	LSM7
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	1/151	0.191315145811261466679553677749936468899250030517578125	0.235464794844629510262024041367112658917903900146484375	0.178936209448670002775116927296039648354053497314453125	0.2202291808599015354719341530653764493763446807861328125	-1.653188754503894	2.7340985019333948	ADIPOR2
Ribosome_Homo sapiens_hsa03010	1/137	0.175180255793824901644484270946122705936431884765625	0.235464794844629510262024041367112658917903900146484375	0.16373844806323878398046645088470540940761566162109375	0.2202291808599015354719341530653764493763446807861328125	-1.503735159847397	2.6194161267120144	RPL8
Purine metabolism_Homo sapiens_hsa00230	1/176	0.219373529193413852045324574646656401455402374267578125	0.250712604792472981696249689775868318974971771240234375	0.2054654702781348596385413429743493907153606414794921875	0.2348176803178683991202291281297220848500728607177734375	-1.4675848330832546	2.2262959438599554	AMPD2
MAPK signaling pathway_Homo sapiens_hsa04010	1/255	0.302002473095100310018779055099003016948699951171875	0.32213597130144033808818448960664682090282440185546875	0.284362781125374552981810438723186962306499481201171875	0.30332029986706621205172496047453023493289947509765625	-1.6413515778189762	1.965223190290365	DUSP1
Metabolic pathways_Homo sapiens_hsa01100	2/1239	0.5247663212232815954649822742794640362262725830078125	0.5247663212232815954649822742794640362262725830078125	0.490957824308158541359858872965560294687747955322265625	0.490957824308158541359858872965560294687747955322265625	-1.6390946529393242	1.0568918675794508	PANK4;AMPD2
