Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Apoptosis_Homo sapiens_hsa04210	14/140	0.00055903675536005050135390792576117746648378670215606689453125	0.1313736375096118680350087970509775914251804351806640625	0.00094732309808368323454652593085256739868782460689544677734375	0.2226209280496655729120192290793056599795818328857421875	-1.9612593995324727	14.688450871613957	ENDOG;PARP4;GADD45A;PIK3CD;PIK3R1;CFLAR;FOS;CASP7;TNFSF10;BCL2;FADD;BAK1;RAF1;BIRC3
Hepatitis B_Homo sapiens_hsa05161	13/146	0.0024977410281867965836932743428633330040611326694488525390625	0.2192754901827754510090784378917305730283260345458984375	0.003671984001064158842364548718251171521842479705810546875	0.310702436951634186623749656064319424331188201904296875	-1.9108761757789183	11.450674287819755	TGFB3;PIK3CD;PIK3R1;FOS;YWHAZ;MAVS;BCL2;E2F2;FADD;RAF1;MYD88;TLR2;LAMTOR5
B cell receptor signaling pathway_Homo sapiens_hsa04662	8/73	0.004758146578374718334292214905190121498890221118927001953125	0.2192754901827754510090784378917305730283260345458984375	0.00709979361017980085957201907831404241733253002166748046875	0.310702436951634186623749656064319424331188201904296875	-1.8965733573425443	10.142679083429396	PPP3R1;INPPL1;BLNK;PIK3CD;FOS;PIK3R1;BCL10;RAF1
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	14/169	0.0033819603892545810862324540124745908542536199092864990234375	0.2192754901827754510090784378917305730283260345458984375	0.00476061257170846442721146019039224484004080295562744140625	0.310702436951634186623749656064319424331188201904296875	-1.7665524728234938	10.050446525743377	EDEM3;SAR1A;DERL3;SSR3;EIF2AK2;UBE2G1;UBE2G2;RAD23B;RBX1;BCL2;BAK1;SIL1;SEC31A;NFE2L2
TNF signaling pathway_Homo sapiens_hsa04668	10/110	0.00653161034586990756067859109634810010902583599090576171875	0.2192754901827754510090784378917305730283260345458984375	0.00908232289512215552884644154119087033905088901519775390625	0.310702436951634186623749656064319424331188201904296875	-1.7531019941467207	8.820034526047081	BAG4;CASP7;PIK3CD;PIK3R1;TAB1;CFLAR;FADD;FOS;JUNB;BIRC3
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	9/93	0.006463869381649730606886894435092472122050821781158447265625	0.2192754901827754510090784378917305730283260345458984375	0.00913407987891949081638021112894421094097197055816650390625	0.310702436951634186623749656064319424331188201904296875	-1.7185428447320967	8.664080435957766	MYO10;RPS6KB1;SPHK2;INPPL1;PIK3CD;PIK3R1;RAF1;DNM2;ARF6
Osteoclast differentiation_Homo sapiens_hsa04380	11/132	0.0084645341730892921516815619042972684837877750396728515625	0.2210183922973315284732365171294077299535274505615234375	0.01132309011839780811536915194892571889795362949371337890625	0.310702436951634186623749656064319424331188201904296875	-1.6570939664861288	7.9074374741525775	PPP3R1;JUND;BLNK;PIK3CD;MITF;PIK3R1;TAB1;FOS;SQSTM1;JUNB;FOSL2
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	21/341	0.01277560848066421582414076141276382259093225002288818359375	0.252271498503708280214397063900833018124103546142578125	0.015194298349020141092324820419889874756336212158203125	0.3218434300814594362094567259191535413265228271484375	-1.8077721594913583	7.882279830134858	CRTC2;ITGB5;PIK3CD;PIK3R1;BRCA1;PPP2R5C;YWHAZ;THBS1;THBS3;G6PC3;RPS6KB1;PPP2R3C;GNG7;DDIT4;BCL2;ITGB8;JAK2;RAF1;MET;FGFR2;TLR2
MAPK signaling pathway_Homo sapiens_hsa04010	17/255	0.01163601079931266858713545531145427958108484745025634765625	0.252271498503708280214397063900833018124103546142578125	0.01434508491576798848432527933027813560329377651214599609375	0.3218434300814594362094567259191535413265228271484375	-1.7686503233412896	7.876950591876065	MAP3K3;JUND;GADD45A;TGFB3;MAX;FOS;DUSP9;CACNA1I;PPP3R1;MKNK2;TAB1;CACNA1S;RAF1;MAP2K5;MAP3K11;FGFR2;MAP3K12
Malaria_Homo sapiens_hsa05144	6/49	0.008145850572640007947189388914921437390148639678955078125	0.2210183922973315284732365171294077299535274505615234375	0.01189924226623279880643568873210824676789343357086181640625	0.310702436951634186623749656064319424331188201904296875	-1.6370148322400138	7.874445053150609	TGFB3;MET;THBS1;MYD88;TLR2;THBS3
