Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Shigellosis_Homo sapiens_hsa05131	10/65	0.008439780756336077993662314611356123350560665130615234375	0.986145288867387392883756547234952449798583984375	0.0056672130759441753655725193539183237589895725250244140625	0.37719226428385954630329024439561180770397186279296875	-1.7432854421243604	8.323837494158742	ARPC1B;RHOG;PFN4;ARPC4;ITGA5;RAC1;IKBKG;BTRC;CRK;ACTG1
Hippo signaling pathway_Homo sapiens_hsa04390	18/153	0.0098899261667352578175638200264074839651584625244140625	0.986145288867387392883756547234952449798583984375	0.003785523197599426244164266819325348478741943836212158203125	0.37719226428385954630329024439561180770397186279296875	-1.7124204524647397	7.904941390079567	WNT10B;FZD5;FZD7;PARD6G;AXIN2;YWHAZ;SMAD7;ACTG1;BBC3;PPP1CC;CCND3;FRMD6;CCND1;DVL2;BTRC;LLGL1;BMPR1A;TEAD3
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	11/78	0.01124880557643407642809396662642029696144163608551025390625	0.986145288867387392883756547234952449798583984375	0.00678490615443172635778967816122531075961887836456298828125	0.37719226428385954630329024439561180770397186279296875	-1.730288754325312	7.764659238734724	SEPT9;SEPT6;ARPC1B;PXN;RHOG;CBLC;ARPC4;ITGA5;RAC1;CRK;ACTG1
Endocytosis_Homo sapiens_hsa04144	26/259	0.0170121349301618519922474348504692898131906986236572265625	0.99999999984037779565682058091624639928340911865234375	0.004233584890941075561110462643910068436525762081146240234375	0.37719226428385954630329024439561180770397186279296875	-1.8878856375855282	7.6909220699994485	VPS29;WIPF1;ARPC1B;CBLC;PARD6G;ARRB2;PLD1;AP2A2;CYTH3;GRK6;VPS35;RAB11FIP2;LDLRAP1;LDLR;GIT1;GIT2;SH3GLB2;PDGFRA;HSPA8;SMURF2;ARPC4;ACAP3;CAPZA2;CHMP2A;STAM2;FGFR2
Proteoglycans in cancer_Homo sapiens_hsa05205	21/203	0.02218054125916386898342835820585605688393115997314453125	0.99999999984037779565682058091624639928340911865234375	0.00717095559475018108630539614978260942734777927398681640625	0.37719226428385954630329024439561180770397186279296875	-1.9098042699596653	7.273565752502284	WNT10B;DDX5;ARHGEF12;FZD5;PDPK1;FZD7;PXN;CBLC;FRS2;PRKCA;PTPN11;NUDT16L1;FGF2;ACTG1;PPP1CC;CCND1;SMO;PTPN6;FLNB;RAC1;ITGA5
Thyroid hormone synthesis_Homo sapiens_hsa04918	9/71	0.038419244672057005496323967008720501326024532318115234375	0.99999999984037779565682058091624639928340911865234375	0.0241809367938247525564587903090796316973865032196044921875	0.6786133963912213129532347011263482272624969482421875	-1.7120563283759713	5.579928475350674	ADCY9;CREB3L4;ADCY3;ATP1B3;PRKCA;ATP1B2;SLC26A4;ADCY7;ATF4
Vibrio cholerae infection_Homo sapiens_hsa05110	7/51	0.04434416973524897553904366986898821778595447540283203125	0.99999999984037779565682058091624639928340911865234375	0.03169230808365423868178112343230168335139751434326171875	0.6786133963912213129532347011263482272624969482421875	-1.7024739991535307	5.304524288938579	ADCY9;ADCY3;KDELR2;PRKCA;ATP6V0D1;ACTG1;ATP6V1C2
Insulin secretion_Homo sapiens_hsa04911	10/85	0.04677850375748138223030991866835393011569976806640625	0.99999999984037779565682058091624639928340911865234375	0.027352410774713294128179796871336293406784534454345703125	0.6786133963912213129532347011263482272624969482421875	-1.68781702032395	5.168655232638081	ADCY9;RAB3A;CREB3L4;ADCY3;ATP1B3;PRKCA;ATP1B2;ADCY7;VAMP2;ATF4
Oocyte meiosis_Homo sapiens_hsa04114	13/123	0.054127943959474907054119086069476907141506671905517578125	0.99999999984037779565682058091624639928340911865234375	0.0266886772540419515975518294226276339031755924224853515625	0.6786133963912213129532347011263482272624969482421875	-1.6718015812897296	4.875649992948659	CUL1;ADCY3;ADCY7;YWHAZ;ANAPC10;AURKA;PPP1CC;CPEB1;ADCY9;PPP2R5E;SPDYA;FBXO5;BTRC
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	15/148	0.055286742774635390385018496317570679821074008941650390625	0.99999999984037779565682058091624639928340911865234375	0.0246435076840276767740078867063857614994049072265625	0.6786133963912213129532347011263482272624969482421875	-1.634382280393359	4.731899750379317	TNNC1;TPM1;ADCY3;ATP2A2;ATP1B3;PRKCA;ADRA1D;ATP1B2;ADCY7;PPP1CC;ADCY9;CREB3L4;PPP2R5E;TNNI3;ATF4
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	9/81	0.076756706579776567966888478622422553598880767822265625	0.99999999984037779565682058091624639928340911865234375	0.04672411105597677749567964156085508875548839569091796875	0.6786133963912213129532347011263482272624969482421875	-1.6727609644501358	4.294168950602882	DAGLA;ADCY9;CREB3L4;ADCY3;PRKCA;PRKD2;ADCY7;LDLR;ATF4
Wnt signaling pathway_Homo sapiens_hsa04310	14/142	0.07491285511264667018593854663777165114879608154296875	0.99999999984037779565682058091624639928340911865234375	0.035299591040773396766194736073884996585547924041748046875	0.6786133963912213129532347011263482272624969482421875	-1.625564717984593	4.212536807868983	WNT10B;FZD5;CTBP2;FZD7;CUL1;PRKCA;AXIN2;CCND3;CCND1;SOX17;CSNK2B;DVL2;RAC1;BTRC
Bile secretion_Homo sapiens_hsa04976	8/71	0.08623529077300452760912463645581738092005252838134765625	0.99999999984037779565682058091624639928340911865234375	0.055368196708792498383910896109227905981242656707763671875	0.6786133963912213129532347011263482272624969482421875	-1.362651584550661	3.3394172339877692	ADCY9;ADCY3;ATP1B3;ATP1B2;SLC5A1;HMGCR;ADCY7;LDLR
Chronic myeloid leukemia_Homo sapiens_hsa05220	8/73	0.0976231490642491817055770297884009778499603271484375	0.99999999984037779565682058091624639928340911865234375	0.062432805867075551187195259217332932166755199432373046875	0.6786133963912213129532347011263482272624969482421875	-1.413706285152967	3.2891864828438635	BCR;STAT5B;CCND1;CTBP2;CBLC;PTPN11;IKBKG;CRK
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	6/48	0.08703893093160018634701913242679438553750514984130859375	0.99999999984037779565682058091624639928340911865234375	0.06321086582595993041966409009546623565256595611572265625	0.6786133963912213129532347011263482272624969482421875	-1.2432614649443239	3.035298265064698	GALE;GMDS;GFPT2;UXS1;NANS;HK1
AMPK signaling pathway_Homo sapiens_hsa04152	12/124	0.10429183317782785012095558840883313678205013275146484375	0.99999999984037779565682058091624639928340911865234375	0.0544891846992594242049534614125150255858898162841796875	0.6786133963912213129532347011263482272624969482421875	-1.3315985627790288	3.010161404966761	RAB2A;CCND1;CREB3L4;PPP2R5E;PDPK1;FASN;IRS4;PPARG;HMGCR;CPT1C;ELAVL1;ACACB
Apoptosis_Homo sapiens_hsa04210	13/140	0.11882952146777291113632912811226560734212398529052734375	0.99999999984037779565682058091624639928340911865234375	0.05967048497751747948569800428231246769428253173828125	0.6786133963912213129532347011263482272624969482421875	-1.3957867989373438	2.9731171741776974	DFFA;PDPK1;DAB2IP;SEPT4;ACTG1;TNFRSF1A;BBC3;CASP9;TNFSF10;CTSH;IKBKG;SPTAN1;ATF4
Choline metabolism in cancer_Homo sapiens_hsa05231	10/101	0.11653199799711010109515285648740245960652828216552734375	0.99999999984037779565682058091624639928340911865234375	0.067087255917002874827659297807258553802967071533203125	0.6786133963912213129532347011263482272624969482421875	-1.3490282889722884	2.899856887030384	SLC22A4;PDGFRA;SLC22A3;SLC22A5;CHKA;SLC44A1;PDPK1;PRKCA;RAC1;PLD1
Fatty acid metabolism_Homo sapiens_hsa01212	6/48	0.08703893093160018634701913242679438553750514984130859375	0.99999999984037779565682058091624639928340911865234375	0.06321086582595993041966409009546623565256595611572265625	0.6786133963912213129532347011263482272624969482421875	-1.1668396824693725	2.8487221422619537	ACAA2;CPT2;ELOVL2;FASN;CPT1C;ACAT2
Huntington's disease_Homo sapiens_hsa05016	17/193	0.11955091633230881253968647115470957942306995391845703125	0.99999999984037779565682058091624639928340911865234375	0.050885284702280396407214624332482344470918178558349609375	0.6786133963912213129532347011263482272624969482421875	-1.330653321520746	2.8263248472988556	NDUFB10;COX4I1;NDUFA1;SDHD;ATP5G3;COX6C;AP2A2;BBC3;CASP9;REST;CREB3L4;POLR2B;ATP5D;PPARG;NDUFV2;SLC25A4;RCOR1
Salmonella infection_Homo sapiens_hsa05132	9/86	0.102441186136234485548612838101689703762531280517578125	0.99999999984037779565682058091624639928340911865234375	0.0620076964629239224535695029771886765956878662109375	0.6786133963912213129532347011263482272624969482421875	-1.2187411034363462	2.776860701862277	ARPC1B;RHOG;PLEKHM2;PFN4;FLNB;ARPC4;RAC1;MYD88;ACTG1
Notch signaling pathway_Homo sapiens_hsa04330	6/48	0.08703893093160018634701913242679438553750514984130859375	0.99999999984037779565682058091624639928340911865234375	0.06321086582595993041966409009546623565256595611572265625	0.6786133963912213129532347011263482272624969482421875	-1.1371812278797522	2.7763139977978235	NCOR2;CTBP2;NOTCH4;DVL2;MAML3;RFNG
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	13/137	0.10508770399597454348050717953810817562043666839599609375	0.99999999984037779565682058091624639928340911865234375	0.052470419349397813546520552563379169441759586334228515625	0.6786133963912213129532347011263482272624969482421875	-1.1931678313713636	2.6881593989431614	CUL7;UBE2I;SMURF2;CUL1;UBE2E1;CBLC;UBE2J2;ANAPC10;PIAS1;SOCS1;CDC34;BTRC;UBE2M
Prostate cancer_Homo sapiens_hsa05215	9/89	0.119936494552847661143601953881443478167057037353515625	0.99999999984037779565682058091624639928340911865234375	0.07254898153890702861001926748940604738891124725341796875	0.69036988972157320443301387058454565703868865966796875	-1.2549112626678305	2.661406881365989	CASP9;PDGFRA;CCND1;CREB3L4;PDPK1;TGFA;IKBKG;FGFR2;ATF4
Dilated cardiomyopathy_Homo sapiens_hsa05414	9/90	0.126107200811087116765207838398055173456668853759765625	0.99999999984037779565682058091624639928340911865234375	0.07629503797677771037566429868093109689652919769287109375	0.69036988972157320443301387058454565703868865966796875	-1.1402372152581925	2.361001327735241	ADCY9;TNNC1;TPM1;ADCY3;ATP2A2;TNNI3;ITGA5;ADCY7;ACTG1
Parkinson's disease_Homo sapiens_hsa05012	13/142	0.1285396123761451681044576389467692933976650238037109375	0.99999999984037779565682058091624639928340911865234375	0.06482335707122051371431581401338917203247547149658203125	0.6786133963912213129532347011263482272624969482421875	-1.1463014490476688	2.351658233403284	NDUFB10;COX4I1;NDUFA1;SDHD;ATP5G3;UBE2J2;COX6C;SNCAIP;SEPT5;CASP9;ATP5D;NDUFV2;SLC25A4
MAPK signaling pathway_Homo sapiens_hsa04010	21/255	0.1501784966464413673126188086826005019247531890869140625	0.99999999984037779565682058091624639928340911865234375	0.056661269969697482251635989314308972097933292388916015625	0.6786133963912213129532347011263482272624969482421875	-1.1576163448341847	2.1947603840158356	DUSP5;PDGFRA;MAP2K4;HSPA8;NTRK2;JUND;DUSP1;PRKCA;ARRB2;DUSP8;FGF2;TNFRSF1A;FLNB;TAB2;RAC1;IKBKG;CRK;MAP2K5;FGFR2;ATF4;MAP4K4
mRNA surveillance pathway_Homo sapiens_hsa03015	9/91	0.132443833018341228235925655098981224000453948974609375	0.99999999984037779565682058091624639928340911865234375	0.0801577458432577716340716733611770905554294586181640625	0.69036988972157320443301387058454565703868865966796875	-0.9455832843013986	1.91158797636652	PPP1CC;NUDT21;DAZAP1;CPSF6;PPP2R5E;CSTF1;PAPOLA;ACIN1;MSI2
HTLV-I infection_Homo sapiens_hsa05166	21/258	0.1625830175453948089892008965762215666472911834716796875	0.99999999984037779565682058091624639928340911865234375	0.06213157247680074768414471009236876852810382843017578125	0.6786133963912213129532347011263482272624969482421875	-1.043720349724769	1.8959874544734079	STAT5B;WNT10B;PDGFRA;MAP2K4;XBP1;RANBP3;FZD5;IL15;FZD7;ADCY3;ADCY7;ANAPC10;TNFRSF1A;POLD4;CCND3;ADCY9;CCND1;DVL2;IKBKG;SLC25A4;ATF4
Cardiac muscle contraction_Homo sapiens_hsa04260	8/78	0.1295876616035089023970527932760887779295444488525390625	0.99999999984037779565682058091624639928340911865234375	0.08246074866092954758212130172978504560887813568115234375	0.69036988972157320443301387058454565703868865966796875	-0.9272016259062262	1.8946416728475413	COX4I1;TNNC1;TPM1;ATP2A2;ATP1B3;TNNI3;ATP1B2;COX6C
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	9/93	0.1456044987803652712710089645042899064719676971435546875	0.99999999984037779565682058091624639928340911865234375	0.0882333994929916098914901567695778794586658477783203125	0.69036988972157320443301387058454565703868865966796875	-0.9806094618356056	1.8894983689621228	MYO10;ARPC1B;CFL2;PRKCA;ARPC4;RAC1;DOCK2;PLD1;CRK
Pyruvate metabolism_Homo sapiens_hsa00620	5/40	0.113089356099285165413448339677415788173675537109375	0.99999999984037779565682058091624639928340911865234375	0.086247218340093301236493061878718435764312744140625	0.69036988972157320443301387058454565703868865966796875	-0.7528910090734493	1.6409839350270914	GRHPR;PDHB;ACSS1;ACACB;ACAT2
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	7/68	0.1479507541001446602191293777650571428239345550537109375	0.99999999984037779565682058091624639928340911865234375	0.0990522196417964739811878871478256769478321075439453125	0.69036988972157320443301387058454565703868865966796875	-0.7721243673395823	1.4754337705761136	MAP2K4;PTPN11;RAC1;IKBKG;ATP6V0D1;GIT1;ATP6V1C2
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	14/167	0.191205666908226323830177761919912882149219512939453125	0.99999999984037779565682058091624639928340911865234375	0.09575431416746926771565995295532047748565673828125	0.69036988972157320443301387058454565703868865966796875	-0.8506636902014716	1.407342806950931	IRS4;ADCY3;ATP2A2;ATP1B3;ADRA1D;ATP1B2;ADCY7;PPP1CC;ADCY9;CREB3L4;SLC25A4;MEF2D;GTF2I;ATF4
Glycerophospholipid metabolism_Homo sapiens_hsa00564	9/95	0.1593952087569015241275138805576716549694538116455078125	0.99999999984037779565682058091624639928340911865234375	0.09677518626998159179120051476274966262280941009521484375	0.69036988972157320443301387058454565703868865966796875	-0.7657136185794682	1.4061324235954735	CHKA;GPAM;LPCAT3;PNPLA6;PLD1;CDIPT;CRLS1;LPIN2;PLD3
Insulin signaling pathway_Homo sapiens_hsa04910	12/139	0.186982692609886258505724754286347888410091400146484375	0.99999999984037779565682058091624639928340911865234375	0.1008223473291039173904692916039493866264820098876953125	0.69036988972157320443301387058454565703868865966796875	-0.7887156171013134	1.3224704080674974	PPP1CC;SOCS1;PRKAR2B;PDPK1;FASN;IRS4;CBLC;PHKA2;ACACB;EIF4E;CRK;HK1
Basal cell carcinoma_Homo sapiens_hsa05217	6/55	0.14216025630284556680038576814695261418819427490234375	0.99999999984037779565682058091624639928340911865234375	0.1006380715080487930901398385685752145946025848388671875	0.69036988972157320443301387058454565703868865966796875	-0.6091620481948601	1.1883535016273836	WNT10B;FZD5;SMO;FZD7;DVL2;AXIN2
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	14/169	0.203042822506130649085065442704944871366024017333984375	0.99999999984037779565682058091624639928340911865234375	0.10237424220205838809594212079900898970663547515869140625	0.69036988972157320443301387058454565703868865966796875	-0.740022406595253	1.179846120366397	HSPA8;XBP1;ERO1LB;HSPA4L;CUL1;UBE2E1;RRBP1;UBE2J2;HSPBP1;CKAP4;DNAJC3;P4HB;UBXN6;ATF4
