Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	11/137	0.00024135160294718336552836912556330162260564975440502166748046875	0.0511665398248028757688388168389792554080486297607421875	0.00027254009680099055244750783089102696976624429225921630859375	0.05777850052180999451678644618368707597255706787109375	-1.6450257774768577	13.701840423008054	UBE2W;HERC1;CUL5;SMURF1;UBE2D3;UBE2L6;BRCA1;PRPF19;ANAPC1;BIRC3;UBE2J1
TNF signaling pathway_Homo sapiens_hsa04668	9/110	0.00076339563423139856525312385571169215836562216281890869140625	0.080919937228528249217873735688044689595699310302734375	0.00087227175970396898796455076308120624162256717681884765625	0.092460806528620709254795428932993672788143157958984375	-1.8877233289727289	13.5495761786681	MAP2K3;EDN1;JUN;RPS6KA5;CCL5;LIF;MAP3K14;JUNB;BIRC3
Salmonella infection_Homo sapiens_hsa05132	7/86	0.00298043425685890102372344045988938887603580951690673828125	0.2106173541513623181931080807771650142967700958251953125	0.00335980777028532968941920699990077991969883441925048828125	0.2374264157668299624059926600239123217761516571044921875	-1.6653605140123986	9.68521426812043	DYNC2H1;JUN;ROCK1;ROCK2;CCL4;PLEKHM2;LBP
Fanconi anemia pathway_Homo sapiens_hsa03460	5/53	0.006248573195894152783325115052548426319845020771026611328125	0.331174379382390082771081551982206292450428009033203125	0.007280646216348545841923201038525803596712648868560791015625	0.385874249466472918346227061192621476948261260986328125	-1.6647949072304065	8.44950361809142	RAD51C;APITD1;FANCC;BRCA1;POLK
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	7/106	0.00929640724481015263969130302257326547987759113311767578125	0.39416766717995044277955685174674727022647857666015625	0.0096712279050546433312174343654987751506268978118896484375	0.41006006317431686891694653240847401320934295654296875	-1.7938226629904483	8.39173071947744	MAP2K3;IFNAR2;JUN;IRF3;CCL5;CCL4;LBP
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	9/180	0.0191673035572752781252603426764835603535175323486328125	0.67724472569039317892958251832169480621814727783203125	0.018202320991711484765573914046399295330047607421875	0.64314867504047246171694496297277510166168212890625	-1.6319639657059408	6.453682107244776	GOLPH3;NR4A3;SLC45A3;FUS;CEBPE;NFKBIZ;BMI1;RUNX1;BIRC3
Circadian rhythm_Homo sapiens_hsa04710	3/30	0.028151142618698200836835354721188195981085300445556640625	0.76923832100252675925133871714933775365352630615234375	0.03159934319151087855903625722930883057415485382080078125	0.7734744573200968975612568101496435701847076416015625	-1.5006559493431526	5.35759285120513	PER1;BHLHE41;NPAS2
Pathways in cancer_Homo sapiens_hsa05200	14/397	0.059873149404833882203380568398642935790121555328369140625	0.76923832100252675925133871714933775365352630615234375	0.050937197270134494664350910397843108512461185455322265625	0.7734744573200968975612568101496435701847076416015625	-1.7894583092511487	5.0382684201563945	TCF7L2;JUN;ROCK1;ROCK2;ETS1;RUNX1;PLCB4;MECOM;GNB1;CCDC6;ABL1;E2F2;PPARD;BIRC3
Oocyte meiosis_Homo sapiens_hsa04114	6/123	0.056057842168303291530140342047161539085209369659423828125	0.76923832100252675925133871714933775365352630615234375	0.05470505176615170217502281957422383129596710205078125	0.7734744573200968975612568101496435701847076416015625	-1.5923207169787366	4.588067095597326	MAD2L2;PPP3R1;PPP2R5E;CPEB3;ANAPC1;PPP1CA
mRNA surveillance pathway_Homo sapiens_hsa03015	5/91	0.051629454746025059408420787576687871478497982025146484375	0.76923832100252675925133871714933775365352630615234375	0.0517067056995215990067293887477717362344264984130859375	0.7734744573200968975612568101496435701847076416015625	-1.5316479240507028	4.539288191082641	PPP2R5E;CPSF2;SMG7;GSPT2;PPP1CA
Oxytocin signaling pathway_Homo sapiens_hsa04921	7/158	0.0623503313424992045010952779193758033215999603271484375	0.76923832100252675925133871714933775365352630615234375	0.05945336945076602763737838586166617460548877716064453125	0.7734744573200968975612568101496435701847076416015625	-1.6050855063037688	4.454090278501773	GNAO1;PPP3R1;JUN;PLCB4;ROCK1;ROCK2;PPP1CA
Circadian entrainment_Homo sapiens_hsa04713	5/95	0.05998438491787401460886286486129392869770526885986328125	0.76923832100252675925133871714933775365352630615234375	0.059646888422045733768594999446577276103198528289794921875	0.7734744573200968975612568101496435701847076416015625	-1.5661989382892119	4.406768536027648	GNAO1;PER1;PLCB4;RPS6KA5;GNB1
NF-kappa B signaling pathway_Homo sapiens_hsa04064	5/93	0.05571621968802180357993591997001203708350658416748046875	0.76923832100252675925133871714933775365352630615234375	0.055594290809084900839565079877502284944057464599609375	0.7734744573200968975612568101496435701847076416015625	-1.5113134907987942	4.363893489158008	CCL4;LBP;MAP3K14;RELB;BIRC3
Cytosolic DNA-sensing pathway_Homo sapiens_hsa04623	4/64	0.053396336258724121093255376990782679058611392974853515625	0.76923832100252675925133871714933775365352630615234375	0.054789302844802816039315729312875191681087017059326171875	0.7734744573200968975612568101496435701847076416015625	-1.443108151239935	4.22832585243885	IRF3;CCL5;POLR1C;CCL4
