Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
N-Glycan biosynthesis_Homo sapiens_hsa00510	9/49	0.0000005257989666518467689913861155825980375766448560170829296112060546875	0.00008780842743085840438645173211540395641350187361240386962890625	0.000000686981071090119853943755344471977508646887145005166530609130859375	0.00011472583887205001370278301120464448104030452668666839599609375	-1.7885537989699478	25.85953125682758	DPM1;DPAGT1;DPM2;MGAT5;RPN1;ALG2;STT3A;ALG1;MGAT2
Metabolic pathways_Homo sapiens_hsa01100	42/1239	0.000753269041698632056160145342715850347303785383701324462890625	0.041931976654557188977090476100784144364297389984130859375	0.00002565475758818622049818765351592020351745304651558399200439453125	0.002142172258613549325201308448640702408738434314727783203125	-1.9619221734030954	14.108355196023174	DPAGT1;PYGB;MVK;NDUFB4;PIGP;RPN1;UAP1;PLA2G6;EPRS;AK6;AGPAT2;SRM;PAPSS1;TYMP;RDH10;MGAT5;PIP5KL1;CHSY3;MGAT2;CKB;NADK;PCYT1A;CHKA;MMAB;GSS;GPT2;GFPT1;ALG2;NME2;ALG1;DGKZ;DPM1;DPM2;CYP2U1;ETNK1;PI4KA;STT3A;POLR1D;HPSE;UMPS;RBKS;GALK1
SNARE interactions in vesicular transport_Homo sapiens_hsa04130	5/34	0.0005697183209979780720011444117290011490695178508758544921875	0.041931976654557188977090476100784144364297389984130859375	0.00058447299043476973190447409933767630718648433685302734375	0.03253566313420218347740586750660440884530544281005859375	-1.824387335364131	13.628845669073126	VAMP8;GOSR2;STX18;USE1;SNAP29
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	9/169	0.00765428639606037693188245185638152179308235645294189453125	0.319566457035520723461985426183673553168773651123046875	0.004332138717515172411653967543543330975808203220367431640625	0.180866791456258446668670103463227860629558563232421875	-1.7426796805856277	8.491188401688467	SEC61A1;MAPK8;BAG2;RPN1;STT3A;EIF2AK3;SSR1;SEC61B;CKAP4
Glycerophospholipid metabolism_Homo sapiens_hsa00564	6/95	0.01274981105689916051348919978636331507004797458648681640625	0.425843689300431982314165679781581275165081024169921875	0.0090214385896016831278831915597038459964096546173095703125	0.301316048892696197736285057544591836631298065185546875	-1.6174413217047054	7.0556653332134704	PCYT1A;CHKA;ETNK1;PLA2G6;AGPAT2;DGKZ
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	3/48	0.07310671172628883940358690551875042729079723358154296875	0.98719766330267100240547506473376415669918060302734375	0.0618076541861685979650786748607060872018337249755859375	0.9489263020856111285894485263270325958728790283203125	-1.5746244579022879	4.118957927496149	GFPT1;UAP1;GALK1
Notch signaling pathway_Homo sapiens_hsa04330	3/48	0.07310671172628883940358690551875042729079723358154296875	0.98719766330267100240547506473376415669918060302734375	0.0618076541861685979650786748607060872018337249755859375	0.9489263020856111285894485263270325958728790283203125	-1.5445591006881318	4.040311910778469	NCOR2;NCSTN;MAML3
Cell cycle_Homo sapiens_hsa04110	5/124	0.10760863843890079716292262901333742775022983551025390625	0.98719766330267100240547506473376415669918060302734375	0.0796199600525657746885599408415146172046661376953125	0.9489263020856111285894485263270325958728790283203125	-1.4551203339429584	3.243833336525853	CDKN1C;CCNE1;CDC16;E2F3;ANAPC2
Fanconi anemia pathway_Homo sapiens_hsa03460	3/53	0.09212621403414573972856516093088430352509021759033203125	0.98719766330267100240547506473376415669918060302734375	0.07726216092717820560498154236483969725668430328369140625	0.9489263020856111285894485263270325958728790283203125	-1.3518140628189055	3.22353006958461	BRCA1;MLH1;ATRIP
Choline metabolism in cancer_Homo sapiens_hsa05231	4/101	0.148859051654223861760328873060643672943115234375	0.98719766330267100240547506473376415669918060302734375	0.11680150555946135215723558076206245459616184234619140625	0.9489263020856111285894485263270325958728790283203125	-1.5192009536839408	2.89370619407425	MAPK8;PCYT1A;CHKA;DGKZ
