Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	4/169	0.027742415254067953611638586153276264667510986328125	0.722059886049262633633816221845336258411407470703125	0.02212885818204381183083029327463009394705295562744140625	0.69335123718472091436382243045954965054988861083984375	-1.814298057299226	6.503882613454047	UBE2E1;UBE2G2;MAP2K7;HERPUD1
Fat digestion and absorption_Homo sapiens_hsa04975	2/41	0.031239541497487859078585614724943297915160655975341796875	0.722059886049262633633816221845336258411407470703125	0.0292097536075487836104702665807053563185036182403564453125	0.69335123718472091436382243045954965054988861083984375	-1.8189170044568188	6.30449480918386	PLA2G5;AGPAT2
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	3/137	0.06574532592407135445089494396597729064524173736572265625	0.722059886049262633633816221845336258411407470703125	0.05615491553826688908568343094884767197072505950927734375	0.69335123718472091436382243045954965054988861083984375	-1.5974617831499636	4.348237776752744	MAP3K1;UBE2E1;UBE2G2
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	2/78	0.0975501202116605126146708926171413622796535491943359375	0.722059886049262633633816221845336258411407470703125	0.0885422907747821508195329442969523370265960693359375	0.69335123718472091436382243045954965054988861083984375	-1.6989379929172066	3.954089561748799	SEPT9;DNM2
GnRH signaling pathway_Homo sapiens_hsa04912	2/91	0.1258799166930467394731607555513619445264339447021484375	0.722059886049262633633816221845336258411407470703125	0.11403360701485061590165770439853076823055744171142578125	0.69335123718472091436382243045954965054988861083984375	-1.8394071992021765	3.812036901891093	MAP3K1;MAP2K7
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	2/94	0.13267164028463140912350581857026554644107818603515625	0.722059886049262633633816221845336258411407470703125	0.120163972781253403088186360037070699036121368408203125	0.69335123718472091436382243045954965054988861083984375	-1.7195667742516845	3.473315223205817	ATG101;SESN2
mRNA surveillance pathway_Homo sapiens_hsa03015	2/91	0.1258799166930467394731607555513619445264339447021484375	0.722059886049262633633816221845336258411407470703125	0.11403360701485061590165770439853076823055744171142578125	0.69335123718472091436382243045954965054988861083984375	-1.587463604026827	3.289902225882369	UPF1;PPP2R5C
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	2/98	0.1418535448561154266311490346197388134896755218505859375	0.722059886049262633633816221845336258411407470703125	0.1284641617230803112281734001953736878931522369384765625	0.69335123718472091436382243045954965054988861083984375	-1.6110619961893045	3.1463398420779085	TMEM55A;PLCD3
Glucagon signaling pathway_Homo sapiens_hsa04922	2/101	0.1488269800734370040817822200551745481789112091064453125	0.722059886049262633633816221845336258411407470703125	0.134777656192619554875733456356101669371128082275390625	0.69335123718472091436382243045954965054988861083984375	-1.6363048812994205	3.1171131092955116	CPT1A;SIK2
Glycerophospholipid metabolism_Homo sapiens_hsa00564	2/95	0.1349540346906351884204156021951348520815372467041015625	0.722059886049262633633816221845336258411407470703125	0.12222585321788635714934656562036252580583095550537109375	0.69335123718472091436382243045954965054988861083984375	-1.507540972914352	3.0193347826740484	PLA2G5;AGPAT2
