Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
mRNA surveillance pathway_Homo sapiens_hsa03015	10/91	0.000696255113240745889501004395327754536992870271205902099609375	0.1601386760453715474294966725210542790591716766357421875	0.0005770500081488361653059282474487190484069287776947021484375	0.09600965148779731783701407721309806220233440399169921875	-1.7270028039671377	12.554955352401231	PPP1CB;NXT1;DDX39B;CSTF3;PPP2R5B;PABPC4L;ACIN1;RNPS1;MAGOHB;PELO
RNA transport_Homo sapiens_hsa03013	14/172	0.0014050040005834127203321326504692478920333087444305419921875	0.1615754600670924745475787176474113948643207550048828125	0.000834866534676498468769967331581938196904957294464111328125	0.09600965148779731783701407721309806220233440399169921875	-1.8429009241065277	12.103648280152653	NXT1;ELAC2;MAGOHB;THOC5;NUP160;DDX39B;TPR;EIF4EBP1;PABPC4L;GEMIN5;ACIN1;RNPS1;EIF3F;EIF3C
Circadian rhythm_Homo sapiens_hsa04710	5/30	0.0025071645672370308777221481477681663818657398223876953125	0.17718336127146827596590128450770862400531768798828125	0.0029179419523531545214989346703760020318441092967987060546875	0.167781662260306385636710047037922777235507965087890625	-1.8153678271274791	10.871516886814712	PRKAA1;BHLHE40;CRY2;BHLHE41;BTRC
mTOR signaling pathway_Homo sapiens_hsa04150	7/60	0.0030814497612429267610345551275941033964045345783233642578125	0.17718336127146827596590128450770862400531768798828125	0.002841997403261139511221333719959147856570780277252197265625	0.167781662260306385636710047037922777235507965087890625	-1.8711603950742075	10.819713836609202	RRAGA;PRKAA1;CAB39;EIF4EBP1;MLST8;MTOR;VEGFA
Insulin signaling pathway_Homo sapiens_hsa04910	11/139	0.005432717779997688935245125918527264730073511600494384765625	0.2499050178798936927559992682290612719953060150146484375	0.00364787971225333761127185283612561761401593685150146484375	0.1678024667636535405268460863226209767162799835205078125	-1.6741093716973514	8.7310089872983	PPP1CB;SOCS2;PRKAA1;MAP2K2;EIF4EBP1;INPP5K;CBL;RHOQ;PTPRF;HK2;MTOR
Inositol phosphate metabolism_Homo sapiens_hsa00562	6/71	0.026849096649625071864253555986579158343374729156494140625	0.88218460420196664895087224067538045346736907958984375	0.0222426025272480058780910638915884192101657390594482421875	0.73082836875243450958095081659848801791667938232421875	-1.7453212582765643	6.313739973845981	MTMR2;PLCB4;INPP5K;PIP5K1A;PLCH2;PLCD3
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	6/70	0.02524270761466895773850183104514144361019134521484375	0.88218460420196664895087224067538045346736907958984375	0.0209915495430847698354881458726595155894756317138671875	0.73082836875243450958095081659848801791667938232421875	-1.5638464818795859	5.7537320820705835	OTUD5;DDX3X;CASP8;TRAF2;ISG15;AZI2
RNA degradation_Homo sapiens_hsa03018	6/77	0.037909109169288211782511410774532123468816280364990234375	0.917495395799801105596316119772382080554962158203125	0.030811161737833124563135100970612256787717342376708984375	0.78739635552240205829122032810118980705738067626953125	-1.6138731324149442	5.281502868880534	PAN2;DIS3;C1D;LSM1;PABPC4L;SKIV2L
Phospholipase D signaling pathway_Homo sapiens_hsa04072	9/144	0.043880214581729616585281661400586017407476902008056640625	0.917495395799801105596316119772382080554962158203125	0.0307228493396306499840786585764362826012074947357177734375	0.78739635552240205829122032810118980705738067626953125	-1.641854842117863	5.132917253180914	CYTH2;MAP2K2;PLCB4;LPAR5;EGF;LPAR6;PIP5K1A;PTK2B;MTOR
Bladder cancer_Homo sapiens_hsa05219	4/41	0.042347522160189075834946237364420085214078426361083984375	0.917495395799801105596316119772382080554962158203125	0.038636498613329010864969603744611958973109722137451171875	0.8078540619150611501453340679290704429149627685546875	-1.4566934753879297	4.605839518056993	RB1;MAP2K2;EGF;VEGFA
