Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MAPK signaling pathway_Homo sapiens_hsa04010	44/255	0.001764839311426986447062237317595645436085760593414306640625	0.483565971330994270882541741229942999780178070068359375	0.0004082867033368601616775961371530456744949333369731903076171875	0.111870556714299684841762427822686731815338134765625	-1.9977880652814541	12.665368275972899	ARRB1;ECSIT;FGF1;STK4;RELA;CACNG7;MAPK9;FGF8;DUSP10;MECOM;MKNK2;GNA12;FGF20;IKBKG;MAP2K7;CACNG2;HRAS;MAP4K3;MAP2K5;MAP2K6;MAP3K2;DUSP5;MAP4K2;MAP2K4;HSPA8;MAP2K1;JUND;DUSP1;FOS;HSPA2;DUSP8;MAPK8IP3;DUSP6;GADD45G;DUSP7;NR4A1;PPP5C;TAOK3;TAOK2;MAPKAPK2;NF1;TAB2;TAB1;FGFR2
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	17/78	0.00438020426532989733126033371490848367102444171905517578125	0.60008798435019594652573005078011192381381988525390625	0.0034188512392211941638697769718646668479777872562408447265625	0.433604778728947037880203652093769051134586334228515625	-1.7616395157334175	9.566865111160887	ARHGEF26;SRC;PXN;GAB1;ARPC5L;CBLB;PIK3R1;CBL;ACTB;CD2AP;ACTG1;SEPT6;ELMO1;CTNNA1;ELMO2;WASF2;BCAR1
Apoptosis_Homo sapiens_hsa04210	25/140	0.0102875850794711086455546222850898629985749721527099609375	0.83329380287083709699658129466115497052669525146484375	0.004747497577324237723328526072918975842185318470001220703125	0.433604778728947037880203652093769051134586334228515625	-1.90985279947837	8.741047605897368	ITPR1;ITPR3;PIK3R1;RELA;ACTB;ACTG1;BBC3;CASP9;MAPK9;CASP7;AIFM1;CTSL;LMNA;IKBKG;HRAS;SPTAN1;DFFB;MAP2K1;DAB2IP;CFLAR;FOS;TUBA4A;GADD45G;BCL2;TUBA8
Adherens junction_Homo sapiens_hsa04520	15/74	0.01404415272529889978370132297413874766789376735687255859375	0.83329380287083709699658129466115497052669525146484375	0.01010463626823308695701353343565642717294394969940185546875	0.461445056249310925355899826172390021383762359619140625	-1.7699683649972162	7.54988704769543	PTPN1;SRC;INSR;PTPRM;LMO7;ACTN4;ACTB;ACTG1;TJP1;FER;SNAI1;CTNNA1;FYN;WASF2;SSX2IP
TNF signaling pathway_Homo sapiens_hsa04668	20/110	0.016788274041733726449354691112603177316486835479736328125	0.83329380287083709699658129466115497052669525146484375	0.00922091774528408826550052168613547109998762607574462890625	0.461445056249310925355899826172390021383762359619140625	-1.8069505280771239	7.3851416247872805	MAP2K4;MAP2K1;EDN1;CEBPB;DAB2IP;PIK3R1;CFLAR;FOS;RELA;MAPK9;CASP7;CREB3L4;TRAF5;TAB2;TAB1;IKBKG;DNM1L;MAP2K7;JUNB;MAP2K6
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	21/118	0.0182473095519161410127395583913312293589115142822265625	0.83329380287083709699658129466115497052669525146484375	0.00950079076170266649536966241385016473941504955291748046875	0.461445056249310925355899826172390021383762359619140625	-1.7274502337472362	6.916257507628956	PFKFB2;MAP2K1;HDAC3;THRB;THRA;SRC;ATP2A2;ATP1B3;PIK3R1;ATP1B1;ACTB;MED12L;ACTG1;CASP9;KAT2B;CCND1;TBC1D4;SIN3A;RXRG;HRAS;PLCD1
Chronic myeloid leukemia_Homo sapiens_hsa05220	14/73	0.0271083519806599344825759345667393063195049762725830078125	0.8867277914435260921521830823621712625026702880859375	0.018668498696958683857882732581856544129550457000732421875	0.5588840488423227892411659922800026834011077880859375	-1.7411837389952292	6.282040156684049	MAP2K1;CTBP2;CTBP1;ARAF;CBLB;PIK3R1;CBL;RELA;MECOM;CCND1;ABL1;E2F3;IKBKG;HRAS
Non-small cell lung cancer_Homo sapiens_hsa05223	11/56	0.04009740520037165245614829700571135617792606353759765625	0.91696519582431579298287260826327838003635406494140625	0.0304523164689653562386961738184254500083625316619873046875	0.5588840488423227892411659922800026834011077880859375	-1.68576780410841	5.422177157299861	CASP9;MAP2K1;CCND1;RASSF5;ARAF;E2F3;PIK3R1;FOXO3;STK4;RXRG;HRAS
Tight junction_Homo sapiens_hsa04530	23/139	0.0308016966986296054920035913937681470997631549835205078125	0.8867277914435260921521830823621712625026702880859375	0.01415044152566349335009565635346007184125483036041259765625	0.5538887111473995705779316267580725252628326416015625	-1.5066761065947571	5.243512343739949	MAGI1;MYH7B;SRC;PRKCD;PTEN;SHROOM3;ACTN4;CLDN2;F11R;ACTB;ACTG1;TJP1;CLDN10;CLDN5;PARD6A;VAPA;EPB41L1;CTNNA1;SYMPK;MYH11;HRAS;SPTAN1;TJP2
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	18/106	0.04143652274514765532220650356975966133177280426025390625	0.91696519582431579298287260826327838003635406494140625	0.022761033254883843157667655532350181601941585540771484375	0.5588840488423227892411659922800026834011077880859375	-1.6034694812742736	5.104793567120426	IFNAR2;MAP2K4;MAP2K1;CXCL9;PIK3R1;IRAK4;FOS;TICAM1;RELA;MAPK9;IRF7;TAB2;TAB1;LBP;IKBKG;MAP2K7;MAP2K6;TLR2
