Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Non-homologous end-joining_Homo sapiens_hsa03450	1/13	0.043322200205122708693838973204037756659090518951416015625	0.51371431239781861766147130765602923929691314697265625	0.0391366212911404554031236102673574350774288177490234375	0.44784647869735783043410037862486205995082855224609375	-1.4911006786270449	4.680699331482084	DCLRE1C
Phenylalanine metabolism_Homo sapiens_hsa00360	1/17	0.0562761571224974221916426131429034285247325897216796875	0.51371431239781861766147130765602923929691314697265625	0.0500484380743948242820096083960379473865032196044921875	0.44784647869735783043410037862486205995082855224609375	-1.6117343710828658	4.637740397675296	DDC
Histidine metabolism_Homo sapiens_hsa00340	1/24	0.07853100833705550787300353476894088089466094970703125	0.51371431239781861766147130765602923929691314697265625	0.0688614142694289055324219361864379607141017913818359375	0.44784647869735783043410037862486205995082855224609375	-1.7651263102590649	4.490943304852012	DDC
Parkinson's disease_Homo sapiens_hsa05012	2/142	0.08421500569489792642485781470895744860172271728515625	0.51371431239781861766147130765602923929691314697265625	0.06223964695838039851150114145639236085116863250732421875	0.44784647869735783043410037862486205995082855224609375	-1.6724565485998655	4.1382966450706515	UQCRB;PARK7
Maturity onset diabetes of the young_Homo sapiens_hsa04950	1/26	0.08479400440331412436290037248909357003867626190185546875	0.51371431239781861766147130765602923929691314697265625	0.0741711965367195247278431224913219921290874481201171875	0.44784647869735783043410037862486205995082855224609375	-1.4239079945873925	3.513536322503935	PAX6
Fatty acid elongation_Homo sapiens_hsa00062	1/25	0.08166776701958970707817542233897256664931774139404296875	0.51371431239781861766147130765602923929691314697265625	0.07151991130242174588005354962660931050777435302734375	0.44784647869735783043410037862486205995082855224609375	-1.3413687238652046	3.3602572683929717	HADHB
Tyrosine metabolism_Homo sapiens_hsa00350	1/35	0.112462381843541570081157487948075868189334869384765625	0.51371431239781861766147130765602923929691314697265625	0.09771127640532571712039811018257751129567623138427734375	0.44784647869735783043410037862486205995082855224609375	-1.479412462795688	3.2327181663781417	DDC
Tryptophan metabolism_Homo sapiens_hsa00380	1/40	0.127475856390772579462833391517051495611667633056640625	0.51371431239781861766147130765602923929691314697265625	0.11054224993512325181388433747997623868286609649658203125	0.44784647869735783043410037862486205995082855224609375	-1.4392244306143063	2.964555203531824	DDC
Homologous recombination_Homo sapiens_hsa03440	1/29	0.0941099359098155618941206057570525445044040679931640625	0.51371431239781861766147130765602923929691314697265625	0.0820819665804692621957627807205426506698131561279296875	0.44784647869735783043410037862486205995082855224609375	-1.2081013565325915	2.8550958471903165	RAD51B
Base excision repair_Homo sapiens_hsa03410	1/33	0.10638597600964987133220773785069468431174755096435546875	0.51371431239781861766147130765602923929691314697265625	0.0925298142046954985584505948281730525195598602294921875	0.44784647869735783043410037862486205995082855224609375	-1.2421597007167353	2.783284280300172	PARP2
