Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pathways in cancer_Homo sapiens_hsa05200	15/397	0.0001331077485314521922747654780749826386454515159130096435546875	0.0214303475135638014925643091146412189118564128875732421875	0.00009416501687122013665443009955424713552929461002349853515625	0.015160567716266441784522811531132902018725872039794921875	-2.109779148854536	18.82841096153396	PTGER4;CEBPA;PDGFRA;EGLN2;CHUK;CTBP1;WNT7A;FOXO1;RBX1;NFKB2;CDC42;MECOM;IKBKG;WNT1;BCL2L1
Chronic myeloid leukemia_Homo sapiens_hsa05220	5/73	0.0020932707263067577320436729593211566680110991001129150390625	0.1685082934676939980800369767166557721793651580810546875	0.002331987371107589745999888464211835525929927825927734375	0.1877249833741609641446501655082101933658123016357421875	-1.9049224659163602	11.751519068905353	MECOM;CHUK;CTBP1;IKBKG;BCL2L1
Pancreatic cancer_Homo sapiens_hsa05212	4/66	0.0089955186898588064547954701311027747578918933868408203125	0.321122910549031137517062006736523471772670745849609375	0.009656110947743386241359786481552873738110065460205078125	0.320936118263716207987812367719016037881374359130859375	-1.8999684805340533	8.950806133989648	CDC42;CHUK;IKBKG;BCL2L1
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	4/68	0.0099727611971748807151438853679792373441159725189208984375	0.321122910549031137517062006736523471772670745849609375	0.01064130982333433284026114051812328398227691650390625	0.320936118263716207987812367719016037881374359130859375	-1.8117927382309358	8.348555741356533	CDC42;CHUK;CCL5;IKBKG
Shigellosis_Homo sapiens_hsa05131	4/65	0.0085312700606202905573294259511385462246835231781005859375	0.321122910549031137517062006736523471772670745849609375	0.0091866525339269998473579192932447767816483974456787109375	0.320936118263716207987812367719016037881374359130859375	-1.670991406594591	7.960631526642066	CDC42;CHUK;RHOG;IKBKG
Epstein-Barr virus infection_Homo sapiens_hsa05169	7/202	0.01297108615413057434995192096494065481238067150115966796875	0.348057478469170400448007285376661457121372222900390625	0.0123231891477447973171077677534412941895425319671630859375	0.320936118263716207987812367719016037881374359130859375	-1.8245370579339306	7.927672888231528	CHUK;IL10RB;AKAP8L;EIF2AK2;IKBKG;YWHAZ;NFKB2
HTLV-I infection_Homo sapiens_hsa05166	8/258	0.0151572442824669424699113307042352971620857715606689453125	0.348616618496739694155195365965482778847217559814453125	0.0139537442723354880580455272820472600869834423065185546875	0.320936118263716207987812367719016037881374359130859375	-1.7931193297161003	7.511873011899333	PDGFRA;CHUK;WNT7A;IKBKG;WNT1;ETS2;NFKB2;BCL2L1
Prostate cancer_Homo sapiens_hsa05215	4/89	0.0245039806950091108850298127208588994108140468597412109375	0.40417287002789681338299487833864986896514892578125	0.025020306390383224848239507309699547477066516876220703125	0.4202066179150671931807892178767360746860504150390625	-1.774013377894414	6.579673160514652	PDGFRA;CHUK;IKBKG;FOXO1
Wnt signaling pathway_Homo sapiens_hsa04310	5/142	0.031666142422825456492763152027691830880939960479736328125	0.40417287002789681338299487833864986896514892578125	0.031148567517261992187993513425681157968938350677490234375	0.4202066179150671931807892178767360746860504150390625	-1.6509591281296607	5.699948328374784	CTBP1;WNT7A;TBL1X;WNT1;RBX1
NF-kappa B signaling pathway_Homo sapiens_hsa04064	4/93	0.0282184588602187626238393391986392089165747165679931640625	0.40417287002789681338299487833864986896514892578125	0.028650834709180318660148856224623159505426883697509765625	0.4202066179150671931807892178767360746860504150390625	-1.5397288814798424	5.4934122853744825	CHUK;IKBKG;NFKB2;BCL2L1
Acute myeloid leukemia_Homo sapiens_hsa05221	3/57	0.033410654540904971554482472129166126251220703125	0.40417287002789681338299487833864986896514892578125	0.034817214006302506235090987729563494212925434112548828125	0.4202066179150671931807892178767360746860504150390625	-1.5881627507401428	5.39797529574691	CEBPA;CHUK;IKBKG
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	3/57	0.033410654540904971554482472129166126251220703125	0.40417287002789681338299487833864986896514892578125	0.034817214006302506235090987729563494212925434112548828125	0.4202066179150671931807892178767360746860504150390625	-1.4113216553378058	4.796913557074494	CHUK;CCL5;IKBKG
