Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	7/94	0.002645584273912382662630182750262974877841770648956298828125	0.2305773433212255640878396434345631860196590423583984375	0.0028943433823142954153251338311747531406581401824951171875	0.285092823157958086266461350533063523471355438232421875	-1.9230851593867602	11.413247613213178	CREB3;ATF6B;INSR;EHMT2;FOXO3;PRKACB;APPL1
Purine metabolism_Homo sapiens_hsa00230	10/176	0.0027352393803587722424797146203445663559250533580780029296875	0.2305773433212255640878396434345631860196590423583984375	0.0026451902504874562523096148680679107201285660266876220703125	0.285092823157958086266461350533063523471355438232421875	-1.7516133589648106	10.337209860253735	POLA1;POLR3GL;POLR1A;GUK1;POLR3D;IMPDH2;NME3;PDE6B;AK6;POLR2K
RNA polymerase_Homo sapiens_hsa03020	4/32	0.00351133010133846019951153749616423738189041614532470703125	0.2305773433212255640878396434345631860196590423583984375	0.00449364032043568506491482139608706347644329071044921875	0.295082381041943342392386284700478427112102508544921875	-1.8194408595858773	10.283043740373529	POLR3GL;POLR1A;POLR3D;POLR2K
mRNA surveillance pathway_Homo sapiens_hsa03015	6/91	0.0094261458596454454628155161799440975300967693328857421875	0.401246254248737999059670755741535685956478118896484375	0.009878111106964827803356143931523547507822513580322265625	0.43837461032852031994622166166664101183414459228515625	-1.6432792840029513	7.664694940685564	PNN;CPSF6;PABPC4;PPP2R5B;PPP2R3A;WDR33
Dopaminergic synapse_Homo sapiens_hsa04728	7/129	0.01441707833496962132269203493706299923360347747802734375	0.401246254248737999059670755741535685956478118896484375	0.0142789945059704735663697050540577038191258907318115234375	0.43837461032852031994622166166664101183414459228515625	-1.7877837813049031	7.579026477072346	CREB3;ATF6B;GNAQ;PPP2R5B;PPP2R3A;ARRB2;PRKACB
RNA degradation_Homo sapiens_hsa03018	5/77	0.01833104714841950200199249820798286236822605133056640625	0.401246254248737999059670755741535685956478118896484375	0.0191200788777353865299790669496360351331532001495361328125	0.43837461032852031994622166166664101183414459228515625	-1.6138731324149442	6.454135409522718	HSPA9;PAN3;PAPD7;PABPC4;LSM1
Pyrimidine metabolism_Homo sapiens_hsa00240	6/105	0.0181186074129061104598381604091628105379641056060791015625	0.401246254248737999059670755741535685956478118896484375	0.018295456665478944391356463938791421242058277130126953125	0.43837461032852031994622166166664101183414459228515625	-1.5983188814223854	6.410562678849449	POLA1;POLR3GL;POLR1A;POLR3D;NME3;POLR2K
Fanconi anemia pathway_Homo sapiens_hsa03460	4/53	0.02069125923678971634700474169221706688404083251953125	0.40761780696475746754714464259450323879718780517578125	0.022252518290787830224086718544640461914241313934326171875	0.43837461032852031994622166166664101183414459228515625	-1.3965256120205485	5.415787668567719	EME2;RPA1;HES1;POLK
AMPK signaling pathway_Homo sapiens_hsa04152	6/124	0.0369829906391097029683123764698393642902374267578125	0.63056510644360252992868254295899532735347747802734375	0.036160324208911569232594018785675871185958385467529296875	0.64105401237996151309062042855657637119293212890625	-1.5363357635455923	5.065755587577203	CREB3;EEF2K;INSR;PPP2R5B;PPP2R3A;FOXO3
Estrogen signaling pathway_Homo sapiens_hsa04915	5/99	0.0469348541704968369447925624626805074512958526611328125	0.63056510644360252992868254295899532735347747802734375	0.046579775288097167995626790570895536802709102630615234375	0.64105401237996151309062042855657637119293212890625	-1.6143283582069814	4.9382219245056245	CREB3;ATF6B;SHC1;GNAQ;PRKACB
