Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Lysine degradation_Homo sapiens_hsa00310	3/52	0.03825381447953717095611381182607146911323070526123046875	0.93236285424858633685829545356682501733303070068359375	0.0230793635576916449092532701570235076360404491424560546875	0.8288329910556411217470440533361397683620452880859375	-1.9466839991619758	6.353026588994142	DOT1L;KMT2B;DLST
Morphine addiction_Homo sapiens_hsa05032	4/91	0.041618699384995495871297777057407074607908725738525390625	0.93236285424858633685829545356682501733303070068359375	0.0211771656801152154125933435580009245313704013824462890625	0.8288329910556411217470440533361397683620452880859375	-1.8322932265286203	5.825237084994666	GNAO1;GABBR1;PDE1C;PDE4A
Systemic lupus erythematosus_Homo sapiens_hsa05322	5/135	0.044767674638871997327971286040337872691452503204345703125	0.93236285424858633685829545356682501733303070068359375	0.0196194570389846868752048436590484925545752048492431640625	0.8288329910556411217470440533361397683620452880859375	-1.6971959991452406	5.271947231225215	C8G;HIST1H2BB;HIST1H3C;SNRPB;HIST1H2AB
Pyrimidine metabolism_Homo sapiens_hsa00240	4/105	0.0639754682878894420650084384760702960193157196044921875	0.93236285424858633685829545356682501733303070068359375	0.03296094064156789016362125721570919267833232879638671875	0.8288329910556411217470440533361397683620452880859375	-1.7074979708594482	4.694348319281633	DUT;POLR1B;POLR1D;UPB1
Circadian rhythm_Homo sapiens_hsa04710	2/30	0.06820774699872256263688541366718709468841552734375	0.93236285424858633685829545356682501733303070068359375	0.049035818691827277870931567349543911404907703399658203125	0.8288329910556411217470440533361397683620452880859375	-1.6580118882353159	4.452088760856041	NR1D1;NPAS2
RNA polymerase_Homo sapiens_hsa03020	2/32	0.076356336971185656548044562441646121442317962646484375	0.93236285424858633685829545356682501733303070068359375	0.05468158359726653372501203875799546949565410614013671875	0.8288329910556411217470440533361397683620452880859375	-1.5282108430710026	3.931084377702951	POLR1B;POLR1D
Alcoholism_Homo sapiens_hsa05034	5/179	0.11459515423397199918031930110373650677502155303955078125	0.93236285424858633685829545356682501733303070068359375	0.05386969932171160879708082802608259953558444976806640625	0.8288329910556411217470440533361397683620452880859375	-1.7024286476477948	3.6880558918518713	GNAO1;HIST1H2BB;HIST1H3C;HIST1H2AB;HDAC7
Purine metabolism_Homo sapiens_hsa00230	5/176	0.1087391383064676697589590048664831556379795074462890625	0.93236285424858633685829545356682501733303070068359375	0.05084684722201328332946701493710861541330814361572265625	0.8288329910556411217470440533361397683620452880859375	-1.6095990960240325	3.571384094403739	PDE1C;POLR1B;POLR1D;PDE4A;ADPRM
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	2/30	0.06820774699872256263688541366718709468841552734375	0.93236285424858633685829545356682501733303070068359375	0.049035818691827277870931567349543911404907703399658203125	0.8288329910556411217470440533361397683620452880859375	-1.3261668747369764	3.5610194835937805	ACLY;DLST
Carbohydrate digestion and absorption_Homo sapiens_hsa04973	2/45	0.135400675844774720513186139214667491614818572998046875	0.93236285424858633685829545356682501733303070068359375	0.09615532806850625446859481826322735287249088287353515625	0.8288329910556411217470440533361397683620452880859375	-1.430196670365488	2.859702451404003	ATP1B2;SLC5A1
