Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Lysosome_Homo sapiens_hsa04142	4/123	0.049015823732754877639639090602940996177494525909423828125	0.90517901939684264345231667903135530650615692138671875	0.0157661813061465184981901899163858615793287754058837890625	0.70342432918366870620019426496583037078380584716796875	-1.7746146567851577	5.351549431273852	PLA2G15;AP1B1;ABCB9;LITAF
Oxytocin signaling pathway_Homo sapiens_hsa04921	4/158	0.1007687380956644174201386476852349005639553070068359375	0.90517901939684264345231667903135530650615692138671875	0.034715894155168798562716148126128246076405048370361328125	0.70342432918366870620019426496583037078380584716796875	-1.8664359531188275	4.28333446674775	PPP1CC;RCAN1;PPP3CA;MYL9
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	2/48	0.1000562225190309850741954278419143520295619964599609375	0.90517901939684264345231667903135530650615692138671875	0.05564795265360196474535570132502471096813678741455078125	0.70342432918366870620019426496583037078380584716796875	-1.7166371691699869	3.951738290361601	GFPT1;MPI
Notch signaling pathway_Homo sapiens_hsa04330	2/48	0.1000562225190309850741954278419143520295619964599609375	0.90517901939684264345231667903135530650615692138671875	0.05564795265360196474535570132502471096813678741455078125	0.70342432918366870620019426496583037078380584716796875	-1.6803517249575919	3.868208362283537	HES1;MAML3
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	4/167	0.11700403676168084909914313129775109700858592987060546875	0.90517901939684264345231667903135530650615692138671875	0.041082888829149712128785409959164098836481571197509765625	0.70342432918366870620019426496583037078380584716796875	-1.7866388091826013	3.833317255806482	PPP1CC;PPP3CA;MYL9;MEF2D
TNF signaling pathway_Homo sapiens_hsa04668	3/110	0.12486903511173362557595822863731882534921169281005859375	0.90517901939684264345231667903135530650615692138671875	0.054897207336599578020308598524934495799243450164794921875	0.70342432918366870620019426496583037078380584716796875	-1.6992534602163174	3.535279508633673	SOCS3;EDN1;CASP8
Insulin resistance_Homo sapiens_hsa04931	3/109	0.1224120856948711921763361942794290371239185333251953125	0.90517901939684264345231667903135530650615692138671875	0.053721756972522079209841905367284198291599750518798828125	0.70342432918366870620019426496583037078380584716796875	-1.6759470342694671	3.520095757146391	PPP1CC;SOCS3;GFPT1
RNA transport_Homo sapiens_hsa03013	4/172	0.1264870200419917212197873368495493195950984954833984375	0.90517901939684264345231667903135530650615692138671875	0.04489053846424755078725610246692667715251445770263671875	0.70342432918366870620019426496583037078380584716796875	-1.6488667578442773	3.4092226051886025	NUP85;NCBP2;SUMO3;EIF1
Amphetamine addiction_Homo sapiens_hsa05031	2/67	0.1716477164846423597577285136139835231006145477294921875	0.90517901939684264345231667903135530650615692138671875	0.0973369503399708901891784762483439408242702484130859375	0.70342432918366870620019426496583037078380584716796875	-1.5746816509745851	2.775078893412088	PPP1CC;PPP3CA
Long-term potentiation_Homo sapiens_hsa04720	2/66	0.167685320732124221176917444608989171683788299560546875	0.90517901939684264345231667903135530650615692138671875	0.09496517234661867867817619526249472983181476593017578125	0.70342432918366870620019426496583037078380584716796875	-1.5390633118337358	2.748253253857995	PPP1CC;PPP3CA
Axon guidance_Homo sapiens_hsa04360	3/127	0.169128224495349532841004247529781423509120941162109375	0.90517901939684264345231667903135530650615692138671875	0.076724444764368182614333591118338517844676971435546875	0.70342432918366870620019426496583037078380584716796875	-1.493986523611066	2.6549606527539678	NTNG2;PPP3CA;EPHB4
Vitamin B6 metabolism_Homo sapiens_hsa00750	1/6	0.0650705636052117675216521774927969090640544891357421875	0.90517901939684264345231667903135530650615692138671875	0.052320818711153134483726745429521542973816394805908203125	0.70342432918366870620019426496583037078380584716796875	-0.9525457378299481	2.6026245299969633	PSAT1
Prolactin signaling pathway_Homo sapiens_hsa04917	2/72	0.19167489273457116727428228841745294630527496337890625	0.90517901939684264345231667903135530650615692138671875	0.10944301049094729005872750349226407706737518310546875	0.70342432918366870620019426496583037078380584716796875	-1.5020234425041894	2.481274548909243	SOCS3;ELF5
p53 signaling pathway_Homo sapiens_hsa04115	2/69	0.1796179934114627563257471365432138554751873016357421875	0.90517901939684264345231667903135530650615692138671875	0.102131084955736695096817356898100115358829498291015625	0.70342432918366870620019426496583037078380584716796875	-1.3216707402309402	2.2692068158043677	CASP8;SESN3
