Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Huntington's disease_Homo sapiens_hsa05016	29/193	0.000085678143524675937797198399525910872398526407778263092041015625	0.0230474206081378273081039509406764409504830837249755859375	0.0000520489227913297525002396526350167960117687471210956573486328125	0.01400116023086770376815390903857405646704137325286865234375	-1.9009622331225058	17.802345548535275	NDUFA13;NDUFB8;NDUFB10;UQCRB;DCTN2;DCTN4;NDUFB2;ITPR1;HTT;ATP5J;UQCR10;COX7C;SIN3A;CASP3;CREB3L2;ATP5D;AP2S1;POLR2I;TGM2;APAF1;SDHB;CREB3;NDUFS6;NDUFS4;TBPL1;CYCS;VDAC2;NDUFS1;UQCRC2
Fatty acid metabolism_Homo sapiens_hsa01212	10/48	0.00160068418708855385486355960011906063300557434558868408203125	0.1803565483427098381508102420411887578666210174560546875	0.002067082431189133477633657065553052234463393688201904296875	0.1210955946436991503833979777482454665005207061767578125	-1.8349779140453018	11.812347593472913	CPT1A;ECHS1;ACAA2;ACADL;ACOX1;OXSM;FASN;ACSL3;ACOX3;ACADS
Prostate cancer_Homo sapiens_hsa05215	14/89	0.0035918696742056623570638063114301985478959977626800537109375	0.1803565483427098381508102420411887578666210174560546875	0.003124289244559103582987713565444209962151944637298583984375	0.1400723011310664734008213372362661175429821014404296875	-1.8656196335226347	10.501726665494049	PDGFRA;HSP90AA1;TCF7L1;PIK3R2;PIK3R1;EGFR;MTOR;HSP90B1;CREB3;CREB3L2;PDGFC;CTNNB1;IKBKG;HRAS
Parkinson's disease_Homo sapiens_hsa05012	20/142	0.0022573264147064749270132910652364444104023277759552001953125	0.1803565483427098381508102420411887578666210174560546875	0.001528870359558368204055955885678486083634197711944580078125	0.1210955946436991503833979777482454665005207061767578125	-1.720288830377338	10.482707578870905	NDUFB8;NDUFA13;NDUFB10;UQCRB;APAF1;NDUFB2;ATP5J;UQCR10;UBE2J2;SDHB;COX7C;UBE2J1;NDUFS6;CASP3;NDUFS4;ATP5D;CYCS;VDAC2;NDUFS1;UQCRC2
Fatty acid degradation_Homo sapiens_hsa00071	9/44	0.0030898448193142180433212740098269932786934077739715576171875	0.1803565483427098381508102420411887578666210174560546875	0.0038009925468304333641411663080589278251864016056060791015625	0.144669193395884410069385239694383926689624786376953125	-1.763738733429567	10.19376507330952	CPT1A;ECHS1;ACAA2;ACADL;ACOX1;ACSL3;ACOX3;ACADS;ALDH9A1
Metabolic pathways_Homo sapiens_hsa01100	111/1239	0.004693293079550069947514234769414542824961245059967041015625	0.1803565483427098381508102420411887578666210174560546875	0.00013691327164684654574440536567436765835736878216266632080078125	0.0184148350365008588169768444231522153131663799285888671875	-1.8625906286450118	9.986504644801029	PANK4;NDUFA13;GALNT14;ACAA2;TUSC3;GALNT15;DGKA;SAT1;GBA2;IL4I1;ENPP1;PSPH;PHYKPL;OXSM;CSGALNACT2;ACSL3;ALG11;SDHB;DGKQ;CMPK1;UQCRC2;ACOT4;CDS1;ATP6V1A;TSTA3;H6PD;UQCRB;NDUFB10;ATP5J;AK6;MTMR6;ATP5L;ALDH3B2;PPCS;ATP5D;AFMID;PIP5K1A;B4GALNT1;PIP5K1C;KDSR;POLR3GL;GFPT2;B3GALT5;UCKL1;COQ3;FASN;OGDH;CYCS;ACO2;MOCS2;PIGQ;COX7C;GMPPB;SMPD4;ACADL;HYAL2;PIP5KL1;GMPPA;TK1;DLAT;ENOPH1;ACADS;POLE;PLA2G12A;TPI1;DNMT3A;SORD;NME3;LSS;BDH1;NDUFS6;ACOX1;IMPAD1;CHDH;NDUFS4;PIK3C3;NDUFS1;MVD;ACOX3;ALDOA;GAPDH;ALDH9A1;NDUFB8;ASAH1;ECHS1;IDUA;GCNT1;NDUFB2;HSD17B4;UQCR10;LTC4S;TYMP;POLD3;POLD4;EXTL1;GCNT2;SC5D;CEPT1;POLR2I;CDIPT;GALNT7;FAH;TRIT1;GPAM;ETNK2;POLE3;MGAT4B;SARDH;LPIN2;LPIN3;PNPLA2
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	26/214	0.004549919355257115750890140049023102619685232639312744140625	0.1803565483427098381508102420411887578666210174560546875	0.0022508474840836271806121526850574809941463172435760498046875	0.1210955946436991503833979777482454665005207061767578125	-1.7972517514439976	9.691942055580954	ARPC5L;PIK3R2;PIK3R1;FGF1;IQGAP3;EGFR;GNA13;SCIN;TMSB4X;PDGFC;PIP5K1A;PIP5K1C;WASF1;HRAS;WASF2;PDGFRA;ITGA3;ITGA1;RRAS2;SSH2;BAIAP2;SSH3;FGF18;EZR;PPP1R12C;BCAR1
Alzheimer's disease_Homo sapiens_hsa05010	21/168	0.007350962780704677068666086370285484008491039276123046875	0.24717612350119477770959974805009551346302032470703125	0.004302429543372027036240989872339923749677836894989013671875	0.144669193395884410069385239694383926689624786376953125	-1.666662179796597	8.188184595954828	NDUFB8;NDUFA13;NDUFB10;UQCRB;APAF1;PSEN2;EIF2AK3;NDUFB2;ITPR1;ATP5J;UQCR10;SDHB;COX7C;NDUFS6;CASP3;NDUFS4;ATP5D;CYCS;NDUFS1;UQCRC2;GAPDH
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	19/151	0.00974804324219154770536643894729422754608094692230224609375	0.2478473260991010673759404880911461077630519866943359375	0.00605934584617362319292066530351803521625697612762451171875	0.181107114735633845103990324787446297705173492431640625	-1.730689372468398	8.014283732799402	NDUFB8;NDUFA13;NDUFB10;UQCRB;EIF2AK3;NDUFB2;NR1H3;PRKAG2;PIK3R2;UQCR10;PIK3R1;SDHB;COX7C;NDUFS6;CASP3;NDUFS4;CYCS;NDUFS1;UQCRC2
Choline metabolism in cancer_Homo sapiens_hsa05231	14/101	0.01105638629438369067992109506803899421356618404388427734375	0.2478473260991010673759404880911461077630519866943359375	0.00841303013365505246434761232876553549431264400482177734375	0.1885920921627674273768349166857660748064517974853515625	-1.6326493968250424	7.354672591209411	PDGFRA;SLC44A2;DGKA;PIK3R2;PIK3R1;EGFR;MTOR;DGKQ;PDGFC;PIP5K1A;PIP5K1C;WASF1;WASF2;HRAS
