Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Hepatitis B_Homo sapiens_hsa05161	5/146	0.0224122784607583384886009270076101529411971569061279296875	0.78537869522708636527141834449139423668384552001953125	0.01079476530406459251765216578178296913392841815948486328125	0.563749977683609682088672343525104224681854248046875	-1.936365128617838	7.354598096592232	CCNA2;DDX3X;CREB3L2;NFATC3;ATF4
Viral carcinogenesis_Homo sapiens_hsa05203	6/205	0.0256399982053605070275725807960043312050402164459228515625	0.78537869522708636527141834449139423668384552001953125	0.01083699160564948783813665755815236479975283145904541015625	0.563749977683609682088672343525104224681854248046875	-1.9314667609813165	7.076124941711649	CCNA2;RANBP1;DDX3X;CREB3L2;GTF2E1;ATF4
Glucagon signaling pathway_Homo sapiens_hsa04922	4/101	0.0250556470475534094621838931971069541759788990020751953125	0.78537869522708636527141834449139423668384552001953125	0.01397727217397379435859239293904465739615261554718017578125	0.563749977683609682088672343525104224681854248046875	-1.8884032082328548	6.961893104571809	PDHA1;CREB3L2;CPT1B;ATF4
Mismatch repair_Homo sapiens_hsa03430	2/23	0.0259629320736226888721720484909383230842649936676025390625	0.78537869522708636527141834449139423668384552001953125	0.020534869125323595984156099802930839359760284423828125	0.56568507122647526674796836232417263090610504150390625	-1.4129297625374135	5.158727294621053	POLD2;RPA2
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	3/81	0.059362201005667143693944609594836947508156299591064453125	0.78862717691197214975318274809978902339935302734375	0.038535822798149051149341204336451482959091663360595703125	0.56568507122647526674796836232417263090610504150390625	-1.804551957347724	5.0962308552027	CAMK1D;CREB3L2;ATF4
DNA replication_Homo sapiens_hsa03030	2/36	0.058962312990632655129719097431006957776844501495361328125	0.78862717691197214975318274809978902339935302734375	0.04470564118879317982990784230423741973936557769775390625	0.56568507122647526674796836232417263090610504150390625	-1.6058539417243407	4.5459425540178655	POLD2;RPA2
Homologous recombination_Homo sapiens_hsa03440	2/29	0.03992431897403796170475942517441581003367900848388671875	0.78862717691197214975318274809978902339935302734375	0.030763580282674264643194561585914925672113895416259765625	0.56568507122647526674796836232417263090610504150390625	-1.3472708587169513	4.339249082194215	POLD2;RPA2
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	2/30	0.04247406664017626398699434275840758346021175384521484375	0.78862717691197214975318274809978902339935302734375	0.0326292308421492760484028394785127602517604827880859375	0.56568507122647526674796836232417263090610504150390625	-1.3261668747369764	4.189177597231349	PDHA1;SDHA
Pyruvate metabolism_Homo sapiens_hsa00620	2/40	0.07097732920207243390020579454358085058629512786865234375	0.78862717691197214975318274809978902339935302734375	0.053534166973357055763216294508310966193675994873046875	0.56568507122647526674796836232417263090610504150390625	-1.479751211982125	3.9145261021971494	PDHA1;ME2
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	3/98	0.09276420211604692600548816017180797643959522247314453125	0.78862717691197214975318274809978902339935302734375	0.060671618592507699230242934618217987008392810821533203125	0.56568507122647526674796836232417263090610504150390625	-1.553985147737216	3.6949018870647397	PI4K2B;DGKE;PIP4K2A
Fatty acid degradation_Homo sapiens_hsa00071	2/44	0.08370552550310757233820169176397030241787433624267578125	0.78862717691197214975318274809978902339935302734375	0.0629239172875264707318621049125795252621173858642578125	0.56568507122647526674796836232417263090610504150390625	-1.4387775248671102	3.568816126063898	CPT1B;ACADSB
