Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Sulfur relay system_Homo sapiens_hsa04122	5/10	0.0000564814419882428227670696785356341251826961524784564971923828125	0.01428980482302543396355698490651775500737130641937255859375	0.000255493351560317182025183768701026565395295619964599609375	0.06463981794476024445028627951614907942712306976318359375	-1.3865886891278758	13.563053750385949	MPST;TRMU;CTU1;TST;MOCS1
Colorectal cancer_Homo sapiens_hsa05210	8/62	0.01028031165953799917767153004888314171694219112396240234375	0.54698688936326245180197247464093379676342010498046875	0.008149310781301967454570700510885217227041721343994140625	0.394745112483899596167447043626452796161174774169921875	-1.965700999878298	8.99804488435536	CASP9;TCF7L2;SMAD4;TGFB3;PIK3R2;PIK3CB;FOS;TGFBR2
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	8/64	0.01236228339048435660718627815413128701038658618927001953125	0.54698688936326245180197247464093379676342010498046875	0.009621687204730118569973029707398382015526294708251953125	0.394745112483899596167447043626452796161174774169921875	-1.904124425428113	8.365018731398628	ADCY9;HSPA1L;PRKAG2;PIK3R2;PIK3CB;HSPA1A;SOD1;IGF1R
Hepatitis B_Homo sapiens_hsa05161	14/146	0.0122611760686119793117843101981634390540421009063720703125	0.54698688936326245180197247464093379676342010498046875	0.006597058159606933834540054562012301175855100154876708984375	0.394745112483899596167447043626452796161174774169921875	-1.8853872229399986	8.298187638672204	SMAD4;CDKN1A;TGFB3;PIK3R2;PIK3CB;FOS;TICAM1;ELK1;NFATC4;CASP9;IRF3;STAT6;ATF4;TLR2
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	10/94	0.0163790659966958386528634861178943538106977939605712890625	0.54698688936326245180197247464093379676342010498046875	0.0109218015311750883677976986518842750228941440582275390625	0.394745112483899596167447043626452796161174774169921875	-1.7777148842902775	7.309521349877772	STK11;ADCY9;EHMT2;SESN2;PRKAG2;PIK3R2;PIK3CB;CAMKK1;ATF4;IGF1R
NF-kappa B signaling pathway_Homo sapiens_hsa04064	10/93	0.0152826975498154826738073097658343613147735595703125	0.54698688936326245180197247464093379676342010498046875	0.01023583729512399058403371299164064112119376659393310546875	0.394745112483899596167447043626452796161174774169921875	-1.6533904442040346	6.91288161224074	PIAS4;SYK;IL1R1;BTK;IRAK4;TNFRSF11A;TRAF1;TAB1;TICAM1;BIRC3
Hippo signaling pathway_Homo sapiens_hsa04390	14/153	0.0178548092644769569592444469208203372545540332794189453125	0.54698688936326245180197247464093379676342010498046875	0.00950652264167316067566826376378230634145438671112060546875	0.394745112483899596167447043626452796161174774169921875	-1.5921470349265505	6.409159836204782	YAP1;TCF7L2;SMAD4;FZD5;TGFB3;FZD4;FZD7;WWC1;SCRIB;TGFBR2;BBC3;CCND3;DLG3;ID1
Axon guidance_Homo sapiens_hsa04360	12/127	0.021620035152698120761716182869349722750484943389892578125	0.54698688936326245180197247464093379676342010498046875	0.0127053769646453297570420915008071460761129856109619140625	0.40180754650690853058137008702033199369907379150390625	-1.5453753047622198	5.925177298159722	EPHB6;EPHA7;SEMA3C;CFL1;LIMK1;SEMA3B;ABL1;LRRC4;NCK2;PAK2;NFATC4;ROBO1
Cysteine and methionine metabolism_Homo sapiens_hsa00270	6/45	0.0214280542886720881678996875052689574658870697021484375	0.54698688936326245180197247464093379676342010498046875	0.0183253765227573139906525057085673324763774871826171875	0.418865963860912293714733323213295079767704010009765625	-1.5417291201110768	5.924948674260438	MPST;LDHA;TST;MDH2;MAT2B;BCAT2
Chronic myeloid leukemia_Homo sapiens_hsa05220	8/73	0.0256671699352550332362543628050843835808336734771728515625	0.57579539434925475216431323133292607963085174560546875	0.0187850890828952059308232236389812896959483623504638671875	0.418865963860912293714733323213295079767704010009765625	-1.6101927574583244	5.897399468766615	SMAD4;CDKN1A;MECOM;TGFB3;ABL1;PIK3R2;PIK3CB;TGFBR2
Toxoplasmosis_Homo sapiens_hsa05145	11/118	0.0295863246108312751003754925704924971796572208404541015625	0.57579539434925475216431323133292607963085174560546875	0.018134704895207569286252891060939873568713665008544921875	0.418865963860912293714733323213295079767704010009765625	-1.5966613262240523	5.620955238454616	CASP9;HSPA1L;TGFB3;PIK3R2;TAB1;IRAK4;PIK3CB;LDLR;HSPA1A;BIRC3;TLR2
Apoptosis_Homo sapiens_hsa04210	12/140	0.0416151120824052866975506503877113573253154754638671875	0.62770885602078718701335446894518099725246429443359375	0.024110624425234740419998757943176315166056156158447265625	0.435713427113170681526099770053406246006488800048828125	-1.6014131991537544	5.091360022984186	CASP9;CTSL;CTSZ;PIK3R2;TRAF1;PIK3CB;FOS;PTPN13;LMNB2;ATF4;BIRC3;BBC3
TNF signaling pathway_Homo sapiens_hsa04668	10/110	0.04273890763772240919404765691069769673049449920654296875	0.62770885602078718701335446894518099725246429443359375	0.02726450843450618777286109661872615106403827667236328125	0.459861375595337740218582212037290446460247039794921875	-1.510783591459906	4.7629652236313875	IL15;MAP3K8;PIK3R2;TRAF1;TAB1;PIK3CB;FOS;CX3CL1;ATF4;BIRC3
Ribosome_Homo sapiens_hsa03010	12/137	0.036154088751579833982408018755450029857456684112548828125	0.62770885602078718701335446894518099725246429443359375	0.0209821459067547587407087661404148093424737453460693359375	0.418865963860912293714733323213295079767704010009765625	-1.4310142930880667	4.750917698992208	RPL7A;RPS29;RPL31;RPS5;MRPS11;MRPL19;RPL36A;MRPS2;RPL27;RPL15;RPL18;RPS10
HTLV-I infection_Homo sapiens_hsa05166	19/258	0.049621253440378432220114746087347157299518585205078125	0.62770885602078718701335446894518099725246429443359375	0.021522757036331462143774473361190757714211940765380859375	0.418865963860912293714733323213295079767704010009765625	-1.4683797717198566	4.410037889177319	CDKN1A;SMAD4;CRTC3;FZD5;IL1R1;FZD4;IL15;TGFB3;FZD7;PIK3R2;FOS;PIK3CB;ELK1;NFATC4;TGFBR2;CCND3;ADCY9;CHEK2;ATF4
Peroxisome_Homo sapiens_hsa04146	8/83	0.049540948300492028411046163682840415276587009429931640625	0.62770885602078718701335446894518099725246429443359375	0.03488095880215376365374169154165429063141345977783203125	0.49027125427471685004121582096558995544910430908203125	-1.1696784114291754	3.5148318247814387	PECR;ABCD2;AMACR;AGPS;HSD17B4;PEX1;CRAT;SOD1
Spliceosome_Homo sapiens_hsa03040	11/134	0.06386223063642783304150185585967847146093845367431640625	0.70248453700070623284545945352874696254730224609375	0.03864006780932825735330737870754092000424861907958984375	0.5145230081978973135647947856341488659381866455078125	-1.2543255413831222	3.4506836345883922	PRPF38B;HSPA1L;ZMAT2;DHX8;RP9;SNRPB2;SNRPD3;CHERP;HSPA1A;SNRPB;RBM22
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	9/104	0.06796390273910445090077558916163980029523372650146484375	0.716452808041392774640598872792907059192657470703125	0.04502646684790166664580368660608655773103237152099609375	0.52133471562382138753122262642136774957180023193359375	-1.2078005702916965	3.2475082743207873	PLCB4;TGFB3;PIK3R2;IRAK4;PIK3CB;FOS;TICAM1;TGFBR2;TLR2
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	9/106	0.07470120850461652028950965132025885395705699920654296875	0.7559762300667192125303017746773548424243927001953125	0.04941170129829193513604224108348716981709003448486328125	0.52133471562382138753122262642136774957180023193359375	-1.249956429515663	3.2427107279621303	IRF3;MAP3K8;PIK3R2;TAB1;IRAK4;PIK3CB;FOS;TICAM1;TLR2
Epstein-Barr virus infection_Homo sapiens_hsa05169	14/202	0.1194460481713836286221663840478868223726749420166015625	0.84781699160365409095874156264471821486949920654296875	0.06556051363297499268156798279960639774799346923828125	0.6139838183451435948967400690889917314052581787109375	-1.132916221263077	2.407322903730633	CDKN1A;HSPA1L;SYK;PIK3R2;TRAF1;PIK3CB;PSMD8;IRF3;PSMC4;PSMC1;POLR3E;POLR1D;TAB1;HSPA1A
Estrogen signaling pathway_Homo sapiens_hsa04915	8/99	0.11097857575090709636445041041952208615839481353759765625	0.84781699160365409095874156264471821486949920654296875	0.07648485723693630722319625192540115676820278167724609375	0.6356688199126578897590889027924276888370513916015625	-1.0790139888534926	2.3721238913973886	ADCY9;PLCB4;HSPA1L;PIK3R2;PIK3CB;FOS;HSPA1A;ATF4
Pancreatic cancer_Homo sapiens_hsa05212	6/66	0.10264348065385391073345289214557851664721965789794921875	0.84781699160365409095874156264471821486949920654296875	0.0778882743766497742665677606055396609008312225341796875	0.6356688199126578897590889027924276888370513916015625	-0.9762703312182995	2.2224732077190534	CASP9;SMAD4;TGFB3;PIK3R2;PIK3CB;TGFBR2
FoxO signaling pathway_Homo sapiens_hsa04068	10/133	0.1162331393183054506490492485681897960603237152099609375	0.84781699160365409095874156264471821486949920654296875	0.0737711149382664910234552735346369445323944091796875	0.6356688199126578897590889027924276888370513916015625	-1.0130013908484148	2.1801383211613916	SMAD4;GABARAPL1;STK11;CDKN1A;TGFB3;PRKAG2;PIK3R2;PIK3CB;IGF1R;TGFBR2
ABC transporters_Homo sapiens_hsa02010	5/44	0.062105919747869643698923169949921430088579654693603515625	0.70248453700070623284545945352874696254730224609375	0.051515288105120689288174418152266298420727252960205078125	0.52133471562382138753122262642136774957180023193359375	-0.7189512479508444	1.997903665625044	ABCD2;ABCA3;ABCA4;TAP1;ABCG2
RNA transport_Homo sapiens_hsa03013	12/172	0.136742711733804755969146071947761811316013336181640625	0.88707451458083597106707429702510125935077667236328125	0.08109351526156328981986831649919622577726840972900390625	0.641145605036734789194952099933288991451263427734375	-0.9454929051436191	1.8812038686911214	EIF2B5;EIF4A2;POM121L2;POM121;POP7;EIF2B2;FXR2;PABPC1;RPP25L;EIF3A;EIF4G1;THOC6
Sphingolipid metabolism_Homo sapiens_hsa00600	5/47	0.07803096054135505443838383143884129822254180908203125	0.75703313687231876816241538108442910015583038330078125	0.0635979700128226077548987404952640645205974578857421875	0.6139838183451435948967400690889917314052581787109375	-0.6951685332944519	1.7731313420968358	NEU3;SGMS1;SPHK2;SPHK1;SMPD1
Endometrial cancer_Homo sapiens_hsa05213	5/52	0.1089247104145235345296072182463831268250942230224609375	0.84781699160365409095874156264471821486949920654296875	0.08696422701979771019420439870373229496181011199951171875	0.64711615988261239618140052698436193168163299560546875	-0.7608456912849918	1.686869738590526	CASP9;TCF7L2;PIK3R2;PIK3CB;ELK1
