Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Chronic myeloid leukemia_Homo sapiens_hsa05220	53/73	0.000000084643026625118296361549260521661697254103273735381662845611572265625	0.00002463112074790942490295532485422569379807100631296634674072265625	0.000124727681485111113572628038781431314419023692607879638671875	0.018147877656083666320085967527120374143123626708984375	-1.9376702113005864	31.554616637849204	CDKN1A;CDKN1B;CBLC;PIK3CD;CBLB;PIK3CB;CRKL;MECOM;CCND1;MYC;AKT2;AKT1;IKBKG;CHUK;GAB2;TGFBR1;RUNX1;TGFBR2;BCR;SOS1;RAF1;SHC4;CTBP2;SHC1;HDAC1;CTBP1;PIK3R3;PIK3R2;PIK3R1;CBL;NRAS;ABL1;E2F2;MAPK1;E2F3;MAPK3;STAT5A;TGFB2;SMAD4;TGFB1;SMAD3;TGFB3;BAD;CDKN2A;PTPN11;NFKB1;NFKBIA;CDK6;CDK4;MDM2;GRB2;KRAS;BCL2L1
Axon guidance_Homo sapiens_hsa04360	78/127	0.000005680230031255868790199085871517326040702755562961101531982421875	0.00082647346954772891829132941410307466867379844188690185546875	0.000221843814666478913143199402924210517085157334804534912109375	0.0215188500226484551169914283264006371609866619110107421875	-1.7509304293668342	21.1486461569088	SEMA5A;ITGB1;EPHB6;ROBO2;GSK3B;NRP1;LRRC4;RND1;PPP3CA;RGS3;DPYSL5;DPYSL2;CFL2;CFL1;NCK2;RAC3;PLXNC1;EPHB1;EPHB4;EPHB3;NCK1;EPHA5;SEMA6B;EPHA7;EPHA6;SEMA6A;UNC5B;SEMA6D;UNC5C;RHOD;RASA1;EPHA1;NGEF;ROCK2;SEMA3B;NTN4;GNAI3;CXCR4;SEMA3F;EFNA5;NTN1;GNAI2;EFNB2;CDC42;EFNB1;NRAS;ABLIM1;PAK1;PPP3R1;EFNB3;ABLIM2;PLXNA2;ABL1;PLXNA1;MAPK1;FYN;SLIT2;SRGAP3;SRGAP2;LRRC4C;PAK2;SRGAP1;PAK4;MAPK3;SEMA4D;SEMA4B;LIMK2;SEMA4C;LIMK1;NFATC2;L1CAM;PTK2;NFATC4;EFNA1;CDK5;FES;PLXNB2;KRAS
Pathways in cancer_Homo sapiens_hsa05200	205/397	0.000035917153717754239129755777781838332884944975376129150390625	0.0026129729329666209237947871457663495675660669803619384765625	0.00002381623632949561919828172784630027081220760010182857513427734375	0.006930524771883225278179541106737815425731241703033447265625	-2.0296989389536892	20.7725388332926	SPI1;HHIP;CBLC;CBLB;CRKL;TFG;MYC;AKT2;RASSF5;AKT1;SKP2;PRKACB;PRKCG;DAPK1;PRKCA;RUNX1;BCR;AR;ADCY9;CTBP2;CTBP1;EPAS1;PDGFB;LPAR1;PDGFA;PIK3R3;PIK3R2;PIK3R1;HIF1A;RALGDS;FZD1;STAT5A;WNT10B;CREBBP;WNT10A;FZD3;JUN;FZD2;FZD5;JUP;FZD4;FZD7;FN1;PTK2;GRB2;RET;CDKN1A;CDKN1B;GLI1;BRCA2;GLI3;SHH;MECOM;SUFU;RAC3;IKBKG;JAK1;APC2;NCOA4;WNT9A;FOS;PLCB4;RARA;RARB;ARHGEF1;PTGER4;GSTP1;GNAI3;ADCY3;XIAP;CXCR4;ADCY8;ADCY7;ADCY6;EGFR;ADCY5;GNAI2;RXRB;NRAS;RXRA;CTNNA1;BID;RXRG;RUNX1T1;EGLN3;CDKN2A;STAT3;VEGFC;VEGFA;CCDC6;F2RL3;ITGA2B;FGF1;ETS1;IGF1R;FGF7;CCND1;CDH1;EP300;PDGFRA;TPM3;HGF;WNT5A;MITF;PGF;RBX1;COL4A2;SMO;CCNE2;COL4A1;RAF1;MAX;CUL2;PLD1;STK4;CSF2RA;RASGRP1;FOXO1;WNT6;STK36;ABL1;DVL2;DVL3;WNT1;FGF21;SMAD2;TGFB2;SMAD4;TGFB1;SMAD3;TGFB3;PTCH1;ZBTB16;NFKB1;NFKB2;BMP4;NFKBIA;CDK6;CDK4;GNAQ;GNB2;CDK2;FGF18;MDM2;GNAS;CYCS;GNB5;FGFR3;FGF11;FGFR2;BCL2L1;FGF10;ITGB1;GSK3B;HSP90AB1;FLT3;PIK3CD;PIK3CB;CKS1B;CASP9;CASP8;BDKRB2;ITGAV;HSP90AA1;CHUK;PLEKHG5;MMP2;ARNT;TRAF1;AXIN2;TGFBR1;TGFBR2;TRAF4;TRAF3;TRAF5;ITGA6;SOS1;BIRC2;LAMA5;RALB;ROCK2;HDAC1;LAMA4;LEF1;CBL;CDC42;GNA13;MAPK9;GNG3;WNT11;GNA12;GNG8;E2F2;MAPK1;E2F3;VHL;MAPK3;TCF7L2;TCF7L1;EGF;BAD;LAMB2;PML;APC;KRAS
RNA degradation_Homo sapiens_hsa03018	50/77	0.00003244125375250826010496696394369564586668275296688079833984375	0.0026129729329666209237947871457663495675660669803619384765625	0.00119057241499105821193327248153082109638489782810211181640625	0.051643132322756114815920369665036560036242008209228515625	-1.8070124914087344	18.6774250959669	BTG3;BTG2;BTG1;DIS3L;ENO1;ENO3;EDC4;TTC37;PATL1;PAPD7;PAPD5;C1D;PABPC1;DCP2;SKIV2L2;ZCCHC7;DDX6;PARN;WDR61;TOB2;TOB1;HSPD1;EXOSC7;EXOSC5;DHX36;EXOSC2;DCPS;EXOSC1;HSPA9;PNPT1;LSM1;LSM2;CNOT4;PAN2;LSM8;CNOT6;LSM7;PFKL;CNOT7;LSM6;PAN3;CNOT1;CNOT2;CNOT3;SKIV2L;CNOT8;DCP1A;PFKM;DCP1B;MPHOSPH6
Estrogen signaling pathway_Homo sapiens_hsa04915	61/99	0.00004994499272513162652260831908535010370542295277118682861328125	0.002906798576602660950929379879426051047630608081817626953125	0.0009678326385184712367382164899254348711110651493072509765625	0.051643132322756114815920369665036560036242008209228515625	-1.8115494416530038	17.94265141125786	ATF2;HSP90AB1;PIK3CD;CALML3;PIK3CB;CREB3L4;CREB3L1;AKT2;CREB3L2;AKT1;PRKACB;HSP90AA1;MMP2;PRKCD;FOS;CREB3;ADCY9;CREB1;PLCB4;FKBP4;RAF1;SOS1;FKBP5;ATF4;CREB5;SHC4;ATF6B;SHC1;SRC;ITPR1;GNAI3;ADCY3;ITPR2;PIK3R3;ITPR3;PIK3R2;PIK3R1;ADCY8;ADCY7;EGFR;ADCY6;ADCY5;GNAI2;NRAS;MAPK1;MAPK3;HSPA8;JUN;GABBR1;HSPA1L;KCNJ9;GNAO1;SP1;GNAQ;GNAS;CALM3;GRB2;KRAS;CALM1;CALM2;HSPA1B
Pancreatic cancer_Homo sapiens_hsa05212	43/66	0.000101546015234214233075200894962364372986485250294208526611328125	0.00492498173885939048710636001260354532860219478607177734375	0.0024248805664968953177407229304662905633449554443359375	0.060841217361566619914459153051211615093052387237548828125	-1.826072628588793	16.790735099307323	RALB;PIK3R3;PIK3CD;PIK3R2;PIK3CB;PIK3R1;BRCA2;PLD1;EGFR;CASP9;CDC42;MAPK9;CCND1;AKT2;AKT1;E2F2;RAC3;MAPK1;E2F3;IKBKG;RALGDS;MAPK3;JAK1;SMAD2;TGFB2;SMAD4;TGFB1;SMAD3;CHUK;TGFB3;EGF;BAD;CDKN2A;STAT3;TGFBR1;NFKB1;TGFBR2;VEGFA;CDK6;CDK4;KRAS;RAF1;BCL2L1
Prostate cancer_Homo sapiens_hsa05215	54/89	0.00023416827749790335697933907344037152142846025526523590087890625	0.0097347098216985540608536808804274187423288822174072265625	0.0023487542388092182664427465255130300647579133510589599609375	0.060841217361566619914459153051211615093052387237548828125	-1.8045487964371543	15.085072549545549	GSK3B;CDKN1A;CDKN1B;HSP90AB1;PIK3CD;PIK3CB;IGF1R;CASP9;CCND1;CREB3L4;CREB3L1;AKT2;CREB3L2;AKT1;EP300;IKBKG;PDGFRA;HSP90AA1;CHUK;CREB3;AR;CREB1;CCNE2;SOS1;RAF1;ATF4;CREB5;GSTP1;LEF1;PDGFB;PIK3R3;PDGFA;PIK3R2;PIK3R1;EGFR;FOXO1;NRAS;PDGFC;E2F2;MAPK1;E2F3;MAPK3;TCF7L2;CREBBP;TCF7L1;EGF;BAD;NFKB1;NFKBIA;CDK2;MDM2;GRB2;KRAS;FGFR2
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	58/98	0.000356700309700271338438082313615495877456851303577423095703125	0.01191189282773153813865807393312934436835348606109619140625	0.0025089161798584175798454420913685680716298520565032958984375	0.060841217361566619914459153051211615093052387237548828125	-1.6681388446413927	13.242711382497461	DGKG;PI4K2B;DGKD;DGKA;MTMR14;PIK3CD;CALML3;PIK3CB;PPIP5K1;IMPA1;PPIP5K2;IMPA2;PIP4K2B;PIP4K2C;PRKCG;ITPK1;OCRL;PRKCA;DGKZ;ITPKB;INPP4B;ITPKC;PLCB4;IMPAD1;ITPKA;PIK3C3;PI4K2A;IPPK;TMEM55A;TMEM55B;MTMR3;INPP1;ITPR1;ITPR2;PIK3R3;ITPR3;PIK3R2;PIK3R1;MTMR4;MTMR6;MTMR7;INPP5B;INPP5A;INPP5J;INPP5K;PIP5K1A;PIP5K1B;PIP5K1C;CDIPT;IP6K2;SYNJ2;SYNJ1;PI4KA;CALM3;PI4KB;CALM1;CALM2;CDS2
Hepatitis B_Homo sapiens_hsa05161	81/146	0.000529029224533678088006338757764979163766838610172271728515625	0.0153947504339300329789796961676984210498631000518798828125	0.00164361156822217559236865014327122480608522891998291015625	0.0597863707940816391239735594353987835347652435302734375	-1.7069645530675606	12.878137540674942	ATF2;CDKN1A;DDX3X;CDKN1B;YWHAB;PIK3CD;PIK3CB;CASP9;IFIH1;CASP8;CCND1;YWHAQ;CREB3L4;CREB3L1;MYC;AKT2;CREB3L2;AKT1;EP300;IKBKG;IKBKE;JAK1;PRKCG;ATP6AP1;CHUK;PRKCA;FOS;TICAM1;YWHAZ;TIRAP;TGFBR1;CREB3;CREB1;IRF3;CCNE2;IRF7;VDAC3;RAF1;TLR3;ATF4;CREB5;TLR2;ATF6B;SRC;PIK3R3;PIK3R2;PIK3R1;MAPK9;NRAS;E2F2;PTK2B;MAPK1;E2F3;STAT6;MAPK3;STAT5A;TGFB2;EGR2;CREBBP;SMAD4;JUN;TGFB1;MAP3K1;SMAD3;EGR3;TGFB3;BAD;STAT3;NFATC2;NFATC1;NFKB1;NFATC4;NFKBIA;MAVS;CDK6;CDK4;CDK2;CYCS;GRB2;KRAS;MYD88
Hippo signaling pathway_Homo sapiens_hsa04390	85/153	0.0003684090565277795708588881584688579096109606325626373291015625	0.01191189282773153813865807393312934436835348606109619140625	0.00124227466068485494117556999782436832902021706104278564453125	0.051643132322756114815920369665036560036242008209228515625	-1.5440376679112748	12.207650753650647	GSK3B;BMPR2;YWHAB;SERPINE1;PPP2R2A;FGF1;LIMD1;ACTB;CTGF;ACTG1;BBC3;PPP1CB;SOX2;CCND3;CCND2;CCND1;YWHAQ;CDH1;MYC;BTRC;TEAD1;YWHAG;TEAD3;YWHAH;APC2;PRKCI;WNT5A;CSNK1E;AXIN2;WNT9A;YWHAZ;TGFBR1;TGFBR2;LATS1;FRMD6;PARD3;AJUBA;BIRC2;LLGL1;CRB2;LEF1;PRKCZ;NKD1;SAV1;PPP2CA;WNT6;PPP2CB;PARD6A;WNT11;DVL2;CTNNA1;DVL3;WNT1;SMAD2;FZD1;WWTR1;WNT10B;SMAD1;TCF7L2;TGFB2;SMAD4;WNT10A;FZD3;TCF7L1;TGFB1;SMAD3;FZD2;FZD5;TGFB3;FZD4;FZD7;MPP5;BMP7;PPP1CA;SMAD7;BMP4;MOB1A;DLG1;APC;DLG3;DLG4;ID2;ID1;BMPR1B;BMPR1A
