Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Non-small cell lung cancer_Homo sapiens_hsa05223	12/56	0.0059012207305992915584713642829228774644434452056884765625	0.70942277030591327502406784333288669586181640625	0.00448869241487962096492925212487534736283123493194580078125	0.41892085290192471180859001833596266806125640869140625	-2.1157717812286143	10.859401878531386	EML4;RB1;RXRB;ARAF;RARB;PIK3R2;PIK3CB;PIK3R1;FOXO3;STK4;HRAS;EGFR
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	13/64	0.0068309269507866067494550321725910180248320102691650390625	0.70942277030591327502406784333288669586181640625	0.004690073075357897337822610239754794747568666934967041015625	0.41892085290192471180859001833596266806125640869140625	-1.9800166304619278	9.872946820585904	PRKAA2;ADCY2;PIK3R2;IRS2;HSPA2;PIK3CB;PIK3R1;FOXO3;ADCY6;ADCY9;AKT1S1;HRAS;ATG5
Viral carcinogenesis_Homo sapiens_hsa05203	30/205	0.0124009466909868089345980735060948063619434833526611328125	0.70942277030591327502406784333288669586181640625	0.0030142312371866397148478800005477751255966722965240478515625	0.41892085290192471180859001833596266806125640869140625	-1.9060285744755525	8.367432016378263	RB1;GTF2A1;CDKN1A;HIST1H2BJ;SRC;PXN;HIST1H2BK;PIK3R2;PIK3R1;PIK3CB;RBPJ;CDC20;CCND3;EP300;HRAS;JAK3;JAK1;RANBP1;EGR3;GSN;TBP;GTF2H3;IRF3;DNAJA3;HIST1H2BF;HIST1H4H;HIST1H4I;LTBR;HIST1H2BG;HIST1H2BC
Estrogen signaling pathway_Homo sapiens_hsa04915	17/99	0.01238825023343940144593400276562533690594136714935302734375	0.70942277030591327502406784333288669586181640625	0.00602763817125071509062106400733682676218450069427490234375	0.41892085290192471180859001833596266806125640869140625	-1.8678983226375816	8.201954268932282	HSP90AA1;SRC;PRKCD;ADCY2;PIK3R2;PIK3R1;HSPA2;PIK3CB;FOS;EGFR;ADCY6;ADCY9;PLCB4;GNAQ;GNAS;FKBP4;HRAS
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	11/56	0.0157357138445156606587627123872152878902852535247802734375	0.70942277030591327502406784333288669586181640625	0.011021916100671387550580249126142007298767566680908203125	0.426824299478709201505211012772633694112300872802734375	-1.7526502009078315	7.27669233339562	LIPE;ADCY9;GNAS;ADCY2;PIK3R2;IRS2;PIK3CB;ADRB2;PIK3R1;ADCY6;PNPLA2
Acute myeloid leukemia_Homo sapiens_hsa05221	11/57	0.0178631632810841468883555904767490574158728122711181640625	0.70942277030591327502406784333288669586181640625	0.012282713654063574792996149653845350258052349090576171875	0.426824299478709201505211012772633694112300872802734375	-1.7942931409659988	7.222056095912545	TCF7L2;CEBPA;JUP;MYC;RARA;ARAF;PIK3R2;PIK3CB;PIK3R1;HRAS;PML
Notch signaling pathway_Homo sapiens_hsa04330	10/48	0.01396442170438861631043270250529531040228903293609619140625	0.70942277030591327502406784333288669586181640625	0.010748680153281252314112492740605375729501247406005859375	0.426824299478709201505211012772633694112300872802734375	-1.5898233087779519	6.790520869312983	NCOR2;LFNG;NOTCH1;APH1B;CTBP1;MAML1;NOTCH4;EP300;HES1;RBPJ
Endometrial cancer_Homo sapiens_hsa05213	10/52	0.02386585249726198842967761493127909488976001739501953125	0.749202951193331134760455825016833841800689697265625	0.016903322790580550816219584930877317674458026885986328125	0.447143409989524454051235125007224269211292266845703125	-1.7049438508977715	6.368488031689824	APC2;TCF7L2;MYC;ARAF;PIK3R2;PIK3CB;PIK3R1;FOXO3;HRAS;EGFR
ErbB signaling pathway_Homo sapiens_hsa04012	14/87	0.036209963714107333554448331369712832383811473846435546875	0.8117385514986190653274888973101042211055755615234375	0.01910031127798361705316665393183939158916473388671875	0.447143409989524454051235125007224269211292266845703125	-1.5731704947230767	5.220441939096629	CDKN1A;SRC;CAMK2A;ARAF;NRG1;PIK3R2;PIK3CB;PIK3R1;EGFR;ERBB3;MYC;PAK6;HRAS;PAK4
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	8/39	0.028935382611615510783931171090443967841565608978271484375	0.749202951193331134760455825016833841800689697265625	0.023085398685622073033929524399354704655706882476806640625	0.447143409989524454051235125007224269211292266845703125	-1.407539215111891	4.9864752721586285	FXYD2;SCNN1A;PIK3R2;SFN;PIK3CB;PIK3R1;ATP1B1;SGK1
