Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glycosaminoglycan degradation_Homo sapiens_hsa00531	2/19	0.0272449448729331737684145053890460985712707042694091796875	0.92426231323355045876866142862127162516117095947265625	0.0188951921563958215311007649006569408811628818511962890625	0.78154597270390369079251513539929874241352081298828125	-1.7683576995929977	6.371193470014219	HYAL1;HYAL3
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	4/94	0.039885603121152114758363183000255958177149295806884765625	0.92426231323355045876866142862127162516117095947265625	0.0173154937692519515779476790839908062480390071868896484375	0.78154597270390369079251513539929874241352081298828125	-1.8940111043674637	6.102011040355194	PRKAB2;INSR;AKT1S1;SESN2
Insulin signaling pathway_Homo sapiens_hsa04910	5/139	0.042110566009377216334375049200389184989035129547119140625	0.92426231323355045876866142862127162516117095947265625	0.01524667396787726149354202931363033712841570377349853515625	0.78154597270390369079251513539929874241352081298828125	-1.7232979136193536	5.458471342829094	LIPE;MAPK9;PRKAB2;INSR;CBL
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	3/64	0.057054117101257441346806587034734548069536685943603515625	0.92426231323355045876866142862127162516117095947265625	0.03036894454444642732493520043135504238307476043701171875	0.78154597270390369079251513539929874241352081298828125	-1.866178322911206	5.344277575415549	PRKAB2;INSR;AKT1S1
T cell receptor signaling pathway_Homo sapiens_hsa04660	4/104	0.054233005927330595052904271824445459060370922088623046875	0.92426231323355045876866142862127162516117095947265625	0.0238251881142230205468113268807428539730608463287353515625	0.78154597270390369079251513539929874241352081298828125	-1.798016236924472	5.240256453554134	VAV3;MAPK9;TEC;CBL
Leukocyte transendothelial migration_Homo sapiens_hsa04670	4/118	0.07838859496312143571028485666829510591924190521240234375	0.92426231323355045876866142862127162516117095947265625	0.035154083480727967014889401298205484636127948760986328125	0.78154597270390369079251513539929874241352081298828125	-1.5979868919689868	4.0685974076639795	VAV3;ACTN2;F11R;RAPGEF3
AMPK signaling pathway_Homo sapiens_hsa04152	4/124	0.090135361835465166446823559454060159623622894287109375	0.92426231323355045876866142862127162516117095947265625	0.04082248376454378213651352780289016664028167724609375	0.78154597270390369079251513539929874241352081298828125	-1.638704363928874	3.9434481837997084	LIPE;PRKAB2;INSR;AKT1S1
ErbB signaling pathway_Homo sapiens_hsa04012	3/87	0.1162277947415654988372324396550538949668407440185546875	0.92426231323355045876866142862127162516117095947265625	0.06324553793846965366043377798632718622684478759765625	0.78154597270390369079251513539929874241352081298828125	-1.6919620754948708	3.641446304381105	STAT5A;MAPK9;CBL
Tight junction_Homo sapiens_hsa04530	4/139	0.1228795847316067890719892830020398832857608795166015625	0.92426231323355045876866142862127162516117095947265625	0.057147057150744029474509488863986916840076446533203125	0.78154597270390369079251513539929874241352081298828125	-1.5066761065947571	3.158822377455567	ACTN2;EXOC3;F11R;LLGL2
Type II diabetes mellitus_Homo sapiens_hsa04930	2/48	0.13942707077696148143530763263697735965251922607421875	0.92426231323355045876866142862127162516117095947265625	0.09142041005640295925349647632174310274422168731689453125	0.78154597270390369079251513539929874241352081298828125	-1.5674689079925228	3.0882485672398117	MAPK9;INSR
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	4/151	0.152196928350283922082297749511781148612499237060546875	0.92426231323355045876866142862127162516117095947265625	0.0723957795785075408634412497121957130730152130126953125	0.78154597270390369079251513539929874241352081298828125	-1.6273552151823927	3.063626406100341	MAPK9;PRKAB2;INSR;NDUFA4L2
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	3/98	0.1501870056745113479745867834935779683291912078857421875	0.92426231323355045876866142862127162516117095947265625	0.08302369741363167798819944209753884933888912200927734375	0.78154597270390369079251513539929874241352081298828125	-1.6045727790687618	3.0420679042121286	MAPK9;CPEB4;ANAPC11
Ovarian steroidogenesis_Homo sapiens_hsa04913	2/50	0.14883842974564742700493980009923689067363739013671875	0.92426231323355045876866142862127162516117095947265625	0.0977053695252548537464321043444215320050716400146484375	0.78154597270390369079251513539929874241352081298828125	-1.516836904805498	2.8894134059503287	SCARB1;INSR
