Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	12/151	0.003558755396361817750772171820017319987528026103973388671875	0.85766005052319804757843257903004996478557586669921875	0.002170882481156255310039693284807071904651820659637451171875	0.52318267795865758262863209893112070858478546142578125	-1.96319122636191	11.069148263193606	NDUFA9;GSK3B;JUN;NDUFA7;UQCRB;NDUFS7;NDUFA10;NDUFC2;PRKAG2;COX6C;MAP3K5;PIK3R5
mTOR signaling pathway_Homo sapiens_hsa04150	6/60	0.01241365978503935520171896911278963671065866947174072265625	0.97367072131035403703691599730518646538257598876953125	0.010542334169801492738116621694643981754779815673828125	0.85594283688183925296044662900385446846485137939453125	-1.9476949443643763	8.548350951422655	STRADA;RRAGB;RPS6KA2;RICTOR;EIF4E;PIK3R5
Sphingolipid signaling pathway_Homo sapiens_hsa04071	9/120	0.0154320262079032689828128610542989918030798435211181640625	0.97367072131035403703691599730518646538257598876953125	0.01065489008566604910155373175939530483447015285491943359375	0.85594283688183925296044662900385446846485137939453125	-1.7235798958733	7.189586581314569	ABCC1;SGMS1;SPTLC2;TRADD;PRKCZ;NSMAF;MAP3K5;CERS2;PIK3R5
Neurotrophin signaling pathway_Homo sapiens_hsa04722	8/120	0.039922700953272605151056495742523111402988433837890625	0.97367072131035403703691599730518646538257598876953125	0.02830356007786201388842783899235655553638935089111328125	0.87511161277895099797063949154107831418514251708984375	-1.8053490944481594	5.81468672502211	GSK3B;JUN;MAGED1;RPS6KA2;MAP2K7;NGF;MAP3K5;PIK3R5
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	9/142	0.0400727144002177571024958524503745138645172119140625	0.97367072131035403703691599730518646538257598876953125	0.0270686605157578717706368109929826459847390651702880859375	0.87511161277895099797063949154107831418514251708984375	-1.7290248164027444	5.562375910476927	GSK3B;FZD3;MEIS1;FZD9;ID4;TCF3;ISL1;FGFR1;PIK3R5
Phospholipase D signaling pathway_Homo sapiens_hsa04072	9/144	0.043171651005269602585645571934946929104626178741455078125	0.97367072131035403703691599730518646538257598876953125	0.029145544054663040378638783067799522541463375091552734375	0.87511161277895099797063949154107831418514251708984375	-1.7438026802476825	5.480024126546491	PTGFR;ADCY9;RRAS;EGF;GRM6;F2R;AGPAT1;AGPAT3;PIK3R5
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	10/169	0.046786753822155101312230129906311049126088619232177734375	0.97367072131035403703691599730518646538257598876953125	0.0301989028473428657017851861610324704088270664215087890625	0.87511161277895099797063949154107831418514251708984375	-1.6471885116341636	5.0439467906904865	DNAJC5;HSPA4L;CUL1;SYVN1;UBE2E1;UBE2D1;MAP2K7;UGGT2;RNF5;MAP3K5
Vitamin digestion and absorption_Homo sapiens_hsa04977	3/24	0.040543386425632314817857348998586530797183513641357421875	0.97367072131035403703691599730518646538257598876953125	0.039586422604625921828347401287828688509762287139892578125	0.87511161277895099797063949154107831418514251708984375	-1.461576157461362	4.684910796126265	ABCC1;SLC52A3;SLC19A1
MAPK signaling pathway_Homo sapiens_hsa04010	13/255	0.069262213376073022974566129050799645483493804931640625	0.97367072131035403703691599730518646538257598876953125	0.04011256852741688916363926864505629055202007293701171875	0.87511161277895099797063949154107831418514251708984375	-1.7177308251323642	4.586093577158116	JUN;EGF;STK4;NGF;DUSP6;MECOM;RRAS;RPS6KA2;MAP2K7;MAP4K3;MAP3K5;FGFR1;MAP3K12
Oxidative phosphorylation_Homo sapiens_hsa00190	8/133	0.06543398380002607428451710802619345486164093017578125	0.97367072131035403703691599730518646538257598876953125	0.046131356955622170035180573677280335687100887298583984375	0.87511161277895099797063949154107831418514251708984375	-1.5686901569920775	4.27736866840481	NDUFA9;NDUFA7;UQCRB;NDUFS7;NDUFA10;NDUFC2;COX6C;ATP6V0C
