Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Spliceosome_Homo sapiens_hsa03040	2/134	0.0267641400764455535121744134130494785495102405548095703125	0.29440554084090109210336549949715845286846160888671875	0.005316549605993343453891331051863744505681097507476806640625	0.058482045665926775390719427605290547944605350494384765625	-1.7966192231581692	6.505005466932181	PRPF38B;RBM8A
Glycerolipid metabolism_Homo sapiens_hsa00561	1/59	0.1062863017018482736375517561100423336029052734375	0.30368511875998571714063700710539706051349639892578125	0.0502442213364072409742533409371390007436275482177734375	0.1455074931449972519548197169569903053343296051025390625	-1.9263357157903183	4.318110483641538	LPIN1
Retinol metabolism_Homo sapiens_hsa00830	1/65	0.11645749366486730924652448493361589498817920684814453125	0.30368511875998571714063700710539706051349639892578125	0.05515074870591264721841895379839115776121616363525390625	0.1455074931449972519548197169569903053343296051025390625	-1.7794870498818076	3.8263045419786494	CYP26B1
p53 signaling pathway_Homo sapiens_hsa04115	1/69	0.12317557737966210174018755196811980567872524261474609375	0.30368511875998571714063700710539706051349639892578125	0.05841001733849889021588097648418624885380268096923828125	0.1455074931449972519548197169569903053343296051025390625	-1.6681010082037933	3.493244523564627	CHEK2
mRNA surveillance pathway_Homo sapiens_hsa03015	1/91	0.15924536026684033007683183313929475843906402587890625	0.30368511875998571714063700710539706051349639892578125	0.0761690041108369353395346479373984038829803466796875	0.1455074931449972519548197169569903053343296051025390625	-1.6153714440148892	2.9679366860441503	RBM8A
Glycerophospholipid metabolism_Homo sapiens_hsa00564	1/95	0.1656464284145376664181270598419359885156154632568359375	0.30368511875998571714063700710539706051349639892578125	0.07936772353363485965616064277128316462039947509765625	0.1455074931449972519548197169569903053343296051025390625	-1.589966234507117	2.8585998343210695	LPIN1
Cell cycle_Homo sapiens_hsa04110	1/124	0.2106559207814014123005819101308588869869709014892578125	0.33103073265648796930094022172852419316768646240234375	0.1022835866135435034518508246037526987493038177490234375	0.1607313503927112197100512958058970980346202850341796875	-1.5815194251691427	2.463262659373895	CHEK2
RNA transport_Homo sapiens_hsa03013	1/172	0.280010495847497209442877874607802368700504302978515625	0.385014431790308642167275365864043124020099639892578125	0.1391682602851639083407775387968285940587520599365234375	0.19135635789210037049912216389202512800693511962890625	-1.6973752994098399	2.160636869912813	RBM8A
HTLV-I infection_Homo sapiens_hsa05166	1/258	0.3897271866448177579655975932837463915348052978515625	0.429992044054736510805270199853111989796161651611328125	0.2020964044436120155001646025993977673351764678955078125	0.223085409064713136029212137145805172622203826904296875	-1.7431593977166782	1.6425935792571675	CHEK2
Endocytosis_Homo sapiens_hsa04144	1/259	0.39090185823157863609367268509231507778167724609375	0.429992044054736510805270199853111989796161651611328125	0.202804917331557421622534320704289712011814117431640625	0.223085409064713136029212137145805172622203826904296875	-1.74065201842917	1.6349922693919632	VPS26A
Metabolic pathways_Homo sapiens_hsa01100	2/1239	0.69136516430423566870189233668497763574123382568359375	0.69136516430423566870189233668497763574123382568359375	0.28796880408075420376690090051852166652679443359375	0.28796880408075420376690090051852166652679443359375	-1.7632590838869284	0.6507962471502141	CYP26B1;LPIN1
