Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	7/35	0.00956672708782616877665194721203079097904264926910400390625	0.9999999998341710938376536432770080864429473876953125	0.0091976205049113281264627772770836600102484226226806640625	0.8212592905147710897750812364392913877964019775390625	-1.805002027132948	8.392292178114594	ADSL;GPT2;GOT2;CAD;ASNS;AGXT;ADSS
RNA degradation_Homo sapiens_hsa03018	11/77	0.017721712221416212329483386156425694935023784637451171875	0.9999999998341710938376536432770080864429473876953125	0.01153264585553494085690129367094414192251861095428466796875	0.8212592905147710897750812364392913877964019775390625	-1.8070124914087344	7.287617611962978	HSPA9;TTC37;EXOSC5;LSM7;EXOSC4;CNOT6L;CNOT3;LSM1;SKIV2L;DCP1A;SKIV2L2
Insulin signaling pathway_Homo sapiens_hsa04910	17/139	0.0171070488471208974334825114738123374991118907928466796875	0.9999999998341710938376536432770080864429473876953125	0.00791786609968627742850433293142486945725977420806884765625	0.8212592905147710897750812364392913877964019775390625	-1.7478921845803546	7.110888051435541	GSK3B;PYGB;BAD;EXOC7;PDPK1;PRKAG1;CBLC;ACACB;FOXO1;HK1;SOCS1;PRKAR1B;PPP1R3B;MKNK2;FLOT2;HRAS;FBP2
Fructose and mannose metabolism_Homo sapiens_hsa00051	6/32	0.0217574108769660913564880644344157190062105655670166015625	0.9999999998341710938376536432770080864429473876953125	0.0199795549149490124507533295172834186814725399017333984375	0.8212592905147710897750812364392913877964019775390625	-1.486789054558636	5.691132406077653	PFKFB2;GMPPB;PFKFB3;PMM1;FBP2;HK1
Synaptic vesicle cycle_Homo sapiens_hsa04721	9/63	0.0302911691145054846885376065301898051984608173370361328125	0.9999999998341710938376536432770080864429473876953125	0.0212919075318644367145193285750792711041867733001708984375	0.8212592905147710897750812364392913877964019775390625	-1.5164557849871148	5.302892804977223	DNM3;ATP6V1A;CLTB;ATP6V1H;STX3;AP2B1;ATP6V1E1;ATP6V0C;AP2M1
Tight junction_Homo sapiens_hsa04530	16/139	0.0334931196987512114215945757678127847611904144287109375	0.9999999998341710938376536432770080864429473876953125	0.0159819603786292389890899556803560699336230754852294921875	0.8212592905147710897750812364392913877964019775390625	-1.5542965636945332	5.279036541652432	IGSF5;EPB41;SHROOM2;SHROOM3;F11R;ACTB;RHOA;OCLN;CDK4;CLDN8;EXOC4;MYH14;MYH9;AMOTL1;HRAS;TJP3
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	7/48	0.04791720236629286311380582219499046914279460906982421875	0.9999999998341710938376536432770080864429473876953125	0.03666662990193192417365253277239389717578887939453125	0.82217685655919348075570951550616882741451263427734375	-1.6742710703607533	5.086905493402895	BCKDHA;MCCC2;ALDH3A2;HMGCL;OXCT1;HADH;ACAT1
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	13/118	0.06858771972557763108024886378188966773450374603271484375	0.9999999998341710938376536432770080864429473876953125	0.037262131802831131854869539665742195211350917816162109375	0.82217685655919348075570951550616882741451263427734375	-1.5932769428124987	4.269411451952635	PFKFB2;NOTCH3;NCOA2;GSK3B;CREBBP;BAD;PDPK1;ITGB3;FOXO1;ACTB;KAT2A;CCND1;HRAS
Peroxisome_Homo sapiens_hsa04146	10/83	0.06340251832344874494129527420227532275021076202392578125	0.9999999998341710938376536432770080864429473876953125	0.039895619160359364896439871017719269730150699615478515625	0.82217685655919348075570951550616882741451263427734375	-1.4451802993334968	3.986171013306701	HMGCL;PHYH;MVK;AGPS;PEX2;PEX1;PEX12;SOD2;AGXT;PEX14
Lysine degradation_Homo sapiens_hsa00310	7/52	0.06867113498793807335740524422362796030938625335693359375	0.9999999998341710938376536432770080864429473876953125	0.050804100052361349237894927455272409133613109588623046875	0.82217685655919348075570951550616882741451263427734375	-1.457375692652964	3.903473425481416	ALDH3A2;SETD1A;KMT2B;PLOD2;HADH;ACAT1;CAMKMT
AMPK signaling pathway_Homo sapiens_hsa04152	13/124	0.092917936396640588014861350529827177524566650390625	0.9999999998341710938376536432770080864429473876953125	0.050482489159217276697422249753799405880272388458251953125	0.82217685655919348075570951550616882741451263427734375	-1.40837501306649	3.346353365751136	PFKFB2;CRTC2;PFKFB3;PDPK1;PRKAG1;PPP2R5D;ELAVL1;ACACB;CPT1B;FOXO1;STK11;CCND1;FBP2
Synthesis and degradation of ketone bodies_Homo sapiens_hsa00072	3/10	0.0281998091138705130054287195662254816852509975433349609375	0.9999999998341710938376536432770080864429473876953125	0.034937126467488040237885371652737376280128955841064453125	0.82217685655919348075570951550616882741451263427734375	-0.8916951750366732	3.1819607928913216	HMGCL;OXCT1;ACAT1
Fanconi anemia pathway_Homo sapiens_hsa03460	7/53	0.07458241859980686838671459781835437752306461334228515625	0.9999999998341710938376536432770080864429473876953125	0.05480847406886267536574308678609668277204036712646484375	0.82217685655919348075570951550616882741451263427734375	-1.2176794152139765	3.1609136885685523	RAD51;EME1;EME2;ERCC1;FANCB;POLK;ATRIP
