Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Terpenoid backbone biosynthesis_Homo sapiens_hsa00900	2/22	0.005673149335643785928784410543812555260956287384033203125	0.363081557481202299442202274804003536701202392578125	0.004571206730817613424211476313985258457250893115997314453125	0.28116255653870314556996845567482523620128631591796875	-1.8114062169235403	9.368612656695651	MVK;DHDDS
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	3/98	0.01417160770753074332251042477537339436821639537811279296875	0.453491446640983786320333592811948619782924652099609375	0.0087863298918344732990615142398382886312901973724365234375	0.28116255653870314556996845567482523620128631591796875	-1.839369389997658	7.829302981849345	DGKD;PPIP5K2;PIP5K1C
Ribosome_Homo sapiens_hsa03010	3/137	0.0338641550673083047140465851043700240552425384521484375	0.61471254447826317868219803131069056689739227294921875	0.0211146703946072412938494977652226225472986698150634765625	0.4504463017516211476021226189914159476757049560546875	-1.6976574712056103	5.747246541556231	MRPL18;RPL15;RPL39
Peroxisome_Homo sapiens_hsa04146	2/83	0.06831100219902552783679539061267860233783721923828125	0.61471254447826317868219803131069056689739227294921875	0.0503841947396999056962840768392197787761688232421875	0.53169453231653884817120570005499757826328277587890625	-1.6288482246030445	4.371314633874748	PHYH;MVK
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	2/93	0.0831234063838230674559071076146210543811321258544921875	0.61471254447826317868219803131069056689739227294921875	0.061398260585430609881374408587362268008291721343994140625	0.53169453231653884817120570005499757826328277587890625	-1.7469248979204233	4.345351567204966	VASP;PIP5K1C
Choline metabolism in cancer_Homo sapiens_hsa05231	2/101	0.09560946371876814786627818421038682572543621063232421875	0.61471254447826317868219803131069056689739227294921875	0.07075058550565127557518962930771522223949432373046875	0.53169453231653884817120570005499757826328277587890625	-1.8028220615366948	4.232094990521591	DGKD;PIP5K1C
Endocytosis_Homo sapiens_hsa04144	3/259	0.1493147510614676043427806462204898707568645477294921875	0.61471254447826317868219803131069056689739227294921875	0.0990452217866442941041071890140301547944545745849609375	0.53169453231653884817120570005499757826328277587890625	-1.74065201842917	3.310195816081324	VPS4B;CLTC;PIP5K1C
Leukocyte transendothelial migration_Homo sapiens_hsa04670	2/118	0.12371512888908568761348050202286685816943645477294921875	0.61471254447826317868219803131069056689739227294921875	0.09203097067620231996887270042861928232014179229736328125	0.53169453231653884817120570005499757826328277587890625	-1.5467106469693195	3.2322752377295183	VASP;EZR
FoxO signaling pathway_Homo sapiens_hsa04068	2/133	0.1499366773653010020961318105037207715213298797607421875	0.61471254447826317868219803131069056689739227294921875	0.11216981763587786924407652122681611217558383941650390625	0.53169453231653884817120570005499757826328277587890625	-1.5721139542832354	2.9831526106299795	IRS2;GABARAP
One carbon pool by folate_Homo sapiens_hsa00670	1/20	0.09815746693320680227312635679481900297105312347412109375	0.61471254447826317868219803131069056689739227294921875	0.08589310282107553984332071195240132510662078857421875	0.53169453231653884817120570005499757826328277587890625	-1.2733197849703348	2.9556073272509114	MTHFD1
Phospholipase D signaling pathway_Homo sapiens_hsa04072	2/144	0.169810277112418528400183959092828445136547088623046875	0.61471254447826317868219803131069056689739227294921875	0.1276161838571561180089020126615650951862335205078125	0.53169453231653884817120570005499757826328277587890625	-1.6163678825854082	2.8659390299760954	DGKD;PIP5K1C
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	2/167	0.21257933323177080620070000804844312369823455810546875	0.61471254447826317868219803131069056689739227294921875	0.1613931832511041053468403561055311001837253570556640625	0.53169453231653884817120570005499757826328277587890625	-1.5526450294373189	2.404177711976633	VASP;IRS2
RNA transport_Homo sapiens_hsa03013	2/172	0.2220255889094221724011646301732980646193027496337890625	0.61471254447826317868219803131069056689739227294921875	0.168952416875430999620988359311013482511043548583984375	0.53169453231653884817120570005499757826328277587890625	-1.4305783207992453	2.1529669241002076	CLNS1A;ELAC1
Glyoxylate and dicarboxylate metabolism_Homo sapiens_hsa00630	1/28	0.134692655552884676950498032965697348117828369140625	0.61471254447826317868219803131069056689739227294921875	0.11670061426218254763131909612638992257416248321533203125	0.53169453231653884817120570005499757826328277587890625	-1.047457112448424	2.099899829066514	HOGA1
Regulation of autophagy_Homo sapiens_hsa04140	1/39	0.182546299826357227846784780922462232410907745361328125	0.61471254447826317868219803131069056689739227294921875	0.1574267780107893865970680735699716024100780487060546875	0.53169453231653884817120570005499757826328277587890625	-1.2305749540473254	2.0929021256859697	GABARAP
Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860	1/42	0.1951360780786157989030726866985787637531757354736328125	0.61471254447826317868219803131069056689739227294921875	0.168215035824828607058378793226438574492931365966796875	0.53169453231653884817120570005499757826328277587890625	-1.1619131382537702	1.898633607003693	MMAB
Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961	1/47	0.2156937116297330536696108538308180868625640869140625	0.61471254447826317868219803131069056689739227294921875	0.1858994000035191496156272705775336362421512603759765625	0.53169453231653884817120570005499757826328277587890625	-1.2224576354513108	1.8751227296718394	CLTC
Type II diabetes mellitus_Homo sapiens_hsa04930	1/48	0.219742403435065736250209056379389949142932891845703125	0.61471254447826317868219803131069056689739227294921875	0.1893923945677889741912025556302978657186031341552734375	0.53169453231653884817120570005499757826328277587890625	-1.178374829579572	1.785590568702755	IRS2
ABC transporters_Homo sapiens_hsa02010	1/44	0.2034223924338494360330997778874007053673267364501953125	0.61471254447826317868219803131069056689739227294921875	0.175332894872859468282655370785505510866641998291015625	0.53169453231653884817120570005499757826328277587890625	-1.081691959633046	1.7225627638220156	ABCB7
Focal adhesion_Homo sapiens_hsa04510	2/202	0.279163144392892303979891721610329113900661468505859375	0.61471254447826317868219803131069056689739227294921875	0.2154497619704025257458823716660845093429088592529296875	0.53169453231653884817120570005499757826328277587890625	-1.2933697233445158	1.6502866368217917	VASP;PIP5K1C
Rap1 signaling pathway_Homo sapiens_hsa04015	2/211	0.296317162400241140840506659515085630118846893310546875	0.61471254447826317868219803131069056689739227294921875	0.229672387830980262446445294699515216052532196044921875	0.53169453231653884817120570005499757826328277587890625	-1.282918142815239	1.560445286518923	VASP;MAP2K3
Arginine and proline metabolism_Homo sapiens_hsa00330	1/50	0.2277777978279960924279379241852439008653163909912109375	0.61471254447826317868219803131069056689739227294921875	0.1963349729155015321868660294057917781174182891845703125	0.53169453231653884817120570005499757826328277587890625	-1.026820414050815	1.519062406252023	HOGA1
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	1/56	0.25139554560151700091097382028237916529178619384765625	0.61471254447826317868219803131069056689739227294921875	0.216819572560382811676760184127488173544406890869140625	0.53169453231653884817120570005499757826328277587890625	-1.086160958508653	1.4996925235421272	IRS2
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	2/214	0.30202421572601656496459554546163417398929595947265625	0.61471254447826317868219803131069056689739227294921875	0.2344315727321376330305469082304625771939754486083984375	0.53169453231653884817120570005499757826328277587890625	-1.2036742148975441	1.4410966430910581	PIP5K1C;EZR
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	1/51	0.2317647094553078324086214934141025878489017486572265625	0.61471254447826317868219803131069056689739227294921875	0.1997846725658174449336001998744904994964599609375	0.53169453231653884817120570005499757826328277587890625	-0.9681538612261393	1.4154725120888205	MAP2K3
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	1/55	0.2475095331706763379653324363971478305757045745849609375	0.61471254447826317868219803131069056689739227294921875	0.2134408821916078669023164593454566784203052520751953125	0.53169453231653884817120570005499757826328277587890625	-0.9819259535285516	1.371069277070818	EZR
Glycerolipid metabolism_Homo sapiens_hsa00561	1/59	0.262934739169322251317595373620861209928989410400390625	0.61471254447826317868219803131069056689739227294921875	0.2268716794866531827334910076388041488826274871826171875	0.53169453231653884817120570005499757826328277587890625	-1.0167209358484468	1.358186070052296	DGKD
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	1/64	0.28177656140534657058793754913494922220706939697265625	0.61471254447826317868219803131069056689739227294921875	0.2433486606455506351398554443221655674278736114501953125	0.53169453231653884817120570005499757826328277587890625	-1.0313640675392455	1.3063678669538463	IRS2
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	1/68	0.296505927422082871114383806343539617955684661865234375	0.61471254447826317868219803131069056689739227294921875	0.2562853382166796478713877149857580661773681640625	0.53169453231653884817120570005499757826328277587890625	-1.062249308292744	1.291363810860972	MAP2K3
Gastric acid secretion_Homo sapiens_hsa04971	1/74	0.318040866623984730399143927570548839867115020751953125	0.61680652921015222123202192960889078676700592041015625	0.27529030345843252813864410200039856135845184326171875	0.5338963461012025124574620349449105560779571533203125	-0.9214189044242306	1.0555548236111572	EZR
Inositol phosphate metabolism_Homo sapiens_hsa00562	1/71	0.307356272239131589341099015655345283448696136474609375	0.61471254447826317868219803131069056689739227294921875	0.265847266158269424085602850027498789131641387939453125	0.53169453231653884817120570005499757826328277587890625	-0.8709287405766544	1.0274761858374244	PIP5K1C
Synaptic vesicle cycle_Homo sapiens_hsa04721	1/63	0.27804675330239836394952135378844104707241058349609375	0.61471254447826317868219803131069056689739227294921875	0.240080658892036391538482575924717821180820465087890625	0.53169453231653884817120570005499757826328277587890625	-0.7909492933907005	1.0123882049132253	CLTC
Adipocytokine signaling pathway_Homo sapiens_hsa04920	1/70	0.30375803226532360756806383506045676767826080322265625	0.61471254447826317868219803131069056689739227294921875	0.262673237911119017429228961191256530582904815673828125	0.53169453231653884817120570005499757826328277587890625	-0.8143373144184077	0.9703023247496474	IRS2
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	1/89	0.369064043570231203883480475269607268273830413818359375	0.6169862999489603705427498425706289708614349365234375	0.32077153143515513278316575451754033565521240234375	0.535742371242247106266631817561574280261993408203125	-0.8862242605425263	0.883375129473844	HEATR1
GnRH signaling pathway_Homo sapiens_hsa04912	1/91	0.37557501127750747560440913730417378246784210205078125	0.6169862999489603705427498425706289708614349365234375	0.326623138649415889478433427939307875931262969970703125	0.535742371242247106266631817561574280261993408203125	-0.861114622156761	0.8432870212510438	MAP2K3
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	1/78	0.33203348711316948982386065836180932819843292236328125	0.6169862999489603705427498425706289708614349365234375	0.2876985444276112247052878956310451030731201171875	0.535742371242247106266631817561574280261993408203125	-0.7584151506740454	0.8361674550608829	CLTC
GABAergic synapse_Homo sapiens_hsa04727	1/88	0.36578339318772534749513170027057640254497528076171875	0.6169862999489603705427498425706289708614349365234375	0.317827324816310652355610955055453814566135406494140625	0.535742371242247106266631817561574280261993408203125	-0.8295249299341969	0.8342647878254627	GABARAP
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	1/94	0.38521690260962448970616378574050031602382659912109375	0.6169862999489603705427498425706289708614349365234375	0.335309274032834780943090891014435328543186187744140625	0.535742371242247106266631817561574280261993408203125	-0.8182710686534922	0.7805886385006802	IRS2
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	1/98	0.397843763510162540253389806821360252797603607177734375	0.6169862999489603705427498425706289708614349365234375	0.34672245797289902302651398713351227343082427978515625	0.535742371242247106266631817561574280261993408203125	-0.8442290266528458	0.7781224365469306	MAP2K3
