Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Endometrial cancer_Homo sapiens_hsa05213	7/52	0.000535451402534598800038445620685934045468457043170928955078125	0.1151220515449387360451538597772014327347278594970703125	0.000528726057817481033540563117867350229062139987945556640625	0.11367610243075841613968890442265546880662441253662109375	-2.005338719865474	15.105014223305094	AXIN1;PTEN;ILK;PIK3R3;RAF1;FOXO3;MLH1
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	11/142	0.0019732876969490160783127219445987066137604415416717529296875	0.2121284274220192334059476024776813574135303497314453125	0.00121838852550053733554691337559461317141540348529815673828125	0.1309767664913077667154794880843837745487689971923828125	-1.803856796982478	11.234517982843167	SMAD4;BMPR2;DLX5;FZD9;AXIN1;PIK3R3;PCGF1;RAF1;BMI1;FGFR2;TBX3
Bladder cancer_Homo sapiens_hsa05219	5/41	0.00519105993100568187392784835765269235707819461822509765625	0.311077104969389228728005036828108131885528564453125	0.0049462188703873304074232208904504659585654735565185546875	0.239628934729708642503709370430442504584789276123046875	-1.8166620555036996	9.557127309781732	CDKN1A;RPS6KA5;E2F1;RAF1;HBEGF
Colorectal cancer_Homo sapiens_hsa05210	6/62	0.007154987834246603027599231694466652697883546352386474609375	0.311077104969389228728005036828108131885528564453125	0.00601434339744742751943107350598438642919063568115234375	0.239628934729708642503709370430442504584789276123046875	-1.8869011090574397	9.321188767716189	JUN;SMAD4;AXIN1;PIK3R3;RAF1;MLH1
Renal cell carcinoma_Homo sapiens_hsa05211	6/66	0.00964707506035961982748805354503929265774786472320556640625	0.311077104969389228728005036828108131885528564453125	0.00792832316512913880257595877765197656117379665374755859375	0.239628934729708642503709370430442504584789276123046875	-1.7403813509934956	8.077284779396566	RAP1B;JUN;PIK3R3;PAK6;RAF1;ETS1
ErbB signaling pathway_Homo sapiens_hsa04012	7/87	0.01026331241305609986991242976728244684636592864990234375	0.311077104969389228728005036828108131885528564453125	0.00779147577286620762748725610435940325260162353515625	0.239628934729708642503709370430442504584789276123046875	-1.7216599706878195	7.883790291778752	JUN;CDKN1A;ERBB4;PIK3R3;PAK6;RAF1;HBEGF
Circadian rhythm_Homo sapiens_hsa04710	4/30	0.00890209131711273797538108709659354644827544689178466796875	0.311077104969389228728005036828108131885528564453125	0.00891642547831474063801948659602203406393527984619140625	0.239628934729708642503709370430442504584789276123046875	-1.6580118882353159	7.828251815492539	FBXW11;CUL1;RORA;PRKAB1
FoxO signaling pathway_Homo sapiens_hsa04068	9/133	0.011574962045372623464789541003483464010059833526611328125	0.311077104969389228728005036828108131885528564453125	0.007664430551351865926468232004253877676092088222503662109375	0.239628934729708642503709370430442504584789276123046875	-1.6483565765698018	7.349875202012355	PLK3;SMAD4;CDKN1A;PTEN;PIK3R3;IRS2;RAF1;FOXO3;PRKAB1
Neurotrophin signaling pathway_Homo sapiens_hsa04722	8/120	0.0182185828719432889311047318869896116666495800018310546875	0.37728999452548028781251332475221715867519378662109375	0.01265427259761499161061504281633460777811706066131591796875	0.283610791194659428438029635799466632306575775146484375	-1.6460614865017587	6.5929917486767495	RAP1B;JUN;RPS6KA5;IRAK1;MAPKAPK2;PIK3R3;RAF1;FOXO3
Hepatitis B_Homo sapiens_hsa05161	9/146	0.020158999060143616144369360654309275560081005096435546875	0.37728999452548028781251332475221715867519378662109375	0.0131911995904492769515758965326313045807182788848876953125	0.283610791194659428438029635799466632306575775146484375	-1.681475600228641	6.564656435307491	DDB1;IFIH1;SMAD4;JUN;CDKN1A;E2F1;PTEN;PIK3R3;RAF1
Cell cycle_Homo sapiens_hsa04110	8/124	0.0217283975606498598598381732927009579725563526153564453125	0.37728999452548028781251332475221715867519378662109375	0.0150240421251123558443740790835363441146910190582275390625	0.293651732445377844360479002716601826250553131103515625	-1.4551203339429584	5.571852535485542	SMAD4;CDKN1A;MCM7;E2F1;CUL1;SMC1A;CDC14A;MAD2L1
Glioma_Homo sapiens_hsa05214	5/65	0.033519313283324032870513775606013950891792774200439453125	0.41367922720569294536829829667112790048122406005859375	0.0274367284327201588212119531817734241485595703125	0.327633213387455934917369404502096585929393768310546875	-1.554164782530808	5.277373985087951	CDKN1A;E2F1;PTEN;PIK3R3;RAF1
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	5/64	0.031631178396314026113333994771892321296036243438720703125	0.41367922720569294536829829667112790048122406005859375	0.025971495218492013368205562073853798210620880126953125	0.327633213387455934917369404502096585929393768310546875	-1.486717297742133	5.134544680324268	PIK3R3;IRS2;FOXO3;PRKAB1;FOXA2
