Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Viral carcinogenesis_Homo sapiens_hsa05203	40/205	0.00005048472317229643299175967374736728743300773203372955322265625	0.0123521277924659896030323835702802170999348163604736328125	0.0000523065684213862169978613569920611325869685970246791839599609375	0.01366377933613365479315060468934461823664605617523193359375	-1.9823431339928443	19.6129853545048	CDKN1A;DDX3X;HDAC3;ATF6B;SRC;GTF2B;SRF;HDAC11;UBR4;PIK3R3;PIK3CD;PIK3R2;C3;CCND3;CCND2;YWHAQ;CREB3L4;CREB3L1;RAC1;PRKACB;HRAS;JAK3;STAT5B;RANBP1;CREBBP;JUN;TBP;SYK;ACTN2;GTF2H4;DDB1;NFKBIA;HIST1H4A;HIST1H4B;CCNE2;IRF3;CDK4;DNAJA3;MAPKAPK2;MAD1L1
Insulin resistance_Homo sapiens_hsa04931	25/109	0.00009049177869938454001064176424051765934564173221588134765625	0.0123521277924659896030323835702802170999348163604736328125	0.00016353844107838122197244590250164719691383652389049530029296875	0.01488199813813269149764817456116361427120864391326904296875	-1.8349911389114042	17.084229103517206	GSK3B;CRTC2;SLC2A1;PIK3R3;PIK3CD;PIK3R2;PRKCZ;PTPRF;PPP1CC;MAPK9;CREB3L4;CREB3L1;AKT2;MLXIP;MGEA5;CPT1A;PRKCE;PRKCD;PTPN11;PPP1CA;TNFRSF1A;NFKBIA;PPP1R3C;RPS6KB1;SLC27A3
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	23/101	0.00019044492668715217961218633124786947519169189035892486572265625	0.01299786624639813654991105096314640832133591175079345703125	0.0003228092563250456264144216955713773131719790399074554443359375	0.02094940685236874877706014785871957428753376007080078125	-1.9763841801157518	16.929998411344272	STAT5B;TGFB2;JUN;STAT1;PRKCE;PRKCD;PIK3R3;PIK3CD;NFATC1;PIK3R2;PRKCZ;F3;MAPK9;CDK4;AKT2;COL4A4;COL4A3;PIM1;COL4A6;COL4A5;RAC1;PLCB1;HRAS
HTLV-I infection_Homo sapiens_hsa05166	46/258	0.00014226070332663541301472520661519638451864011585712432861328125	0.01294572400272382163566309287716649123467504978179931640625	0.00010010094751746267754087538204288421184173785150051116943359375	0.01366377933613365479315060468934461823664605617523193359375	-1.8930391937149444	16.768255792271304	GSK3B;CDKN1A;CRTC2;SRF;SLC2A1;CREM;PDGFA;PIK3R3;PIK3CD;PIK3R2;ETS1;ELK4;PPP3CA;CCND3;ZFP36;CCND2;PTTG1;CHEK2;AKT2;PRKACB;HRAS;JAK3;WNT2;APC2;STAT5B;RANBP1;FDPS;CREBBP;JUN;TGFB2;CDKN2C;TBP;FZD4;NFYB;FZD9;NFATC3;NFATC2;NFATC1;TNFRSF1A;NFKBIA;CDK4;LCK;CTNNB1;ATM;SLC25A5;MAP3K14
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	32/167	0.00038166128265243264537642797762373447767458856105804443359375	0.0208387060328228228278657496730374987237155437469482421875	0.000383688770189903800324204841132313958951272070407867431640625	0.02094940685236874877706014785871957428753376007080078125	-1.838637426903775	14.47187296713707	OPRD1;ATF6B;NPR1;SRF;PDE3B;ATP2A3;PIK3R3;PIK3CD;GATA4;PIK3R2;SLC8A2;PPP1CC;PPP3CA;RGS2;CREB3L4;CREB3L1;AKT2;GNA12;PRKG1;VASP;PRKCE;NFATC3;NFATC2;ATP1B3;NFATC1;PPP1CA;GNAQ;FXYD2;PDE3A;PDE5A;SLC25A5;PLCB1
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	21/94	0.0004675887266657106325525028456269183152471669018268585205078125	0.02127528706328983554296740976496948860585689544677734375	0.00071841072695419893288926171948105547926388680934906005859375	0.032687688076416053506445535958846448920667171478271484375	-1.7777148842902775	13.631378071161645	ATF6B;EHMT2;PIK3R3;EHMT1;PIK3CD;PIK3R2;ADIPOR1;FOXO3;ADIPOR2;STK11;RPS6KB1;CREB3L4;ATG101;RHEB;CREB3L1;AKT2;CAT;SESN2;ULK3;HRAS;PRKACB
B cell receptor signaling pathway_Homo sapiens_hsa04662	17/73	0.000958562478077260547715265914803239866159856319427490234375	0.03271094456438651543184192860280745662748813629150390625	0.00153087993701730008637429403250962423044256865978240966796875	0.052241277850715368835654572876592283137142658233642578125	-1.7618728551180365	12.245149918445513	GSK3B;JUN;SYK;NFATC3;NFATC2;PIK3R3;PIK3CD;DAPP1;NFATC1;PIK3R2;VAV2;NFKBIA;PPP3CA;AKT2;RAC1;PIK3AP1;HRAS
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	18/78	0.000771983599076214266170026245816870869020931422710418701171875	0.0301073603639723554048490683499039732851088047027587890625	0.00123067199228711946466796600674342698766849935054779052734375	0.04799620769919765717048676378908567130565643310546875	-1.6048857086928905	11.50148926682759	SEPT11;ARHGEF26;SRC;CLTC;RHOG;CLTB;PIK3R3;PIK3CD;PIK3R2;ARPC5;SEPT2;DNM2;SEPT9;ARPC2;ELMO1;CTNNA1;CTNNB1;RAC1
Endometrial cancer_Homo sapiens_hsa05213	13/52	0.0018649770270683344204620812689654485438950359821319580078125	0.049682182753693619747803467134872335009276866912841796875	0.003159838309753556888359593557424886967055499553680419921875	0.05848117296415612786919524523909785784780979156494140625	-1.6620302981880997	10.445040285103321	APC2;GSK3B;EGF;PIK3R3;PIK3CD;PIK3R2;AXIN2;FOXO3;EGFR;AKT2;CTNNA1;CTNNB1;HRAS
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	23/118	0.00188419059160087136971239996086069368175230920314788818359375	0.049682182753693619747803467134872335009276866912841796875	0.0020208603513185122331485832347652831231243908405303955078125	0.053051906824622817315795231252195662818849086761474609375	-1.6201116009994463	10.164996463718536	GSK3B;CREBBP;NOTCH1;HDAC3;STAT1;SRC;SLC2A1;PIK3R3;PIK3CD;ATP1B3;GATA4;PIK3R2;RXRB;MED13;MED30;RHEB;AKT2;FXYD2;CTNNB1;SLC16A2;PLCB1;PRKACB;HRAS
Prolactin signaling pathway_Homo sapiens_hsa04917	16/72	0.0022471576497615814056729721670535582234151661396026611328125	0.049682182753693619747803467134872335009276866912841796875	0.003121854781276548092272538070801601861603558063507080078125	0.05848117296415612786919524523909785784780979156494140625	-1.6036309106735904	9.779084221915902	GSK3B;STAT5B;GALT;STAT1;SRC;PIK3R3;PIK3CD;PIK3R2;FOXO3;SOCS2;MAPK9;SOCS1;CCND2;AKT2;SOCS7;HRAS
Focal adhesion_Homo sapiens_hsa04510	34/202	0.002674624505856252297542052787093780352734029293060302734375	0.05215517786419691936838916035412694327533245086669921875	0.00188565054820706633036120347668429531040601432323455810546875	0.053051906824622817315795231252195662818849086761474609375	-1.5951159239027501	9.449381043779363	GSK3B;SRC;PDGFA;PIK3R3;PIK3CD;PIK3R2;THBS1;EGFR;PPP1CC;MAPK9;CCND3;RAP1A;CCND2;AKT2;RAC1;FLNC;HRAS;VASP;JUN;EGF;ACTN2;VAV2;PPP1CA;MYL2;COL4A4;COL4A3;COL4A6;ZYX;ITGA8;COL4A5;CTNNB1;COL9A3;ITGA6;COL9A2
Sphingolipid signaling pathway_Homo sapiens_hsa04071	23/120	0.002365818226366362721224678722364842542447149753570556640625	0.049682182753693619747803467134872335009276866912841796875	0.00243854105355746642036507410011836327612400054931640625	0.055476808968432357593858483824078575707972049713134765625	-1.4670129788905653	8.870486659891073	OPRD1;PRKCE;PPP2R5B;PIK3R3;PIK3CD;PPP2R5D;PIK3R2;GAB2;PRKCZ;TNFRSF1A;MAPK9;SPTLC2;PPP2R1B;AKT2;GNAQ;SMPD1;GNA12;S1PR2;RAC1;S1PR5;PLCB1;CTSD;HRAS
Hepatitis B_Homo sapiens_hsa05161	26/146	0.0037174399901034062797255952403929768479429185390472412109375	0.06342881983113936306128977093976573087275028228759765625	0.0032132512617668203269705173852344159968197345733642578125	0.05848117296415612786919524523909785784780979156494140625	-1.5540308360340425	8.694367433633396	CDKN1A;DDX3X;ATF6B;SRC;PIK3R3;PIK3CD;PIK3R2;MAPK9;YWHAQ;CREB3L4;CREB3L1;AKT2;HRAS;STAT5B;TGFB2;CREBBP;JUN;STAT1;NFATC3;NFATC2;NFATC1;NFKBIA;DDB1;IRF3;CCNE2;CDK4
Bladder cancer_Homo sapiens_hsa05219	11/41	0.0022385096873833443265056075688335113227367401123046875	0.049682182753693619747803467134872335009276866912841796875	0.004092212716572253376756673759473414975218474864959716796875	0.06982337947651406917515259920037351548671722412109375	-1.4052693925142483	8.574876476793882	CDKN1A;RASSF1;EGF;CDK4;SRC;DAPK3;THBS1;HRAS;EGFR;HBEGF;TYMP
Pathways in cancer_Homo sapiens_hsa05200	57/397	0.005865958492916802970162937214126941398717463016510009765625	0.0889670371425715089674923774509807117283344268798828125	0.0021376226193071464105888157547497030464000999927520751953125	0.053051906824622817315795231252195662818849086761474609375	-1.6559912927497376	8.509459277461728	GSK3B;CDKN1A;SLC2A1;PIK3CD;ETS1;RASSF1;AKT2;RASSF5;SUFU;RAC1;PRKACB;HRAS;APC2;DAPK3;AXIN2;CCNE2;COL4A4;COL4A3;COL4A6;COL4A5;ITGA6;PLCB1;CTBP2;MAX;PTGER3;PDGFA;PIK3R3;PIK3R2;EGFR;RXRB;MAPK9;GNG10;GNG2;GNA12;CTNNA1;GNG8;RALGDS;WNT2;EGLN1;STAT5B;CREBBP;JUN;TGFB2;JUP;EGF;FZD4;STAT1;PTCH1;FZD9;NFKBIA;CDK4;GNAQ;FGF18;CCDC6;GNAS;CTNNB1;FGFR2
