Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	3/89	0.009824704243808497772239007872485672123730182647705078125	0.61622139170641521133120477315969765186309814453125	0.01042989968773916885369512641545952646993100643157958984375	0.63059303123921439659937959731905721127986907958984375	-1.9940045862206843	9.217994518272196	MPHOSPH10;REXO2;NOP10
Focal adhesion_Homo sapiens_hsa04510	3/202	0.07888594015301762796266160648883669637143611907958984375	0.61622139170641521133120477315969765186309814453125	0.08051250657106197305967754118682933039963245391845703125	0.63059303123921439659937959731905721127986907958984375	-1.846571091034612	4.6898331115362515	VASP;SHC1;VEGFC
Estrogen signaling pathway_Homo sapiens_hsa04915	2/99	0.086435617388023355811554893080028705298900604248046875	0.61622139170641521133120477315969765186309814453125	0.0892479564298740146721655719375121407210826873779296875	0.63059303123921439659937959731905721127986907958984375	-1.7833750011607148	4.366335903185411	SHC1;FKBP4
Ras signaling pathway_Homo sapiens_hsa04014	3/227	0.10290820228819226589411783834293601103127002716064453125	0.61622139170641521133120477315969765186309814453125	0.10485065854163318210812150255151209421455860137939453125	0.63059303123921439659937959731905721127986907958984375	-1.8533830253359205	4.214440888879721	PLA2G12A;SHC1;VEGFC
Glycosphingolipid biosynthesis - ganglio series_Homo sapiens_hsa00604	1/15	0.0717558674122710515863587943385937251150608062744140625	0.61622139170641521133120477315969765186309814453125	0.07667341708376608500064008921981439925730228424072265625	0.63059303123921439659937959731905721127986907958984375	-1.5468370516835679	4.07512001849552	B4GALNT1
Glycerophospholipid metabolism_Homo sapiens_hsa00564	2/95	0.08055739353790321299886301176229608245193958282470703125	0.61622139170641521133120477315969765186309814453125	0.083290287146161989806358860732871107757091522216796875	0.63059303123921439659937959731905721127986907958984375	-1.6174413217047054	4.073987562837927	PLA2G12A;LPGAT1
Non-homologous end-joining_Homo sapiens_hsa03450	1/13	0.062491264138032708019832028867313056252896785736083984375	0.61622139170641521133120477315969765186309814453125	0.06741109884749997560593470780077041126787662506103515625	0.63059303123921439659937959731905721127986907958984375	-1.3610908239781854	3.7739353266278384	POLM
Ribosome_Homo sapiens_hsa03010	2/137	0.147580580523603732689963408120092935860157012939453125	0.61622139170641521133120477315969765186309814453125	0.15115492831603682954977330155088566243648529052734375	0.63059303123921439659937959731905721127986907958984375	-1.4067740041682901	2.6916945717242755	RPL28;MRPS5
Renin-angiotensin system_Homo sapiens_hsa04614	1/23	0.107916631589438816174464363939478062093257904052734375	0.61622139170641521133120477315969765186309814453125	0.11283713891434131448843203315846039913594722747802734375	0.63059303123921439659937959731905721127986907958984375	-1.120170932436743	2.493944396578922	AGT
Mismatch repair_Homo sapiens_hsa03430	1/23	0.107916631589438816174464363939478062093257904052734375	0.61622139170641521133120477315969765186309814453125	0.11283713891434131448843203315846039913594722747802734375	0.63059303123921439659937959731905721127986907958984375	-1.064761095751751	2.3705801423259736	MLH3
Thyroid cancer_Homo sapiens_hsa05216	1/29	0.13411878435847202073460948668071068823337554931640625	0.61622139170641521133120477315969765186309814453125	0.1390531300142792969776195377562544308602809906005859375	0.63059303123921439659937959731905721127986907958984375	-1.172455395923414	2.355497385525205	CCDC6
Hippo signaling pathway_Homo sapiens_hsa04390	2/153	0.17540949061503174899456780622131191194057464599609375	0.61622139170641521133120477315969765186309814453125	0.1793218050513793182521027347320341505110263824462890625	0.63059303123921439659937959731905721127986907958984375	-1.3516001998501723	2.352638683545727	YAP1;DLG4
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	2/167	0.200387146335066879121455940548912622034549713134765625	0.61622139170641521133120477315969765186309814453125	0.204607568884303148148973150455276481807231903076171875	0.63059303123921439659937959731905721127986907958984375	-1.3446505585526234	2.161531221226721	VASP;GTF2I
alpha-Linolenic acid metabolism_Homo sapiens_hsa00592	1/25	0.11673673658510179407254980787911335937678813934326171875	0.61622139170641521133120477315969765186309814453125	0.12166081250281614301034238678766996599733829498291015625	0.63059303123921439659937959731905721127986907958984375	-0.999467882393846	2.146691093870106	PLA2G12A
Linoleic acid metabolism_Homo sapiens_hsa00591	1/29	0.13411878435847202073460948668071068823337554931640625	0.61622139170641521133120477315969765186309814453125	0.1390531300142792969776195377562544308602809906005859375	0.63059303123921439659937959731905721127986907958984375	-0.9488550673103024	1.9062777467380547	PLA2G12A
