Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	6/137	0.00072573975163759719964051697616014280356466770172119140625	0.1095867024972771719415476354697602801024913787841796875	0.0004246765506635837125921917323267962274258024990558624267578125	0.0641261591502011452092801846447400748729705810546875	-1.6450257774768577	11.890771208215398	FBXW7;KEAP1;RCHY1;CBL;BIRC2;ANAPC2
Cell cycle_Homo sapiens_hsa04110	4/124	0.0162326602352863939848770513663112069480121135711669921875	0.7251450170775617376506261280155740678310394287109375	0.011645015287740929921245225386883248575031757354736328125	0.6461486782614211943354121103766374289989471435546875	-1.707918516395327	7.037871072107936	SMAD2;CHEK1;SFN;ANAPC2
p53 signaling pathway_Homo sapiens_hsa04115	3/69	0.0167570668061551124317087868575981701724231243133544921875	0.7251450170775617376506261280155740678310394287109375	0.01340543968693565755889718360549522913061082363128662109375	0.6461486782614211943354121103766374289989471435546875	-1.7027440350010785	6.962410039713346	CHEK1;SFN;RCHY1
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	2/39	0.037106390491870859527079318240794236771762371063232421875	0.7251450170775617376506261280155740678310394287109375	0.03259245152288613167623765320968232117593288421630859375	0.6461486782614211943354121103766374289989471435546875	-1.7227973172432194	5.674835914942225	SFN;ATP1A1
HTLV-I infection_Homo sapiens_hsa05166	5/258	0.051893833316724639892481008018876309506595134735107421875	0.7251450170775617376506261280155740678310394287109375	0.0346834229422884054994113967040902934968471527099609375	0.6461486782614211943354121103766374289989471435546875	-1.8180992957158113	5.378947333501449	SMAD2;FZD4;CHEK1;MAP3K14;ANAPC2
Fatty acid degradation_Homo sapiens_hsa00071	2/44	0.046197317822399046327586091820194269530475139617919921875	0.7251450170775617376506261280155740678310394287109375	0.040249995582329757548567528147032135166227817535400390625	0.6461486782614211943354121103766374289989471435546875	-1.7095785320024908	5.2566694066819855	ALDH3A2;ACOX3
Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961	2/47	0.0520026583028624089788394257993786595761775970458984375	0.7251450170775617376506261280155740678310394287109375	0.045139570304847588533281310674283304251730442047119140625	0.6461486782614211943354121103766374289989471435546875	-1.7134532511662144	5.0657567537163875	GNAS;ATP1A1
TNF signaling pathway_Homo sapiens_hsa04668	3/110	0.054929016733828363305836006702520535327494144439697265625	0.7251450170775617376506261280155740678310394287109375	0.043230417059325676465419974192627705633640289306640625	0.6461486782614211943354121103766374289989471435546875	-1.6992534602163174	4.930746760040039	MAP3K14;BIRC2;CX3CL1
cAMP signaling pathway_Homo sapiens_hsa04024	4/199	0.0706568699729005766929645915297442115843296051025390625	0.7251450170775617376506261280155740678310394287109375	0.05148159541083970058839014427576330490410327911376953125	0.6461486782614211943354121103766374289989471435546875	-1.7119262360016159	4.536467460111609	GNAS;SOX9;ATP1A1;ACOX3
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	2/48	0.053992888339684359799708346372426603920757770538330078125	0.7251450170775617376506261280155740678310394287109375	0.046816211961960889353928649825320462696254253387451171875	0.6461486782614211943354121103766374289989471435546875	-1.5272868874797216	4.458002183803158	GMPPB;GNPNAT1
