Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Focal adhesion_Homo sapiens_hsa04510	12/202	0.00911496109535747493779478389797077397815883159637451171875	0.56040196599141289812706645534490235149860382080078125	0.0032134784356643605711389977130920669878832995891571044921875	0.333676053015169393756167437459225766360759735107421875	-1.9220076411741704	9.029280800273856	SHC4;VWF;LAMB2;ACTN1;CAV1;COL9A3;TLN1;SOS1;VEGFA;BIRC3;THBS3;MAPK3
TNF signaling pathway_Homo sapiens_hsa04668	8/110	0.0100449638653426799594914342605989077128469944000244140625	0.56040196599141289812706645534490235149860382080078125	0.005091159380557067244688074225678064976818859577178955078125	0.333676053015169393756167437459225766360759735107421875	-1.8877233289727289	8.68481828572874	CREB3;CSF1;TRAF5;TAB2;CXCL1;NFKB1;BIRC3;MAPK3
Prolactin signaling pathway_Homo sapiens_hsa04917	6/72	0.01320748220853829903165266301812152960337698459625244140625	0.56040196599141289812706645534490235149860382080078125	0.0081438063504212822307781749486821354366838932037353515625	0.333676053015169393756167437459225766360759735107421875	-1.8745841591253265	8.111272748270736	SHC4;IRF1;SOS1;PRLR;NFKB1;MAPK3
NF-kappa B signaling pathway_Homo sapiens_hsa04064	7/93	0.01308070733541277959333104519146218081004917621612548828125	0.56040196599141289812706645534490235149860382080078125	0.007273760502030719721222595808285404928028583526611328125	0.333676053015169393756167437459225766360759735107421875	-1.7102212255661309	7.416574195620354	PLAU;TRAF5;TAB2;BCL10;NFKB1;MYD88;BIRC3
Hepatitis B_Homo sapiens_hsa05161	9/146	0.0179521225396576562804984433796562370844185352325439453125	0.56040196599141289812706645534490235149860382080078125	0.00828554865983472700607936900496497401036322116851806640625	0.333676053015169393756167437459225766360759735107421875	-1.8344093172621592	7.374411532673379	CREB3;EGR2;MAVS;MAP3K1;SMAD3;STAT6;NFKB1;MYD88;MAPK3
Acute myeloid leukemia_Homo sapiens_hsa05221	5/57	0.0187694438370329674814485088063520379364490509033203125	0.56040196599141289812706645534490235149860382080078125	0.0126967291673367836668528951804546522907912731170654296875	0.333676053015169393756167437459225766360759735107421875	-1.7942931409659988	7.133257345536074	RPS6KB1;RARA;SOS1;NFKB1;MAPK3
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	5/57	0.0187694438370329674814485088063520379364490509033203125	0.56040196599141289812706645534490235149860382080078125	0.0126967291673367836668528951804546522907912731170654296875	0.333676053015169393756167437459225766360759735107421875	-1.610058310636035	6.400827160774136	CXCL1;TAB2;NFKB1;BIRC3;MAPK3
ECM-receptor interaction_Homo sapiens_hsa04512	6/82	0.0236780283950197532882864237535613938234746456146240234375	0.61858849181989106202905759346322156488895416259765625	0.014303615721734823373889611275444622151553630828857421875	0.333676053015169393756167437459225766360759735107421875	-1.4998494617959217	5.614248103397591	SDC4;VWF;LAMB2;COL9A3;AGRN;THBS3
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	15/341	0.0453495128740599440231306971327285282313823699951171875	0.76581295950653804904817434362485073506832122802734375	0.01436882524945705397190209851032705046236515045166015625	0.333676053015169393756167437459225766360759735107421875	-1.7818454626357056	5.51188207486843	CSF1;VWF;LAMB2;OSMR;EFNA5;PRLR;NFKB1;VEGFA;THBS3;CREB3;NR4A1;RPS6KB1;COL9A3;SOS1;MAPK3
Toxoplasmosis_Homo sapiens_hsa05145	7/118	0.041327564331279480203118481540514039807021617889404296875	0.76581295950653804904817434362485073506832122802734375	0.0227619747895057601694279725279557169415056705474853515625	0.43495919966470808493141930739511735737323760986328125	-1.6523521383936794	5.264766657815604	LAMB2;TAB2;HSPA2;NFKB1;MYD88;BIRC3;MAPK3
