Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Fatty acid degradation_Homo sapiens_hsa00071	3/44	0.004291839839788849121637870354106780723668634891510009765625	0.2029413233243183289911115707582212053239345550537109375	0.0038809947489607775350517471224520704708993434906005859375	0.1809528790304160139612577040679752826690673828125	-1.8720591362837193	10.204668805351332	ACSL1;ACSL5;ACADS
Fatty acid metabolism_Homo sapiens_hsa01212	3/48	0.00548490063038698134889603608144170721061527729034423828125	0.2029413233243183289911115707582212053239345550537109375	0.00489061835217340611092762259204391739331185817718505859375	0.1809528790304160139612577040679752826690673828125	-1.787253754647021	9.30400749658115	ACSL1;ACSL5;ACADS
Fatty acid biosynthesis_Homo sapiens_hsa00061	2/13	0.0040747803730281605127938604482551454566419124603271484375	0.2029413233243183289911115707582212053239345550537109375	0.004494700264886669800745711000899973441846668720245361328125	0.1809528790304160139612577040679752826690673828125	-1.6281928063803912	8.959844765568137	ACSL1;ACSL5
MAPK signaling pathway_Homo sapiens_hsa04010	6/255	0.0122597097011413573575122626380107249133288860321044921875	0.285255678304852267057611925338278524577617645263671875	0.0080421250630622054256235742286662571132183074951171875	0.223168970499976193622160280938260257244110107421875	-1.921408817968066	8.45695991596809	PPM1B;TAOK3;SRF;DUSP16;NFKB1;MAP3K12
Adipocytokine signaling pathway_Homo sapiens_hsa04920	3/70	0.01541922585431633983821253508494919515214860439300537109375	0.285255678304852267057611925338278524577617645263671875	0.01316196199949514096527725115493012708611786365509033203125	0.24349629699066011045971436033141799271106719970703125	-1.6568678959415224	6.912685015748177	ACSL1;ACSL5;NFKB1
PPAR signaling pathway_Homo sapiens_hsa03320	3/69	0.01483780594658830852272668465730021125636994838714599609375	0.285255678304852267057611925338278524577617645263671875	0.01268078289588647593333359253620074014179408550262451171875	0.24349629699066011045971436033141799271106719970703125	-1.5931011287768837	6.707874811297067	SLC27A1;ACSL1;ACSL5
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	3/94	0.033215357690784021171825912688291282393038272857666015625	0.460863087959628270340317612863145768642425537109375	0.027869022348999315796813647239105193875730037689208984375	0.386682685092365530099556281129480339586734771728515625	-1.7195667742516845	5.854682815524509	EHMT2;SESN1;NFKB1
Peroxisome_Homo sapiens_hsa04146	3/83	0.024141709693061889907550465750318835489451885223388671875	0.3828185394185528167554366518743336200714111328125	0.0203702674893713499282288381664329790510237216949462890625	0.32301424161717429139883961397572420537471771240234375	-1.5370142619682705	5.723555598490552	ACSL1;ACSL5;PEX11G
Insulin resistance_Homo sapiens_hsa04931	3/109	0.048044487558542257887861381959737627767026424407958984375	0.592548679888687868100305422558449208736419677734375	0.04015931286880301820385597011409117840230464935302734375	0.495298192048570562473486234011943452060222625732421875	-1.649439683495811	5.007085078339583	SLC27A1;PPP1R3B;NFKB1
Pancreatic cancer_Homo sapiens_hsa05212	2/66	0.08686570477265730116922526349299005232751369476318359375	0.7424439916941547590312211468699388206005096435546875	0.07773077871532085847405824097222648561000823974609375	0.71002290650584942710565883317030966281890869140625	-1.6413329987256422	4.010419879431146	RALGDS;NFKB1
Retinol metabolism_Homo sapiens_hsa00830	2/65	0.08463248745609075474050086995703168213367462158203125	0.7424439916941547590312211468699388206005096435546875	0.07576396247265367034362526510449242778122425079345703125	0.71002290650584942710565883317030966281890869140625	-1.5211563214477555	3.7563998149249076	RETSAT;RDH16
Prolactin signaling pathway_Homo sapiens_hsa04917	2/72	0.1006221288786209588916875645736581645905971527099609375	0.7424439916941547590312211468699388206005096435546875	0.08986186706825728676140130346539081074297428131103515625	0.71002290650584942710565883317030966281890869140625	-1.6036309106735904	3.682550884277239	GALT;NFKB1
Biosynthesis of amino acids_Homo sapiens_hsa01230	2/74	0.10533477470581954771322585884263389743864536285400390625	0.7424439916941547590312211468699388206005096435546875	0.0940243448062923758978826072052470408380031585693359375	0.71002290650584942710565883317030966281890869140625	-1.3851554266256916	3.1174469682613632	ALDH18A1;ENO1
