Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Oocyte meiosis_Homo sapiens_hsa04114	10/123	0.00023388471204015682906873774271616639452986419200897216796875	0.05051909780067387334412387644988484680652618408203125	0.0002919933230549408113840836875851891818456351757049560546875	0.06307055777986721178951512456478667445480823516845703125	-1.8837505527857108	15.749439805589871	ADCY9;PPP2R1B;PLK1;PPP2R5A;CALM3;FBXO5;YWHAZ;BUB1;ADCY6;IGF1R
Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961	5/47	0.00272764869231280349115564831663505174219608306884765625	0.148177620875979909609299056683084927499294281005859375	0.003531333854101456441731965441022111917845904827117919921875	0.1906920281214786461188026578383869491517543792724609375	-1.9098514974521756	11.276365466354134	ADCY9;GNAQ;ATP1B1;ADCY6;DNM2
GnRH signaling pathway_Homo sapiens_hsa04912	7/91	0.0027440300162218504188837986390581136220134794712066650390625	0.148177620875979909609299056683084927499294281005859375	0.0032235903623447780159960718293632453423924744129180908203125	0.1906920281214786461188026578383869491517543792724609375	-1.8690524288096135	11.024283583368126	MMP14;ADCY9;GNAQ;CALM3;RAF1;SOS2;ADCY6
Gap junction_Homo sapiens_hsa04540	7/88	0.0022679793086545075968263329713181519764475524425506591796875	0.148177620875979909609299056683084927499294281005859375	0.002704575615714328341854244541764273890294134616851806640625	0.1906920281214786461188026578383869491517543792724609375	-1.7718398477940291	10.788495435606102	PDGFRA;ADCY9;GNAQ;PDGFD;RAF1;SOS2;ADCY6
Rap1 signaling pathway_Homo sapiens_hsa04015	11/211	0.004488107394563491982231173693662640289403498172760009765625	0.1938862394451428550201654843476717360317707061767578125	0.004523776595851197561415357739633691380731761455535888671875	0.195427148940771733265364673570729792118072509765625	-1.8608522757906907	10.060370657324023	EFNA1;PDGFRA;TIAM1;DOCK4;ADCY9;PDGFD;GNAQ;CALM3;RAF1;ADCY6;IGF1R
Ras signaling pathway_Homo sapiens_hsa04014	11/227	0.007656445596863595444425687475131780956871807575225830078125	0.202519381496377326445923472419963218271732330322265625	0.007559907847199271065108394651588241686113178730010986328125	0.21549564926911646267626565531827509403228759765625	-1.8533830253359205	9.030066535961318	EFNA1;PDGFRA;TIAM1;GNG3;PDGFD;GAB1;ABL1;CALM3;RAF1;SOS2;IGF1R
Long-term depression_Homo sapiens_hsa04730	5/60	0.00781659546180469601284190872547696926631033420562744140625	0.202519381496377326445923472419963218271732330322265625	0.00914338576482772065479043277491655317135155200958251953125	0.21549564926911646267626565531827509403228759765625	-1.6856401886844983	8.177893796306014	GRID2;PPP2R1B;GNAQ;RAF1;IGF1R
Glioma_Homo sapiens_hsa05214	5/65	0.01087938562012104488918584621615082141943275928497314453125	0.202519381496377326445923472419963218271732330322265625	0.01238616375593369449414904437389850500039756298065185546875	0.21549564926911646267626565531827509403228759765625	-1.7492763786061043	7.908278229330499	PDGFRA;CALM3;RAF1;SOS2;IGF1R
Phospholipase D signaling pathway_Homo sapiens_hsa04072	8/144	0.0100622420414451831105484558293028385378420352935791015625	0.202519381496377326445923472419963218271732330322265625	0.0105472105168491481208548066206276416778564453125	0.21549564926911646267626565531827509403228759765625	-1.6928287611827728	7.785260684458939	PDGFRA;ADCY9;PDGFD;GAB1;RAF1;SOS2;ADCY6;DNM2
Renin secretion_Homo sapiens_hsa04924	5/64	0.01021054111906692651867700760703883133828639984130859375	0.202519381496377326445923472419963218271732330322265625	0.0116832455915701315107835256412727176211774349212646484375	0.21549564926911646267626565531827509403228759765625	-1.5602381761108688	7.152653931875698	ACE;GNAQ;ADORA1;CALM3;ADCY6
Morphine addiction_Homo sapiens_hsa05032	6/91	0.0113057520446363905797237947581379557959735393524169921875	0.202519381496377326445923472419963218271732330322265625	0.01242195646933609044781920971445288159884512424468994140625	0.21549564926911646267626565531827509403228759765625	-1.5423614707004834	6.913548383858188	GNG3;ADCY9;GRK5;ADORA1;PDE4A;ADCY6
