Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Acute myeloid leukemia_Homo sapiens_hsa05221	6/57	0.00920066931498578037540436724839310045354068279266357421875	0.936554437947802131958496829611249268054962158203125	0.006236101715686211653666415344332563108764588832855224609375	0.62934165303450162465281891854829154908657073974609375	-2.000423531191855	9.378943809007366	CEBPA;TCF7L1;CCND1;PIK3CB;RUNX1T1;PPARD
Sulfur relay system_Homo sapiens_hsa04122	3/10	0.0032348037638499122121971129928397203912027180194854736328125	0.69548280922773109136159064291859976947307586669921875	0.004317018310251114453224285938404136686585843563079833984375	0.62934165303450162465281891854829154908657073974609375	-1.3865886891278758	7.950404218362811	MPST;CTU2;TST
Cysteine and methionine metabolism_Homo sapiens_hsa00270	5/45	0.01361479642999000906622431017467533820308744907379150390625	0.936554437947802131958496829611249268054962158203125	0.01003886262028698232728896044818611699156463146209716796875	0.62934165303450162465281891854829154908657073974609375	-1.8061391432893787	7.760254020171015	MPST;AHCYL2;LDHA;TST;AMD1
Glutathione metabolism_Homo sapiens_hsa00480	5/52	0.02420133148475354933903957999064004980027675628662109375	0.936554437947802131958496829611249268054962158203125	0.017108391841349150641615750600976753048598766326904296875	0.62934165303450162465281891854829154908657073974609375	-1.708282063416851	6.3571114034587	GGT5;GSTK1;GSTA4;OPLAH;GGT1
Colorectal cancer_Homo sapiens_hsa05210	5/62	0.04672478914043891318197410100765409879386425018310546875	0.936554437947802131958496829611249268054962158203125	0.03197856222569130102417744865306303836405277252197265625	0.62934165303450162465281891854829154908657073974609375	-1.6899013820052942	5.17697982664716	TCF7L1;APC;CCND1;MSH3;PIK3CB
Lysosome_Homo sapiens_hsa04142	8/123	0.042433721433957134749892503577939351089298725128173828125	0.936554437947802131958496829611249268054962158203125	0.022861717884857295224332318639426375739276409149169921875	0.62934165303450162465281891854829154908657073974609375	-1.6238835351645482	5.131166544613144	AP3M1;GNPTG;LAPTM4A;AP1G2;PSAP;SLC17A5;AP3B1;CD68
Osteoclast differentiation_Homo sapiens_hsa04380	8/132	0.059621078676335308166311932609460200183093547821044921875	0.936554437947802131958496829611249268054962158203125	0.03233895368882000465049486592761240899562835693359375	0.62934165303450162465281891854829154908657073974609375	-1.6053298002091323	4.526622440738343	NFKBIA;PPP3R1;NFATC1;PIK3CB;TNFRSF11A;SQSTM1;MAP3K14;OSCAR
Peroxisome_Homo sapiens_hsa04146	6/83	0.048416651183902793820212906439337530173361301422119140625	0.936554437947802131958496829611249268054962158203125	0.0304115879645043725443276372288892162032425403594970703125	0.62934165303450162465281891854829154908657073974609375	-1.4451802993334968	4.375878035930304	GSTK1;ACOT8;ACOX2;ACSL1;CROT;SLC27A2
Spliceosome_Homo sapiens_hsa03040	8/134	0.06395798864712497200368801486547454260289669036865234375	0.936554437947802131958496829611249268054962158203125	0.03476250545147945014701207355756196193397045135498046875	0.62934165303450162465281891854829154908657073974609375	-1.5254723822706457	4.1943303074707	SF3B5;PPIL1;HNRNPA3;NCBP2;DHX38;HSPA2;SRSF7;SMNDC1
B cell receptor signaling pathway_Homo sapiens_hsa04662	5/73	0.08224202272588720941115525420173071324825286865234375	0.936554437947802131958496829611249268054962158203125	0.055572531669872131387943881009050528518855571746826171875	0.6358278629412292826117436561617068946361541748046875	-1.4924718506690209	3.7283273371160535	NFKBIA;PPP3R1;NFATC1;PIK3CB;BCL10
mRNA surveillance pathway_Homo sapiens_hsa03015	6/91	0.06953716778717509983120947936185984872281551361083984375	0.936554437947802131958496829611249268054962158203125	0.043578982821278498815953383882515481673181056976318359375	0.62934165303450162465281891854829154908657073974609375	-1.36420088412233	3.636814789511562	NCBP2;PPP2R5D;ETF1;PPP2R5C;CASC3;SMG7
PPAR signaling pathway_Homo sapiens_hsa03320	5/69	0.06802207335939895738174953976340475492179393768310546875	0.936554437947802131958496829611249268054962158203125	0.046083325370477469518082358490573824383318424224853515625	0.62934165303450162465281891854829154908657073974609375	-1.320342496304609	3.548978987795349	ACOX2;ACSL1;DBI;SLC27A2;PPARD
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	8/137	0.07082228210974335358418585428808000870048999786376953125	0.936554437947802131958496829611249268054962158203125	0.0386246596170521094837368991647963412106037139892578125	0.62934165303450162465281891854829154908657073974609375	-1.312077817188599	3.473833098013693	UBOX5;CDC34;UBE2Q1;KEAP1;WWP2;ANAPC5;TRIM32;RHOBTB2
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	9/169	0.09031812836335902094919703131381538696587085723876953125	0.936554437947802131958496829611249268054962158203125	0.046834727667683838381318395249763852916657924652099609375	0.62934165303450162465281891854829154908657073974609375	-1.4084605892555029	3.3865266996211045	EDEM3;GANAB;BAG2;WFS1;DDIT3;EIF2AK3;HSPA2;SEC24D;PDIA4
Endometrial cancer_Homo sapiens_hsa05213	4/52	0.08258518855860030871696153553784824907779693603515625	0.936554437947802131958496829611249268054962158203125	0.0605596638749464066808769757699337787926197052001953125	0.6358278629412292826117436561617068946361541748046875	-1.3187218765107251	3.288793363309714	TCF7L1;APC;CCND1;PIK3CB
Cyanoamino acid metabolism_Homo sapiens_hsa00460	2/7	0.019009944141225969260755590539702097885310649871826171875	0.936554437947802131958496829611249268054962158203125	0.0222859890486185215074943499757864628918468952178955078125	0.62934165303450162465281891854829154908657073974609375	-0.784555516989524	3.1090311585973396	GGT5;GGT1
AMPK signaling pathway_Homo sapiens_hsa04152	7/124	0.10018954452464860771510046788534964434802532196044921875	0.936554437947802131958496829611249268054962158203125	0.059052061651270519593293073512541013769805431365966796875	0.6358278629412292826117436561617068946361541748046875	-1.229229962395747	2.828078854533749	CCND1;RAB14;AKT1S1;PPP2R5D;PPP2R5C;PIK3CB;CREB5
