Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Adherens junction_Homo sapiens_hsa04520	3/74	0.0444920762681268178173610294834361411631107330322265625	0.86649292165134295107264961188775487244129180908203125	0.01785054027318765113019338741651154123246669769287109375	0.6805508866521441380115220454172231256961822509765625	-1.8708473909815135	5.822908049510781	PTPN6;RAC1;SSX2IP
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	4/151	0.07816911559519301722076534133520908653736114501953125	0.86649292165134295107264961188775487244129180908203125	0.02511835832531121581734367964600096456706523895263671875	0.6805508866521441380115220454172231256961822509765625	-1.9373576870404088	4.938093521940829	SDHC;RAC1;COX6A1;COX6B2
Basal transcription factors_Homo sapiens_hsa03022	2/45	0.08296553631292435948552110858145169913768768310546875	0.86649292165134295107264961188775487244129180908203125	0.044979876518022231246529685222412808798253536224365234375	0.6805508866521441380115220454172231256961822509765625	-1.7882904360163208	4.451644999902261	GTF2B;GTF2F1
Notch signaling pathway_Homo sapiens_hsa04330	2/48	0.0926255684940309464980856546389986760914325714111328125	0.86649292165134295107264961188775487244129180908203125	0.05028318374663286183245958227416849695146083831787109375	0.6805508866521441380115220454172231256961822509765625	-1.6350875168677719	3.890183963760347	DVL2;DTX4
Alzheimer's disease_Homo sapiens_hsa05010	4/168	0.1051200917856275063311244366559549234807491302490234375	0.86649292165134295107264961188775487244129180908203125	0.034984630277879812110253254786584875546395778656005859375	0.6805508866521441380115220454172231256961822509765625	-1.7167240784126931	3.867181673056177	SDHC;COX6A1;COX6B2;CALM2
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	2/51	0.10259267390005001596708922306788736023008823394775390625	0.86649292165134295107264961188775487244129180908203125	0.0558006585495613161018724213136010803282260894775390625	0.6805508866521441380115220454172231256961822509765625	-1.6854420108355614	3.8377325029745486	DERL1;RAC1
Viral myocarditis_Homo sapiens_hsa05416	2/59	0.1304582125216817434232297046037274412810802459716796875	0.86649292165134295107264961188775487244129180908203125	0.07147643090152887290766869909930392168462276458740234375	0.6805508866521441380115220454172231256961822509765625	-1.6846065011053535	3.4310419590810586	SGCB;RAC1
Neurotrophin signaling pathway_Homo sapiens_hsa04722	3/120	0.13646365150442008040698738113860599696636199951171875	0.86649292165134295107264961188775487244129180908203125	0.0587099276951119353196162364838528446853160858154296875	0.6805508866521441380115220454172231256961822509765625	-1.6991573558172257	3.3842065896958995	ARHGDIA;RAC1;CALM2
Huntington's disease_Homo sapiens_hsa05016	4/193	0.151214817097789888666881097378791309893131256103515625	0.86649292165134295107264961188775487244129180908203125	0.0530937059516316256502221904156613163650035858154296875	0.6805508866521441380115220454172231256961822509765625	-1.6777978764087738	3.1694504932545455	SDHC;HAP1;COX6B2;COX6A1
Renin secretion_Homo sapiens_hsa04924	2/64	0.1486580332535541171257165160568547435104846954345703125	0.86649292165134295107264961188775487244129180908203125	0.081917038586087842499949829289107583463191986083984375	0.6805508866521441380115220454172231256961822509765625	-1.5974879998633793	3.044982563098432	PTGER4;CALM2
