Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Biosynthesis of amino acids_Homo sapiens_hsa01230	6/74	0.00005799799471351206017928625602309011810575611889362335205078125	0.00846770722817276159932742274349948274902999401092529296875	0.000083995251829341611711325643607750635055708698928356170654296875	0.01226330676708387544537881552741964696906507015228271484375	-1.7715293625964625	17.28144984410924	TPI1;MAT2A;IDH3G;CBS;ALDOA;ASS1
Cysteine and methionine metabolism_Homo sapiens_hsa00270	4/45	0.000738709568281849574510056211096298284246586263179779052734375	0.05392579848457501601188823769916780292987823486328125	0.0010082419232216414950453753363035502843558788299560546875	0.07360166039517983260775935150377335958182811737060546875	-1.8590211479250391	13.404668524033578	MAT2A;CBS;GCLM;SRM
RNA transport_Homo sapiens_hsa03013	6/172	0.004963810714758934254653421902503396268002688884735107421875	0.24157212145160145144728858213056810200214385986328125	0.005633060646685931864563467996731560560874640941619873046875	0.274142284805381997170314889444853179156780242919921875	-1.8186466533237464	9.648978118863647	DDX39B;POP1;PABPC4;EIF3H;GEMIN7;SENP2
mRNA surveillance pathway_Homo sapiens_hsa03015	4/91	0.00959330523777644599003888714605636778287589550018310546875	0.34505126098513871912842887468286789953708648681640625	0.01106234557617324053280238871366236708126962184906005859375	0.40367263711619305599498375158873386681079864501953125	-1.6432792840029513	7.6358090790642885	DDX39B;FIP1L1;PABPC4;MSI2
Glutathione metabolism_Homo sapiens_hsa00480	3/52	0.0118168240063403658102192395062957075424492359161376953125	0.34505126098513871912842887468286789953708648681640625	0.0138244053806915422055734410378136090002954006195068359375	0.40367263711619305599498375158873386681079864501953125	-1.708282063416851	7.581750410082495	ODC1;GCLM;SRM
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	3/67	0.0232098336893345365272711688930939999409019947052001953125	0.41418830346476387394005769237992353737354278564453125	0.02618157827632423828578822622148436494171619415283203125	0.45513878917269667834233359826612286269664764404296875	-1.8055787791738416	6.794716549436293	TPI1;ALDOA;ADH5
Carbon metabolism_Homo sapiens_hsa01200	4/113	0.019834966607135483263046893398495740257203578948974609375	0.41418830346476387394005769237992353737354278564453125	0.0221905702624148049029173535018344409763813018798828125	0.45513878917269667834233359826612286269664764404296875	-1.5828749117040004	6.2053586174729	TPI1;IDH3G;ALDOA;ADH5
Metabolic pathways_Homo sapiens_hsa01100	18/1239	0.0336596245149209660763034435149165801703929901123046875	0.41418830346476387394005769237992353737354278564453125	0.031037775810673483289914287297506234608590602874755859375	0.45513878917269667834233359826612286269664764404296875	-1.81292485626597	6.148455326428626	TPI1;POLR3GL;IDH3G;PTGES2;ODC1;NME2;LTC4S;ADH5;ASS1;SRM;MAT2A;CBS;MGAT4B;FPGS;PIGM;B4GALNT1;GCLM;ALDOA
cAMP signaling pathway_Homo sapiens_hsa04024	5/199	0.0356745015532144160719241199331008829176425933837890625	0.41418830346476387394005769237992353737354278564453125	0.038815976763810662586440258792208624072372913360595703125	0.45513878917269667834233359826612286269664764404296875	-1.660230677142568	5.534078605931601	CHRM1;ADCY2;CACNA1D;ATP1A1;RAPGEF3
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	3/81	0.037727021915471843638290039280036580748856067657470703125	0.41418830346476387394005769237992353737354278564453125	0.04165502161733448949210156797562376596033573150634765625	0.45513878917269667834233359826612286269664764404296875	-1.6398132162257386	5.374288873377235	NR4A2;ADCY2;CACNA1D
Pertussis_Homo sapiens_hsa05133	3/75	0.0310486935739737214545730381587418378330767154693603515625	0.41418830346476387394005769237992353737354278564453125	0.034562159773817192898182071303381235338747501373291015625	0.45513878917269667834233359826612286269664764404296875	-1.5119092390981292	5.2496490622854095	IRF1;IRF8;IRAK4
Insulin secretion_Homo sapiens_hsa04911	3/85	0.04255359282172231638607939885332598350942134857177734375	0.41418830346476387394005769237992353737354278564453125	0.046760834504044175574666297734438558109104633331298828125	0.45513878917269667834233359826612286269664764404296875	-1.4703456363377805	4.641867925933796	ADCY2;CACNA1D;ATP1A1
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	4/148	0.046460718082236042436594658511239686049520969390869140625	0.420720219116808902271031911368481814861297607421875	0.05054310626736428779803844690832193009555339813232421875	0.461205844689699107075142592293559573590755462646484375	-1.484489805303231	4.556119059233126	ADCY2;CACNA1D;ATP1A1;RAPGEF3
RNA polymerase_Homo sapiens_hsa03020	2/32	0.034166921361855430439025127498098299838602542877197265625	0.41418830346476387394005769237992353737354278564453125	0.03861316054677872700029439556601573713123798370361328125	0.45513878917269667834233359826612286269664764404296875	-1.3097883306848466	4.422496781259973	POLR3GL;POLR3E
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	3/94	0.054479904024828995634521788815618492662906646728515625	0.429501608933358536290825213654898107051849365234375	0.059321140817458546667939600638419506140053272247314453125	0.465886106055620252686111371076549403369426727294921875	-1.4288262240587193	4.157774833632743	INSR;ADCY2;CAMKK1
Circadian entrainment_Homo sapiens_hsa04713	3/95	0.055894044998176795058242305458406917750835418701171875	0.429501608933358536290825213654898107051849365234375	0.06080605856473382531124372007980127818882465362548828125	0.465886106055620252686111371076549403369426727294921875	-1.4190649969391982	4.093005529415329	MTNR1A;ADCY2;CACNA1D
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	4/167	0.06647684091643356329992542441686964593827724456787109375	0.4340362997685343060538798454217612743377685546875	0.0716218154132237661002591266878880560398101806640625	0.465886106055620252686111371076549403369426727294921875	-1.4226484851343841	3.8566601241154577	INSR;ADCY2;CACNA1D;ATP1A1
Fructose and mannose metabolism_Homo sapiens_hsa00051	2/32	0.034166921361855430439025127498098299838602542877197265625	0.41418830346476387394005769237992353737354278564453125	0.03861316054677872700029439556601573713123798370361328125	0.45513878917269667834233359826612286269664764404296875	-1.0377152891697985	3.5038428872076612	TPI1;ALDOA
Cholinergic synapse_Homo sapiens_hsa04725	3/111	0.08080931566223721607133967381741967983543872833251953125	0.4369688920995049574713675610837526619434356689453125	0.086856130722313296121939174554427154362201690673828125	0.469666484646583004547437667497433722019195556640625	-1.3186871789323904	3.3173725805505687	CHRM1;ADCY2;CACNA1D
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	2/35	0.040269671801075331007968571839228388853371143341064453125	0.41418830346476387394005769237992353737354278564453125	0.04504604791817883036042502453710767440497875213623046875	0.45513878917269667834233359826612286269664764404296875	-0.9898107858230711	3.179427301994263	ASS1;DDO
Pyrimidine metabolism_Homo sapiens_hsa00240	3/105	0.0709746402364876127766279978459351696074008941650390625	0.4340362997685343060538798454217612743377685546875	0.0765959449795954316897450553369708359241485595703125	0.465886106055620252686111371076549403369426727294921875	-1.1888972960333999	3.145147719088281	POLR3GL;POLR3E;NME2
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	2/39	0.048987970719080488335439582670005620457231998443603515625	0.420720219116808902271031911368481814861297607421875	0.054187745131863647440884079742318135686218738555908203125	0.465377105250123046520371872247778810560703277587890625	-1.0397380959586748	3.136037776936989	INSR;ATP1A1
Purine metabolism_Homo sapiens_hsa00230	4/176	0.0772941355752184422467365720876841805875301361083984375	0.4340362997685343060538798454217612743377685546875	0.082966018886617309835429523445782251656055450439453125	0.465886106055620252686111371076549403369426727294921875	-1.1835563072016986	3.0300665209483446	POLR3GL;POLR3E;NME2;ADCY2
Type II diabetes mellitus_Homo sapiens_hsa04930	2/48	0.070756909304281079275966703789890743792057037353515625	0.4340362997685343060538798454217612743377685546875	0.0768446410777282873372229232700192369520664215087890625	0.465886106055620252686111371076549403369426727294921875	-0.9838277903730968	2.605672909715262	INSR;CACNA1D
Carbohydrate digestion and absorption_Homo sapiens_hsa04973	2/45	0.063194734874570002158833403882454149425029754638671875	0.4340362997685343060538798454217612743377685546875	0.06899594882467117995528127494253567419946193695068359375	0.465886106055620252686111371076549403369426727294921875	-0.9432744710602021	2.60488479694677	CACNA1D;ATP1A1
Ovarian steroidogenesis_Homo sapiens_hsa04913	2/50	0.07595362837178372406032877961479243822395801544189453125	0.4340362997685343060538798454217612743377685546875	0.08222738223158454484718049570801667869091033935546875	0.465886106055620252686111371076549403369426727294921875	-0.9048570668164242	2.3323887823279903	INSR;ADCY2
Rap1 signaling pathway_Homo sapiens_hsa04015	4/211	0.12689573404779597165514815060305409133434295654296875	0.507110637696388533157687561470083892345428466796875	0.134718632406746252616613901409436948597431182861328125	0.535722456785877820806263116537593305110931396484375	-1.10702514582271	2.285331111041841	INSR;VEGFB;ADCY2;RAPGEF3
Arginine and proline metabolism_Homo sapiens_hsa00330	2/50	0.07595362837178372406032877961479243822395801544189453125	0.4340362997685343060538798454217612743377685546875	0.08222738223158454484718049570801667869091033935546875	0.465886106055620252686111371076549403369426727294921875	-0.842775421961337	2.1723651306832914	ODC1;SRM
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	2/56	0.09222301555110538895387861657582107000052928924560546875	0.464295181740047857577025069986120797693729400634765625	0.09903205432088997561823617843401734717190265655517578125	0.498575170029308123442746136788628064095973968505859375	-0.8509294611912956	2.0282291333122178	INSR;ADCY2
Wnt signaling pathway_Homo sapiens_hsa04310	3/142	0.1397612090437018450561623694738955236971378326416015625	0.507110637696388533157687561470083892345428466796875	0.1479679925892675440568524436457664705812931060791015625	0.535722456785877820806263116537593305110931396484375	-0.914521233922695	1.7996131400943942	FRAT2;TBL1X;SENP2
Phospholipase D signaling pathway_Homo sapiens_hsa04072	3/144	0.143968260415018534104092395864427089691162109375	0.507110637696388533157687561470083892345428466796875	0.1523106775323108952324702158875879831612110137939453125	0.535722456785877820806263116537593305110931396484375	-0.9027330156766711	1.7496432040077987	INSR;ADCY2;RAPGEF3
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	2/64	0.1152914213538375476364450378241599537432193756103515625	0.507110637696388533157687561470083892345428466796875	0.122764555605935299364972479452262632548809051513671875	0.535722456785877820806263116537593305110931396484375	-0.8036874524378016	1.736199780793733	INSR;ADCY2
Arachidonic acid metabolism_Homo sapiens_hsa00590	2/62	0.10939283186852861995408403572582756169140338897705078125	0.507110637696388533157687561470083892345428466796875	0.1167049976553773404930325341410934925079345703125	0.535722456785877820806263116537593305110931396484375	-0.7845803776193122	1.7361272374288041	PTGES2;LTC4S
Oxytocin signaling pathway_Homo sapiens_hsa04921	3/158	0.1745151985760615420684160881137358956038951873779296875	0.54252364780262329890803130183485336601734161376953125	0.1837891730139552814993209040039801038801670074462890625	0.5672417132978997411640875725424848496913909912109375	-0.7948991211770865	1.3876899288602502	ADCY2;CACNA1D;CAMKK1
Cytosolic DNA-sensing pathway_Homo sapiens_hsa04623	2/64	0.1152914213538375476364450378241599537432193756103515625	0.507110637696388533157687561470083892345428466796875	0.122764555605935299364972479452262632548809051513671875	0.535722456785877820806263116537593305110931396484375	-0.5954110596933455	1.2862619021686845	POLR3GL;POLR3E
