Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Thyroid hormone synthesis_Homo sapiens_hsa04918	5/71	0.00259502317484741444608697946705433423630893230438232421875	0.221874481449453930803628054491127841174602508544921875	0.0021880115446132274679980067588758174679242074489593505859375	0.1870749870644309587053299992476240731775760650634765625	-1.8527557651494917	11.031603955039232	CREB3L2;CANX;ATP1B1;TTF1;TSHR
Ribosome_Homo sapiens_hsa03010	7/137	0.0024648788821152907424494316046548192389309406280517578125	0.221874481449453930803628054491127841174602508544921875	0.00172795528091716104647501683899690760881640017032623291015625	0.1870749870644309587053299992476240731775760650634765625	-1.7461380490451637	10.486628682198688	RPS25;RPS9;MRPL18;RPL38;RPL15;UBA52;RPL7
Hedgehog signaling pathway_Homo sapiens_hsa04340	4/50	0.004417989900447835856234224394256671075709164142608642578125	0.251825424325526625590754292716155759990215301513671875	0.004011033653094775962288931481225517927668988704681396484375	0.2286289182264022168400430246038013137876987457275390625	-1.7287623198323223	9.373471106702759	GSK3B;PTCH1;GAS1;CSNK1G2
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	6/148	0.01462818857242893962056218271072793868370354175567626953125	0.53043873397670526781411126648890785872936248779296875	0.01070466744672405288996142047608373104594647884368896484375	0.41593503145211030425087983530829660594463348388671875	-1.7842747554834868	7.5382127077542895	PPP2CB;CREB3L2;PPP2R5C;ATP1B1;CAMK2G;SCN1B
Insulin resistance_Homo sapiens_hsa04931	5/109	0.01550990450224284424030063433974646613933145999908447265625	0.53043873397670526781411126648890785872936248779296875	0.01216184302491550746350146283702997607178986072540283203125	0.41593503145211030425087983530829660594463348388671875	-1.7554690865904357	7.313769529939209	GSK3B;PYGB;RPS6KA2;CREB3L2;IRS2
Oocyte meiosis_Homo sapiens_hsa04114	5/123	0.0247318400688378049745441700224546366371214389801025390625	0.5961272203043694872803826001472771167755126953125	0.0192293714843958796212319839469273574650287628173828125	0.484149279470292015492560722123016603291034698486328125	-1.7512824456007225	6.479156256837544	PPP2CB;CCNE1;RPS6KA2;PPP2R5C;CAMK2G
Prostate cancer_Homo sapiens_hsa05215	4/89	0.031375116858124711682886953667548368684947490692138671875	0.5961272203043694872803826001472771167755126953125	0.0259731801612872285900390778579094330780208110809326171875	0.493490423064457395252446758604492060840129852294921875	-1.743477959351674	6.035467664689182	GSK3B;CCNE1;CREB3L2;PDGFA
Dopaminergic synapse_Homo sapiens_hsa04728	5/129	0.0295710859026429122298207374797129887156188488006591796875	0.5961272203043694872803826001472771167755126953125	0.022945546507526427826295645218124263919889926910400390625	0.490461056598377409532218962340266443789005279541015625	-1.7076699616109898	6.012634592945136	GSK3B;PPP2CB;CREB3L2;PPP2R5C;CAMK2G
Cell cycle_Homo sapiens_hsa04110	5/124	0.025500238196627889042389369933516718447208404541015625	0.5961272203043694872803826001472771167755126953125	0.019818976352585053468668974119282211177051067352294921875	0.484149279470292015492560722123016603291034698486328125	-1.5815194251691427	5.802701501076335	GSK3B;CCND3;WEE1;CCNE1;ORC2
Glucagon signaling pathway_Homo sapiens_hsa04922	4/101	0.0464538054055642912754109374873223714530467987060546875	0.7912559512091184021898015998885966837406158447265625	0.038165682090967274764370387174494680948555469512939453125	0.65263316375554036863348983388277702033519744873046875	-1.6643158065142465	5.10827933275324	PYGB;CREB3L2;SIK1;CAMK2G
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	8/341	0.08778080316146653905295949016363010741770267486572265625	0.7912559512091184021898015998885966837406158447265625	0.05997506059369146769189029555491288192570209503173828125	0.70153370745099830063651324962847866117954254150390625	-1.7040653720687478	4.145841850892974	PPP2CB;GSK3B;CCND3;CCNE1;CREB3L2;PDGFA;PPP2R5C;FGF11
Metabolism of xenobiotics by cytochrome P450_Homo sapiens_hsa00980	3/73	0.0741005337926765594858125041355378925800323486328125	0.7912559512091184021898015998885966837406158447265625	0.0642703992122180267632103323194314725697040557861328125	0.70153370745099830063651324962847866117954254150390625	-1.4607460972621136	3.801347106003708	CBR1;MGST3;CBR3
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	3/81	0.0942511066720770340765511718927882611751556396484375	0.7912559512091184021898015998885966837406158447265625	0.0814152573537713364348888944732607342302799224853515625	0.70153370745099830063651324962847866117954254150390625	-1.5409699715525476	3.6394516464425255	NR4A2;CREB3L2;CAMK2G
AMPK signaling pathway_Homo sapiens_hsa04152	4/124	0.084715978160533556007294464507140219211578369140625	0.7912559512091184021898015998885966837406158447265625	0.0693314046761790703232719579318654723465442657470703125	0.70153370745099830063651324962847866117954254150390625	-1.459559313258131	3.602850720740356	PPP2CB;CREB3L2;IRS2;PPP2R5C
Hepatitis C_Homo sapiens_hsa05160	4/133	0.1028547350457290898706474990831338800489902496337890625	0.7912559512091184021898015998885966837406158447265625	0.08425455661942360396921003484749235212802886962890625	0.70153370745099830063651324962847866117954254150390625	-1.4272425087747014	3.2461740627829245	GSK3B;PPP2CB;CD81;TICAM1
Spliceosome_Homo sapiens_hsa03040	4/134	0.10497240969102857033323772384392214007675647735595703125	0.7912559512091184021898015998885966837406158447265625	0.086003475519644101421334880797076039016246795654296875	0.70153370745099830063651324962847866117954254150390625	-1.3775741054229056	3.105131558497655	DHX16;SNRPD3;HSPA2;LSM4
Measles_Homo sapiens_hsa05162	4/136	0.10926703430255645110857898316680802963674068450927734375	0.7912559512091184021898015998885966837406158447265625	0.08955459358280774828653392205524141900241374969482421875	0.70153370745099830063651324962847866117954254150390625	-1.3788088727093446	3.052628431928509	GSK3B;CCND3;CCNE1;HSPA2
