Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Huntington's disease_Homo sapiens_hsa05016	3/193	0.056495691771955174054209436462770099751651287078857421875	0.628287376633232863554212599410675466060638427734375	0.045685445411795679027111560799312428571283817291259765625	0.5961158459315558655333688875543884932994842529296875	-1.8761661934876466	5.39133409216518	NDUFS8;BBC3;CREB5
Vitamin B6 metabolism_Homo sapiens_hsa00750	1/6	0.026701366703559110959975697596746613271534442901611328125	0.628287376633232863554212599410675466060638427734375	0.0284973133997213877444121266080401255749166011810302734375	0.5961158459315558655333688875543884932994842529296875	-1.1407029206111725	4.132812911196774	PNPO
Endocytosis_Homo sapiens_hsa04144	3/259	0.11155480909286404067604081546960514970123767852783203125	0.628287376633232863554212599410675466060638427734375	0.091570013103909053686635388658032752573490142822265625	0.5961158459315558655333688875543884932994842529296875	-1.8633467010594684	4.086765116440354	ERBB3;SH3KBP1;RAB35
Sphingolipid signaling pathway_Homo sapiens_hsa04071	2/120	0.10179803613758675595590830198489129543304443359375	0.628287376633232863554212599410675466060638427734375	0.08933704585133221687254234666397678665816783905029296875	0.5961158459315558655333688875543884932994842529296875	-1.6979232041750265	3.8793546036279394	SPTLC2;GNA12
Protein export_Homo sapiens_hsa03060	1/23	0.09858614772807579307301040216771070845425128936767578125	0.628287376633232863554212599410675466060638427734375	0.09447871788555815830701334334662533365190029144287109375	0.5961158459315558655333688875543884932994842529296875	-1.4790361258175355	3.4266671575512113	SRPR
Phospholipase D signaling pathway_Homo sapiens_hsa04072	2/144	0.137236036967696317656617566171917133033275604248046875	0.628287376633232863554212599410675466060638427734375	0.1207074936741666382200577345429337583482265472412109375	0.5961158459315558655333688875543884932994842529296875	-1.7183157207152278	3.412665985649887	GNA12;RALGDS
RNA polymerase_Homo sapiens_hsa03020	1/32	0.13449073348297257979311325470916926860809326171875	0.628287376633232863554212599410675466060638427734375	0.127636360066030241089407581966952420771121978759765625	0.5961158459315558655333688875543884932994842529296875	-1.5282108430710026	3.0659882529354894	POLR3GL
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	2/167	0.1733104028561886778003753306620637886226177215576171875	0.628287376633232863554212599410675466060638427734375	0.1529569663131706558356626146633061580359935760498046875	0.5961158459315558655333688875543884932994842529296875	-1.7346401914614273	3.04025365621869	GNA12;CREB5
Homologous recombination_Homo sapiens_hsa03440	1/29	0.122682532255400877918560809121117927134037017822265625	0.628287376633232863554212599410675466060638427734375	0.1167162503894398906112428448977880179882049560546875	0.5961158459315558655333688875543884932994842529296875	-1.2776861076247714	2.680783876924103	XRCC2
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	1/44	0.1801722029789301904312281976672238670289516448974609375	0.628287376633232863554212599410675466060638427734375	0.17002767403909058163691270237904973328113555908203125	0.5961158459315558655333688875543884932994842529296875	-1.5329215541983663	2.627185652255421	CREB5
Sphingolipid metabolism_Homo sapiens_hsa00600	1/47	0.191214882473675740204299700053525157272815704345703125	0.628287376633232863554212599410675466060638427734375	0.1803106086970809596170539634840679354965686798095703125	0.5961158459315558655333688875543884932994842529296875	-1.472519716561127	2.436073954807354	SPTLC2
cAMP signaling pathway_Homo sapiens_hsa04024	2/199	0.225580881626081419799589866670430637896060943603515625	0.628287376633232863554212599410675466060638427734375	0.200252178261659363744939810203504748642444610595703125	0.5961158459315558655333688875543884932994842529296875	-1.6085351182835201	2.3952318561480452	HTR1A;CREB5
Cocaine addiction_Homo sapiens_hsa05030	1/49	0.1984948214937797550394549261909560300409793853759765625	0.628287376633232863554212599410675466060638427734375	0.1870974438703416342644203496092814020812511444091796875	0.5961158459315558655333688875543884932994842529296875	-1.38268296938454	2.2357876697435204	CREB5
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	2/214	0.2505152682549915965637410408817231655120849609375	0.628287376633232863554212599410675466060638427734375	0.2230500419985470272887795317728887312114238739013671875	0.5961158459315558655333688875543884932994842529296875	-1.5251953805268732	2.1112294516688843	GNA12;ITGB6
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	1/51	0.2057099548180026660215702349887578748166561126708984375	0.628287376633232863554212599410675466060638427734375	0.193830007850992858120520168085931800305843353271484375	0.5961158459315558655333688875543884932994842529296875	-1.3267979360308504	2.09804977230036	TOMM40
Pathways in cancer_Homo sapiens_hsa05200	3/397	0.265038849834603684740841345046646893024444580078125	0.628287376633232863554212599410675466060638427734375	0.226059787970439185489368583148461766541004180908203125	0.5961158459315558655333688875543884932994842529296875	-1.5759110828488907	2.092619013087152	GNA12;MITF;RALGDS
Long-term depression_Homo sapiens_hsa04730	1/60	0.23739126385315978406964632085873745381832122802734375	0.628287376633232863554212599410675466060638427734375	0.2234660907398140494706240133382380008697509765625	0.5961158459315558655333688875543884932994842529296875	-1.4166396920781956	2.037192471380386	GNA12
Colorectal cancer_Homo sapiens_hsa05210	1/62	0.244260030826872809317507062587537802755832672119140625	0.628287376633232863554212599410675466060638427734375	0.2299075627712397207336181281789322383701801300048828125	0.5961158459315558655333688875543884932994842529296875	-1.4141017641322902	1.9932074351173716	RALGDS
Pancreatic cancer_Homo sapiens_hsa05212	1/66	0.257814547967851914744841224091942422091960906982421875	0.628287376633232863554212599410675466060638427734375	0.2426360897746314970735426186365657486021518707275390625	0.5961158459315558655333688875543884932994842529296875	-1.3457495909446011	1.8241834322441892	RALGDS
Amphetamine addiction_Homo sapiens_hsa05031	1/67	0.2611654404239904803119998177862726151943206787109375	0.628287376633232863554212599410675466060638427734375	0.2457863412655160451070202043410972692072391510009765625	0.5961158459315558655333688875543884932994842529296875	-1.3156497305287755	1.7663929084542334	CREB5
Melanoma_Homo sapiens_hsa05218	1/71	0.274420053527566931705905517446808516979217529296875	0.628287376633232863554212599410675466060638427734375	0.258261302205677945043049703599535860121250152587890625	0.5961158459315558655333688875543884932994842529296875	-1.2092733586705164	1.563705701871602	MITF
