Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Synaptic vesicle cycle_Homo sapiens_hsa04721	3/63	0.00518806142538094823557504042810251121409237384796142578125	0.365260979720773926171517587135895155370235443115234375	0.0056335436337068001133587813455960713326930999755859375	0.367463344617880049991498481176677159965038299560546875	-1.7073785459335393	8.983193239549571	NAPA;ATP6V0B;ATP6V0C
RNA degradation_Homo sapiens_hsa03018	3/77	0.00903704935606465704911460790071942028589546680450439453125	0.365260979720773926171517587135895155370235443115234375	0.0095910080314658523181758909004201996140182018280029296875	0.367463344617880049991498481176677159965038299560546875	-1.8392023845743661	8.656063588771877	LSM8;BTG2;EXOSC9
Morphine addiction_Homo sapiens_hsa05032	3/91	0.01419517007758172404130458943427584017626941204071044921875	0.365260979720773926171517587135895155370235443115234375	0.014839350028116815582990284383413381874561309814453125	0.367463344617880049991498481176677159965038299560546875	-1.8033000509458066	7.672777547050245	PDE4D;PDE7B;ADCY8
RNA transport_Homo sapiens_hsa03013	4/172	0.015528060236552350403815836443754960782825946807861328125	0.365260979720773926171517587135895155370235443115234375	0.0156394391168442163653207188644955749623477458953857421875	0.367463344617880049991498481176677159965038299560546875	-1.7943923825409651	7.473835472792111	NUP133;POP4;MAGOH;GEMIN6
Purine metabolism_Homo sapiens_hsa00230	4/176	0.0167550908128795382479037101575158885680139064788818359375	0.365260979720773926171517587135895155370235443115234375	0.01685611672559082785394224401898100040853023529052734375	0.367463344617880049991498481176677159965038299560546875	-1.6806062274944216	6.872088167876786	PRIM2;PDE4D;PDE7B;ADCY8
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	2/48	0.029171422401857383110979071716428734362125396728515625	0.444475487204638086691232956582098267972469329833984375	0.0309229594457321420308826276368563412688672542572021484375	0.469072045292901862456602657402982003986835479736328125	-1.7240840939417343	6.0938885606369935	ACADS;BCAT2
Cysteine and methionine metabolism_Homo sapiens_hsa00270	2/45	0.0258783933358835878391079887705927831120789051055908203125	0.444475487204638086691232956582098267972469329833984375	0.02757189969256594597180054506679880432784557342529296875	0.469072045292901862456602657402982003986835479736328125	-1.6474931293823976	6.020511397904409	BCAT2;SRM
Vibrio cholerae infection_Homo sapiens_hsa05110	2/51	0.03262205410676242978151861962032853625714778900146484375	0.444475487204638086691232956582098267972469329833984375	0.034427306076543255641819740731079946272075176239013671875	0.469072045292901862456602657402982003986835479736328125	-1.6571753561605322	5.6721246466608	ATP6V0B;ATP6V0C
Spliceosome_Homo sapiens_hsa03040	3/134	0.038658838118863246557932455971240415237843990325927734375	0.468201483884010449809665033171768300235271453857421875	0.03946567827125506411345412516311625950038433074951171875	0.477973214618533537301203750757849775254726409912109375	-1.5994215206945157	5.202885993646709	LSM8;MAGOH;SMNDC1
Long-term potentiation_Homo sapiens_hsa04720	2/66	0.05203378065044272915429246495477855205535888671875	0.498405943957216657214104316153679974377155303955078125	0.05405376946179003827541720283988979645073413848876953125	0.52255724797769698142246852512471377849578857421875	-1.574571346564705	4.654215835431456	RAP1B;ADCY8
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	2/68	0.05487037915125321518861056802052189595997333526611328125	0.498405943957216657214104316153679974377155303955078125	0.05691341092330748363536940814810805022716522216796875	0.52255724797769698142246852512471377849578857421875	-1.5518756455080975	4.504756097114751	ATP6V0B;ATP6V0C
Biosynthesis of amino acids_Homo sapiens_hsa01230	2/74	0.063694832013984126195538237880100496113300323486328125	0.50837470085732194835514974329271353781223297119140625	0.06580083756773537351225655811504111625254154205322265625	0.52255724797769698142246852512471377849578857421875	-1.3851554266256916	3.8142358027523082	PSPH;BCAT2
cAMP signaling pathway_Homo sapiens_hsa04024	3/199	0.09906305338393363302262883962612249888479709625244140625	0.50837470085732194835514974329271353781223297119140625	0.09998436980345147551130224883308983407914638519287109375	0.52255724797769698142246852512471377849578857421875	-1.4792962211359004	3.4201309826607096	RAP1B;PDE4D;ADCY8
Rheumatoid arthritis_Homo sapiens_hsa05323	2/90	0.0892814524809097120883194520502001978456974029541015625	0.50837470085732194835514974329271353781223297119140625	0.09152146365198356170456150948666618205606937408447265625	0.52255724797769698142246852512471377849578857421875	-1.3738330758662871	3.319127834730287	ATP6V0B;ATP6V0C
Pancreatic secretion_Homo sapiens_hsa04972	2/96	0.09954349771105562572071079330271459184587001800537109375	0.50837470085732194835514974329271353781223297119140625	0.101825324601638789179247623906121589243412017822265625	0.52255724797769698142246852512471377849578857421875	-1.2041795590083797	2.7782355946376756	RAP1B;ADCY8
Pyrimidine metabolism_Homo sapiens_hsa00240	2/105	0.115510994795631927178902742525679059326648712158203125	0.50837470085732194835514974329271353781223297119140625	0.1178509841631601717804045392767875455319881439208984375	0.52255724797769698142246852512471377849578857421875	-1.1888972960333999	2.566103512283102	PRIM2;TXNRD1
Metabolic pathways_Homo sapiens_hsa01100	10/1239	0.149877966558128961072071660964866168797016143798828125	0.50837470085732194835514974329271353781223297119140625	0.138962558254338841567943063637358136475086212158203125	0.52255724797769698142246852512471377849578857421875	-1.2666013600965114	2.403925624005026	B4GALT2;PRIM2;IDI1;ATP6V0B;CHPF;ACADS;ATP6V0C;PSPH;BCAT2;SRM
Carbon metabolism_Homo sapiens_hsa01200	2/113	0.1302093330227183098912746572750620543956756591796875	0.50837470085732194835514974329271353781223297119140625	0.1325989167777862076658124124151072464883327484130859375	0.52255724797769698142246852512471377849578857421875	-1.117166311938197	2.2774685038060625	ACADS;PSPH
Platelet activation_Homo sapiens_hsa04611	2/122	0.14722608378485591007489574622013606131076812744140625	0.50837470085732194835514974329271353781223297119140625	0.149671752666178436985688904314883984625339508056640625	0.52255724797769698142246852512471377849578857421875	-1.1773721694443626	2.2555929880402346	RAP1B;ADCY8
Leukocyte transendothelial migration_Homo sapiens_hsa04670	2/118	0.1396055913055015140766812464789836667478084564208984375	0.50837470085732194835514974329271353781223297119140625	0.14202614253701228985704574370174668729305267333984375	0.52255724797769698142246852512471377849578857421875	-1.0852244419723134	2.136735341718475	RAP1B;ACTN3
Lysosome_Homo sapiens_hsa04142	2/123	0.149144585028049447839038066376815550029277801513671875	0.50837470085732194835514974329271353781223297119140625	0.1515966073686838833101120371793513186275959014892578125	0.52255724797769698142246852512471377849578857421875	-1.0460809022855446	1.990523615669336	ATP6V0B;ATP6V0C
Oxidative phosphorylation_Homo sapiens_hsa00190	2/133	0.1685926090331015536616376948586548678576946258544921875	0.52238220874533680682105796222458593547344207763671875	0.1711105595965667358626660643494687974452972412109375	0.5328871713150220568167014789651148021221160888671875	-0.9472282417619892	1.68632208984388	ATP6V0B;ATP6V0C
Phagosome_Homo sapiens_hsa04145	2/154	0.2106272943332793967652349920172127895057201385498046875	0.53536595801302644392904994674609042704105377197265625	0.2133054059022007897805650600275839678943157196044921875	0.53986957420297410070730848019593395292758941650390625	-0.7943640450247682	1.2373531376809628	ATP6V0B;ATP6V0C
Calcium signaling pathway_Homo sapiens_hsa04020	2/180	0.263857828258988735825596450013108551502227783203125	0.53536595801302644392904994674609042704105377197265625	0.2667907536513307587000554121914319694042205810546875	0.53986957420297410070730848019593395292758941650390625	-0.7227105791299183	0.9628997183009695	P2RX4;ADCY8
Tuberculosis_Homo sapiens_hsa05152	2/178	0.25974489603611539134675467721535824239253997802734375	0.53536595801302644392904994674609042704105377197265625	0.262655745269427309818155436005326919257640838623046875	0.53986957420297410070730848019593395292758941650390625	-0.6349552646288319	0.8559548089330269	ATP6V0B;ATP6V0C
Chemokine signaling pathway_Homo sapiens_hsa04062	2/187	0.278253431208118351403157930690213106572628021240234375	0.53536595801302644392904994674609042704105377197265625	0.28126693876798392057736464266781695187091827392578125	0.53986957420297410070730848019593395292758941650390625	-0.5793724054639344	0.7411464820211062	RAP1B;ADCY8
Focal adhesion_Homo sapiens_hsa04510	2/202	0.309023937669954562590390878540347330272197723388671875	0.53536595801302644392904994674609042704105377197265625	0.31222727284587648011182636764715425670146942138671875	0.53986957420297410070730848019593395292758941650390625	-0.5138587052357441	0.6034430523610955	RAP1B;ACTN3
Viral carcinogenesis_Homo sapiens_hsa05203	2/205	0.315152916381263192846517995349131524562835693359375	0.53536595801302644392904994674609042704105377197265625	0.318396949874100110289276699404581449925899505615234375	0.53986957420297410070730848019593395292758941650390625	-0.5069283166585343	0.5853487631619658	ACTN3;LTBR
Rap1 signaling pathway_Homo sapiens_hsa04015	2/211	0.327374784000857899091130320812226273119449615478515625	0.53536595801302644392904994674609042704105377197265625	0.3307028403863938592621707357466220855712890625	0.53986957420297410070730848019593395292758941650390625	-0.42858072885152765	0.4785745148453894	RAP1B;ADCY8
Selenocompound metabolism_Homo sapiens_hsa00450	1/17	0.09030942576176857750080984033047570846974849700927734375	0.50837470085732194835514974329271353781223297119140625	0.095149976318899931460038033037562854588031768798828125	0.52255724797769698142246852512471377849578857421875	-0.019916232927288734	0.04788884977298769	TXNRD1
