Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Basal transcription factors_Homo sapiens_hsa03022	6/45	0.00026311746090211204397724120696011596010066568851470947265625	0.0447299683533590453077266602122108452022075653076171875	0.0001274960924182130567357262851402310843695886433124542236328125	0.021674335711096219536653251225288840942084789276123046875	-1.8881785769948283	15.564086085598472	GTF2A1;GTF2B;GTF2H1;GTF2F2;TAF2;GTF2E2
Caffeine metabolism_Homo sapiens_hsa00232	2/5	0.003852553562424612838832604921890379046089947223663330078125	0.3274670528060921181889852960011921823024749755859375	0.004804941666042796509505929947181357420049607753753662109375	0.408420041613637707644812735452433116734027862548828125	-1.1641302620684997	6.4714223472644345	NAT1;NAT2
Viral carcinogenesis_Homo sapiens_hsa05203	8/205	0.055138879579819853604671919811153202317655086517333984375	0.930701877126741461410119882202707231044769287109375	0.0178018912535128602525613672469262382946908473968505859375	0.84757566582197318982849765234277583658695220947265625	-1.9314667609813165	5.597197899703675	LYN;CREB3;GTF2A1;GTF2B;DNAJA3;GTF2H1;ATP6V0D2;GTF2E2
Endometrial cancer_Homo sapiens_hsa05213	3/52	0.08618547945928962950024043720986810512840747833251953125	0.930701877126741461410119882202707231044769287109375	0.053917213309621216110745223204503417946398258209228515625	0.84757566582197318982849765234277583658695220947265625	-1.8765980617364586	4.600017693126791	APC;PDPK1;FOXO3
TGF-beta signaling pathway_Homo sapiens_hsa04350	4/84	0.08844766847165651257878238311604945920407772064208984375	0.930701877126741461410119882202707231044769287109375	0.0480924822889881864451666615423164330422878265380859375	0.84757566582197318982849765234277583658695220947265625	-1.7533088290472203	4.25237743189631	INHBB;PITX2;THBS1;BMPR1A
AMPK signaling pathway_Homo sapiens_hsa04152	5/124	0.10431543186390601629653929194319061934947967529296875	0.930701877126741461410119882202707231044769287109375	0.0505643128360671323395791887378436513245105743408203125	0.84757566582197318982849765234277583658695220947265625	-1.638704363928874	3.7040224202961727	CREB3;EEF2K;PDPK1;PPP2R5C;FOXO3
Dopaminergic synapse_Homo sapiens_hsa04728	5/129	0.11799609650416102712977561850493657402694225311279296875	0.930701877126741461410119882202707231044769287109375	0.05776509880241871563999467298344825394451618194580078125	0.84757566582197318982849765234277583658695220947265625	-1.6542607484817144	3.535326825132265	CREB3;GNG5;KIF5A;ITPR3;PPP2R5C
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	4/93	0.1169267960398600869620366893286700360476970672607421875	0.930701877126741461410119882202707231044769287109375	0.06437226570849104156923914388244156725704669952392578125	0.84757566582197318982849765234277583658695220947265625	-1.6333966851671171	3.505607750456252	LYN;ARPC1B;PIP5K1C;PLD1
Spliceosome_Homo sapiens_hsa03040	5/134	0.1324771133526368160904240767195005901157855987548828125	0.930701877126741461410119882202707231044769287109375	0.065527412442720700536114009082666598260402679443359375	0.84757566582197318982849765234277583658695220947265625	-1.5501220950786023	3.133332132051312	RBMXL1;SNRPD1;SRSF3;U2SURP;U2AF1L4
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563	2/25	0.08892427576659127363978285529810818843543529510498046875	0.930701877126741461410119882202707231044769287109375	0.0656493785537668739227257219681632705032825469970703125	0.84757566582197318982849765234277583658695220947265625	-1.2019210188185763	2.9086129347106566	PIGB;PIGV
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	5/142	0.157198025599719570788437295050243847072124481201171875	0.930701877126741461410119882202707231044769287109375	0.07910686745492569171833707741825492121279239654541015625	0.84757566582197318982849765234277583658695220947265625	-1.5294728681901215	2.8299055819797028	APC;LIF;INHBB;PAX6;BMPR1A
Shigellosis_Homo sapiens_hsa05131	3/65	0.141720275183991883949374823714606463909149169921875	0.930701877126741461410119882202707231044769287109375	0.08931704467632005373101122813750407658517360687255859375	0.84757566582197318982849765234277583658695220947265625	-1.3456682467106282	2.629301264277343	ARPC1B;VCL;U2AF1L4
Regulation of autophagy_Homo sapiens_hsa04140	2/39	0.183841067814200564978222018908127211034297943115234375	0.930701877126741461410119882202707231044769287109375	0.1335953106616658836447442126882378943264484405517578125	0.84757566582197318982849765234277583658695220947265625	-1.16891872165392	1.979778534653503	GABARAPL2;ULK3
Endocytosis_Homo sapiens_hsa04144	7/259	0.264464400989707415501328569007455371320247650146484375	0.930701877126741461410119882202707231044769287109375	0.12084651429984949455587184274918399751186370849609375	0.84757566582197318982849765234277583658695220947265625	-1.4707237166425136	1.956134059388391	SNX1;ARPC1B;KIF5A;CHMP4B;PIP5K1C;PLD1;RAB11FIP5
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	2/44	0.2205031638776979996396931937852059490978717803955078125	0.930701877126741461410119882202707231044769287109375	0.1606138778214327433868646721748518757522106170654296875	0.84757566582197318982849765234277583658695220947265625	-1.2708754776196851	1.9213644940612302	CREB3;DCTN2
Insulin secretion_Homo sapiens_hsa04911	3/85	0.2429135605307097545146888251110794954001903533935546875	0.930701877126741461410119882202707231044769287109375	0.157556502016730159976276581801357679069042205810546875	0.84757566582197318982849765234277583658695220947265625	-1.3460762740599692	1.9047647159332746	CREB3;KCNMB4;ITPR3
GnRH signaling pathway_Homo sapiens_hsa04912	3/91	0.27535067317454042790103585502947680652141571044921875	0.930701877126741461410119882202707231044769287109375	0.180510533008544415967122631627717055380344390869140625	0.84757566582197318982849765234277583658695220947265625	-1.3057930662683135	1.6840941384703594	MAP3K3;ITPR3;PLD1
Cysteine and methionine metabolism_Homo sapiens_hsa00270	2/45	0.2279137909972906161915062739353743381798267364501953125	0.930701877126741461410119882202707231044769287109375	0.1661342147617892728295174720187787897884845733642578125	0.84757566582197318982849765234277583658695220947265625	-1.0657910783901332	1.5760788773143928	AHCYL2;SRM
FoxO signaling pathway_Homo sapiens_hsa04068	4/133	0.277553439713667360333460010224371217191219329833984375	0.930701877126741461410119882202707231044769287109375	0.1651508837978556687442477368676918558776378631591796875	0.84757566582197318982849765234277583658695220947265625	-1.2163150502792588	1.559001828278584	GABARAPL2;PDPK1;SETD7;FOXO3
ABC transporters_Homo sapiens_hsa02010	2/44	0.2205031638776979996396931937852059490978717803955078125	0.930701877126741461410119882202707231044769287109375	0.1606138778214327433868646721748518757522106170654296875	0.84757566582197318982849765234277583658695220947265625	-1.0298718579641601	1.5570048019428067	ABCA3;ABCG4
Drug metabolism - other enzymes_Homo sapiens_hsa00983	2/46	0.2353412984558038434368398839069413952529430389404296875	0.930701877126741461410119882202707231044769287109375	0.171687649563536215424619513214565813541412353515625	0.84757566582197318982849765234277583658695220947265625	-1.0199125861926506	1.475526391121398	NAT1;NAT2
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	3/94	0.2917370471612887872225883256760425865650177001953125	0.930701877126741461410119882202707231044769287109375	0.192314913373122176043494846453540958464145660400390625	0.84757566582197318982849765234277583658695220947265625	-1.138085673865754	1.4020104796973927	CREB3;ULK3;FOXO3
mRNA surveillance pathway_Homo sapiens_hsa03015	3/91	0.27535067317454042790103585502947680652141571044921875	0.930701877126741461410119882202707231044769287109375	0.180510533008544415967122631627717055380344390869140625	0.84757566582197318982849765234277583658695220947265625	-1.085122484241709	1.3994931221807807	DAZAP1;PPP2R5C;SRRM1
Notch signaling pathway_Homo sapiens_hsa04330	2/48	0.250232511324037065758574271967518143355846405029296875	0.930701877126741461410119882202707231044769287109375	0.182884504572212669426534148442442528903484344482421875	0.84757566582197318982849765234277583658695220947265625	-0.9108601874306524	1.2618735940667265	PSENEN;NCOR2
Arginine and proline metabolism_Homo sapiens_hsa00330	2/50	0.2651492791771643542375613833428360521793365478515625	0.930701877126741461410119882202707231044769287109375	0.1941864558941620300114294650484225712716579437255859375	0.84757566582197318982849765234277583658695220947265625	-0.934797918006076	1.2409089886160904	GAMT;SRM
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	3/98	0.313680344061664950761070258522522635757923126220703125	0.930701877126741461410119882202707231044769287109375	0.2083471699363499129997734371499973349273204803466796875	0.84757566582197318982849765234277583658695220947265625	-0.983216663216332	1.1399225453109416	INPP5K;ITPR3;PIP5K1C
Choline metabolism in cancer_Homo sapiens_hsa05231	3/101	0.33016630447517691937520112333004362881183624267578125	0.930701877126741461410119882202707231044769287109375	0.2205650353891730197641862787349964492022991180419921875	0.84757566582197318982849765234277583658695220947265625	-1.0086829595489837	1.1177808965294702	PDPK1;PIP5K1C;PLD1
Huntington's disease_Homo sapiens_hsa05016	5/193	0.345304356543695456505105312317027710378170013427734375	0.930701877126741461410119882202707231044769287109375	0.1959066814493702068933345117329736240208148956298828125	0.84757566582197318982849765234277583658695220947265625	-1.0083048062675775	1.0721597997990904	CREB3;DCTN2;NDUFS3;COX6A1;DNAL4
