Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	2/56	0.0211647252355584049310355254647220135666429996490478515625	0.488955887724706494967819025987409986555576324462890625	0.020536213938787399591046067826027865521609783172607421875	0.476969359241221357859075169471907429397106170654296875	-1.909471199119403	7.361812280218786	ADRB1;TSHR
Tight junction_Homo sapiens_hsa04530	3/139	0.01829284774976237815113933038446702994406223297119140625	0.488955887724706494967819025987409986555576324462890625	0.016512180168775807131975597030759672634303569793701171875	0.476969359241221357859075169471907429397106170654296875	-1.697157934993861	6.790744920328011	PTEN;MYH14;F11R
Small cell lung cancer_Homo sapiens_hsa05222	2/86	0.04653134409823524164639962918954552151262760162353515625	0.488955887724706494967819025987409986555576324462890625	0.04433554226731277470019421116376179270446300506591796875	0.476969359241221357859075169471907429397106170654296875	-1.7905083951547105	5.492615704829893	TRAF4;PTEN
Salmonella infection_Homo sapiens_hsa05132	2/86	0.04653134409823524164639962918954552151262760162353515625	0.488955887724706494967819025987409986555576324462890625	0.04433554226731277470019421116376179270446300506591796875	0.476969359241221357859075169471907429397106170654296875	-1.6653605140123986	5.108708419475303	CCL3;MYH14
Oxidative phosphorylation_Homo sapiens_hsa00190	2/133	0.099270053243188216551828872979967854917049407958984375	0.488955887724706494967819025987409986555576324462890625	0.09394141997854743575402380884042941033840179443359375	0.476969359241221357859075169471907429397106170654296875	-1.620478649927918	3.7431619967867373	NDUFA5;NDUFB11
Hepatitis C_Homo sapiens_hsa05160	2/133	0.099270053243188216551828872979967854917049407958984375	0.488955887724706494967819025987409986555576324462890625	0.09394141997854743575402380884042941033840179443359375	0.476969359241221357859075169471907429397106170654296875	-1.6068312144014276	3.7116376308109014	EIF2AK1;IRF1
Hepatitis B_Homo sapiens_hsa05161	2/146	0.1158845036331597466716658573204767890274524688720703125	0.488955887724706494967819025987409986555576324462890625	0.10964668770507025874483275629245326854288578033447265625	0.476969359241221357859075169471907429397106170654296875	-1.5795197888729622	3.4041198302789684	PTEN;STAT6
Parkinson's disease_Homo sapiens_hsa05012	2/142	0.1106981362728392814798183962921029888093471527099609375	0.488955887724706494967819025987409986555576324462890625	0.10473972018504833225716055267184856347739696502685546875	0.476969359241221357859075169471907429397106170654296875	-1.505043562378712	3.3125230327879938	NDUFA5;NDUFB11
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	2/151	0.12245327651917121969393775771095533855259418487548828125	0.488955887724706494967819025987409986555576324462890625	0.115867408109562253226698658181703649461269378662109375	0.476969359241221357859075169471907429397106170654296875	-1.57568813653939	3.3089856416758554	NDUFA5;NDUFB11
Non-homologous end-joining_Homo sapiens_hsa03450	1/13	0.05078499581927096995226378339793882332742214202880859375	0.488955887724706494967819025987409986555576324462890625	0.052444017276917220815590781057835556566715240478515625	0.476969359241221357859075169471907429397106170654296875	-0.9710612600316062	2.8939124148095248	LIG4
Alzheimer's disease_Homo sapiens_hsa05010	2/168	0.14542130805645125946057305554859340190887451171875	0.488955887724706494967819025987409986555576324462890625	0.137670195955464647052934878956875763833522796630859375	0.476969359241221357859075169471907429397106170654296875	-1.4163526867161165	2.7308981926886102	NDUFA5;NDUFB11
2-Oxocarboxylic acid metabolism_Homo sapiens_hsa01210	1/17	0.065892441187805295133017580155865289270877838134765625	0.488955887724706494967819025987409986555576324462890625	0.06693483637755802406754668254507123492658138275146484375	0.476969359241221357859075169471907429397106170654296875	-0.9874540727297381	2.6856099911376643	IDH2
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	2/169	0.146799676751914243144625515924417413771152496337890625	0.488955887724706494967819025987409986555576324462890625	0.1389812124567146867093470063991844654083251953125	0.476969359241221357859075169471907429397106170654296875	-1.3845877970176368	2.6565897269599414	SEC61A1;EIF2AK1
Protein export_Homo sapiens_hsa03060	1/23	0.08810947415770921387068170815837220288813114166259765625	0.488955887724706494967819025987409986555576324462890625	0.088271664039372310650577446722309105098247528076171875	0.476969359241221357859075169471907429397106170654296875	-1.0851751543160455	2.636080586781929	SEC61A1
Huntington's disease_Homo sapiens_hsa05016	2/193	0.1806099649870668566453701942009502090513706207275390625	0.488955887724706494967819025987409986555576324462890625	0.171231282164793385813794657224207185208797454833984375	0.476969359241221357859075169471907429397106170654296875	-1.355449361155605	2.319736995189917	NDUFA5;NDUFB11
Pentose phosphate pathway_Homo sapiens_hsa00030	1/29	0.10980454172504809651211843402052181772887706756591796875	0.488955887724706494967819025987409986555576324462890625	0.1091382447419182444292573563870973885059356689453125	0.476969359241221357859075169471907429397106170654296875	-0.961186700623414	2.1233127366918936	PGM2
cAMP signaling pathway_Homo sapiens_hsa04024	2/199	0.18924450312196317014468149864114820957183837890625	0.488955887724706494967819025987409986555576324462890625	0.179495696190236697642461649593315087258815765380859375	0.476969359241221357859075169471907429397106170654296875	-1.2466662062701852	2.075344472974982	ADRB1;TSHR
Galactose metabolism_Homo sapiens_hsa00052	1/30	0.11337049418596530092617769014395889826118946075439453125	0.488955887724706494967819025987409986555576324462890625	0.11257099305171329450825368212463217787444591522216796875	0.476969359241221357859075169471907429397106170654296875	-0.9025975316223626	1.9650397733229472	PGM2
Focal adhesion_Homo sapiens_hsa04510	2/202	0.1935835197734389889756556613065185956656932830810546875	0.488955887724706494967819025987409986555576324462890625	0.183653067288461924189135743290535174310207366943359375	0.476969359241221357859075169471907429397106170654296875	-1.1927876564917712	1.9586124779921776	PTEN;PPP1R12B
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate_Homo sapiens_hsa00532	1/20	0.0770669713262472633186206394384498707950115203857421875	0.488955887724706494967819025987409986555576324462890625	0.07766266248668908522834186669570044614374637603759765625	0.476969359241221357859075169471907429397106170654296875	-0.7572552884362375	1.940906246399187	CHPF
Prion diseases_Homo sapiens_hsa05020	1/35	0.1309897552639870121904408506452455185353755950927734375	0.488955887724706494967819025987409986555576324462890625	0.129544552228712250840914066429832018911838531494140625	0.476969359241221357859075169471907429397106170654296875	-0.9274133621345027	1.8850939378598162	C8G
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	1/30	0.11337049418596530092617769014395889826118946075439453125	0.488955887724706494967819025987409986555576324462890625	0.11257099305171329450825368212463217787444591522216796875	0.476969359241221357859075169471907429397106170654296875	-0.8447259747327283	1.8390479474558317	IDH2
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	2/214	0.211062846624281708063364249028381891548633575439453125	0.488955887724706494967819025987409986555576324462890625	0.2004300800143611060999404571703053079545497894287109375	0.476969359241221357859075169471907429397106170654296875	-1.1294770228292375	1.7570137096262886	MYH14;PPP1R12B
Basal transcription factors_Homo sapiens_hsa03022	1/45	0.16519745405757546574676553063909523189067840576171875	0.488955887724706494967819025987409986555576324462890625	0.1625586821043505658668237856545601971447467803955078125	0.476969359241221357859075169471907429397106170654296875	-0.9392412376990067	1.6912107616381935	GTF2H1
Nucleotide excision repair_Homo sapiens_hsa03420	1/47	0.171877684663982177593055666875443421304225921630859375	0.488955887724706494967819025987409986555576324462890625	0.1690152301844455029478098140316433273255825042724609375	0.476969359241221357859075169471907429397106170654296875	-0.9151288101044867	1.6115163856123085	GTF2H1
