Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
AMPK signaling pathway_Homo sapiens_hsa04152	7/124	0.0014258350654064362063311310890867389389313757419586181640625	0.249521136446126334806905333607573993504047393798828125	0.000867116319810534198764262470149333239533007144927978515625	0.1517453559668434925900015741717652417719364166259765625	-1.7922572645037969	11.744657599631052	LIPE;STK11;CPT1A;PIK3R1;SIRT1;ELAVL1;CAMKK1
Notch signaling pathway_Homo sapiens_hsa04330	4/48	0.0038620236686032309580962618156263488344848155975341796875	0.337927071002782686282017721168813295662403106689453125	0.00321510290581374959251181877561975852586328983306884765625	0.281321504258703114498274544530431739985942840576171875	-1.7256159330474117	9.588495313429961	NCOR2;KAT2B;NOTCH1;DTX4
Colorectal cancer_Homo sapiens_hsa05210	4/62	0.00957378768943793236056993833926753723062574863433837890625	0.4894917559544891272338418275467120110988616943359375	0.00755388225587562411877939894111477769911289215087890625	0.330482348694558558666045655627385713160037994384765625	-1.926301054467869	8.954846496906857	TCF7L2;AXIN2;PIK3R1;RALGDS
Insulin signaling pathway_Homo sapiens_hsa04910	6/139	0.0111883829932454652300588548996529425494372844696044921875	0.4894917559544891272338418275467120110988616943359375	0.00722881118676377450171788296984232147224247455596923828125	0.330482348694558558666045655627385713160037994384765625	-1.6987036426583524	7.632070384903756	LIPE;SOCS1;MKNK2;RAPGEF1;CALML3;PIK3R1
Endometrial cancer_Homo sapiens_hsa05213	3/52	0.032485368195499901566858369506007875315845012664794921875	0.6593655422220769946051177612389437854290008544921875	0.0270194950050660909202093762360163964331150054931640625	0.55450958927813698284836618768167681992053985595703125	-1.7478574036074432	5.98984702176455	TCF7L2;AXIN2;PIK3R1
Osteoclast differentiation_Homo sapiens_hsa04380	5/132	0.032644169698049403660622402867375058121979236602783203125	0.6593655422220769946051177612389437854290008544921875	0.0228368053663122703988985762180163874290883541107177734375	0.55450958927813698284836618768167681992053985595703125	-1.682976049624627	5.7592938417352855	TEC;SOCS1;PIK3R1;TNFRSF11A;MAP3K14
N-Glycan biosynthesis_Homo sapiens_hsa00510	3/49	0.0278794239763491234762593506957273348234593868255615234375	0.6593655422220769946051177612389437854290008544921875	0.02334092591594194576742893332266248762607574462890625	0.55450958927813698284836618768167681992053985595703125	-1.5557478180289461	5.569369269261889	MAN1A2;DAD1;MAN1C1
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	4/94	0.037678030984118683621719725351795204915106296539306640625	0.6593655422220769946051177612389437854290008544921875	0.0285176360200184719762006579912849701941013336181640625	0.55450958927813698284836618768167681992053985595703125	-1.6614186642130915	5.4472569675213025	STK11;PIK3R1;SIRT1;CAMKK1
Selenocompound metabolism_Homo sapiens_hsa00450	2/17	0.0213091895126085763279011331405854434706270694732666015625	0.6593655422220769946051177612389437854290008544921875	0.0207923563124241018995608243358219624496996402740478515625	0.55450958927813698284836618768167681992053985595703125	-1.4074137935283957	5.416596464326524	MARS;SEPHS2
Epstein-Barr virus infection_Homo sapiens_hsa05169	6/202	0.055095820427511037198353704980036127381026744842529296875	0.7527399144661390817390156371402554214000701904296875	0.036234350301733685151273078872691257856786251068115234375	0.5650804392297350542406775275594554841518402099609375	-1.6763325929330335	4.859154140893003	NCOR2;GTF2B;CDK1;POLR1D;PIK3R1;MAP3K14
