Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glyoxylate and dicarboxylate metabolism_Homo sapiens_hsa00630	2/28	0.0010313565791049417175173630312201566994190216064453125	0.0299093407940433098080035279053845442831516265869140625	0.00026234056116211136588933783286847756244242191314697265625	0.00760787627370122961079079715318584931083023548126220703125	-1.5909203678926787	10.940568898998581	SHMT1;ACAT1
Carbon metabolism_Homo sapiens_hsa01200	2/113	0.015777744151194761368373065124615095555782318115234375	0.122338717566942312142685977960354648530483245849609375	0.0038269536212445173263552167242096402333118021488189697265625	0.05549082750804550101531020800393889658153057098388671875	-1.6604930116649677	6.889642765549812	SHMT1;ACAT1
Cyanoamino acid metabolism_Homo sapiens_hsa00460	1/7	0.01184124891460023969169679247670501354150474071502685546875	0.122338717566942312142685977960354648530483245849609375	0.00682445739676909059190368367353585199452936649322509765625	0.065969754835434546436090386123396456241607666015625	-1.2385622628616344	5.4944680129639725	SHMT1
One carbon pool by folate_Homo sapiens_hsa00670	1/20	0.03347210688750927587431505116910557262599468231201171875	0.1626322104276901325814463916685781441628932952880859375	0.0178314084808666971360135988788897520862519741058349609375	0.08532995207192330122669687852976494468748569488525390625	-1.4794689406624282	5.025819338153414	SHMT1
Synthesis and degradation of ketone bodies_Homo sapiens_hsa00072	1/10	0.0168743058713023870442970775229696300812065601348876953125	0.122338717566942312142685977960354648530483245849609375	0.00937360202463330925704010354593265219591557979583740234375	0.067958614678591489077774667748599313199520111083984375	-1.05802173618341	4.318805767166359	ACAT1
Terpenoid backbone biosynthesis_Homo sapiens_hsa00900	1/22	0.036758874529003782161140634343610145151615142822265625	0.1626322104276901325814463916685781441628932952880859375	0.0195157273076865152294789851339373853988945484161376953125	0.08532995207192330122669687852976494468748569488525390625	-1.294907362973631	4.277565385415498	ACAT1
Tryptophan metabolism_Homo sapiens_hsa00380	1/40	0.0658557095654382085303524263508734293282032012939453125	0.1626322104276901325814463916685781441628932952880859375	0.034566579485005043126388812879667966626584529876708984375	0.08532995207192330122669687852976494468748569488525390625	-1.4977135717326227	4.074213977383571	ACAT1
Propanoate metabolism_Homo sapiens_hsa00640	1/32	0.053030666107978165213499011088060797192156314849853515625	0.1626322104276901325814463916685781441628932952880859375	0.0279012607314446554884757034642461803741753101348876953125	0.08532995207192330122669687852976494468748569488525390625	-1.3740188520389789	4.03533525589417	ACAT1
Pyruvate metabolism_Homo sapiens_hsa00620	1/40	0.0658557095654382085303524263508734293282032012939453125	0.1626322104276901325814463916685781441628932952880859375	0.034566579485005043126388812879667966626584529876708984375	0.08532995207192330122669687852976494468748569488525390625	-1.479751211982125	4.025351165065186	ACAT1
Butanoate metabolism_Homo sapiens_hsa00650	1/28	0.04655422041902630703180676619012956507503986358642578125	0.1626322104276901325814463916685781441628932952880859375	0.024554248498744137008120702603264362551271915435791015625	0.08532995207192330122669687852976494468748569488525390625	-1.2934578160340577	3.9672131211778137	ACAT1
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	1/40	0.0658557095654382085303524263508734293282032012939453125	0.1626322104276901325814463916685781441628932952880859375	0.034566579485005043126388812879667966626584529876708984375	0.08532995207192330122669687852976494468748569488525390625	-1.3542714083161245	3.68400981674319	SHMT1
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	1/48	0.0785121015857814519289803456558729521930217742919921875	0.1626322104276901325814463916685781441628932952880859375	0.0411937699657560774113562729326076805591583251953125	0.08532995207192330122669687852976494468748569488525390625	-1.4252059524558478	3.6264401172292033	ACAT1
Fatty acid degradation_Homo sapiens_hsa00071	1/44	0.07220485191836360783224080250874976627528667449951171875	0.1626322104276901325814463916685781441628932952880859375	0.037884929827518447342793450616227346472442150115966796875	0.08532995207192330122669687852976494468748569488525390625	-1.3304571220129577	3.4967713155922913	ACAT1
Lysine degradation_Homo sapiens_hsa00310	1/52	0.08477772668901854824508035335384192876517772674560546875	0.1639036049321025145797392497115652076900005340576171875	0.044493121716290072453769965932224295102059841156005859375	0.08602003531816081183247746366760111413896083831787109375	-1.3239279726959607	3.2670867508200283	ACAT1
Fatty acid metabolism_Homo sapiens_hsa01212	1/48	0.0785121015857814519289803456558729521930217742919921875	0.1626322104276901325814463916685781441628932952880859375	0.0411937699657560774113562729326076805591583251953125	0.08532995207192330122669687852976494468748569488525390625	-1.2622880012659339	3.2118949821953273	ACAT1
Biosynthesis of amino acids_Homo sapiens_hsa01230	1/74	0.1185064487109553088561852973725763149559497833251953125	0.2147929382886064886282184716037590987980365753173828125	0.062470922817762557233134401712959515862166881561279296875	0.113228547607194640622907400029362179338932037353515625	-1.288561942632999	2.748229320145418	SHMT1
